timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1188050400,Skenderbeu,Teuta,Qethn5bT,lriBSRvS,1,3,,,,0
1188050400,KF Elbasani,Vllaznia,0fr2YS50,v5LfxjB6,0,0,,,,0
1188050400,Flamurtari,KF Tirana,2wkwcX52,4n770DLk,1,0,,,,0
1188050400,Dinamo Tirana,Beselidhja Lezha,bBJMyX2M,0fr2YS50,4,0,,,,0
1188050400,Besa Kavaje,Kastrioti,AwFmkDUE,0Ko5ckvj,3,1,,,,0
1188140400,Partizani,Shkumbini Peqin,4praOw3K,0x7eIv8h,2,1,,,,0
1188657000,KF Tirana,Shkumbini Peqin,4n770DLk,0x7eIv8h,2,0,,,,0
1188657000,Kastrioti,KF Elbasani,0Ko5ckvj,0fr2YS50,2,0,,,,0
1188657000,Flamurtari,Skenderbeu,2wkwcX52,Qethn5bT,3,1,,,,0
1188657000,Beselidhja Lezha,Partizani,0fr2YS50,4praOw3K,1,2,,,,0
1188667800,Vllaznia,Dinamo Tirana,v5LfxjB6,bBJMyX2M,0,1,,,,0
1188745200,Teuta,Besa Kavaje,lriBSRvS,AwFmkDUE,0,1,,,,0
1189870200,Skenderbeu,KF Tirana,Qethn5bT,4n770DLk,4,2,,,,0
1189870200,Shkumbini Peqin,Beselidhja Lezha,0x7eIv8h,0fr2YS50,2,1,,,,0
1189870200,KF Elbasani,Teuta,0fr2YS50,lriBSRvS,1,0,,,,0
1189870200,Dinamo Tirana,Kastrioti,bBJMyX2M,0Ko5ckvj,4,0,,,,0
1189870200,Besa Kavaje,Flamurtari,AwFmkDUE,2wkwcX52,2,0,,,,0
1189875600,Partizani,Vllaznia,4praOw3K,v5LfxjB6,1,0,,,,0
1190383200,Skenderbeu,Besa Kavaje,Qethn5bT,AwFmkDUE,1,1,,,,0
1190383200,Flamurtari,KF Elbasani,2wkwcX52,0fr2YS50,0,1,,,,0
1190469600,Vllaznia,Shkumbini Peqin,v5LfxjB6,0x7eIv8h,3,1,,,,0
1190469600,Teuta,Dinamo Tirana,lriBSRvS,bBJMyX2M,0,1,,,,0
1190469600,KF Tirana,Beselidhja Lezha,4n770DLk,0fr2YS50,0,1,,,,0
1190556000,Kastrioti,Partizani,0Ko5ckvj,4praOw3K,0,1,,,,0
1190820600,Beselidhja Lezha,Vllaznia,0fr2YS50,v5LfxjB6,2,2,,,,0
1191079800,Partizani,Teuta,4praOw3K,lriBSRvS,4,0,,,,0
1191085200,Shkumbini Peqin,Kastrioti,0x7eIv8h,0Ko5ckvj,1,0,,,,0
1191085200,KF Elbasani,Skenderbeu,0fr2YS50,Qethn5bT,3,0,,,,0
1191085200,Dinamo Tirana,Flamurtari,bBJMyX2M,2wkwcX52,0,1,,,,0
1191160800,Besa Kavaje,KF Tirana,AwFmkDUE,4n770DLk,3,1,,,,0
