timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1418391000,Tadjenant,Chelghoum,YJdtGWRB,UXQNH9NH,2,1,,,,0
1418391000,Tadamoun Souf,Beni Douala,ngBQO0Aq,GxaeKWdA,0,0,Pen,1,0,0
1418391000,MSP Batna,Arba,E1SJohb7,zL0Qxgws,0,1,,,,0
1418391000,Medea,Emir Abdelkader,6yayyXNu,,3,0,,,,0
1418391000,Kolea,Tircine,jRPVnxo4,8YYi4Xp2,3,0,,,,0
1418391000,Hamra Annaba,Cheraga,lO2tL3tr,pvUqU1oR,0,2,,,,0
1418391000,Guelma,Ouled Moussa,SAHaVJWf,,1,1,Pen,2,1,0
1418391000,ES Kouba,Merouana,,SdGlxyZ1,2,1,,,,0
1418391000,Ain Fakroun,Tizi Rached,zL0Qxgws,,1,0,,,,0
1418391000,Achir,Arzew,,nom0tPkO,1,0,,,,0
1418396400,USM Oran,Mostaganem,CMi6xuwf,pScuziwn,1,0,,,,0
1418396400,MO Bejaia,Saoura,zL0Qxgws,KADe4QxP,1,1,Pen,2,1,0
1418396400,Hussein Dey,Marsa,Igs7RW3U,rszz2j7K,2,1,,,,0
1418475600,Zoubiria,ASO Chlef,,zgzLiH7t,0,1,,,,0
1418475600,US Chaouia,MB Hassi Messaoud,0n2iZoEQ,KOzbREUb,1,1,AET,2,1,0
1418475600,Ouled Abdelkader,USM Alger,,dYgRyyJN,1,4,,,,0
1418475600,Khroub,Oran,UHnvkyj2,WEM4tWjn,1,2,,,,0
1418475600,Hassi Messaoud,Relizane,bR7l9NFd,OIdqZAhh,1,0,,,,0
1418475600,Harrach,Tighenif,nom0tPkO,6TIPXlO2,8,2,,,,0
1418475600,Eulma,Amal Bou Saada,dpdc5nRB,nom0tPkO,2,2,AET,3,2,0
1418475600,El Kala,Saida,,vydAjR4e,1,2,,,,0
1418475600,CA Batna,ES Souk Ahras,UHnvkyj2,WpcRKedg,2,0,,,,0
1418475600,Boukhadra,Oued Amizour,Mw64XVM4,S0hciJCs,0,0,Pen,1,0,0
1418475600,Bouda,Hassasna,,d0WRNYTj,0,2,,,,0
1418475600,Bel Abbes,Araba,ruHCdxwE,6kUk7U0b,3,1,,,,0
1418475600,Bejaia,Bordj Bou Arreridj,E1SJohb7,MVFGedhK,4,4,AET,5,4,0
1418475600,Bechar Djedid,USM Setif,8EAmhsmd,hKTFUqKB,0,3,,,,0
1418475600,ASM Oran,Touggourt,xKBxXcDF,UT6zo3wg,2,1,,,,0
1418482800,USM Blida,CR Belouizdad,ldMjN2Yr,vqICnGZu,1,2,,,,0
1418482800,Kabylie,Dar El Beida,KrkUCdS2,d0WRNYTj,3,1,,,,0
1418482800,Constantine,MC Alger,z564LBUI,Kt2RJAvf,1,1,AET,2,1,0
1419433200,MO Constantine,ES Setif,46whCS8a,CEDetKma,1,3,,,,0
1419598800,Saida,Ain Fakroun,vydAjR4e,zL0Qxgws,0,0,AET,0,1,0
1419600600,Tadjenant,CR Belouizdad,YJdtGWRB,vqICnGZu,1,1,Pen,2,1,0
1419600600,Kolea,Boukhadra,jRPVnxo4,Mw64XVM4,0,0,AET,1,0,0
1419600600,Guelma,US Chaouia,SAHaVJWf,0n2iZoEQ,0,1,,,,0
1419606000,USM Alger,Harrach,dYgRyyJN,nom0tPkO,2,0,,,,0
1419606000,Bejaia,ASO Chlef,E1SJohb7,zgzLiH7t,1,1,Pen,1,2,0
1419606000,ASM Oran,USM Setif,xKBxXcDF,hKTFUqKB,2,1,,,,0
1419685200,Hassi Messaoud,Arba,bR7l9NFd,zL0Qxgws,1,3,,,,0
1419685200,ES Kouba,Hassasna,,d0WRNYTj,0,0,Pen,1,0,0
1419692400,Oran,USM Oran,WEM4tWjn,CMi6xuwf,3,0,,,,0
1419692400,Hussein Dey,Cheraga,Igs7RW3U,pvUqU1oR,2,0,,,,0
1419692400,Eulma,Kabylie,dpdc5nRB,KrkUCdS2,2,2,Pen,2,3,0
1419692400,ES Setif,Medea,CEDetKma,6yayyXNu,3,2,,,,0
1419692400,CA Batna,MO Bejaia,UHnvkyj2,zL0Qxgws,0,1,,,,0
1419692400,Achir,Tadamoun Souf,,ngBQO0Aq,3,0,,,,0
1420470000,Constantine,Bel Abbes,z564LBUI,ruHCdxwE,1,0,,,,0
1423584000,ES Setif,Kolea,CEDetKma,jRPVnxo4,1,0,,,,0
1424440800,Ain Fakroun,Arba,zL0Qxgws,zL0Qxgws,0,0,AET,0,1,0
1424440800,Achir,ES Kouba,,,0,0,Pen,1,0,0
1424444400,Kabylie,Constantine,KrkUCdS2,z564LBUI,1,0,,,,0
1424444400,ASM Oran,US Chaouia,xKBxXcDF,0n2iZoEQ,1,1,Pen,2,1,0
1424523600,Oran,MO Bejaia,WEM4tWjn,zL0Qxgws,0,0,Pen,0,1,0
1424527200,Hussein Dey,Tadjenant,Igs7RW3U,YJdtGWRB,1,1,AET,2,1,0
1425994200,USM Alger,ASO Chlef,dYgRyyJN,zgzLiH7t,1,1,Pen,1,2,0
1426003200,ES Setif,Kabylie,CEDetKma,KrkUCdS2,2,1,,,,0
1426258800,Hussein Dey,Arba,Igs7RW3U,zL0Qxgws,1,1,Pen,1,2,0
1426339800,ASM Oran,MO Bejaia,xKBxXcDF,zL0Qxgws,1,1,Pen,2,3,0
1427209200,Achir,ASO Chlef,,zgzLiH7t,0,3,,,,0
1428678000,ES Setif,MO Bejaia,CEDetKma,zL0Qxgws,1,1,Pen,1,2,0
1428764400,Arba,ASO Chlef,zL0Qxgws,zgzLiH7t,0,0,Pen,1,0,0
1430578800,MO Bejaia,Arba,zL0Qxgws,zL0Qxgws,1,0,,,,0
