timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1568541600,UE Engordany,Sant Julia,MHnvH5pK,McUMVQPk,2,5,,,,0
1568548800,FC Santa Coloma,Atletic Escaldes,Uik4ihaC,WnxS8ZvA,2,0,,,,0
1568556000,Ordino,UE Santa Coloma,byaNU0dt,2aQZ1RRP,2,1,,,,0
1568563200,Inter Escaldes,Carroi,tKbrPWjF,Kd6FFBdj,2,0,,,,0
1569146400,UE Santa Coloma,FC Santa Coloma,2aQZ1RRP,Uik4ihaC,2,2,,,,0
1569153600,Sant Julia,Inter Escaldes,McUMVQPk,tKbrPWjF,0,0,,,,0
1569160800,Atletic Escaldes,UE Engordany,WnxS8ZvA,MHnvH5pK,2,0,,,,0
1569168000,Carroi,Ordino,Kd6FFBdj,byaNU0dt,1,1,,,,0
1569751200,Inter Escaldes,Ordino,tKbrPWjF,byaNU0dt,1,0,,,,0
1569758400,UE Engordany,UE Santa Coloma,MHnvH5pK,2aQZ1RRP,1,1,,,,0
1569765600,FC Santa Coloma,Carroi,Uik4ihaC,Kd6FFBdj,1,0,,,,0
1569772800,Sant Julia,Atletic Escaldes,McUMVQPk,WnxS8ZvA,1,0,,,,0
1570356000,Atletic Escaldes,Inter Escaldes,WnxS8ZvA,tKbrPWjF,1,3,,,,0
1570363200,Carroi,UE Engordany,Kd6FFBdj,MHnvH5pK,0,3,,,,0
1570370400,UE Santa Coloma,Sant Julia,2aQZ1RRP,McUMVQPk,1,0,,,,0
1570377600,Ordino,FC Santa Coloma,byaNU0dt,Uik4ihaC,0,5,,,,0
1571565600,Sant Julia,Carroi,McUMVQPk,Kd6FFBdj,1,0,,,,0
1571572800,UE Engordany,Ordino,MHnvH5pK,byaNU0dt,3,1,,,,0
1571580000,Inter Escaldes,FC Santa Coloma,tKbrPWjF,Uik4ihaC,1,0,,,,0
1571587200,Atletic Escaldes,UE Santa Coloma,WnxS8ZvA,2aQZ1RRP,0,1,,,,0
1572174000,Carroi,Atletic Escaldes,Kd6FFBdj,WnxS8ZvA,0,0,,,,0
1572181200,Inter Escaldes,UE Santa Coloma,tKbrPWjF,2aQZ1RRP,1,1,,,,0
1572188400,Ordino,Sant Julia,byaNU0dt,McUMVQPk,1,3,,,,0
1572195600,FC Santa Coloma,UE Engordany,Uik4ihaC,MHnvH5pK,0,1,,,,0
1572778800,UE Santa Coloma,Carroi,2aQZ1RRP,Kd6FFBdj,1,0,,,,0
1572786000,Atletic Escaldes,Ordino,WnxS8ZvA,byaNU0dt,2,0,,,,0
1572793200,UE Engordany,Inter Escaldes,MHnvH5pK,tKbrPWjF,1,1,,,,0
1572800400,Sant Julia,FC Santa Coloma,McUMVQPk,Uik4ihaC,0,3,,,,0
1573311600,Atletic Escaldes,FC Santa Coloma,WnxS8ZvA,Uik4ihaC,1,2,,,,0
1573319700,Carroi,Inter Escaldes,Kd6FFBdj,tKbrPWjF,1,2,,,,0
1573383600,Sant Julia,UE Engordany,McUMVQPk,MHnvH5pK,0,3,,,,0
1573405200,UE Santa Coloma,Ordino,2aQZ1RRP,byaNU0dt,1,0,,,,0
1574593200,FC Santa Coloma,UE Santa Coloma,Uik4ihaC,2aQZ1RRP,2,0,,,,0
1574600400,Inter Escaldes,Sant Julia,tKbrPWjF,McUMVQPk,1,0,,,,0
1574607600,UE Engordany,Atletic Escaldes,MHnvH5pK,WnxS8ZvA,3,1,,,,0
1574614800,Ordino,Carroi,byaNU0dt,Kd6FFBdj,2,2,,,,0
1575198000,Ordino,Inter Escaldes,byaNU0dt,tKbrPWjF,0,5,,,,0
1575205200,Carroi,FC Santa Coloma,Kd6FFBdj,Uik4ihaC,0,3,,,,0
1575212400,Atletic Escaldes,Sant Julia,WnxS8ZvA,McUMVQPk,0,0,,,,0
1575219600,UE Santa Coloma,UE Engordany,2aQZ1RRP,MHnvH5pK,0,1,,,,0
1575802800,FC Santa Coloma,Ordino,Uik4ihaC,byaNU0dt,1,0,,,,0
1575810000,Sant Julia,UE Santa Coloma,McUMVQPk,2aQZ1RRP,3,0,,,,0
1575817200,UE Engordany,Carroi,MHnvH5pK,Kd6FFBdj,3,1,,,,0
1575824400,Inter Escaldes,Atletic Escaldes,tKbrPWjF,WnxS8ZvA,1,2,,,,0
1576407600,UE Santa Coloma,Atletic Escaldes,2aQZ1RRP,WnxS8ZvA,1,1,,,,0
1576414800,Carroi,Sant Julia,Kd6FFBdj,McUMVQPk,0,2,,,,0
1576422000,FC Santa Coloma,Inter Escaldes,Uik4ihaC,tKbrPWjF,1,1,,,,0
1576429200,Ordino,UE Engordany,byaNU0dt,MHnvH5pK,1,2,,,,0
1580641200,UE Engordany,FC Santa Coloma,MHnvH5pK,Uik4ihaC,1,1,,,,0
