timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1299852000,Benfica Luanda,Bravos do Maquis,IytAW6zD,IytAW6zD,2,2,,,,0
1299938400,Soyo,ASA,dSvEVQkJ,dSvEVQkJ,1,1,,,,0
1299938400,Santos,Progresso,8b29icvM,IytAW6zD,1,1,,,,0
1299938400,Sagrada,Primeiro de Maio,x4JaUCjM,EZTh2Nhe,3,0,,,,0
1299938400,Primeiro de Agosto,Interclube,vos6XnL6,Kt2RJAvf,0,0,,,,0
1300024800,Petro Atletico,Cabinda,IytAW6zD,xYYE7n9P,0,2,,,,0
1300024800,C.R.D. Libolo,Caala,IytAW6zD,vos6XnL6,1,0,,,,0
1300024800,Academica,Kabuscorp,jo8E89Fa,IytAW6zD,1,1,,,,0
1300282200,Bravos do Maquis,Primeiro de Agosto,IytAW6zD,vos6XnL6,1,1,,,,0
1300541400,Primeiro de Maio,Benfica Luanda,EZTh2Nhe,IytAW6zD,1,0,,,,0
1300541400,Cabinda,Santos,xYYE7n9P,8b29icvM,0,0,,,,0
1300627800,Kabuscorp,Sagrada,IytAW6zD,x4JaUCjM,1,1,,,,0
1300627800,ASA,C.R.D. Libolo,dSvEVQkJ,IytAW6zD,2,3,,,,0
1300714200,Progresso,Academica,IytAW6zD,jo8E89Fa,2,3,,,,0
1300888800,Interclube,Soyo,Kt2RJAvf,dSvEVQkJ,0,0,,,,0
1301754600,Soyo,Bravos do Maquis,dSvEVQkJ,IytAW6zD,1,0,,,,0
1301754600,Sagrada,Benfica Luanda,x4JaUCjM,IytAW6zD,0,1,,,,0
1301841000,Academica,Cabinda,jo8E89Fa,xYYE7n9P,0,2,,,,0
1301842800,Petro Atletico,ASA,IytAW6zD,dSvEVQkJ,1,0,,,,0
1301842800,Kabuscorp,Progresso,IytAW6zD,IytAW6zD,0,1,,,,0
1302094800,C.R.D. Libolo,Interclube,IytAW6zD,Kt2RJAvf,1,2,,,,0
1302098400,Santos,Caala,8b29icvM,vos6XnL6,1,3,,,,0
1302098400,Primeiro de Agosto,Primeiro de Maio,vos6XnL6,EZTh2Nhe,0,0,,,,0
1302359400,Cabinda,Kabuscorp,xYYE7n9P,IytAW6zD,0,2,,,,0
1302359400,Bravos do Maquis,C.R.D. Libolo,IytAW6zD,IytAW6zD,1,2,,,,0
1302444000,Caala,Academica,vos6XnL6,jo8E89Fa,1,0,,,,0
1302444000,Benfica Luanda,Primeiro de Agosto,IytAW6zD,vos6XnL6,1,1,,,,0
1302445800,Primeiro de Maio,Soyo,EZTh2Nhe,dSvEVQkJ,2,0,,,,0
1302616800,Progresso,Sagrada,IytAW6zD,x4JaUCjM,0,1,,,,0
1302699600,Caala,Petro Atletico,vos6XnL6,IytAW6zD,1,2,,,,0
1302703200,ASA,Santos,dSvEVQkJ,8b29icvM,1,0,,,,0
1302958800,C.R.D. Libolo,Primeiro de Maio,IytAW6zD,EZTh2Nhe,3,1,,,,0
1302960600,Soyo,Benfica Luanda,dSvEVQkJ,IytAW6zD,0,0,,,,0
1302960600,Sagrada,Primeiro de Agosto,x4JaUCjM,vos6XnL6,1,3,,,,0
1302962400,Santos,Interclube,8b29icvM,Kt2RJAvf,1,1,,,,0
1302962400,Progresso,Cabinda,IytAW6zD,xYYE7n9P,1,0,,,,0
1303047000,Academica,ASA,jo8E89Fa,dSvEVQkJ,1,1,,,,0
1303048800,Petro Atletico,Bravos do Maquis,IytAW6zD,IytAW6zD,7,0,,,,0
1303048800,Kabuscorp,Caala,IytAW6zD,vos6XnL6,3,2,,,,0
1303480800,Benfica Luanda,C.R.D. Libolo,IytAW6zD,IytAW6zD,0,1,,,,0
1303567200,Primeiro de Maio,Petro Atletico,EZTh2Nhe,IytAW6zD,3,0,,,,0
1303567200,Cabinda,Sagrada,xYYE7n9P,x4JaUCjM,1,1,,,,0
1303567200,Bravos do Maquis,Santos,IytAW6zD,8b29icvM,2,1,,,,0
1303570800,ASA,Kabuscorp,dSvEVQkJ,IytAW6zD,1,2,,,,0
1303653600,Caala,Progresso,vos6XnL6,IytAW6zD,2,1,,,,0
1303916400,Interclube,Academica,Kt2RJAvf,jo8E89Fa,0,0,,,,0
1304085600,Petro Atletico,Benfica Luanda,IytAW6zD,IytAW6zD,2,0,,,,0
1304172000,C.R.D. Libolo,Primeiro de Agosto,IytAW6zD,vos6XnL6,0,0,,,,0
1304173800,Sagrada,Soyo,x4JaUCjM,dSvEVQkJ,2,0,,,,0
1304173800,Cabinda,Caala,xYYE7n9P,vos6XnL6,2,1,,,,0
1304175600,Santos,Primeiro de Maio,8b29icvM,EZTh2Nhe,1,1,,,,0
