timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1395190800,Banfield,Sol de America,1,0,,,,0
1395259200,Temperley,Patronato,1,1,Pen,2,1,0
1395864000,Nueva Chicago,Defensores Belgrano VR,2,1,,,,0
1395878400,Defensa y Justicia,Andino,3,0,,,,0
1396983600,Olimpo Bahia Blanca,Atletico Atlanta,1,1,Pen,1,2,0
1397001600,Belgrano,Instituto,0,0,Pen,0,1,0
1397079000,Douglas Haig,All Boys,1,2,,,,1
1398189600,Velez Sarsfield,La Emilia,3,0,,,,0
1398189600,Sarmiento Junin,Dep. Merlo,1,2,,,,0
1398294600,Argentinos Jrs,San Martin T.,3,0,,,,0
1398297600,Tigre,Gimnasia Jujuy,1,0,,,,0
1398557400,Independiente,Coronel Moldes,1,1,Pen,2,1,0
1398813000,Quilmes,Sportivo Belgrano,2,0,,,,0
1398816000,Arsenal Sarandi,Guarani Antonio Franco,1,2,,,,0
1399422600,Gimnasia L.P.,AH Zapla,2,0,,,,0
1400007600,Godoy Cruz,Deportivo Espanol,0,1,,,,0
1400011200,Rosario Central,Dep. Riestra,3,1,,,,0
1400526000,Newells Old Boys,Chacarita Juniors,0,2,,,,0
1400608800,Union de Santa Fe,Deportivo Armenio,2,1,,,,0
1400608800,Ferro,Boca Unidos,1,1,Pen,2,1,0
1400630400,San Lorenzo,Viale,3,0,,,,0
1401224400,Crucero del Norte,Los Andes,0,2,,,,0
1401224400,Atl. Rafaela,Flandria,1,1,Pen,2,1,0
1401228000,Lanus,Atl. Tucuman,2,0,,,,0
1401231600,Boca Juniors,Huracan Las Heras,2,0,,,,0
1401300000,Colon Santa Fe,Acassuso,0,0,Pen,0,1,0
1401814800,Aldosivi,Comunicaciones,0,0,Pen,0,1,0
1401832800,Racing Club,Independiente de Neuquen,2,0,,,,0
1401840900,River Plate,CA Liniers,2,0,,,,0
1401922800,Estudiantes L.P.,Santamarina,2,1,,,,0
1402531200,San Martin S.J.,CA Estudiantes,1,1,Pen,2,1,0
1404256200,Huracan,Ind. Rivadavia,0,1,,,,0
1404437400,River Plate,Rosario Central,0,2,,,,0
1405461600,Estudiantes L.P.,San Martin S.J.,1,1,Pen,2,1,0
1405469400,Union de Santa Fe,Gimnasia L.P.,0,0,Pen,0,1,0
1405965600,Chacarita Juniors,All Boys,2,1,,,,0
1406150100,Argentinos Jrs,Guarani Antonio Franco,0,1,,,,0
1406673000,Boca Juniors,Banfield,3,0,,,,0
1406752200,Quilmes,Ind. Rivadavia,3,0,,,,0
1407261600,Ferro,Los Andes,3,3,Pen,4,3,0
1407276900,Instituto,San Lorenzo,1,2,,,,0
1407355200,Lanus,Nueva Chicago,3,0,,,,0
1407364200,Temperley,Defensa y Justicia,1,1,Pen,1,2,0
1407445200,Independiente,Deportivo Espanol,1,0,,,,0
1407456600,Racing Club,Tigre,2,1,,,,0
1407702600,Atl. Rafaela,Dep. Merlo,5,1,,,,0
1407866400,Atletico Atlanta,Comunicaciones,1,1,Pen,2,1,0
1407875400,Velez Sarsfield,Acassuso,3,0,,,,0
1408483800,Independiente,Lanus,0,2,,,,1
1408492800,Boca Juniors,Guarani Antonio Franco,4,0,,,,1
1408557600,Defensa y Justicia,Chacarita Juniors,1,0,,,,1
1409088600,San Lorenzo,Atl. Rafaela,1,0,,,,1
1409097600,Racing Club,Atletico Atlanta,1,1,Pen,2,1,1
1409176800,Rosario Central,Ferro,0,0,Pen,1,0,1
1409686200,Gimnasia L.P.,Velez Sarsfield,0,1,,,,1
1409781600,Quilmes,Estudiantes L.P.,1,1,Pen,1,2,1
1410300000,Lanus,Velez Sarsfield,1,1,Pen,2,1,1
1410995400,Racing Club,San Lorenzo,2,1,,,,1
1411511400,Rosario Central,Estudiantes L.P.,2,1,,,,1
1411518600,Defensa y Justicia,Boca Juniors,1,2,,,,1
1414101600,Lanus,Boca Juniors,0,2,,,,1
1414110600,Rosario Central,Racing Club,1,0,,,,1
1415146200,Rosario Central,Boca Juniors,0,2,,,,1
