timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1312582200,Banfield,Atl. Rafaela,zPA7Mpsn,jsfuZyMq,0,2,,,,0
1312589700,Union de Santa Fe,Argentinos Jrs,OS9FbeGg,ALgHCh57,1,1,,,,0
1312661700,All Boys,Belgrano,tj3NKjPm,jXvNrLYt,1,1,,,,0
1312669200,Arsenal Sarandi,Colon Santa Fe,v5Re95K4,v7vJFvZo,1,2,,,,0
1312676100,Godoy Cruz,Velez Sarsfield,IJKf4CSg,YF2zL4v9,1,1,,,,0
1312736400,Newells Old Boys,Estudiantes L.P.,vLBOqDG6,EJLwis4r,0,0,,,,0
1312744500,San Lorenzo,Lanus,ABQ0Crsh,xQnxBzcF,0,1,,,,0
1312752300,Olimpo Bahia Blanca,Boca Juniors,QcmznTSR,tnwDCzLD,0,0,,,,0
1312759200,Tigre,Racing Club,ENHpchZ2,OCiVKiPK,1,1,,,,0
1313431200,Atl. Rafaela,Arsenal Sarandi,jsfuZyMq,v5Re95K4,1,3,,,,0
1313438700,Velez Sarsfield,Banfield,YF2zL4v9,zPA7Mpsn,3,0,,,,0
1313446200,Estudiantes L.P.,San Lorenzo,EJLwis4r,ABQ0Crsh,0,2,,,,0
1313453700,Boca Juniors,Union de Santa Fe,tnwDCzLD,OS9FbeGg,4,0,,,,0
1313517600,San Martin S.J.,Tigre,Ol3GCYT2,ENHpchZ2,2,1,,,,0
1313525100,Lanus,Independiente,xQnxBzcF,ALgHCh57,1,0,,,,0
1313540100,Argentinos Jrs,Newells Old Boys,ALgHCh57,vLBOqDG6,1,1,,,,0
1313611500,Colon Santa Fe,All Boys,v7vJFvZo,tj3NKjPm,1,1,,,,0
1313619000,Belgrano,Olimpo Bahia Blanca,jXvNrLYt,QcmznTSR,1,1,,,,0
1313626500,Racing Club,Godoy Cruz,OCiVKiPK,IJKf4CSg,3,0,,,,0
1313799300,Arsenal Sarandi,Velez Sarsfield,v5Re95K4,YF2zL4v9,0,1,,,,0
1313863200,San Martin S.J.,Lanus,Ol3GCYT2,xQnxBzcF,0,0,,,,0
1313870700,San Lorenzo,Argentinos Jrs,ABQ0Crsh,ALgHCh57,3,1,,,,0
1313885700,Independiente,Estudiantes L.P.,ALgHCh57,EJLwis4r,1,0,,,,0
1313946000,All Boys,Atl. Rafaela,tj3NKjPm,jsfuZyMq,1,2,,,,0
1313953500,Tigre,Godoy Cruz,ENHpchZ2,IJKf4CSg,2,1,,,,0
1313961000,Newells Old Boys,Boca Juniors,vLBOqDG6,tnwDCzLD,0,1,,,,0
1313968500,Banfield,Racing Club,zPA7Mpsn,OCiVKiPK,0,1,,,,0
1314050400,Olimpo Bahia Blanca,Colon Santa Fe,QcmznTSR,v7vJFvZo,0,1,,,,0
1314057900,Union de Santa Fe,Belgrano,OS9FbeGg,jXvNrLYt,0,0,,,,0
1314388800,Godoy Cruz,Banfield,IJKf4CSg,zPA7Mpsn,1,0,,,,0
1314396600,Estudiantes L.P.,San Martin S.J.,EJLwis4r,Ol3GCYT2,2,2,,,,0
1314404100,Racing Club,Arsenal Sarandi,OCiVKiPK,v5Re95K4,0,0,,,,0
1314468300,Lanus,Tigre,xQnxBzcF,ENHpchZ2,0,0,,,,0
1314475800,Atl. Rafaela,Olimpo Bahia Blanca,jsfuZyMq,QcmznTSR,3,1,,,,0
1314490500,Velez Sarsfield,All Boys,YF2zL4v9,tj3NKjPm,0,1,,,,0
1314550800,Colon Santa Fe,Union de Santa Fe,v7vJFvZo,OS9FbeGg,0,2,,,,0
1314558000,Belgrano,Newells Old Boys,jXvNrLYt,vLBOqDG6,2,3,,,,0
1314565800,Boca Juniors,San Lorenzo,tnwDCzLD,ABQ0Crsh,1,1,,,,0
1314573300,Argentinos Jrs,Independiente,ALgHCh57,ALgHCh57,0,0,,,,0
1314990000,Newells Old Boys,Colon Santa Fe,vLBOqDG6,v7vJFvZo,0,0,,,,0
1314997800,Tigre,Banfield,ENHpchZ2,zPA7Mpsn,1,0,,,,0
1315008600,San Lorenzo,Belgrano,ABQ0Crsh,jXvNrLYt,0,1,,,,0
1315073100,Arsenal Sarandi,Godoy Cruz,v5Re95K4,IJKf4CSg,1,2,,,,0
1315088100,All Boys,Racing Club,tj3NKjPm,OCiVKiPK,0,0,,,,0
1315095600,Lanus,Estudiantes L.P.,xQnxBzcF,EJLwis4r,2,1,,,,0
1315155600,San Martin S.J.,Argentinos Jrs,Ol3GCYT2,ALgHCh57,0,0,,,,0
1315162800,Union de Santa Fe,Atl. Rafaela,OS9FbeGg,jsfuZyMq,0,1,,,,0
1315170600,Independiente,Boca Juniors,ALgHCh57,tnwDCzLD,0,1,,,,0
1315178100,Olimpo Bahia Blanca,Velez Sarsfield,QcmznTSR,YF2zL4v9,2,1,,,,0
1315508400,Independiente,San Martin S.J.,ALgHCh57,Ol3GCYT2,2,1,,,,0
1315605600,Atl. Rafaela,Newells Old Boys,jsfuZyMq,vLBOqDG6,0,0,,,,0
1315613400,Colon Santa Fe,San Lorenzo,v7vJFvZo,ABQ0Crsh,3,1,,,,0
1315677900,Godoy Cruz,All Boys,IJKf4CSg,tj3NKjPm,6,1,,,,0
