timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1344031200,Arsenal Sarandi,Union de Santa Fe,1,0,,,,0
1344039000,Velez Sarsfield,Argentinos Jrs,3,0,,,,0
1344100200,Racing Club,Atl. Rafaela,1,1,,,,0
1344107400,Colon Santa Fe,Lanus,1,0,,,,0
1344114900,Quilmes,Boca Juniors,3,0,,,,0
1344122400,Newells Old Boys,Independiente,0,0,,,,0
1344190200,Godoy Cruz,All Boys,1,1,,,,0
1344197400,San Lorenzo,San Martin S.J.,2,1,,,,0
1344204900,River Plate,Belgrano,1,2,,,,0
1344294600,Tigre,Estudiantes L.P.,1,2,,,,0
1344636600,San Martin S.J.,Colon Santa Fe,0,1,,,,0
1344644100,Lanus,Newells Old Boys,0,1,,,,0
1344704400,Estudiantes L.P.,River Plate,0,2,,,,0
1344712200,Belgrano,San Lorenzo,0,0,,,,0
1344712200,All Boys,Quilmes,1,1,,,,0
1344793800,Argentinos Jrs,Racing Club,0,2,,,,0
1344802200,Union de Santa Fe,Godoy Cruz,0,1,,,,0
1344812400,Boca Juniors,Tigre,2,0,,,,0
1344886200,Atl. Rafaela,Arsenal Sarandi,0,0,,,,0
1344898800,Independiente,Velez Sarsfield,0,0,,,,0
1345317000,Boca Juniors,All Boys,3,1,,,,0
1345324200,Colon Santa Fe,Belgrano,2,2,,,,0
1345332000,San Lorenzo,Estudiantes L.P.,0,1,,,,0
1345384800,Racing Club,Independiente,2,0,,,,0
1345399200,Godoy Cruz,Atl. Rafaela,2,0,,,,0
1345407300,Velez Sarsfield,Lanus,0,2,,,,0
1345414500,Tigre,River Plate,2,3,,,,0
1345485600,Quilmes,Union de Santa Fe,2,1,,,,0
1345493400,Arsenal Sarandi,Argentinos Jrs,2,2,,,,0
1345500900,Newells Old Boys,San Martin S.J.,2,0,,,,0
1345921800,Union de Santa Fe,Boca Juniors,1,2,,,,0
1345921800,All Boys,Tigre,2,2,,,,0
1345929300,Argentinos Jrs,Godoy Cruz,2,1,,,,0
1345936800,Independiente,Arsenal Sarandi,0,2,,,,0
1346004000,Atl. Rafaela,Quilmes,1,1,,,,0
1346004600,Belgrano,Newells Old Boys,0,0,,,,0
1346011800,Lanus,Racing Club,1,1,,,,0
1346012100,San Martin S.J.,Velez Sarsfield,0,3,,,,0
1346019300,River Plate,San Lorenzo,0,0,,,,0
1346105700,Estudiantes L.P.,Colon Santa Fe,1,2,,,,0
1346455800,All Boys,Union de Santa Fe,3,1,,,,0
1346526900,Newells Old Boys,Estudiantes L.P.,1,0,,,,0
1346536800,Arsenal Sarandi,Lanus,1,0,,,,0
1346541600,Velez Sarsfield,Belgrano,2,1,,,,0
1346605800,Tigre,San Lorenzo,1,1,,,,0
1346613300,Boca Juniors,Atl. Rafaela,2,1,,,,0
1346620500,Godoy Cruz,Independiente,2,1,,,,0
1346627700,Colon Santa Fe,River Plate,1,1,,,,0
1346703000,Quilmes,Argentinos Jrs,0,1,,,,0
1346715000,Racing Club,San Martin S.J.,3,1,,,,0
1347123600,San Martin S.J.,Arsenal Sarandi,4,0,,,,0
1347131400,Atl. Rafaela,All Boys,2,1,,,,0
1347138900,Estudiantes L.P.,Velez Sarsfield,0,0,,,,0
1347146400,San Lorenzo,Colon Santa Fe,2,1,,,,0
1347217800,Argentinos Jrs,Boca Juniors,1,1,,,,0
1347224400,Belgrano,Racing Club,1,0,,,,0
1347225300,Independiente,Quilmes,1,1,,,,0
1347232500,River Plate,Newells Old Boys,3,3,,,,0
1347307800,Union de Santa Fe,Tigre,1,1,,,,0
1347315300,Lanus,Godoy Cruz,2,0,,,,0
1347729000,Tigre,Colon Santa Fe,2,2,,,,0
1347736200,All Boys,Argentinos Jrs,0,1,,,,0
1347743400,Godoy Cruz,San Martin S.J.,1,0,,,,0
1347751200,Racing Club,Estudiantes L.P.,0,1,,,,0
1347823200,Boca Juniors,Independiente,2,1,,,,0
1347830100,Newells Old Boys,San Lorenzo,1,0,,,,0
1347830400,Arsenal Sarandi,Belgrano,0,2,,,,0
1347838200,Velez Sarsfield,River Plate,2,0,,,,0
1347915900,Union de Santa Fe,Atl. Rafaela,0,0,,,,0
1347923400,Quilmes,Lanus,0,0,,,,0
1348265400,Belgrano,Godoy Cruz,1,0,,,,0
1348272900,Atl. Rafaela,Tigre,3,0,,,,0
1348333200,Argentinos Jrs,Union de Santa Fe,3,3,,,,0
1348341000,San Lorenzo,Velez Sarsfield,1,2,,,,0
1348356000,Independiente,All Boys,1,1,,,,0
1348423800,River Plate,Racing Club,0,1,,,,0
1348431000,San Martin S.J.,Quilmes,4,0,,,,0
1348431000,Colon Santa Fe,Newells Old Boys,1,2,,,,0
1348438500,Lanus,Boca Juniors,2,0,,,,0
1348517400,Estudiantes L.P.,Arsenal Sarandi,2,1,,,,0
1348870800,Quilmes,Belgrano,1,1,,,,0
1348938000,All Boys,Lanus,2,1,,,,0
1348945800,Godoy Cruz,Estudiantes L.P.,1,0,,,,0
1348951800,Atl. Rafaela,Argentinos Jrs,5,3,,,,0
1348960800,Racing Club,San Lorenzo,4,0,,,,0
1349028000,Tigre,Newells Old Boys,0,0,,,,0
1349028000,Arsenal Sarandi,River Plate,0,4,,,,0
1349036100,Velez Sarsfield,Colon Santa Fe,2,4,,,,0
1349036100,Union de Santa Fe,Independiente,1,2,,,,0
1349044200,Boca Juniors,San Martin S.J.,1,1,,,,0
1349475000,Lanus,Union de Santa Fe,2,0,,,,0
1349482500,Argentinos Jrs,Tigre,0,0,,,,0
1349542800,San Martin S.J.,All Boys,2,1,,,,0
1349550900,San Lorenzo,Arsenal Sarandi,0,0,,,,0
1349557200,Estudiantes L.P.,Quilmes,2,1,,,,0
1349566500,Colon Santa Fe,Racing Club,0,1,,,,0
1349632800,Belgrano,Boca Juniors,3,1,,,,0
1349640900,Newells Old Boys,Velez Sarsfield,1,0,,,,0
1349640900,Independiente,Atl. Rafaela,2,0,,,,0
1349649000,River Plate,Godoy Cruz,5,0,,,,0
1350684600,Arsenal Sarandi,Colon Santa Fe,2,0,,,,0
1350692100,Argentinos Jrs,Independiente,0,1,,,,0
1350752400,All Boys,Belgrano,1,0,,,,0
1350760200,Union de Santa Fe,San Martin S.J.,1,2,,,,0
1350767700,Tigre,Velez Sarsfield,0,1,,,,0
1350767700,Godoy Cruz,San Lorenzo,0,0,,,,0
1350775200,Racing Club,Newells Old Boys,0,0,,,,0
1350842400,Quilmes,River Plate,1,0,,,,0
1350850500,Atl. Rafaela,Lanus,1,2,,,,0
1350858600,Boca Juniors,Estudiantes L.P.,0,0,,,,0
1351357200,San Lorenzo,Quilmes,2,2,,,,0
1351365000,San Martin S.J.,Atl. Rafaela,1,2,,,,0
1351372500,Newells Old Boys,Arsenal Sarandi,2,1,,,,0
1351372500,Estudiantes L.P.,All Boys,0,1,,,,0
1351380000,Velez Sarsfield,Racing Club,1,0,,,,0
1351449000,River Plate,Boca Juniors,2,2,,,,0
1351456200,Belgrano,Union de Santa Fe,1,0,,,,0
1351463400,Lanus,Argentinos Jrs,1,0,,,,0
