timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1600432200,West Armenia,Syunik,3,2,,,,0
1600432200,Van,Noravank,0,0,,,,0
1600443000,Urartu,Pyunik Yerevan,2,1,,,,0
1600518600,Shirak Gyumri,Alashkert,1,2,,,,0
1600518600,BKMA,Lori,0,0,,,,0
1600529400,Ararat Yerevan,Sevan,3,0,,,,0
1604746800,Alashkert,Shirak Gyumri,1,0,,,,0
1604748600,Sevan,Ararat Yerevan,1,3,,,,0
1604917800,Noravank,Van,0,2,,,,0
1606041000,Lori,BKMA,2,2,,,,0
1614247200,Pyunik Yerevan,Urartu,0,0,,,,0
1615456800,West Armenia,Ararat Yerevan,2,0,,,,0
1615464000,Alashkert,BKMA,4,0,,,,0
1615543200,Van,Ararat-Armenia,0,1,,,,0
1615554000,Urartu,Noah,0,2,,,,0
1617447600,Noah,Urartu,2,2,,,,0
1617458400,Ararat Yerevan,West Armenia,5,1,,,,0
1617534000,Ararat-Armenia,Van,0,1,Pen,1,1,0
1617620400,BKMA,Alashkert,1,2,,,,0
1618916400,Alashkert,Noah,1,1,,,,0
1618929000,Ararat Yerevan,Ararat-Armenia,2,0,,,,0
1619780400,Noah,Alashkert,1,3,,,,0
1619866800,Ararat-Armenia,Ararat Yerevan,2,1,,,,0
1621090800,Ararat Yerevan,Alashkert,3,1,,,,0
