timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1617808800,Al-Gharafa (Qat),OKMK (Uzb),hA8wSyki,EPflwKJK,0,0,AET,0,1,0
1617810000,Al Wahda (Uae),Al Zawraa (Irq),YXHWp1ah,2g5GC7oP,2,1,,,,0
1617817500,Al Wehda (Sau),Al Quwa Al Jawiya (Irq),h0wZ9zwk,46X3z1y3,1,1,Pen,1,2,0
1618069800,Foolad (Irn),Al Ain (Uae),0YznNYwc,OKa9P8WR,4,0,,,,0
1618410600,Persepolis (Irn),Al Wahda (Uae),Oli0orYQ,YXHWp1ah,1,0,,,,0
1618412400,Pakhtakor (Uzb),Tractor (Irn),6qXe6T4n,YLLRGqLF,3,3,,,,0
1618419600,Goa (Ind),Al Rayyan (Qat),GdaqjtST,2Rnzhxb3,0,0,,,,0
1618423200,Al-Sadd (Qat),Foolad (Irn),EsInupY1,0YznNYwc,1,1,,,,0
1618423200,Al Wehdat (Jor),Al Nassr (Sau),hWTOO0Lo,dr3R7wGl,0,0,,,,0
1618423200,Al Sharjah (Uae),Al Quwa Al Jawiya (Irq),2w51PaQ7,46X3z1y3,1,0,,,,0
1618508700,Al-Duhail (Qat),Al Shorta (Irq),CniMfo1o,WnGqjgF8,2,0,,,,0
1618513200,Istiqlol Dushanbe (Taj),Shabab Al-Ahli Dubai (Uae),ATHMZDbf,8zUcYY2j,0,0,,,,0
1618513200,Al Hilal (Sau),OKMK (Uzb),joUWHZ1t,EPflwKJK,2,2,,,,0
1618517700,Esteghlal F.C. (Irn),Al Ahli SC (Sau),Sdd6AGnq,S6sY6w76,5,2,,,,0
1618669800,Al Wahda (Uae),Goa (Ind),YXHWp1ah,GdaqjtST,0,0,,,,0
1618671600,Al Quwa Al Jawiya (Irq),Pakhtakor (Uzb),46X3z1y3,6qXe6T4n,0,0,,,,0
1618678800,Al Rayyan (Qat),Persepolis (Irn),2Rnzhxb3,Oli0orYQ,1,3,,,,0
1618682400,Tractor (Irn),Al Sharjah (Uae),YLLRGqLF,2w51PaQ7,0,0,,,,0
1618682400,Foolad (Irn),Al Wehdat (Jor),0YznNYwc,hWTOO0Lo,1,0,,,,0
1618682400,Al Nassr (Sau),Al-Sadd (Qat),dr3R7wGl,EsInupY1,3,1,,,,0
1618767900,Al Ahli SC (Sau),Al-Duhail (Qat),S6sY6w76,CniMfo1o,1,1,,,,0
1618772400,Shabab Al-Ahli Dubai (Uae),Al Hilal (Sau),8zUcYY2j,joUWHZ1t,0,2,,,,0
1618772400,OKMK (Uzb),Istiqlol Dushanbe (Taj),EPflwKJK,ATHMZDbf,2,3,,,,0
1618776900,Al Shorta (Irq),Esteghlal F.C. (Irn),WnGqjgF8,Sdd6AGnq,0,3,,,,0
1618929000,Al Wahda (Uae),Al Rayyan (Qat),YXHWp1ah,2Rnzhxb3,3,2,,,,0
1618930800,Al Quwa Al Jawiya (Irq),Tractor (Irn),46X3z1y3,YLLRGqLF,0,0,,,,0
1618938000,Persepolis (Irn),Goa (Ind),Oli0orYQ,GdaqjtST,2,1,,,,0
1618941600,Foolad (Irn),Al Nassr (Sau),0YznNYwc,dr3R7wGl,1,1,,,,0
1618941600,Al-Sadd (Qat),Al Wehdat (Jor),EsInupY1,hWTOO0Lo,3,1,,,,0
1618941600,Al Sharjah (Uae),Pakhtakor (Uzb),2w51PaQ7,6qXe6T4n,4,1,,,,0
1619027100,Al-Duhail (Qat),Esteghlal F.C. (Irn),CniMfo1o,Sdd6AGnq,4,3,,,,0
1619031600,OKMK (Uzb),Shabab Al-Ahli Dubai (Uae),EPflwKJK,8zUcYY2j,2,1,,,,0
1619031600,Al Hilal (Sau),Istiqlol Dushanbe (Taj),joUWHZ1t,ATHMZDbf,3,1,,,,0
1619036100,Al Shorta (Irq),Al Ahli SC (Sau),WnGqjgF8,S6sY6w76,0,3,,,,0
1619188200,Al Rayyan (Qat),Al Wahda (Uae),2Rnzhxb3,YXHWp1ah,0,1,,,,0
1619190000,Tractor (Irn),Al Quwa Al Jawiya (Irq),YLLRGqLF,46X3z1y3,1,0,,,,0
1619197200,Goa (Ind),Persepolis (Irn),GdaqjtST,Oli0orYQ,0,4,,,,0
1619200800,Pakhtakor (Uzb),Al Sharjah (Uae),6qXe6T4n,2w51PaQ7,1,1,,,,0
1619200800,Al Wehdat (Jor),Al-Sadd (Qat),hWTOO0Lo,EsInupY1,0,2,,,,1
1619200800,Al Nassr (Sau),Foolad (Irn),dr3R7wGl,0YznNYwc,2,0,,,,0
1619286300,Al Ahli SC (Sau),Al Shorta (Irq),S6sY6w76,WnGqjgF8,2,1,,,,0
1619290800,Shabab Al-Ahli Dubai (Uae),OKMK (Uzb),8zUcYY2j,EPflwKJK,3,1,,,,0
1619290800,Istiqlol Dushanbe (Taj),Al Hilal (Sau),ATHMZDbf,joUWHZ1t,4,1,,,,0
1619295300,Esteghlal F.C. (Irn),Al-Duhail (Qat),Sdd6AGnq,CniMfo1o,2,2,,,,0
1619447400,Al Wahda (Uae),Persepolis (Irn),YXHWp1ah,Oli0orYQ,1,0,,,,0
1619449200,Tractor (Irn),Pakhtakor (Uzb),YLLRGqLF,6qXe6T4n,0,0,,,,0
1619456400,Al Rayyan (Qat),Goa (Ind),2Rnzhxb3,GdaqjtST,1,1,,,,0
1619460000,Foolad (Irn),Al-Sadd (Qat),0YznNYwc,EsInupY1,0,1,,,,0
1619460000,Al Quwa Al Jawiya (Irq),Al Sharjah (Uae),46X3z1y3,2w51PaQ7,2,3,,,,0
1619460000,Al Nassr (Sau),Al Wehdat (Jor),dr3R7wGl,hWTOO0Lo,1,2,,,,0
1619545500,Al Shorta (Irq),Al-Duhail (Qat),WnGqjgF8,CniMfo1o,2,1,,,,0
1619550000,Shabab Al-Ahli Dubai (Uae),Istiqlol Dushanbe (Taj),8zUcYY2j,ATHMZDbf,0,1,,,,0
1619550000,OKMK (Uzb),Al Hilal (Sau),EPflwKJK,joUWHZ1t,0,3,,,,0
1619554500,Al Ahli SC (Sau),Esteghlal F.C. (Irn),S6sY6w76,Sdd6AGnq,0,0,,,,0
1619706600,Persepolis (Irn),Al Rayyan (Qat),Oli0orYQ,2Rnzhxb3,4,2,,,,0
1619708400,Pakhtakor (Uzb),Al Quwa Al Jawiya (Irq),6qXe6T4n,46X3z1y3,1,0,,,,0
1619715600,Goa (Ind),Al Wahda (Uae),GdaqjtST,YXHWp1ah,0,2,,,,0
1619719200,Al-Sadd (Qat),Al Nassr (Sau),EsInupY1,dr3R7wGl,1,2,,,,0
1619719200,Al Wehdat (Jor),Foolad (Irn),hWTOO0Lo,0YznNYwc,1,0,,,,0
1619719200,Al Sharjah (Uae),Tractor (Irn),2w51PaQ7,YLLRGqLF,0,2,,,,0
1619804700,Esteghlal F.C. (Irn),Al Shorta (Irq),Sdd6AGnq,WnGqjgF8,1,0,,,,0
1619809200,Istiqlol Dushanbe (Taj),OKMK (Uzb),ATHMZDbf,EPflwKJK,1,2,,,,0
1619809200,Al Hilal (Sau),Shabab Al-Ahli Dubai (Uae),joUWHZ1t,8zUcYY2j,0,2,,,,0
1619813700,Al-Duhail (Qat),Al Ahli SC (Sau),CniMfo1o,S6sY6w76,1,1,,,,0
1624356000,Pohang (Kor),Ratchaburi (Tha),lG6iYHm8,EqcBTBE3,2,0,,,,0
1624370400,Johor DT (Mys),Nagoya Grampus (Jpn),d29rUy0U,n9XchkvQ,0,1,,,,0
1624456800,Shanghai Port (Chn),Kaya (Phl),4Iubiv1h,WKgeQBsR,0,1,,,,1
1624528800,Guangzhou FC (Chn),Cerezo Osaka (Jpn),fgNUPaDK,8l3GGez7,0,2,,,,0
1624543200,Kitchee (Hkg),Port MTI FC (Tha),YBnXkHJq,b379xgI8,2,0,,,,0
1624615200,Nagoya Grampus (Jpn),Pohang (Kor),n9XchkvQ,lG6iYHm8,3,0,,,,0
1624629600,Tampines (Sgp),Gamba Osaka (Jpn),d0hl69s2,pCXiuGSm,0,2,,,,0
1624629600,Ratchaburi (Tha),Johor DT (Mys),EqcBTBE3,d29rUy0U,0,1,,,,0
1624636800,Jeonbuk (Kor),Chiangrai Utd (Tha),fm8Q2TnU,8Wk0ypia,2,1,,,,0
1624701600,Pathum United (Tha),Kaya (Phl),44nCYsyI,WKgeQBsR,4,1,,,,0
1624716000,Viettel (Vie),Ulsan HD (Kor),vcLqLXYS,0hHJPkl1,0,1,,,,0
1624716000,United City (Phl),Beijing Guoan (Chn),hjIcXIDC,fgNUPaDK,1,1,,,,0
1624723200,Kawasaki Frontale (Jpn),Daegu (Kor),j758IH5f,AkeugwZe,3,2,,,,0
1624788000,Port MTI FC (Tha),Guangzhou FC (Chn),b379xgI8,fgNUPaDK,3,0,,,,0
1624802400,Cerezo Osaka (Jpn),Kitchee (Hkg),8l3GGez7,YBnXkHJq,2,1,,,,0
1624874400,Ratchaburi (Tha),Nagoya Grampus (Jpn),EqcBTBE3,n9XchkvQ,0,4,,,,0
1624888800,Pohang (Kor),Johor DT (Mys),lG6iYHm8,d29rUy0U,4,1,,,,0
1624888800,Chiangrai Utd (Tha),Tampines (Sgp),8Wk0ypia,d0hl69s2,1,0,,,,0
1624896000,Gamba Osaka (Jpn),Jeonbuk (Kor),pCXiuGSm,fm8Q2TnU,2,2,,,,0
1624960800,Ulsan HD (Kor),Pathum United (Tha),0hHJPkl1,44nCYsyI,2,0,,,,0
1624975200,Kaya (Phl),Viettel (Vie),WKgeQBsR,vcLqLXYS,0,5,,,,0
1624975200,Daegu (Kor),United City (Phl),AkeugwZe,hjIcXIDC,7,0,,,,0
1624982400,Beijing Guoan (Chn),Kawasaki Frontale (Jpn),fgNUPaDK,j758IH5f,0,7,,,,0
1625047200,Cerezo Osaka (Jpn),Port MTI FC (Tha),8l3GGez7,b379xgI8,1,1,,,,0
1625061600,Guangzhou FC (Chn),Kitchee (Hkg),fgNUPaDK,YBnXkHJq,0,1,,,,0
1625133600,Johor DT (Mys),Pohang (Kor),d29rUy0U,lG6iYHm8,0,2,,,,0
1625148000,Nagoya Grampus (Jpn),Ratchaburi (Tha),n9XchkvQ,EqcBTBE3,3,0,,,,0
1625148000,Jeonbuk (Kor),Tampines (Sgp),fm8Q2TnU,d0hl69s2,9,0,,,,0
1625155200,Chiangrai Utd (Tha),Gamba Osaka (Jpn),8Wk0ypia,pCXiuGSm,1,1,,,,0
1625220000,Kaya (Phl),Ulsan HD (Kor),WKgeQBsR,0hHJPkl1,0,3,,,,0
1625234400,Pathum United (Tha),Viettel (Vie),44nCYsyI,vcLqLXYS,2,0,,,,0
1625234400,Kawasaki Frontale (Jpn),United City (Phl),j758IH5f,hjIcXIDC,8,0,,,,0
1625234400,Daegu (Kor),Beijing Guoan (Chn),AkeugwZe,fgNUPaDK,5,0,,,,0
1625306400,Port MTI FC (Tha),Cerezo Osaka (Jpn),b379xgI8,8l3GGez7,0,3,,,,0
1625320800,Kitchee (Hkg),Guangzhou FC (Chn),YBnXkHJq,fgNUPaDK,1,0,,,,0
1625392800,Ratchaburi (Tha),Pohang (Kor),EqcBTBE3,lG6iYHm8,0,0,,,,0
1625407200,Tampines (Sgp),Jeonbuk (Kor),d0hl69s2,fm8Q2TnU,0,4,,,,0
1625407200,Nagoya Grampus (Jpn),Johor DT (Mys),n9XchkvQ,d29rUy0U,2,1,,,,0
1625414400,Gamba Osaka (Jpn),Chiangrai Utd (Tha),pCXiuGSm,8Wk0ypia,1,1,,,,0
1625479200,Ulsan HD (Kor),Kaya (Phl),0hHJPkl1,WKgeQBsR,2,1,,,,0
