timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1475830200,Brisbane Roar,Melbourne Victory,OlyE5V4J,jm1g2SD5,1,1,,,,0
1475908500,Wellington Phoenix,Melbourne City,rL2rkgzd,rL2rkgzd,0,1,,,,0
1475916600,WS Wanderers,Sydney FC,ELjhZ8l9,WU4sOyqK,0,4,,,,0
1475924400,Perth Glory,Central Coast Mariners,8p3P7cak,WloyQSJM,3,3,,,,0
1475992800,Newcastle Jets,Adelaide United,AowXufJO,j7XSkexg,1,1,,,,0
1476435000,Adelaide United,WS Wanderers,j7XSkexg,ELjhZ8l9,1,2,,,,0
1476513300,Sydney FC,Central Coast Mariners,WU4sOyqK,WloyQSJM,4,0,,,,0
1476521400,Melbourne Victory,Melbourne City,jm1g2SD5,rL2rkgzd,1,4,,,,0
1476597600,Newcastle Jets,Brisbane Roar,AowXufJO,OlyE5V4J,4,0,,,,0
1476604800,Perth Glory,Wellington Phoenix,8p3P7cak,rL2rkgzd,2,0,,,,0
1477039800,Melbourne City,Perth Glory,rL2rkgzd,8p3P7cak,2,3,,,,0
1477118100,Central Coast Mariners,Brisbane Roar,WloyQSJM,OlyE5V4J,0,1,,,,0
1477126200,Adelaide United,Melbourne Victory,j7XSkexg,jm1g2SD5,1,2,,,,0
1477202400,Wellington Phoenix,Sydney FC,rL2rkgzd,WU4sOyqK,0,1,,,,0
1477209600,WS Wanderers,Newcastle Jets,ELjhZ8l9,AowXufJO,2,2,,,,0
1477644600,Melbourne City,Adelaide United,rL2rkgzd,j7XSkexg,2,1,,,,0
1477722900,Newcastle Jets,Sydney FC,AowXufJO,WU4sOyqK,0,2,,,,0
1477731000,WS Wanderers,Central Coast Mariners,ELjhZ8l9,WloyQSJM,1,1,,,,0
1477807200,Brisbane Roar,Perth Glory,OlyE5V4J,8p3P7cak,2,1,,,,0
1477903800,Melbourne Victory,Wellington Phoenix,jm1g2SD5,rL2rkgzd,6,1,,,,0
1478249400,Brisbane Roar,Melbourne City,OlyE5V4J,rL2rkgzd,1,0,,,,0
1478327700,Wellington Phoenix,Newcastle Jets,rL2rkgzd,AowXufJO,2,0,,,,0
1478335800,Sydney FC,Melbourne Victory,WU4sOyqK,jm1g2SD5,2,1,,,,0
1478412000,Adelaide United,Central Coast Mariners,j7XSkexg,WloyQSJM,1,2,,,,0
