timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1247855400,Wiener Neustadt,Austria Karnten,YPJg8PPF,f1RS4uQs,3,1,,,,0
1247938200,LASK,Mattersburg,CbaUQRYa,6mXP2Hyq,4,0,,,,0
1247938200,Kapfenberg,Ried,pvWT1yik,baDxm2ON,0,1,,,,0
1248015600,Salzburg,Austria Vienna,McAr23w3,lUkqx2Vt,2,1,,,,0
1248460200,LASK,Austria Vienna,CbaUQRYa,lUkqx2Vt,4,5,,,,0
1248543000,Ried,Salzburg,baDxm2ON,McAr23w3,1,0,,,,0
1248620400,Mattersburg,SK Rapid,6mXP2Hyq,QNSj0PU1,2,1,,,,0
1248629400,Sturm Graz,Wiener Neustadt,ATNrh1YR,YPJg8PPF,3,0,,,,0
1248629400,Kapfenberg,Austria Karnten,pvWT1yik,f1RS4uQs,3,2,,,,0
1249065000,Wiener Neustadt,Ried,YPJg8PPF,baDxm2ON,2,1,,,,0
1249147800,Salzburg,LASK,McAr23w3,CbaUQRYa,3,2,,,,0
1249225200,SK Rapid,Austria Karnten,QNSj0PU1,f1RS4uQs,5,1,,,,0
1249234200,Sturm Graz,Mattersburg,ATNrh1YR,6mXP2Hyq,2,0,,,,0
1249234200,Austria Vienna,Kapfenberg,lUkqx2Vt,pvWT1yik,3,0,,,,0
1249669800,LASK,Kapfenberg,CbaUQRYa,pvWT1yik,4,0,,,,0
1249752600,Mattersburg,Salzburg,6mXP2Hyq,McAr23w3,2,3,,,,0
1249830000,Austria Vienna,Wiener Neustadt,lUkqx2Vt,YPJg8PPF,2,1,,,,0
1249839000,Ried,SK Rapid,baDxm2ON,QNSj0PU1,1,1,,,,0
1249839000,Austria Karnten,Sturm Graz,f1RS4uQs,ATNrh1YR,1,3,,,,0
1250879400,Austria Karnten,Ried,f1RS4uQs,baDxm2ON,0,0,,,,0
1250962200,Wiener Neustadt,Salzburg,YPJg8PPF,McAr23w3,1,1,,,,0
1251039600,Sturm Graz,Austria Vienna,ATNrh1YR,lUkqx2Vt,0,1,,,,0
1251048600,SK Rapid,LASK,QNSj0PU1,CbaUQRYa,4,1,,,,0
1251048600,Kapfenberg,Mattersburg,pvWT1yik,6mXP2Hyq,0,1,,,,0
1251484200,Mattersburg,Austria Karnten,6mXP2Hyq,f1RS4uQs,4,1,,,,0
1251567000,Salzburg,Kapfenberg,McAr23w3,pvWT1yik,4,0,,,,0
1251644400,Austria Vienna,SK Rapid,lUkqx2Vt,QNSj0PU1,1,1,,,,0
1251653400,Ried,Sturm Graz,baDxm2ON,ATNrh1YR,1,2,,,,0
1251653400,LASK,Wiener Neustadt,CbaUQRYa,YPJg8PPF,4,2,,,,0
1252771200,Wiener Neustadt,Kapfenberg,YPJg8PPF,pvWT1yik,2,3,,,,0
1252771200,Sturm Graz,LASK,ATNrh1YR,CbaUQRYa,3,3,,,,0
1252771200,Mattersburg,Ried,6mXP2Hyq,baDxm2ON,3,0,,,,0
1252771200,Austria Karnten,Austria Vienna,f1RS4uQs,lUkqx2Vt,2,1,,,,0
1252850400,SK Rapid,Salzburg,QNSj0PU1,McAr23w3,2,2,,,,0
1253644200,Wiener Neustadt,Mattersburg,YPJg8PPF,6mXP2Hyq,3,0,,,,0
1253727000,Salzburg,Sturm Graz,McAr23w3,ATNrh1YR,4,2,,,,0
1253727000,LASK,Austria Karnten,CbaUQRYa,f1RS4uQs,3,1,,,,0
1253727000,Kapfenberg,SK Rapid,pvWT1yik,QNSj0PU1,0,1,,,,0
1253727000,Austria Vienna,Ried,lUkqx2Vt,baDxm2ON,1,1,,,,0
1253980800,SK Rapid,Wiener Neustadt,QNSj0PU1,YPJg8PPF,3,1,,,,0
1253980800,Mattersburg,Austria Vienna,6mXP2Hyq,lUkqx2Vt,1,3,,,,0
1253980800,Kapfenberg,Sturm Graz,pvWT1yik,ATNrh1YR,0,1,,,,0
1253980800,Austria Karnten,Salzburg,f1RS4uQs,McAr23w3,1,2,,,,0
1254060000,Ried,LASK,baDxm2ON,CbaUQRYa,5,2,,,,0
1254585600,LASK,Ried,CbaUQRYa,baDxm2ON,2,2,,,,0
