timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1126620900,SV Donau,Kufstein,6,0,,,,0
1127167200,Wiener Sport-Club,Post Wien,3,2,,,,0
1127754000,SV Spittal,FC Karnten,3,1,,,,0
1127754000,Harreither,ASKO Pasching,5,3,,,,0
1127772000,Perg,1. SC Sollenau,2,0,,,,0
1127828700,Wurmla,Gratkorn,0,1,,,,0
1127828700,Vocklabruck,LASK,0,2,,,,0
1127828700,SAK 1914,Altach,0,10,,,,0
1127836800,Eisenstadt,Austria Vienna (Am),1,2,,,,0
1127838600,First Vienna,Salzburg,2,3,,,,0
1127840400,Wolfsberger AC,Vocklamarkt,5,2,,,,0
1127840400,Tirol,Leoben,3,3,Pen,3,4,0
1127840400,Sturm Graz II,Salzburg (Am),2,1,,,,0
1127840400,Koflach,Schwanenstadt,1,2,,,,0
1127840400,Koblach,Kapfenberg,0,8,,,,0
1127840400,Hall,Admira,0,5,,,,0
1127840400,Bamminger Sattledt,Wacker Innsbruck,0,3,,,,0
1127842200,Hartberg,A. Lustenau,0,1,,,,0
1127915100,Axams,Langenrohr,1,2,,,,0
1127923200,Grazer AK (Am),Mattersburg,1,2,,,,0
1127925000,Gleinstatten,Ried,0,2,,,,0
1127926800,Kremser,Sturm Graz,3,3,AET,3,5,0
1129568400,SV Spittal,Altach,1,4,,,,0
1129640400,SV Donau,Schwanenstadt,0,4,,,,0
1129640400,SAK Klagenfurt,Gratkorn,0,1,,,,0
1129651200,Perg,LASK,0,3,,,,0
1129653000,Wiener Sport-Club,Kapfenberg,1,5,,,,0
1129653000,Sturm Graz II,Wacker Innsbruck,0,3,,,,0
1129653000,Langenrohr,Sturm Graz,4,5,,,,0
1129653000,Harreither,Mattersburg,1,3,,,,0
1129653000,A. Lustenau,Leoben,2,0,,,,0
1129654800,Austria Vienna (Am),Salzburg,1,0,,,,0
1129741200,Wolfsberger AC,Ried,1,3,,,,0
1129741200,St. Polten,Admira,2,2,AET,3,2,0
1141754400,Mattersburg,Schwanenstadt,3,0,,,,0
1141754400,Kapfenberg,LASK,2,0,,,,0
1141754400,ASKO Pasching,Grazer AK,3,1,,,,0
1141839000,A. Lustenau,SK Rapid,1,1,Pen,1,2,0
1142964000,St. Polten,Gratkorn,1,2,,,,0
1142964000,Austria Vienna (Am),Ried,0,5,,,,0
1142964000,Altach,Sturm Graz,2,0,,,,0
1143050400,Austria Vienna,Wacker Innsbruck,2,0,,,,0
1144170000,Kapfenberg,Austria Vienna,0,1,,,,0
1144170000,Gratkorn,Ried,1,2,,,,0
1144170000,Altach,ASKO Pasching,1,1,AET,2,3,0
1144170900,Mattersburg,SK Rapid,1,0,,,,0
1145377800,ASKO Pasching,Mattersburg,2,3,,,,0
1145464200,Austria Vienna,Ried,4,0,,,,0
1147199400,Austria Vienna,Mattersburg,3,0,,,,0
