timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1691164800,Araz,Turan,0,3,,,,0
1691245800,Sabail,Sumqayit,1,4,,,,0
1691254800,Qarabag,Zira,0,1,,,,0
1691326800,Kapaz,Neftci Baku,1,0,,,,0
1691337600,Sabah Baku,Gabala,5,0,,,,0
1691850600,Araz,Gabala,2,0,,,,0
1691859600,Zira,Kapaz,1,0,,,,0
1691937000,Qarabag,Turan,3,0,,,,0
1692028800,Neftci Baku,Sabail,1,1,,,,0
1692363600,Kapaz,Turan,0,2,,,,0
1692453600,Gabala,Sumqayit,1,2,,,,0
1692460800,Sabail,Zira,1,2,,,,0
1692540000,Qarabag,Araz,2,1,,,,0
1692547200,Sabah Baku,Neftci Baku,1,1,,,,0
1692979200,Araz,Sumqayit,1,1,,,,0
1693054800,Turan,Sabail,1,3,,,,0
1693063800,Zira,Sabah Baku,1,0,,,,0
1693146600,Neftci Baku,Gabala,2,0,,,,0
1693154700,Qarabag,Kapaz,1,1,,,,0
1693580400,Sabah Baku,Turan,0,3,,,,0
1693663200,Gabala,Zira,1,0,,,,0
1693672200,Sumqayit,Neftci Baku,0,1,,,,0
1693746000,Kapaz,Araz,1,2,,,,0
1693755000,Sabail,Qarabag,2,1,,,,0
1694782800,Zira,Sumqayit,1,0,,,,0
1694865600,Kapaz,Sabail,0,3,,,,0
1694872800,Araz,Neftci Baku,1,0,,,,0
1694953800,Turan,Gabala,2,2,,,,0
1694964600,Qarabag,Sabah Baku,2,0,,,,0
1695477600,Sumqayit,Turan,0,0,,,,0
1695486600,Zira,Neftci Baku,1,1,,,,0
1695560400,Sabah Baku,Kapaz,2,2,,,,0
1695569400,Sabail,Araz,1,0,,,,0
1695654000,Gabala,Qarabag,1,2,,,,0
1696003200,Qarabag,Sumqayit,5,0,,,,0
1696075200,Turan,Neftci Baku,0,1,,,,0
1696082400,Sabail,Sabah Baku,2,2,,,,0
1696161600,Kapaz,Gabala,0,1,,,,0
1696170600,Araz,Zira,1,0,,,,0
1696600800,Zira,Turan,2,1,,,,0
1696680000,Gabala,Sabail,0,1,,,,0
1696687200,Sabah Baku,Araz,1,1,,,,0
1696768200,Sumqayit,Kapaz,1,0,,,,0
1696779000,Neftci Baku,Qarabag,0,2,,,,0
1697812200,Turan,Qarabag,2,2,,,,0
1697819400,Sabail,Neftci Baku,2,4,,,,0
1697886000,Kapaz,Zira,0,0,,,,0
1697896800,Sabah Baku,Sumqayit,3,1,,,,0
1697977800,Gabala,Araz,1,4,,,,0
1698244200,Sumqayit,Sabah Baku,1,0,,,,0
1698494400,Zira,Sabail,2,2,,,,0
1698505200,Turan,Kapaz,4,0,,,,0
1698580800,Sumqayit,Gabala,0,0,,,,0
1698589800,Neftci Baku,Sabah Baku,0,1,,,,0
1698678000,Araz,Qarabag,2,1,,,,0
1699023600,Sabail,Turan,2,1,,,,0
1699099200,Qarabag,Kapaz,7,1,,,,1
1699106400,Sumqayit,Araz,2,0,,,,0
1699185600,Gabala,Neftci Baku,0,2,,,,0
1699194600,Sabah Baku,Zira,0,1,,,,0
1699628400,Araz,Kapaz,0,1,,,,0
1699705800,Neftci Baku,Sumqayit,1,2,,,,0
1699714800,Turan,Sabah Baku,2,3,,,,0
1699792200,Zira,Gabala,1,0,,,,0
1699801200,Qarabag,Sabail,3,1,,,,1
1700841600,Sabah Baku,Qarabag,1,2,,,,0
1700906400,Sabail,Kapaz,0,0,,,,0
1700913600,Gabala,Turan,4,0,,,,0
1700998200,Neftci Baku,Araz,1,1,,,,0
1701007200,Sumqayit,Zira,0,0,,,,0
1701518400,Araz,Sabail,1,1,,,,0
1701527400,Turan,Sumqayit,2,2,,,,0
1701601200,Kapaz,Sabah Baku,0,2,,,,0
1701608400,Neftci Baku,Zira,1,0,,,,0
1701703800,Qarabag,Gabala,3,0,,,,0
1702049400,Sumqayit,Qarabag,1,6,,,,0
1702119600,Gabala,Kapaz,0,3,,,,0
1702126800,Zira,Araz,0,0,,,,0
1702206000,Sabah Baku,Sabail,4,0,,,,0
1702216800,Neftci Baku,Turan,3,2,,,,0
1702553400,Kapaz,Sumqayit,1,1,,,,0
1702630800,Sabail,Gabala,3,0,,,,0
1702638000,Araz,Sabah Baku,2,0,,,,0
1702735200,Turan,Zira,1,0,,,,0
1702915200,Qarabag,Neftci Baku,2,0,,,,0
1703246400,Gabala,Sabah Baku,1,0,,,,0
1703341800,Sumqayit,Sabail,1,0,,,,0
1703404800,Turan,Araz,3,1,,,,0
1703419200,Neftci Baku,Kapaz,2,0,,,,0
1703428200,Zira,Qarabag,0,1,,,,0
1705838400,Sabah Baku,Neftci Baku,0,0,,,,0
1705921200,Sabail,Zira,0,0,,,,0
1705930200,Kapaz,Turan,2,1,,,,0
1706013000,Gabala,Sumqayit,0,1,,,,0
1706022000,Qarabag,Araz,3,1,,,,0
1706266800,Turan,Sabail,3,1,,,,0
1706353200,Kapaz,Qarabag,1,2,,,,0
1706362200,Zira,Sabah Baku,0,1,,,,0
1706439600,Araz,Sumqayit,1,1,,,,0
1706448600,Neftci Baku,Gabala,3,1,,,,0
1706958000,Sabail,Qarabag,1,2,,,,0
1706967000,Sabah Baku,Turan,1,1,,,,0
1707044400,Sumqayit,Neftci Baku,2,1,,,,0
1707053400,Gabala,Zira,1,1,,,,0
1707130800,Kapaz,Araz,3,1,,,,0
1707663600,Qarabag,Sabah Baku,3,3,,,,0
1707735600,Kapaz,Sabail,1,4,,,,0
1707822000,Turan,Gabala,2,1,,,,0
1707830100,Zira,Sumqayit,0,0,,,,0
1707838200,Araz,Neftci Baku,1,0,,,,0
