timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1253807940,Busaiteen,Manama Club,WnOlbjXd,2Jlfd3kF,1,1,,,,0
1253886300,Al-Muharraq,Al-Hala,ALwI0fJ3,lCxMaEY9,3,0,,,,0
1253894340,Al Riffa,Malkia,lCxMaEY9,lOfXOjoE,4,1,,,,0
1253972700,Al-Ahli Manama,Al-Shabbab,OfjJDLff,xfd2nhF6,1,1,,,,0
1253979900,Al-Najma,East Riffa,Cr3ympLj,lCxMaEY9,3,1,,,,0
1255450200,Al-Hala,Al-Najma,lCxMaEY9,Cr3ympLj,2,1,,,,0
1255532400,Manama Club,Al-Ahli Manama,2Jlfd3kF,OfjJDLff,2,1,,,,0
1255540200,East Riffa,Busaiteen,lCxMaEY9,WnOlbjXd,3,1,,,,0
1255618800,Malkia,Al-Muharraq,lOfXOjoE,ALwI0fJ3,1,2,,,,0
1255626600,Al-Shabbab,Al Riffa,xfd2nhF6,lCxMaEY9,0,2,,,,0
1255881540,Al-Ahli Manama,Al-Najma,OfjJDLff,Cr3ympLj,1,0,,,,0
1255965000,Al-Muharraq,Al-Shabbab,ALwI0fJ3,xfd2nhF6,3,2,,,,0
1255971600,Manama Club,Al Riffa,2Jlfd3kF,lCxMaEY9,2,3,,,,0
1256050800,Malkia,East Riffa,lOfXOjoE,lCxMaEY9,0,3,,,,0
1256058600,Al-Hala,Busaiteen,lCxMaEY9,WnOlbjXd,1,1,,,,0
1256304900,Al-Najma,Al Riffa,Cr3ympLj,lCxMaEY9,1,2,,,,0
1256312400,Manama Club,Al-Muharraq,2Jlfd3kF,ALwI0fJ3,0,2,,,,0
1256390700,East Riffa,Al-Hala,lCxMaEY9,lCxMaEY9,2,2,,,,0
1256399100,Al-Shabbab,Malkia,xfd2nhF6,lOfXOjoE,2,1,,,,0
1256486340,Busaiteen,Al-Ahli Manama,WnOlbjXd,OfjJDLff,1,2,,,,0
1256831940,Al-Shabbab,East Riffa,xfd2nhF6,lCxMaEY9,1,0,,,,0
1256908800,Al-Ahli Manama,Al-Hala,OfjJDLff,lCxMaEY9,1,0,,,,0
1256916000,Malkia,Manama Club,lOfXOjoE,2Jlfd3kF,2,0,,,,0
1256995200,Al-Muharraq,Al-Najma,ALwI0fJ3,Cr3ympLj,0,1,,,,0
1257002400,Al Riffa,Busaiteen,lCxMaEY9,WnOlbjXd,3,2,,,,0
1259078340,Al-Hala,Al-Shabbab,lCxMaEY9,xfd2nhF6,0,1,,,,0
1259161500,Busaiteen,Al-Muharraq,WnOlbjXd,ALwI0fJ3,2,1,,,,0
1259169000,East Riffa,Al Riffa,lCxMaEY9,lCxMaEY9,1,3,,,,0
1259247600,Malkia,Al-Ahli Manama,lOfXOjoE,OfjJDLff,0,0,,,,0
1259255400,Al-Najma,Manama Club,Cr3ympLj,2Jlfd3kF,1,1,,,,0
1259855940,Manama Club,Al-Hala,2Jlfd3kF,lCxMaEY9,2,1,,,,0
1259942340,Al Riffa,Al-Ahli Manama,lCxMaEY9,OfjJDLff,0,1,,,,0
1260018600,Al-Najma,Al-Shabbab,Cr3ympLj,xfd2nhF6,1,0,,,,0
1260025800,Busaiteen,Malkia,WnOlbjXd,lOfXOjoE,1,1,,,,0
1260460740,Al-Shabbab,Busaiteen,xfd2nhF6,WnOlbjXd,0,6,,,,0
1260536400,East Riffa,Manama Club,lCxMaEY9,2Jlfd3kF,2,2,,,,0
1260544500,Malkia,Al-Najma,lOfXOjoE,Cr3ympLj,1,0,,,,0
1260623100,Al-Hala,Al Riffa,lCxMaEY9,lCxMaEY9,1,2,,,,0
1260630300,Al-Ahli Manama,Al-Muharraq,OfjJDLff,ALwI0fJ3,2,6,,,,0
1261065540,Al-Hala,Malkia,lCxMaEY9,lOfXOjoE,2,2,,,,0
1261141200,Al-Ahli Manama,East Riffa,OfjJDLff,lCxMaEY9,2,0,,,,0
1261149300,Al-Muharraq,Al Riffa,ALwI0fJ3,lCxMaEY9,2,1,,,,0
1261227600,Busaiteen,Al-Najma,WnOlbjXd,Cr3ympLj,1,1,,,,0
1261234800,Manama Club,Al-Shabbab,2Jlfd3kF,xfd2nhF6,3,2,,,,0
1261494000,Al-Muharraq,East Riffa,ALwI0fJ3,lCxMaEY9,1,0,,,,0
1264691400,Al-Ahli Manama,Malkia,OfjJDLff,lOfXOjoE,1,0,,,,0
1264772100,Al-Shabbab,Al-Najma,xfd2nhF6,Cr3ympLj,0,1,,,,0
1264858500,Al-Hala,Al-Muharraq,lCxMaEY9,ALwI0fJ3,1,2,,,,0
1264865700,Al Riffa,East Riffa,lCxMaEY9,lCxMaEY9,4,0,,,,0
1264950000,Manama Club,Busaiteen,2Jlfd3kF,WnOlbjXd,0,1,,,,0
1265122800,Al-Ahli Manama,Al-Shabbab,OfjJDLff,xfd2nhF6,2,1,,,,0
1265209200,Al Riffa,Malkia,lCxMaEY9,lOfXOjoE,2,1,,,,0
1265295600,Busaiteen,Al-Hala,WnOlbjXd,lCxMaEY9,1,0,,,,0
1265382000,East Riffa,Al-Muharraq,lCxMaEY9,ALwI0fJ3,1,2,,,,0
1265468400,Manama Club,Al-Najma,2Jlfd3kF,Cr3ympLj,2,1,,,,0
1266507000,Al Riffa,Al-Shabbab,lCxMaEY9,xfd2nhF6,3,0,,,,0
1266587400,Al-Ahli Manama,Busaiteen,OfjJDLff,WnOlbjXd,2,0,,,,0
1266595140,Al-Muharraq,Malkia,ALwI0fJ3,lOfXOjoE,1,1,,,,0
1266675300,Al-Najma,Al-Hala,Cr3ympLj,lCxMaEY9,2,1,,,,0
1266681000,Manama Club,East Riffa,2Jlfd3kF,lCxMaEY9,1,1,,,,0
1268235000,Busaiteen,Al Riffa,WnOlbjXd,lCxMaEY9,1,1,,,,0
1268321400,Al-Najma,Al-Ahli Manama,Cr3ympLj,OfjJDLff,4,0,,,,0
1268328600,East Riffa,Malkia,lCxMaEY9,lOfXOjoE,0,2,,,,0
1268839800,Al-Shabbab,Al-Muharraq,xfd2nhF6,ALwI0fJ3,1,3,,,,0
1268927100,Al-Hala,Manama Club,lCxMaEY9,2Jlfd3kF,2,1,,,,0
1269618000,East Riffa,Al-Shabbab,lCxMaEY9,xfd2nhF6,2,1,,,,0
1269699000,Al-Hala,Al-Ahli Manama,lCxMaEY9,OfjJDLff,1,2,,,,0
1269706200,Manama Club,Malkia,2Jlfd3kF,lOfXOjoE,1,2,,,,0
1269785400,Al Riffa,Al-Najma,lCxMaEY9,Cr3ympLj,0,1,,,,0
1269798300,Al-Muharraq,Busaiteen,ALwI0fJ3,WnOlbjXd,1,0,,,,0
1270135800,Busaiteen,Al-Shabbab,WnOlbjXd,xfd2nhF6,1,3,,,,0
1270218300,Al Riffa,Manama Club,lCxMaEY9,2Jlfd3kF,0,0,,,,0
1270225800,East Riffa,Al-Ahli Manama,lCxMaEY9,OfjJDLff,0,3,,,,0
1270303800,Malkia,Al-Hala,lOfXOjoE,lCxMaEY9,0,3,,,,0
1270311000,Al-Najma,Al-Muharraq,Cr3ympLj,ALwI0fJ3,1,2,,,,0
1270822500,Al-Muharraq,Manama Club,ALwI0fJ3,2Jlfd3kF,7,3,,,,0
1270830300,East Riffa,Al-Najma,lCxMaEY9,Cr3ympLj,2,3,,,,0
1270908900,Malkia,Busaiteen,lOfXOjoE,WnOlbjXd,1,4,,,,0
1270916100,Al-Shabbab,Al-Hala,xfd2nhF6,lCxMaEY9,0,4,,,,0
1271086200,Al-Ahli Manama,Al Riffa,OfjJDLff,lCxMaEY9,1,0,,,,0
1271952000,Al-Shabbab,Manama Club,xfd2nhF6,2Jlfd3kF,1,1,,,,0
1271952000,Al-Muharraq,Al-Ahli Manama,ALwI0fJ3,OfjJDLff,0,1,,,,0
1272032400,Busaiteen,East Riffa,WnOlbjXd,lCxMaEY9,4,0,,,,0
1272040200,Al-Najma,Malkia,Cr3ympLj,lOfXOjoE,3,1,,,,0
1272556800,Al-Najma,Busaiteen,Cr3ympLj,WnOlbjXd,2,1,,,,0
1272902400,Al Riffa,Al-Hala,lCxMaEY9,lCxMaEY9,4,3,,,,0
1273852800,Malkia,Al-Shabbab,lOfXOjoE,xfd2nhF6,1,2,,,,0
1273852800,Al-Hala,East Riffa,lCxMaEY9,lCxMaEY9,3,3,,,,0
1273940100,Al-Ahli Manama,Manama Club,OfjJDLff,2Jlfd3kF,3,1,,,,0
1274112000,Al Riffa,Al-Muharraq,lCxMaEY9,ALwI0fJ3,2,0,,,,0
1275144300,Sitra,Malkia,WtHWM9YK,lOfXOjoE,0,1,Pen,1,3,0
