timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1473348600,Malkia,Al-Hidd,1,1,,,,0
1473348600,Al-Muharraq,Manama Club,1,1,,,,0
1473430500,Bahrain SC,Al-Ahli Manama,0,0,,,,0
1473430500,Al-Hala,East Riffa,2,2,,,,0
1473438600,Al-Najma,Al Riffa,0,0,,,,0
1474121400,Al-Najma,Manama Club,2,6,,,,0
1474121400,Al Riffa,Bahrain SC,1,1,,,,0
1474129500,East Riffa,Al-Ahli Manama,0,1,,,,0
1474212600,Al-Hidd,Al-Hala,0,0,,,,0
1474639500,Manama Club,Malkia,1,0,,,,0
1474639500,Al Riffa,East Riffa,0,2,,,,0
1474725900,Al-Najma,Bahrain SC,2,1,,,,0
1474725900,Al-Hidd,Al-Ahli Manama,0,2,,,,0
1474734000,Al-Muharraq,Al-Hala,4,0,,,,0
1475243400,Malkia,Al-Hala,0,0,,,,0
1475251500,Al Riffa,Al-Hidd,0,1,,,,0
1475329800,Manama Club,Bahrain SC,2,0,,,,0
1475329800,East Riffa,Al-Najma,0,1,,,,0
1475337900,Al-Ahli Manama,Al-Muharraq,1,2,,,,0
1478269800,Manama Club,Al-Hala,3,4,,,,0
1478269800,Malkia,Al-Ahli Manama,1,0,,,,0
1478352000,Bahrain SC,East Riffa,2,2,,,,0
1478356200,Al-Najma,Al-Hidd,3,3,,,,0
1478360700,Al-Muharraq,Al Riffa,1,1,,,,0
1479561300,East Riffa,Manama Club,1,0,,,,0
1479565800,Al-Ahli Manama,Al-Hala,2,0,,,,0
1479570000,Malkia,Al Riffa,1,2,,,,0
1479654000,Bahrain SC,Al-Hidd,0,0,,,,0
1479654000,Al-Najma,Al-Muharraq,1,2,,,,0
1480079700,Malkia,Al-Najma,0,0,,,,0
1480084200,Manama Club,Al-Ahli Manama,4,1,,,,0
1480088400,East Riffa,Al-Hidd,0,1,,,,0
1480166100,Bahrain SC,Al-Muharraq,1,1,,,,0
1480174800,Al-Hala,Al Riffa,1,3,,,,0
1480684500,Al-Hidd,Manama Club,0,1,,,,0
1480684500,Al-Ahli Manama,Al Riffa,0,1,,,,0
1480693200,Bahrain SC,Malkia,1,2,,,,0
1480770900,East Riffa,Al-Muharraq,0,3,,,,0
1480770900,Al-Najma,Al-Hala,2,1,,,,0
1481289300,Manama Club,Al Riffa,1,1,,,,0
1481289300,East Riffa,Malkia,1,3,,,,0
1481298000,Al-Hidd,Al-Muharraq,2,3,,,,0
1481380200,Al-Hala,Bahrain SC,0,0,,,,0
1481380200,Al-Ahli Manama,Al-Najma,2,1,,,,0
1481725800,Malkia,Al-Muharraq,2,1,,,,0
1486129500,Malkia,Al-Muharraq,2,1,,,,0
1486137600,Al-Ahli Manama,East Riffa,1,1,,,,0
1486215900,Bahrain SC,Al-Najma,1,1,,,,0
1486224000,Al Riffa,Manama Club,0,1,,,,0
1486479600,Al-Hala,Al-Hidd,0,1,,,,0
1488031200,Malkia,Bahrain SC,3,2,,,,0
1488031200,Al-Muharraq,Manama Club,1,0,,,,0
1488039300,Al-Ahli Manama,Al-Hidd,1,3,,,,0
1488118200,East Riffa,Al-Najma,1,1,,,,0
1488125100,Al Riffa,Al-Hala,0,1,,,,0
1488550500,Al-Hala,Al-Najma,1,1,,,,0
1488558600,Bahrain SC,Al Riffa,1,2,,,,0
1488814200,Malkia,Manama Club,1,0,,,,0
1489155300,Manama Club,Bahrain SC,1,0,,,,0
1489163400,Al-Hala,Malkia,0,0,,,,0
1489241700,Al-Najma,Al-Ahli Manama,0,2,,,,0
1489249800,East Riffa,Al Riffa,2,3,,,,0
1489764600,Al-Ahli Manama,Al-Muharraq,1,1,,,,0
1489851000,Al-Hidd,East Riffa,2,0,,,,0
1491575100,Al Riffa,Al-Ahli Manama,6,0,,,,0
1491583200,Al-Hala,Manama Club,0,3,,,,0
1491665400,Malkia,East Riffa,3,0,,,,0
1491751800,Al-Muharraq,Bahrain SC,1,2,,,,0
1491751800,Al-Hidd,Al-Najma,2,0,,,,0
1492097400,Al-Muharraq,Al-Najma,2,0,,,,0
1492097400,Al-Hidd,Al Riffa,0,5,,,,0
1492180200,Manama Club,East Riffa,1,3,,,,0
1492188300,Al-Ahli Manama,Malkia,1,1,,,,0
1492266600,Bahrain SC,Al-Hala,2,0,,,,0
1492785300,East Riffa,Bahrain SC,3,0,,,,0
1492793400,Al-Ahli Manama,Manama Club,0,1,,,,0
1492871700,Al-Najma,Al Riffa,1,4,,,,0
1492962300,Malkia,Al-Hidd,2,1,,,,0
1492962300,Al-Hala,Al-Muharraq,1,1,,,,0
1493308800,Manama Club,Al-Hidd,1,2,,,,0
1493308800,Al Riffa,Al-Muharraq,1,2,,,,0
1493481600,Bahrain SC,Al-Ahli Manama,2,1,,,,0
1493481600,Al-Najma,Malkia,2,2,,,,0
1493481600,Al-Hala,East Riffa,0,1,,,,0
1494086400,Al-Muharraq,Al-Hidd,2,3,,,,0
1494345600,Al-Hala,Al-Ahli Manama,0,0,,,,0
1494600000,Manama Club,Al-Najma,2,2,,,,0
1494600000,Al-Hidd,Bahrain SC,5,2,,,,0
1494686400,Al-Muharraq,East Riffa,1,4,,,,0
1494686400,Al Riffa,Malkia,2,0,,,,0
