timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1308063600,Vertical,Partizan Minsk II,0,2,,,,0
1308128400,Energetik-BGU,Rudensk,1,2,,,,0
1308139200,Smolevichi,Baranovici,0,1,,,,0
1308146400,FK Cementnik,Kletsk,0,4,,,,0
1308150000,Zhlobin,Chimik Svetlogorsk,1,3,,,,0
1308150000,Osipovichi,Lida,1,5,,,,0
1308150000,Orsha,Mikashevichi,0,7,,,,0
1308150000,Novolukoml,Smorgon,0,6,,,,0
1308150000,Nika Minsk,Polotsk,2,9,,,,0
1308150000,Kommunalnik Slonim,Gorodeja,0,3,,,,0
1308150000,Byaroza 2010,Belcard Grodno,0,1,,,,0
1308151800,Lokomotiv Gomel,Dzerzhinsk,6,0,,,,0
1308153600,Underdog Chist,DSK Gomel,0,2,,,,0
1308153600,Neman Mosty,Slutsk,0,4,,,,0
1308153600,FK Kobrin,Volna Pinsk,2,9,,,,0
1308236400,FC Slonim,Molodechno,3,1,,,,0
1309345200,DSK Gomel,SKVICH Minsk,0,0,Pen,0,1,0
1309356000,Polotsk,FC Gomel,0,5,,,,0
1309359600,Smorgon,Neman,0,2,,,,0
1309359600,Slutsk,Din. Minsk,1,1,AET,1,2,0
1309359600,Rudensk,Zhodino,2,1,,,,0
1309359600,Mikashevichi,Dynamo Brest,0,3,,,,0
1309359600,Lida,Slavia Mozyr,3,2,,,,0
1309359600,Kletsk,Dnepr Mogilev,1,1,Pen,2,1,0
1309359600,FC Slonim,Naftan,2,4,,,,0
1309359600,Belcard Grodno,Vitebsk,0,0,AET,2,0,0
1309359600,Baranovici,Partizan Minsk,2,3,,,,0
1309363200,Volna Pinsk,Rechitsa,1,3,,,,0
1309365000,Lokomotiv Gomel,Belshina,1,5,,,,0
1311346800,Gorodeja,BATE,0,7,,,,0
1313593200,Partizan Minsk II,FC Minsk,2,4,,,,0
1315317600,Chimik Svetlogorsk,Shakhtyor Soligorsk,0,6,,,,0
1316595600,Belcard Grodno,SKVICH Minsk,1,2,,,,0
1316610000,Naftan,Partizan Minsk,2,1,,,,0
1316611800,Rudensk,Kletsk,1,3,,,,0
1316611800,Rechitsa,Lida,1,2,,,,0
1316620800,Shakhtyor Soligorsk,FC Gomel,0,0,Pen,0,1,0
1316620800,Neman,Din. Minsk,2,1,,,,0
1321182000,FC Minsk,Belshina,3,0,,,,0
1321182000,Dynamo Brest,BATE,3,1,,,,0
1331974800,Lida,Naftan,1,2,,,,0
1331982000,Dynamo Brest,FC Gomel,1,2,,,,0
1331987400,Kletsk,Neman,0,6,,,,0
1332072000,SKVICH Minsk,FC Minsk,2,3,,,,0
1335358800,Naftan,FC Gomel,0,0,Pen,1,0,0
1335367800,Neman,FC Minsk,0,2,,,,0
1337509800,Naftan,FC Minsk,2,2,Pen,3,2,0
