timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1710511200,Isloch,Dynamo Brest,1,1,,,,0
1710518400,Slavia Mozyr,Dnepr Mogilev,2,0,,,,0
1710583200,FC Minsk,BATE,0,1,,,,0
1710590400,Neman,Naftan,2,1,,,,0
1710597600,Din. Minsk,Smorgon,5,0,,,,0
1710669600,Arsenal Dzyarzhynsk,Zhodino,0,1,,,,0
1710676800,Slutsk,FC Gomel,1,1,,,,0
1710684000,Shakhtyor Soligorsk,Vitebsk,1,0,,,,0
1711720800,Dnepr Mogilev,Arsenal Dzyarzhynsk,0,0,,,,0
1711728000,Dynamo Brest,Smorgon,4,1,,,,0
1711796400,Naftan,BATE,0,0,,,,0
1711803600,Vitebsk,Slavia Mozyr,2,3,,,,0
1711810800,Isloch,Shakhtyor Soligorsk,0,0,,,,0
1711879200,FC Gomel,Neman,2,3,,,,0
1711886400,Zhodino,Slutsk,1,0,,,,0
1711893600,FC Minsk,Din. Minsk,0,0,,,,0
1712325600,Arsenal Dzyarzhynsk,Vitebsk,1,1,,,,0
1712332800,FC Minsk,Smorgon,2,3,,,,0
1712401200,Slutsk,Dnepr Mogilev,0,1,,,,0
1712408400,BATE,FC Gomel,1,3,,,,0
1712415600,Shakhtyor Soligorsk,Dynamo Brest,0,4,,,,0
1712487600,Slavia Mozyr,Isloch,2,1,,,,0
1712494800,Neman,Zhodino,1,0,,,,0
1712502000,Din. Minsk,Naftan,2,2,,,,0
1712932200,Vitebsk,Slutsk,2,0,,,,0
1713006000,Dnepr Mogilev,Neman,0,2,,,,0
1713013200,FC Gomel,Din. Minsk,0,1,,,,0
1713020400,Isloch,Arsenal Dzyarzhynsk,0,2,,,,0
1713027600,Zhodino,BATE,2,0,,,,0
1713092400,Naftan,Smorgon,1,1,,,,0
1713099600,Shakhtyor Soligorsk,Slavia Mozyr,1,3,,,,0
1713106800,Dynamo Brest,FC Minsk,3,0,,,,0
1713535200,Smorgon,FC Gomel,2,2,,,,0
1713544200,BATE,Dnepr Mogilev,1,1,,,,0
1713611400,FC Minsk,Naftan,1,1,,,,0
1713618000,Arsenal Dzyarzhynsk,Shakhtyor Soligorsk,2,0,,,,0
1713625200,Slavia Mozyr,Dynamo Brest,1,1,,,,0
1713697200,Slutsk,Isloch,1,3,,,,0
1713704400,Din. Minsk,Zhodino,0,0,,,,0
1713711600,Neman,Vitebsk,0,1,,,,0
1714145400,Vitebsk,BATE,1,0,,,,0
1714152600,Dynamo Brest,Naftan,2,2,,,,0
1714222800,Isloch,Neman,2,0,,,,0
1714230000,Zhodino,Smorgon,2,0,,,,0
1714238100,Dnepr Mogilev,Din. Minsk,0,2,,,,0
1714309200,FC Gomel,FC Minsk,2,0,,,,0
1714316400,Slavia Mozyr,Arsenal Dzyarzhynsk,3,0,,,,0
1714323600,Shakhtyor Soligorsk,Slutsk,1,2,,,,0
1714568400,Smorgon,Dnepr Mogilev,0,0,,,,0
1714662900,Din. Minsk,Vitebsk,1,1,,,,0
1714671000,Neman,Shakhtyor Soligorsk,1,0,,,,0
1714748400,FC Minsk,Zhodino,1,2,,,,0
1714755600,BATE,Isloch,1,1,,,,0
1714822200,Naftan,FC Gomel,0,2,,,,0
1714829400,Slutsk,Slavia Mozyr,1,0,,,,0
1714836600,Arsenal Dzyarzhynsk,Dynamo Brest,0,2,,,,0
1715356800,Vitebsk,Smorgon,0,1,,,,0
1715364000,Dnepr Mogilev,FC Minsk,1,1,,,,0
1715436000,Arsenal Dzyarzhynsk,Slutsk,1,0,,,,0
1715443200,Shakhtyor Soligorsk,BATE,1,3,,,,0
1715450400,Dynamo Brest,FC Gomel,1,1,,,,0
1715518800,Isloch,Din. Minsk,0,1,,,,0
1715526000,Zhodino,Naftan,2,1,,,,0
1715533200,Slavia Mozyr,Neman,0,1,,,,0
1715874600,Smorgon,Isloch,1,1,,,,0
1715881500,Neman,Arsenal Dzyarzhynsk,1,0,,,,0
1715961300,Slutsk,Dynamo Brest,1,4,,,,0
1715967000,BATE,Slavia Mozyr,1,0,,,,0
1716037200,Naftan,Dnepr Mogilev,2,1,,,,0
1716044400,FC Minsk,Vitebsk,1,2,,,,0
1716055200,FC Gomel,Zhodino,0,0,,,,0
1716138000,Din. Minsk,Shakhtyor Soligorsk,3,2,,,,0
1716299100,Isloch,FC Minsk,3,0,,,,0
1716306300,Slutsk,Neman,2,0,,,,0
1716566400,Vitebsk,Naftan,2,0,,,,0
1716573600,Dynamo Brest,Zhodino,0,1,,,,0
1716724800,Arsenal Dzyarzhynsk,BATE,2,0,,,,0
1716732000,Shakhtyor Soligorsk,Smorgon,2,2,,,,0
1716739200,Slavia Mozyr,Din. Minsk,1,1,,,,0
1716829200,Dnepr Mogilev,FC Gomel,0,1,,,,0
1717084800,FC Minsk,Shakhtyor Soligorsk,0,0,,,,0
1717165800,Smorgon,Slavia Mozyr,3,3,,,,0
1717173000,BATE,Slutsk,6,0,,,,0
1717246800,Naftan,Isloch,2,1,,,,0
1717254000,Arsenal Dzyarzhynsk,Din. Minsk,1,2,,,,0
1717261200,Neman,Dynamo Brest,2,0,,,,0
1717333200,Zhodino,Dnepr Mogilev,4,2,,,,0
1717344000,FC Gomel,Vitebsk,0,0,,,,0
1718377200,Isloch,FC Gomel,1,0,,,,0
1718383500,Vitebsk,Zhodino,0,1,,,,0
1718456400,Slutsk,Din. Minsk,0,5,,,,0
