timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1374863400,Bastogne,Arlon,lnqcN7YH,SpzHA37j,0,3,,,,0
1374933600,Aubel,Aywaille,Wteyi5Qt,OlmNLC2p,1,3,,,,0
1374940800,Vosselaar,Putte,40tcKJcR,zBobEktj,1,2,,,,0
1374940800,Excelsior V.,Everbeur Sport,,,1,3,,,,0
1374944400,Osta Meerbeke,Destelbergen,,xlqSvAq8,2,2,Pen,3,2,0
1374944400,OC Charleroi,Marbaisien,jes3ohYg,,6,0,,,,0
1374944400,Mormont,Montleban,pG5K2RpN,lrPtSTtq,1,0,,,,0
1374944400,Landen,Lindelhoeven,2Xi5eIjb,lpl7Ba4L,5,2,,,,0
1374944400,Club Roeselare,Ol. Ingelmunster,vyUAjNpp,voDF4Hps,0,3,,,,0
1374944400,Berlaar-Heikant,Lenaarts,hlF8L1Z9,Mec15x1i,0,1,,,,0
1374946200,Wanze,RFC Liege,AenN7pPq,zglauDfa,0,1,,,,0
1374946200,Thes Sport,Eendr. Termien,8hXh0j9r,dY3s9QX0,2,2,Pen,2,3,0
1374946200,KSK Oostnieuwkerke,KRC Harelbeke,tWdXvxvG,lrorTzcq,0,2,,,,0
1374946200,Eendracht Opstal,Voorde,Is5wA6If,QBbCOpYL,2,4,,,,0
1374946200,Clermont,Vencimont,,,1,3,,,,0
1374946200,Beringen,Overpelt,Is5wA6If,6mwjAfdO,2,1,,,,0
1374948000,Rossignol,Bertrix,fB24FHsL,M5lCtVJ3,1,0,,,,0
1374948000,Oppagne,Saint Leger,6u7w3VbT,Wt1d9sG6,0,3,,,,0
1374948000,La Roche,Nothomb-Post,UaHBgPJ8,4hEFGkz6,5,1,,,,0
1374948000,Grasheide,Zwarte Leeuw,0W92B5hE,MHKaTgPb,1,6,,,,0
1375020000,Xhoffraix,Amay,,vi6ZAn3l,0,0,Pen,1,0,0
1375020000,Wingene,Helkijn,6iwD7VW0,jXbgiHIs,2,0,,,,0
1375020000,Wevelgem,Ruiter Roeselare,8UIZ0QyK,lr39iMPm,0,0,Pen,0,1,0
1375020000,Westhoek,Knokke,dSAN2eFg,YsP0qTkN,4,0,,,,0
