timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1280514600,St. Liege,Waregem,1,1,,,,0
1280599200,Westerlo,Gent,0,1,,,,0
1280599200,St. Truiden,Lierse,1,0,,,,0
1280599200,KV Mechelen,Lokeren,2,0,,,,0
1280599200,Kortrijk,Club Brugge KV,1,0,,,,0
1280599200,Anderlecht,Eupen,4,1,,,,0
1280678400,Cercle Brugge KSV,Charleroi,1,1,,,,0
1280687400,Genk,Beerschot AC,2,1,,,,0
1281119400,Lierse,St. Liege,1,4,,,,0
1281204000,Waregem,KV Mechelen,1,2,,,,0
1281204000,Lokeren,Kortrijk,1,1,,,,0
1281204000,Eupen,Westerlo,0,1,,,,0
1281204000,Club Brugge KV,St. Truiden,4,1,,,,0
1281204000,Charleroi,Anderlecht,0,0,,,,0
1281283200,Gent,Genk,0,4,,,,0
1281292200,Beerschot AC,Cercle Brugge KSV,0,0,,,,0
1281801600,St. Liege,Lokeren,3,3,,,,0
1281808800,Westerlo,Waregem,1,1,,,,0
1281808800,KV Mechelen,Lierse,1,0,,,,0
1281808800,Kortrijk,St. Truiden,2,0,,,,0
1281808800,Gent,Eupen,2,1,,,,0
1281808800,Anderlecht,Beerschot AC,4,0,,,,0
1281888000,Genk,Charleroi,5,0,,,,0
1281897000,Cercle Brugge KSV,Club Brugge KV,3,1,,,,0
1282329000,St. Truiden,St. Liege,1,0,,,,0
1282413600,Waregem,Cercle Brugge KSV,4,0,,,,0
1282413600,Lokeren,Anderlecht,0,3,,,,0
1282413600,Lierse,Kortrijk,1,2,,,,0
1282413600,Beerschot AC,Westerlo,0,0,,,,0
1282492800,Charleroi,Gent,1,3,,,,0
1282501800,Eupen,Genk,1,4,,,,0
1282501800,Club Brugge KV,KV Mechelen,1,2,,,,0
1283018400,St. Liege,Kortrijk,1,0,,,,0
1283018400,KV Mechelen,St. Truiden,0,0,,,,0
1283018400,Charleroi,Eupen,2,0,,,,0
1283018400,Cercle Brugge KSV,Lokeren,1,1,,,,0
1283018400,Anderlecht,Waregem,0,0,,,,0
1283097600,Westerlo,Club Brugge KV,1,2,,,,0
1283106600,Gent,Beerschot AC,1,0,,,,0
1283106600,Genk,Lierse,4,1,,,,0
1284143400,St. Truiden,Anderlecht,0,2,,,,0
1284228000,Waregem,Eupen,0,0,,,,0
1284228000,St. Liege,Cercle Brugge KSV,2,0,,,,0
1284228000,Lierse,Gent,2,2,,,,0
1284228000,Kortrijk,KV Mechelen,1,0,,,,0
1284228000,Beerschot AC,Charleroi,1,0,,,,0
1284307200,Club Brugge KV,Genk,2,2,,,,0
1284316200,Lokeren,Westerlo,3,1,,,,0
1284748200,KV Mechelen,St. Liege,1,0,,,,0
1284832800,Westerlo,Lierse,2,0,,,,0
1284832800,Genk,Lokeren,3,1,,,,0
1284832800,Eupen,Beerschot AC,0,1,,,,0
1284832800,Cercle Brugge KSV,St. Truiden,4,2,,,,0
1284912000,Gent,Waregem,5,3,,,,0
1284912000,Charleroi,Club Brugge KV,0,5,,,,0
1284922800,Anderlecht,Kortrijk,3,0,,,,0
1285093800,St. Truiden,Genk,0,2,,,,0
1285180200,Waregem,Beerschot AC,4,3,,,,0
1285180200,St. Liege,Charleroi,2,1,,,,0
1285180200,Lokeren,Gent,3,2,,,,0
1285180200,Lierse,Anderlecht,1,1,,,,0
1285180200,KV Mechelen,Cercle Brugge KSV,2,2,,,,0
1285180200,Kortrijk,Westerlo,1,2,,,,0
1285180200,Club Brugge KV,Eupen,4,0,,,,0
1285437600,Westerlo,St. Liege,1,2,,,,0
1285437600,Gent,St. Truiden,2,0,,,,0
1285437600,Genk,Waregem,3,0,,,,0
1285437600,Eupen,Lokeren,0,1,,,,0
1285437600,Charleroi,Lierse,0,1,,,,0
1285437600,Cercle Brugge KSV,Kortrijk,2,1,,,,0
1285516800,Anderlecht,KV Mechelen,5,0,,,,0
1285525800,Beerschot AC,Club Brugge KV,2,1,,,,0
1285957800,KV Mechelen,Genk,2,2,,,,0
1286042400,Waregem,Charleroi,1,1,,,,0
1286042400,St. Truiden,Westerlo,1,2,,,,0
1286042400,Lokeren,Beerschot AC,1,0,,,,0
1286042400,Lierse,Cercle Brugge KSV,0,1,,,,0
1286042400,Kortrijk,Eupen,3,1,,,,0
1286112600,Club Brugge KV,Gent,3,2,,,,0
1286121600,St. Liege,Anderlecht,5,1,,,,0
1287167400,Waregem,Club Brugge KV,2,3,,,,0
1287252000,Westerlo,KV Mechelen,1,1,,,,0
1287252000,Gent,Kortrijk,2,0,,,,0
1287252000,Eupen,St. Truiden,6,0,,,,0
1287252000,Charleroi,Lokeren,1,2,,,,0
1287252000,Beerschot AC,Lierse,1,1,,,,0
1287331200,Genk,St. Liege,4,2,,,,0
1287340200,Cercle Brugge KSV,Anderlecht,1,0,,,,0
1287772200,Kortrijk,Genk,1,0,,,,0
1287856800,St. Truiden,Charleroi,3,2,,,,0
1287856800,Lierse,Waregem,0,0,,,,0
1287856800,KV Mechelen,Beerschot AC,5,1,,,,0
1287856800,Cercle Brugge KSV,Eupen,2,1,,,,0
1287936000,St. Liege,Gent,2,1,,,,0
1287945000,Lokeren,Club Brugge KV,1,0,,,,0
1287945000,Anderlecht,Westerlo,2,0,,,,0
1288377000,Charleroi,Kortrijk,0,0,,,,0
1288461600,Westerlo,Cercle Brugge KSV,2,1,,,,0
1288461600,Waregem,Lokeren,1,1,,,,0
1288461600,Gent,KV Mechelen,3,1,,,,0
1288461600,Eupen,Lierse,2,2,,,,0
1288461600,Beerschot AC,St. Truiden,0,0,,,,0
1288535400,Club Brugge KV,St. Liege,2,2,,,,0
1288544400,Genk,Anderlecht,1,2,,,,0
1288985400,Westerlo,Genk,1,1,,,,0
1289070000,St. Truiden,Waregem,0,3,,,,0
1289070000,St. Liege,Eupen,1,3,,,,0
1289070000,Lierse,Lokeren,2,2,,,,0
1289070000,KV Mechelen,Charleroi,2,0,,,,0
1289070000,Kortrijk,Beerschot AC,4,0,,,,0
1289149200,Anderlecht,Club Brugge KV,2,2,,,,0
1289158200,Cercle Brugge KSV,Gent,0,1,,,,0
1289674800,Lokeren,St. Truiden,3,0,,,,0
1289674800,Genk,Cercle Brugge KSV,3,0,,,,0
1289674800,Club Brugge KV,Lierse,2,0,,,,0
1289674800,Charleroi,Westerlo,0,1,,,,0
1289674800,Beerschot AC,St. Liege,0,1,,,,0
1289754000,Gent,Anderlecht,1,2,,,,0
1289763000,Waregem,Kortrijk,1,1,,,,0
1290272400,Beerschot AC,Anderlecht,0,1,,,,0
1290279600,Lokeren,KV Mechelen,3,1,,,,0
1290279600,Lierse,St. Truiden,1,2,,,,0
1290279600,Gent,Westerlo,4,4,,,,0
1290279600,Eupen,Kortrijk,3,1,,,,0
1290279600,Charleroi,Genk,1,3,,,,0
1290358800,Waregem,St. Liege,2,0,,,,0
1290367800,Club Brugge KV,Cercle Brugge KSV,0,1,,,,0
1290799800,Genk,Gent,1,2,,,,0
1290884400,Westerlo,Eupen,1,1,,,,0
1290884400,St. Liege,Lierse,7,0,,,,0
1290884400,Cercle Brugge KSV,Beerschot AC,1,1,,,,0
1290884400,Anderlecht,Charleroi,4,1,,,,0
1290963600,St. Truiden,Club Brugge KV,2,1,,,,0
1290972600,KV Mechelen,Waregem,0,0,,,,0
1291404600,Lokeren,St. Liege,2,1,,,,0
1291489200,St. Truiden,Kortrijk,1,0,,,,0
1291489200,Eupen,Gent,0,3,,,,0
