timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1499526000,Requins,AS Sobemap,drPztuz7,AJ6VTWYn,1,1,,,,0
1499607000,FC Loto,Mambas Noirs,drPztuz7,zJeFjc0H,0,1,,,,0
1499612400,Police,ASPAC,lCxMaEY9,AJ6VTWYn,0,1,,,,0
1499612400,JAP,Avrankou Omnisport,,IJECrROJ,2,0,,,,0
1499612400,Dragons,ASOS,SlMulgD4,IJECrROJ,1,0,,,,0
1499612400,Buffles du Borgou,Pantheres,QNEfHZk3,ldh6X0GI,3,0,,,,0
1499612400,Bembereke,Tonnerre,zmwmkyOF,AJ6VTWYn,1,0,,,,0
1499612400,Ayema,Soleil,Eymq8WHM,zJeFjc0H,0,0,,,,0
1499612400,Agonlin,Energie Sports,,AJ6VTWYn,0,1,,,,0
1500130800,Soleil,Dragons,zJeFjc0H,SlMulgD4,0,1,,,,0
1500130800,Energie Sports,Pantheres,AJ6VTWYn,ldh6X0GI,1,0,,,,0
1500130800,Buffles du Borgou,Tonnerre,QNEfHZk3,AJ6VTWYn,1,1,,,,0
1500130800,Bembereke,Police,zmwmkyOF,lCxMaEY9,1,0,,,,0
1500130800,Ayema,Requins,Eymq8WHM,drPztuz7,2,1,,,,0
1500130800,AS Sobemap,Avrankou Omnisport,AJ6VTWYn,IJECrROJ,1,0,,,,0
1500130800,Agonlin,Dynamo Abomey,,drPztuz7,1,0,,,,0
1500476400,Tonnerre,Energie Sports,AJ6VTWYn,AJ6VTWYn,1,1,,,,0
1500476400,Dynamo Abomey,Pantheres,drPztuz7,ldh6X0GI,1,0,,,,0
1500476400,Dragons,Requins,SlMulgD4,drPztuz7,1,0,,,,0
1500476400,Avrankou Omnisport,Mambas Noirs,IJECrROJ,zJeFjc0H,1,0,,,,0
1500476400,ASPAC,Bembereke,AJ6VTWYn,zmwmkyOF,0,1,,,,0
1500476400,AS Sobemap,Ayema,AJ6VTWYn,Eymq8WHM,1,1,,,,0
1500562800,JAP,ASOS,,IJECrROJ,0,0,,,,0
1501081200,Mambas Noirs,JAP,zJeFjc0H,,0,2,,,,0
1501081200,ASOS,FC Loto,IJECrROJ,drPztuz7,0,0,,,,0
1501421400,FC Loto,Soleil,drPztuz7,zJeFjc0H,2,0,,,,0
1501513200,Police,Buffles du Borgou,lCxMaEY9,QNEfHZk3,0,2,,,,0
1501945200,Soleil,JAP,zJeFjc0H,,0,0,,,,0
1501945200,Requins,FC Loto,drPztuz7,drPztuz7,0,0,,,,0
1501945200,Dragons,AS Sobemap,SlMulgD4,AJ6VTWYn,0,0,,,,0
1501945200,Ayema,Avrankou Omnisport,Eymq8WHM,IJECrROJ,0,0,,,,0
1502026200,Energie Sports,Police,AJ6VTWYn,lCxMaEY9,3,0,,,,0
1502031600,Tonnerre,Dynamo Abomey,AJ6VTWYn,drPztuz7,0,1,,,,0
1502031600,Pantheres,Agonlin,ldh6X0GI,,2,1,,,,0
1502031600,Mambas Noirs,ASOS,zJeFjc0H,IJECrROJ,1,2,,,,0
1502031600,ASPAC,Buffles du Borgou,AJ6VTWYn,QNEfHZk3,0,0,,,,0
1502636400,Mambas Noirs,Soleil,zJeFjc0H,zJeFjc0H,0,1,,,,0
1502636400,Dynamo Abomey,Police,drPztuz7,lCxMaEY9,0,2,,,,0
1502636400,Ayema,Dragons,Eymq8WHM,SlMulgD4,1,0,,,,0
1502636400,ASOS,Avrankou Omnisport,IJECrROJ,IJECrROJ,2,0,,,,0
1502636400,Agonlin,Tonnerre,,AJ6VTWYn,2,2,,,,0
1502982000,Requins,Mambas Noirs,drPztuz7,zJeFjc0H,1,0,,,,0
1502982000,Avrankou Omnisport,Dragons,IJECrROJ,SlMulgD4,0,0,,,,0
1502982000,ASOS,Soleil,IJECrROJ,zJeFjc0H,1,1,,,,0
1503068400,Police,Agonlin,lCxMaEY9,,3,0,,,,0
1503068400,Pantheres,Tonnerre,ldh6X0GI,AJ6VTWYn,3,2,,,,0
1503068400,Bembereke,Energie Sports,zmwmkyOF,AJ6VTWYn,1,1,,,,0
1503495000,Requins,ASOS,drPztuz7,IJECrROJ,0,0,,,,0
1503500400,Soleil,Avrankou Omnisport,zJeFjc0H,IJECrROJ,2,0,,,,0
1503500400,Mambas Noirs,AS Sobemap,zJeFjc0H,AJ6VTWYn,0,2,,,,0
1503500400,Bembereke,Dynamo Abomey,zmwmkyOF,drPztuz7,2,0,,,,0
1503586800,Police,Pantheres,lCxMaEY9,ldh6X0GI,1,1,,,,0
