timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1014584400,Wilstermann,The Strongest,1,0,,,,0
1014584400,San Jose,Real Potosi,3,1,,,,0
1014584400,Oriente Petrolero,Iberoamericana,6,0,,,,0
1014584400,Mariscal,Blooming,1,2,,,,0
1014584400,Bolivar,Guabira,7,0,,,,0
1015102800,Iberoamericana,Real Potosi,0,2,,,,0
1015189200,The Strongest,Oriente Petrolero,2,1,,,,0
1015189200,Independiente,San Jose,1,1,,,,0
1015189200,Guabira,Wilstermann,3,1,,,,0
1015189200,Central Union,Mariscal,2,0,,,,0
1015362000,Blooming,Bolivar,2,1,,,,0
1015707600,Wilstermann,Blooming,4,1,,,,0
1015707600,San Jose,Iberoamericana,2,1,,,,0
1015707600,Real Potosi,The Strongest,2,2,,,,0
1015707600,Oriente Petrolero,Guabira,8,0,,,,0
1015707600,Mariscal,Independiente,0,2,,,,0
1015707600,Bolivar,Central Union,3,1,,,,0
1016312400,The Strongest,Iberoamericana,2,1,,,,0
1016312400,Independiente,Bolivar,0,2,,,,0
1016312400,Guabira,Real Potosi,3,1,,,,0
1016398800,Mariscal,San Jose,2,1,,,,0
1016398800,Central Union,Wilstermann,2,2,,,,0
1016398800,Blooming,Oriente Petrolero,2,4,,,,0
1017003600,Wilstermann,Independiente,2,0,,,,0
1017003600,San Jose,The Strongest,1,5,,,,0
1017003600,Real Potosi,Blooming,3,2,,,,0
1017003600,Oriente Petrolero,Central Union,4,1,,,,0
1017003600,Iberoamericana,Guabira,6,0,,,,0
1017522000,Independiente,Oriente Petrolero,2,0,,,,0
1017604800,Mariscal,Wilstermann,0,2,,,,0
1017604800,Guabira,The Strongest,1,0,,,,0
1017604800,Central Union,Real Potosi,3,0,,,,0
1017604800,Bolivar,San Jose,2,0,,,,0
1017604800,Blooming,Iberoamericana,1,0,,,,0
1017864000,Bolivar,Mariscal,6,1,,,,0
1018123200,Wilstermann,Bolivar,2,3,,,,0
1018123200,The Strongest,Blooming,2,1,,,,0
1018123200,San Jose,Guabira,3,1,,,,0
1018123200,Real Potosi,Independiente,4,1,,,,0
1018123200,Iberoamericana,Central Union,1,0,,,,0
1018814400,Wilstermann,San Jose,2,2,,,,0
1018814400,Mariscal,Real Potosi,1,1,,,,0
1018814400,Independiente,Iberoamericana,1,1,,,,0
1018814400,Central Union,The Strongest,1,1,,,,0
1018814400,Bolivar,Oriente Petrolero,4,1,,,,0
1018814400,Blooming,Guabira,3,1,,,,0
1019332800,The Strongest,Independiente,2,0,,,,0
1019419200,San Jose,Blooming,6,0,,,,0
1019419200,Real Potosi,Bolivar,2,3,,,,0
1019419200,Oriente Petrolero,Wilstermann,2,1,,,,0
1019419200,Iberoamericana,Mariscal,2,1,,,,0
1019419200,Guabira,Central Union,0,1,,,,0
1019678400,Independiente,Central Union,1,2,,,,0
1020024000,Wilstermann,Real Potosi,5,0,,,,0
1020024000,Oriente Petrolero,San Jose,2,1,,,,0
1020024000,Mariscal,The Strongest,0,1,,,,0
1020024000,Independiente,Guabira,3,1,,,,0
1020024000,Central Union,Blooming,1,1,,,,0
1020024000,Bolivar,Iberoamericana,4,0,,,,0
1020283200,The Strongest,Bolivar,3,2,,,,0
1020283200,San Jose,Central Union,3,3,,,,0
1020283200,Real Potosi,Oriente Petrolero,5,5,,,,0
1020283200,Blooming,Independiente,3,1,,,,0
1020369600,Iberoamericana,Wilstermann,2,1,,,,0
1020369600,Guabira,Mariscal,2,1,,,,0
1020542400,Iberoamericana,Oriente Petrolero,2,0,,,,0
1020628800,The Strongest,Wilstermann,2,4,,,,0
1020628800,Real Potosi,San Jose,3,2,,,,0
1020628800,Guabira,Bolivar,0,0,,,,0
1020628800,Central Union,Independiente,4,2,,,,0
1020628800,Blooming,Mariscal,4,0,,,,0
1020888000,Oriente Petrolero,Mariscal,4,2,,,,0
1021924800,Wilstermann,Guabira,2,2,,,,0
1021924800,San Jose,Independiente,2,3,,,,0
1021924800,Real Potosi,Iberoamericana,1,2,,,,0
1021924800,Oriente Petrolero,The Strongest,2,1,,,,0
1021924800,Mariscal,Central Union,1,0,,,,0
1021924800,Bolivar,Blooming,4,1,,,,0
1022356800,The Strongest,Real Potosi,1,1,,,,0
1022443200,Independiente,Mariscal,1,1,,,,0
1022443200,Iberoamericana,San Jose,2,1,,,,0
1022443200,Guabira,Oriente Petrolero,0,0,,,,0
1022443200,Central Union,Bolivar,1,0,,,,0
1022443200,Blooming,Wilstermann,4,2,,,,0
1022961600,Wilstermann,Central Union,2,1,,,,0
1022961600,Bolivar,Independiente,5,0,,,,0
1023048000,San Jose,Mariscal,2,0,,,,0
1023048000,Real Potosi,Guabira,4,0,,,,0
1023048000,Oriente Petrolero,Blooming,0,2,,,,0
1023048000,Iberoamericana,The Strongest,0,1,,,,0
1023566400,Mariscal,Bolivar,0,2,,,,0
1023652800,The Strongest,San Jose,3,1,,,,0
1023652800,Independiente,Wilstermann,2,2,,,,0
1023652800,Guabira,Iberoamericana,2,0,,,,0
1023652800,Central Union,Oriente Petrolero,0,2,,,,0
1023652800,Blooming,Real Potosi,1,0,,,,0
1023912000,Wilstermann,Mariscal,0,0,,,,0
1023912000,San Jose,Bolivar,0,2,,,,0
1023912000,Real Potosi,Central Union,4,2,,,,0
1023912000,Oriente Petrolero,Independiente,6,0,,,,0
1023912000,Iberoamericana,Blooming,5,1,,,,0
1023998400,The Strongest,Guabira,2,1,,,,0
1024257600,Mariscal,Oriente Petrolero,3,1,,,,0
1024257600,Independiente,Real Potosi,3,1,,,,0
1024257600,Guabira,San Jose,0,1,,,,0
1024257600,Central Union,Iberoamericana,2,1,,,,0
1024257600,Bolivar,Wilstermann,2,1,,,,0
1024257600,Blooming,The Strongest,1,0,,,,0
1024776000,Iberoamericana,Independiente,0,0,,,,0
1024862400,The Strongest,Central Union,2,0,,,,0
1024862400,San Jose,Wilstermann,0,1,,,,0
1024862400,Real Potosi,Mariscal,6,1,,,,0
1024862400,Oriente Petrolero,Bolivar,4,1,,,,0
1024862400,Guabira,Blooming,4,1,,,,0
1025121600,Mariscal,Iberoamericana,2,3,,,,0
1025121600,Central Union,Guabira,0,0,,,,0
1025121600,Bolivar,Real Potosi,1,0,,,,0
1025121600,Blooming,San Jose,4,2,,,,0
1025640000,Wilstermann,Oriente Petrolero,4,2,,,,0
1025640000,Independiente,The Strongest,0,1,,,,0
1025985600,The Strongest,Mariscal,3,0,,,,0
1026072000,San Jose,Oriente Petrolero,1,1,,,,0
1026072000,Real Potosi,Wilstermann,4,3,,,,0
1026072000,Iberoamericana,Bolivar,3,0,,,,0
1026072000,Guabira,Independiente,1,0,,,,0
1026072000,Blooming,Central Union,4,1,,,,0
1026417600,Wilstermann,Iberoamericana,2,1,,,,0
1026676800,Oriente Petrolero,Real Potosi,6,1,,,,0
1026676800,Mariscal,Guabira,0,1,,,,0
1026676800,Independiente,Blooming,3,2,,,,0
1026676800,Central Union,San Jose,1,0,,,,0
1026676800,Bolivar,The Strongest,2,1,,,,0
1028404800,The Strongest,Mariscal,2,0,,,,0
1028491200,Real Potosi,Wilstermann,2,0,,,,0
1028491200,Iberoamericana,Bolivar,1,3,,,,0
1028491200,Guabira,Independiente,1,1,,,,0
1028491200,Central Union,Oriente Petrolero,0,0,,,,0
1028491200,Blooming,San Jose,7,2,,,,0
1029096000,Wilstermann,Blooming,6,1,,,,0
1029096000,San Jose,The Strongest,2,1,,,,0
1029096000,Oriente Petrolero,Guabira,1,1,,,,0
1029096000,Mariscal,Iberoamericana,2,0,,,,0
1029096000,Independiente,Real Potosi,1,1,,,,0
1029096000,Bolivar,Central Union,5,1,,,,0
1029355200,The Strongest,Wilstermann,2,2,,,,0
1029355200,Mariscal,San Jose,1,1,,,,0
1029355200,Guabira,Bolivar,2,2,,,,0
1029355200,Central Union,Iberoamericana,3,0,,,,0
1029355200,Blooming,Independiente,3,1,,,,0
1029700800,Wilstermann,San Jose,4,2,,,,0
1029700800,Oriente Petrolero,Blooming,2,4,,,,0
1029700800,Independiente,The Strongest,2,1,,,,0
1029700800,Iberoamericana,Guabira,0,1,,,,0
1029700800,Bolivar,Real Potosi,2,1,,,,0
1029960000,Real Potosi,Oriente Petrolero,3,3,,,,0
1030305600,The Strongest,Oriente Petrolero,4,3,,,,0
1030305600,San Jose,Independiente,1,1,,,,0
1030305600,Real Potosi,Iberoamericana,1,0,,,,0
1030305600,Mariscal,Wilstermann,1,1,,,,0
1030305600,Guabira,Central Union,2,1,,,,0
1030305600,Blooming,Bolivar,1,1,,,,0
1030737600,Guabira,Mariscal,2,1,,,,0
1030824000,Independiente,Wilstermann,0,1,,,,0
1030910400,The Strongest,Bolivar,0,0,,,,0
1030910400,Oriente Petrolero,San Jose,4,1,,,,0
1030910400,Central Union,Real Potosi,1,1,,,,0
1031083200,Iberoamericana,Blooming,2,1,,,,0
1031428800,The Strongest,Iberoamericana,3,1,,,,0
1031515200,Wilstermann,Oriente Petrolero,1,2,,,,0
1031515200,San Jose,Bolivar,0,3,,,,0
1031515200,Real Potosi,Guabira,4,1,,,,0
1031515200,Mariscal,Independiente,2,0,,,,0
1031515200,Blooming,Central Union,4,1,,,,0
1031774400,Real Potosi,Mariscal,4,1,,,,0
1031774400,Iberoamericana,San Jose,1,2,,,,0
1031774400,Guabira,Blooming,1,2,,,,0
1031774400,Central Union,The Strongest,0,0,,,,0
1032120000,Wilstermann,Iberoamericana,3,0,,,,0
1032120000,The Strongest,Guabira,4,0,,,,0
1032120000,San Jose,Central Union,2,1,,,,0
1032120000,Mariscal,Oriente Petrolero,2,4,,,,0
1032120000,Independiente,Bolivar,0,1,,,,0
1032120000,Blooming,Real Potosi,3,1,,,,0
1032724800,Real Potosi,The Strongest,3,2,,,,0
1032724800,Oriente Petrolero,Independiente,1,0,,,,0
1032724800,Guabira,San Jose,2,1,,,,0
1032724800,Central Union,Wilstermann,1,3,,,,0
1032724800,Blooming,Mariscal,3,1,,,,0
1033848000,Bolivar,Iberoamericana,5,1,,,,0
1033934400,Wilstermann,Real Potosi,2,2,,,,0
1033934400,San Jose,Blooming,3,2,,,,0
1033934400,Oriente Petrolero,Central Union,3,0,,,,0
1033934400,Mariscal,The Strongest,1,3,,,,0
1033934400,Independiente,Guabira,2,0,,,,0
1034452800,The Strongest,San Jose,5,2,,,,0
1034452800,Guabira,Oriente Petrolero,1,7,,,,0
1034539200,Real Potosi,Independiente,3,2,,,,0
1034539200,Iberoamericana,Mariscal,2,0,,,,0
1034539200,Central Union,Bolivar,1,0,,,,0
1034539200,Blooming,Wilstermann,1,0,,,,0
1034798400,Wilstermann,The Strongest,1,1,,,,0
1034798400,San Jose,Mariscal,1,0,,,,0
1034798400,Oriente Petrolero,Real Potosi,6,1,,,,0
1034798400,Independiente,Blooming,1,1,,,,0
1034798400,Iberoamericana,Central Union,2,1,,,,0
1034798400,Bolivar,Guabira,5,0,,,,0
1035144000,The Strongest,Independiente,2,2,,,,0
1035144000,San Jose,Wilstermann,2,0,,,,0
1035144000,Real Potosi,Bolivar,0,4,,,,0
1035144000,Mariscal,Central Union,2,1,,,,0
1035144000,Guabira,Iberoamericana,2,0,,,,0
1035144000,Blooming,Oriente Petrolero,1,2,,,,0
1035403200,Central Union,Mariscal,2,1,,,,0
1035752400,Wilstermann,Mariscal,2,1,,,,0
1035752400,Oriente Petrolero,The Strongest,2,0,,,,0
1035752400,Independiente,San Jose,3,1,,,,0
1035752400,Iberoamericana,Real Potosi,2,1,,,,0
1035752400,Central Union,Guabira,1,1,,,,0
1035752400,Bolivar,Blooming,10,1,,,,0
