date,home_team,away_team,home_score,away_score
13.12. 20:30,Bolivar,Real Potosi,3,4
10.12. 01:00,Real Potosi,Bolivar,1,1
04.12. 01:00,Bolivar,Oriente Petrolero,2,1
03.12. 01:00Pen,The Strongest,Real Potosi,1,2
29.11. 20:45,Bolivar,Oriente Petrolero,2,2
28.11. 21:00,The Strongest,Real Potosi,2,1
27.11. 01:30,Oriente Petrolero,Bolivar,2,2
24.11. 02:20,U. Sucre,Bolivar,3,4
22.11. 21:00,Aurora,The Strongest,0,1
19.11. 01:00,The Strongest,Aurora,3,0
15.11. 21:00,Aurora,Blooming,3,1
15.11. 21:00,Real Mamore,The Strongest,2,2
15.11. 20:30Pen,Real Potosi,Wilstermann,3,1
15.11. 00:00Pen,Oriente Petrolero,San Jose,2,0
09.11. 00:00,Blooming,Aurora,2,1
08.11. 22:00,The Strongest,Real Mamore,3,2
08.11. 20:00,Bolivar,U. Sucre,2,1
08.11. 01:00,Wilstermann,Real Potosi,2,1
07.11. 20:30,San Jose,Oriente Petrolero,2,0
06.11. 01:00,Bolivar,The Strongest,2,3
06.11. 01:00,U. Sucre,Real Mamore,3,0
05.11. 01:30,Blooming,Oriente Petrolero,1,1
05.11. 01:00,San Jose,La Paz,1,0
05.11. 01:00,Wilstermann,Aurora,1,1
02.11. 00:00,Oriente Petrolero,Blooming,1,0
01.11. 22:00,The Strongest,Bolivar,0,3
01.11. 21:00,Real Mamore,U. Sucre,0,0
01.11. 20:00,Aurora,Wilstermann,1,3
31.10. 20:30,La Paz,San Jose,0,1
22.10. 02:00,Bolivar,Blooming,1,1
19.10. 00:00,Blooming,Bolivar,1,0
01.10. 03:00,Blooming,Oriente Petrolero,1,0
01.10. 01:00,Bolivar,The Strongest,2,1
28.09. 02:30,Oriente Petrolero,Blooming,3,2
28.09. 02:00,The Strongest,Bolivar,1,2
25.09. 02:00,The Strongest,U. Sucre,2,1
25.09. 00:00,Blooming,Real Potosi,1,0
24.09. 02:30,Oriente Petrolero,Bolivar,0,0
21.09. 21:30,Bolivar,Oriente Petrolero,1,1
21.09. 21:30,Real Potosi,Blooming,0,0
21.09. 00:00,U. Sucre,The Strongest,2,2
18.09. 02:00,La Paz,Real Mamore,2,3
18.09. 02:00,Nacional Potosi,Wilstermann,1,2
17.09. 02:00,Aurora,Real Potosi,1,0
17.09. 02:00,Bolivar,Blooming,4,1
17.09. 02:00,Oriente Petrolero,The Strongest,1,0
17.09. 02:00,San Jose,U. Sucre,1,2
14.09. 00:00,Blooming,Nacional Potosi,2,1
14.09. 00:00,Real Mamore,Aurora,3,0
14.09. 00:00,U. Sucre,Bolivar,0,0
14.09. 00:00,Wilstermann,San Jose,1,0
13.09. 22:00,Real Potosi,Oriente Petrolero,3,0
13.09. 21:30,The Strongest,La Paz,3,2
04.09. 02:10,U. Sucre,Blooming,2,0
03.09. 02:30,Real Mamore,La Paz,2,0
31.08. 00:00,Blooming,Wilstermann,2,1
30.08. 22:00,Aurora,The Strongest,0,1
30.08. 22:00,Bolivar,San Jose,2,2
30.08. 22:00,Real Mamore,Real Potosi,3,1
30.08. 20:00,La Paz,Oriente Petrolero,3,0
29.08. 21:30,Nacional Potosi,U. Sucre,0,0
28.08. 02:00,Wilstermann,Bolivar,0,2
27.08. 21:30,Oriente Petrolero,Aurora,2,0
27.08. 21:30,Real Potosi,La Paz,4,2
27.08. 21:30,San Jose,Nacional Potosi,1,1
27.08. 21:30,The Strongest,Real Mamore,2,1
24.08. 01:00,Oriente Petrolero,Blooming,2,2
23.08. 23:00,Aurora,Wilstermann,2,1
23.08. 22:00,Real Mamore,U. Sucre,1,0
23.08. 21:30,Real Potosi,Nacional Potosi,4,1
23.08. 21:30,San Jose,La Paz,2,2
23.08. 21:00,Bolivar,The Strongest,3,1
20.08. 02:00,Blooming,Bolivar,2,1
17.08. 00:00,Blooming,San Jose,1,1
16.08. 22:00,Aurora,La Paz,1,1
16.08. 22:00,Real Mamore,Oriente Petrolero,1,4
16.08. 21:30,Nacional Potosi,Bolivar,0,3
16.08. 21:30,U. Sucre,Wilstermann,2,1
15.08. 21:30,Real Potosi,The Strongest,1,3
14.08. 02:00,U. Sucre,San Jose,1,3
14.08. 02:00,Wilstermann,Nacional Potosi,2,0
13.08. 00:00,Real Potosi,Aurora,2,0
13.08. 00:00,The Strongest,Oriente Petrolero,2,0
10.08. 00:00,Oriente Petrolero,Real Potosi,1,0
09.08. 21:30,La Paz,The Strongest,2,2
09.08. 21:30,San Jose,Wilstermann,2,2
08.08. 22:00,Aurora,Real Mamore,3,0
08.08. 21:30,Nacional Potosi,Blooming,2,0
08.08. 18:00,Bolivar,U. Sucre,2,1
06.08. 02:30,Oriente Petrolero,Real Mamore,1,0
03.08. 01:00,Blooming,Oriente Petrolero,1,1
02.08. 23:00,Wilstermann,Aurora,2,1
02.08. 21:30,Nacional Potosi,Real Potosi,0,2
02.08. 21:30,U. Sucre,Real Mamore,1,0
02.08. 21:00,The Strongest,Bolivar,1,2
01.08. 19:30,La Paz,San Jose,1,5
31.07. 02:30,Oriente Petrolero,La Paz,0,0
31.07. 02:00,Real Potosi,Real Mamore,2,0
31.07. 02:00,The Strongest,Aurora,1,0
31.07. 02:00,U. Sucre,Nacional Potosi,1,0
30.07. 02:00,San Jose,Bolivar,2,2
30.07. 02:00,Wilstermann,Blooming,0,1
27.07. 00:00,Blooming,U. Sucre,4,0
26.07. 22:00,Bolivar,Wilstermann,1,1
26.07. 22:00,Nacional Potosi,San Jose,2,1
26.07. 22:00,Real Mamore,The Strongest,2,2
26.07. 20:00,La Paz,Real Potosi,2,3
25.07. 21:45,Aurora,Oriente Petrolero,0,0
19.07. 18:00,Bolivar,Nacional Potosi,3,2
19.07. 18:00,La Paz,Aurora,1,0
19.07. 18:00,San Jose,Blooming,4,0
19.07. 18:00,Wilstermann,U. Sucre,1,1
18.07. 21:30,The Strongest,Real Potosi,1,1
05.07. 22:00,Aurora,Real Potosi,1,4
05.07. 22:00,Blooming,San Jose,1,0
05.07. 22:00,Nacional Potosi,La Paz,2,2
05.07. 22:00,Real Mamore,Bolivar,1,2
05.07. 22:00,The Strongest,Oriente Petrolero,5,3
05.07. 22:00,U. Sucre,Wilstermann,2,0
29.06. 00:00,Blooming,The Strongest,1,1
28.06. 22:00,Aurora,U. Sucre,1,0
28.06. 22:00,Bolivar,Oriente Petrolero,1,0
28.06. 22:00,Real Mamore,Nacional Potosi,5,4
28.06. 22:00,Real Potosi,La Paz,3,1
28.06. 22:00,San Jose,Wilstermann,2,1
26.06. 02:00,La Paz,San Jose,5,0
26.06. 02:00,The Strongest,Aurora,1,0
26.06. 02:00,Wilstermann,Oriente Petrolero,1,1
25.06. 02:30,Blooming,Bolivar,0,2
25.06. 02:00,Nacional Potosi,Real Potosi,1,1
25.06. 02:00,U. Sucre,Real Mamore,4,1
22.06. 00:00,Aurora,Blooming,0,1
22.06. 00:00,Oriente Petrolero,La Paz,2,1
21.06. 22:00,Real Mamore,The Strongest,1,1
21.06. 21:30,Bolivar,Wilstermann,0,0
21.06. 21:30,Real Potosi,U. Sucre,2,0
20.06. 21:30,San Jose,Nacional Potosi,2,2
15.06. 00:00,Blooming,Real Mamore,1,1
14.06. 22:00,The Strongest,Real Potosi,0,0
14.06. 21:30,Nacional Potosi,Oriente Petrolero,1,5
14.06. 21:30,U. Sucre,San Jose,1,0
14.06. 20:00,La Paz,Wilstermann,2,2
13.06. 21:30,Bolivar,Aurora,3,0
31.05. 22:00,Oriente Petrolero,U. Sucre,2,0
31.05. 22:00,Real Mamore,Aurora,4,0
31.05. 22:00,Real Potosi,Blooming,3,1
31.05. 22:00,San Jose,The Strongest,5,1
31.05. 22:00,Wilstermann,Nacional Potosi,3,1
30.05. 21:30,Bolivar,La Paz,1,0
29.05. 02:30,Oriente Petrolero,San Jose,3,1
29.05. 02:00,Nacional Potosi,Aurora,0,0
29.05. 02:00,The Strongest,Bolivar,1,2
29.05. 02:00,Wilstermann,Real Potosi,2,1
28.05. 01:00,U. Sucre,Blooming,4,0
27.05. 21:00,La Paz,Real Mamore,5,1
24.05. 22:00,Bolivar,Nacional Potosi,4,2
24.05. 22:00,La Paz,U. Sucre,2,1
24.05. 22:00,Oriente Petrolero,Blooming,2,0
24.05. 22:00,Real Potosi,Real Mamore,4,0
24.05. 22:00,San Jose,Aurora,3,0
23.05. 22:00,Wilstermann,The Strongest,1,2
19.05. 02:30,Aurora,Oriente Petrolero,0,0
18.05. 00:00,Blooming,Wilstermann,1,1
17.05. 22:00,Real Mamore,San Jose,2,3
17.05. 22:00,Real Potosi,Bolivar,2,2
17.05. 22:00,The Strongest,La Paz,2,1
17.05. 22:00,U. Sucre,Nacional Potosi,3,1
15.05. 02:30,Oriente Petrolero,Real Mamore,1,0
15.05. 02:00,Wilstermann,Aurora,0,2
14.05. 02:00,La Paz,Blooming,2,0
14.05. 02:00,Nacional Potosi,The Strongest,3,0
14.05. 02:00,San Jose,Real Potosi,5,3
14.05. 02:00,U. Sucre,Bolivar,2,1
11.05. 00:00,Blooming,Nacional Potosi,2,0
10.05. 22:00,Real Mamore,Wilstermann,2,1
10.05. 22:00,The Strongest,U. Sucre,2,1
10.05. 21:30,Real Potosi,Oriente Petrolero,0,0
10.05. 21:30,San Jose,Bolivar,2,2
10.05. 20:00,La Paz,Aurora,2,3
04.05. 00:00,Blooming,U. Sucre,2,1
03.05. 22:00,Aurora,Nacional Potosi,0,3
03.05. 22:00,Real Mamore,La Paz,1,3
03.05. 21:30,Bolivar,The Strongest,2,2
03.05. 21:30,San Jose,Oriente Petrolero,6,1
02.05. 22:00,Real Potosi,Wilstermann,4,0
27.04. 00:00,Oriente Petrolero,Bolivar,1,0
26.04. 22:00,La Paz,Real Potosi,1,1
26.04. 22:00,Nacional Potosi,Real Mamore,2,0
26.04. 22:00,The Strongest,Blooming,3,2
26.04. 22:00,U. Sucre,Aurora,2,1
25.04. 22:00,Wilstermann,San Jose,0,3
20.04. 00:00,Aurora,The Strongest,3,1
