timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1314489600,San Jose,Real Potosi,0,2,,,,0
1314559800,U. Sucre,Bolivar,1,1,,,,0
1314559800,The Strongest,La Paz,6,2,,,,0
1314561600,Real Mamore,Oriente Petrolero,1,4,,,,0
1314568800,Blooming,Guabira,1,3,,,,0
1315440000,San Jose,U. Sucre,0,1,,,,0
1315440000,Real Potosi,Blooming,5,0,,,,0
1315440000,Real Mamore,Aurora,0,2,,,,0
1315440000,La Paz,Nacional Potosi,0,4,,,,0
1315441800,Oriente Petrolero,The Strongest,1,1,,,,0
1315526400,Bolivar,Guabira,6,1,,,,0
1315769400,U. Sucre,Real Potosi,1,1,,,,0
1315769400,Nacional Potosi,Oriente Petrolero,4,2,,,,0
1315770300,The Strongest,Real Mamore,9,1,,,,0
1315771200,Aurora,La Paz,2,0,,,,0
1315778400,Blooming,Bolivar,1,0,,,,0
1315782000,Guabira,San Jose,1,0,,,,0
1316030400,Aurora,Nacional Potosi,2,0,,,,0
1316287800,La Paz,U. Sucre,2,1,,,,0
1316374200,The Strongest,Bolivar,3,5,,,,0
1316374200,Nacional Potosi,Real Potosi,0,0,,,,0
1316376000,Real Mamore,Guabira,0,2,,,,0
1316383200,Oriente Petrolero,Blooming,1,1,,,,0
1316892600,U. Sucre,Blooming,4,3,,,,0
1316979000,The Strongest,Aurora,2,1,,,,0
1316979000,San Jose,Bolivar,0,0,,,,0
1316979000,Real Potosi,Guabira,6,0,,,,0
1316980800,Real Mamore,Nacional Potosi,2,0,,,,0
1316988000,Oriente Petrolero,La Paz,3,1,,,,0
1317254400,Aurora,San Jose,2,0,,,,0
1318636800,Nacional Potosi,The Strongest,2,1,,,,0
1318897800,Blooming,San Jose,0,0,,,,0
1318982400,Guabira,U. Sucre,2,2,,,,0
1318982400,Bolivar,Real Potosi,1,1,,,,0
1319052300,La Paz,Real Mamore,3,1,,,,0
1319068800,Aurora,Oriente Petrolero,0,3,,,,0
1319311800,Nacional Potosi,Aurora,1,2,,,,0
1319328000,Bolivar,U. Sucre,1,2,,,,0
1319398200,Real Potosi,San Jose,0,2,,,,0
1319398200,La Paz,The Strongest,3,3,,,,0
1319407200,Oriente Petrolero,Real Mamore,4,1,,,,0
1319407200,Guabira,Blooming,0,2,,,,0
1319925600,Guabira,Real Mamore,2,0,,,,0
1319936400,Bolivar,The Strongest,3,1,,,,0
1320000900,Real Potosi,Nacional Potosi,0,0,,,,0
1320003000,U. Sucre,La Paz,2,0,,,,0
1320008400,San Jose,Aurora,2,1,,,,0
1320015600,Blooming,Oriente Petrolero,1,2,,,,0
1321731000,La Paz,Aurora,1,5,,,,0
1321817400,San Jose,Guabira,2,0,,,,0
1321817400,Real Potosi,U. Sucre,1,0,,,,0
1321819200,Real Mamore,The Strongest,1,0,,,,0
1321819200,Bolivar,Blooming,2,0,,,,0
1321826400,Oriente Petrolero,Nacional Potosi,4,1,,,,0
1322085600,La Paz,Oriente Petrolero,1,0,,,,0
1322092800,Bolivar,San Jose,0,0,,,,0
1322179200,Nacional Potosi,Real Mamore,9,0,,,,0
1322179200,Guabira,Real Potosi,3,2,,,,0
1322179200,Aurora,The Strongest,2,1,,,,0
1322181000,Blooming,U. Sucre,1,1,,,,0
1322424000,U. Sucre,Guabira,2,1,,,,0
1322424000,The Strongest,Nacional Potosi,2,2,,,,0
1322424000,San Jose,Blooming,3,0,,,,0
1322424000,Real Potosi,Bolivar,1,3,,,,0
1322424000,Real Mamore,La Paz,2,3,,,,0
1322431200,Oriente Petrolero,Aurora,2,1,,,,0
1322697600,U. Sucre,San Jose,0,1,,,,0
1322697600,The Strongest,Oriente Petrolero,5,0,,,,0
1322697600,Nacional Potosi,La Paz,0,0,,,,0
1322697600,Guabira,Bolivar,1,0,,,,0
1322697600,Blooming,Real Potosi,1,1,,,,0
1322697600,Aurora,Real Mamore,3,1,,,,0
1322956800,Bolivar,The Strongest,1,0,,,,0
1323025200,San Jose,Aurora,1,0,,,,0
1323032400,Nacional Potosi,U. Sucre,2,3,,,,0
1323043200,Guabira,Oriente Petrolero,0,0,,,,0
1323302400,U. Sucre,Nacional Potosi,1,0,,,,0
1323302400,The Strongest,Bolivar,4,0,,,,0
1323302400,Aurora,San Jose,0,2,,,,0
1323304200,Oriente Petrolero,Guabira,4,1,,,,0
1323644400,U. Sucre,San Jose,2,0,,,,0
1323723600,The Strongest,Oriente Petrolero,5,3,,,,0
1323892800,San Jose,U. Sucre,1,0,,,,0
1323909000,Oriente Petrolero,The Strongest,1,0,,,,0
1324238400,The Strongest,U. Sucre,2,0,,,,0
1324245600,Oriente Petrolero,San Jose,1,1,,,,0
1324497600,San Jose,Oriente Petrolero,1,2,,,,0
1324598400,U. Sucre,The Strongest,1,1,,,,0
1327784400,Guabira,La Paz,2,3,,,,0
1327865400,San Jose,U. Sucre,1,1,,,,0
1327865400,Nacional Potosi,The Strongest,1,0,,,,0
1327867200,Real Mamore,Oriente Petrolero,2,1,,,,0
1327874400,Blooming,Aurora,2,0,,,,0
1328133600,La Paz,San Jose,1,3,,,,0
1328140800,U. Sucre,Nacional Potosi,1,1,,,,0
1328140800,The Strongest,Oriente Petrolero,5,1,,,,0
1328142600,Blooming,Real Mamore,1,1,,,,0
1328227200,Aurora,Bolivar,2,2,,,,0
1328383800,Nacional Potosi,La Paz,2,1,,,,0
1328470200,San Jose,Real Potosi,1,0,,,,0
1328472000,Real Mamore,The Strongest,1,1,,,,0
1328472000,Guabira,Aurora,2,0,,,,0
1328472000,Bolivar,Blooming,5,0,,,,0
1328481000,Oriente Petrolero,U. Sucre,2,1,,,,0
1328731200,La Paz,Oriente Petrolero,0,1,,,,0
1328745600,U. Sucre,The Strongest,2,1,,,,0
1328745600,Real Potosi,Nacional Potosi,1,2,,,,0
1328747400,Blooming,Guabira,2,0,,,,0
1328832000,Aurora,San Jose,1,1,,,,0
1328997600,The Strongest,La Paz,1,0,,,,0
1329075000,Nacional Potosi,Aurora,2,0,,,,0
1329076800,Real Mamore,U. Sucre,1,0,,,,0
1329076800,Guabira,Bolivar,1,1,,,,0
1329085800,Oriente Petrolero,Real Potosi,0,2,,,,0
1329179400,Blooming,San Jose,2,0,,,,0
1329436800,Bolivar,Real Potosi,2,2,,,,0
1330207200,Guabira,Real Mamore,0,2,,,,0
1330216200,Blooming,Nacional Potosi,2,0,,,,0
1330279200,La Paz,U. Sucre,2,1,,,,0
1330284600,Real Potosi,The Strongest,2,1,,,,0
1330286400,Bolivar,San Jose,2,0,,,,0
1330286400,Aurora,Oriente Petrolero,3,1,,,,0
1330889400,San Jose,Guabira,6,2,,,,0
1330889400,Nacional Potosi,Bolivar,1,1,,,,0
1330891200,U. Sucre,Real Potosi,5,0,,,,0
1330891200,The Strongest,Aurora,1,2,,,,0
1330891200,Real Mamore,La Paz,0,1,,,,0
1330900200,Oriente Petrolero,Blooming,2,0,,,,0
1331164800,Real Potosi,La Paz,1,2,,,,0
1331164800,Aurora,U. Sucre,0,2,,,,0
1331236800,San Jose,Real Mamore,3,0,,,,0
1331251200,Guabira,Nacional Potosi,1,1,,,,0
1331253000,Blooming,The Strongest,3,0,,,,0
1331407800,La Paz,Aurora,2,1,,,,0
1331494200,Nacional Potosi,San Jose,1,4,,,,0
1331496000,U. Sucre,Blooming,0,1,,,,0
1331496000,The Strongest,Bolivar,1,1,,,,0
1331496000,Real Mamore,Real Potosi,1,0,,,,0
1331505000,Oriente Petrolero,Guabira,2,0,,,,0
1331771400,Oriente Petrolero,Bolivar,1,1,,,,0
1332012600,Nacional Potosi,Real Mamore,4,2,,,,0
1332030600,Blooming,La Paz,2,2,,,,0
1332099000,San Jose,Oriente Petrolero,2,2,,,,0
1332100800,Bolivar,U. Sucre,0,0,,,,0
1332100800,Aurora,Real Potosi,2,0,,,,0
1332460800,Real Potosi,Guabira,6,2,,,,0
1332619200,The Strongest,San Jose,2,2,,,,0
1332703800,Real Potosi,Blooming,0,1,,,,0
1332705600,U. Sucre,Guabira,4,1,,,,0
1332705600,Real Mamore,Aurora,1,2,,,,0
1332705600,La Paz,Bolivar,1,1,,,,0
1332714600,Oriente Petrolero,Nacional Potosi,2,0,,,,0
1332971100,La Paz,Guabira,4,1,,,,0
1332979200,U. Sucre,San Jose,2,2,,,,0
1332979200,The Strongest,Nacional Potosi,3,1,,,,0
1332979200,Aurora,Blooming,3,0,,,,0
1332981000,Oriente Petrolero,Real Mamore,1,2,,,,0
1333065600,Real Potosi,Bolivar,2,0,,,,0
1333224000,San Jose,La Paz,2,1,,,,0
1333308600,Nacional Potosi,U. Sucre,0,2,,,,0
1333310400,Real Mamore,Blooming,0,1,,,,0
1333310400,Guabira,Real Potosi,1,2,,,,0
1333310400,Bolivar,Aurora,1,1,,,,0
1333319400,Oriente Petrolero,The Strongest,1,1,,,,0
1333584000,Bolivar,Real Mamore,6,0,,,,0
1333843200,Aurora,Guabira,3,1,,,,0
1333897200,The Strongest,Real Mamore,4,0,,,,0
1333913400,U. Sucre,Oriente Petrolero,1,2,,,,0
1333913400,Real Potosi,San Jose,2,1,,,,0
1333913400,La Paz,Nacional Potosi,0,1,,,,0
1333924200,Blooming,Bolivar,2,0,,,,0
1334188800,Guabira,Blooming,0,0,,,,0
1334190600,Oriente Petrolero,La Paz,4,0,,,,0
1334260800,San Jose,Aurora,1,2,,,,0
1334275200,The Strongest,U. Sucre,2,1,,,,0
1334275200,Nacional Potosi,Real Potosi,2,0,,,,0
1334433600,Bolivar,Guabira,0,0,,,,0
1334518200,U. Sucre,Real Mamore,2,1,,,,0
1334518200,San Jose,Blooming,2,0,,,,0
1334518200,Real Potosi,Oriente Petrolero,3,2,,,,0
1334518200,La Paz,The Strongest,1,3,,,,0
1334525400,Aurora,Nacional Potosi,4,0,,,,0
1335049200,U. Sucre,La Paz,2,1,,,,0
1335123000,San Jose,Bolivar,3,0,,,,0
1335123000,Nacional Potosi,Blooming,3,1,,,,0
1335124800,The Strongest,Real Potosi,3,3,,,,0
1335124800,Real Mamore,Guabira,0,0,,,,0
1335133800,Oriente Petrolero,Aurora,4,1,,,,0
1335484800,Real Mamore,Bolivar,1,2,,,,0
1335484800,Guabira,The Strongest,1,3,,,,0
1335643200,Bolivar,Nacional Potosi,4,3,,,,0
1335727800,Real Potosi,U. Sucre,2,1,,,,0
1335727800,La Paz,Real Mamore,6,0,,,,0
1335729600,Guabira,San Jose,2,3,,,,0
1335729600,Aurora,The Strongest,3,2,,,,0
1335738600,Blooming,Oriente Petrolero,2,2,,,,0
1335996000,La Paz,Real Potosi,0,2,,,,0
1336003200,The Strongest,Blooming,2,0,,,,0
1336003200,Nacional Potosi,Guabira,4,1,,,,0
1336083300,Real Mamore,San Jose,0,1,,,,0
1336089600,U. Sucre,Aurora,2,1,,,,0
1336089600,Bolivar,Oriente Petrolero,1,2,,,,0
1336262400,Bolivar,The Strongest,0,1,,,,0
1336332600,San Jose,Nacional Potosi,3,0,,,,0
1336332600,Real Potosi,Real Mamore,4,0,,,,0
1336334400,Aurora,La Paz,1,1,,,,0
1336341600,Guabira,Oriente Petrolero,0,1,,,,0
1336341600,Blooming,U. Sucre,0,1,,,,0
1336609800,Oriente Petrolero,San Jose,2,1,,,,0
1336687200,La Paz,Blooming,0,4,,,,0
1336694400,U. Sucre,Bolivar,-,-,Awrd,,,0
1336694400,The Strongest,Guabira,8,1,,,,0
1336694400,Real Potosi,Aurora,2,1,,,,0
1336694400,Real Mamore,Nacional Potosi,1,2,,,,0
1336939200,San Jose,The Strongest,1,2,,,,0
1336939200,Nacional Potosi,Oriente Petrolero,2,2,,,,0
1336939200,Guabira,U. Sucre,0,2,,,,0
1336939200,Bolivar,La Paz,4,0,,,,0
1336939200,Blooming,Real Potosi,2,0,,,,0
1336939200,Aurora,Real Mamore,5,0,,,,0
1337542200,La Paz,Destroyers,6,1,,,,0
1337544000,Guabira,Wilstermann,2,0,,,,0
1337992200,Wilstermann,Guabira,2,0,,,,0
1338062400,Destroyers,La Paz,3,1,,,,0
1338415200,Destroyers,La Paz,0,1,,,,0
1338424200,Guabira,Wilstermann,0,1,,,,0
