timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1375560000,The Strongest,U. Sucre,0rjUYb4J,hfSfyIKO,2,1,,,,0
1375567200,Wilstermann,Real Potosi,COG61ACC,hOiNe2t0,2,1,,,,0
1375574400,Blooming,San Jose,6u7MmjSt,jJVMd7wh,0,0,,,,0
1375644600,Sport Boys,Bolivar,WQ4VggRJ,KxxHBfzK,1,0,,,,0
1375644600,Nacional Potosi,Aurora,ht99hStl,YB0DoGZt,2,0,,,,0
1375646400,Guabira,Oriente Petrolero,0rjUYb4J,dAJb3Ws0,2,0,,,,0
1376249400,San Jose,Nacional Potosi,jJVMd7wh,ht99hStl,4,0,,,,0
1376249400,Real Potosi,Oriente Petrolero,hOiNe2t0,dAJb3Ws0,0,0,,,,0
1376251200,Bolivar,The Strongest,KxxHBfzK,0rjUYb4J,2,0,,,,0
1376251200,Aurora,Sport Boys,YB0DoGZt,WQ4VggRJ,3,3,,,,0
1376258400,U. Sucre,Wilstermann,hfSfyIKO,COG61ACC,1,2,,,,0
1376258400,Blooming,Guabira,6u7MmjSt,0rjUYb4J,1,0,,,,0
1376767800,Nacional Potosi,Guabira,ht99hStl,0rjUYb4J,1,0,,,,0
1376854200,U. Sucre,Real Potosi,hfSfyIKO,hOiNe2t0,1,0,,,,0
1376854200,San Jose,The Strongest,jJVMd7wh,0rjUYb4J,0,1,,,,0
1376856000,Bolivar,Oriente Petrolero,KxxHBfzK,dAJb3Ws0,6,0,,,,0
1376856000,Aurora,Wilstermann,YB0DoGZt,COG61ACC,1,1,,,,0
1376863200,Blooming,Sport Boys,6u7MmjSt,WQ4VggRJ,0,2,,,,0
1377374400,Sport Boys,Nacional Potosi,WQ4VggRJ,ht99hStl,0,0,,,,0
1377459000,Real Potosi,Bolivar,hOiNe2t0,KxxHBfzK,0,5,,,,0
1377460800,Wilstermann,San Jose,COG61ACC,jJVMd7wh,1,1,,,,0
1377460800,The Strongest,Blooming,0rjUYb4J,6u7MmjSt,5,0,,,,0
1377460800,Guabira,U. Sucre,0rjUYb4J,hfSfyIKO,1,2,,,,0
1377469800,Oriente Petrolero,Aurora,dAJb3Ws0,YB0DoGZt,3,1,,,,0
1377734400,The Strongest,Sport Boys,0rjUYb4J,WQ4VggRJ,4,2,,,,0
1377734400,Real Potosi,San Jose,hOiNe2t0,jJVMd7wh,1,2,,,,0
1377734400,Guabira,Bolivar,0rjUYb4J,KxxHBfzK,1,3,,,,0
1377820800,Wilstermann,Nacional Potosi,COG61ACC,ht99hStl,1,1,,,,0
1377820800,U. Sucre,Aurora,hfSfyIKO,YB0DoGZt,3,3,,,,0
1377822600,Oriente Petrolero,Blooming,dAJb3Ws0,6u7MmjSt,1,0,,,,0
1379199600,Aurora,Real Potosi,YB0DoGZt,hOiNe2t0,1,2,,,,0
1379203200,Bolivar,U. Sucre,KxxHBfzK,hfSfyIKO,4,2,,,,0
1379273400,San Jose,Oriente Petrolero,jJVMd7wh,dAJb3Ws0,3,2,,,,0
