timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1091829600,Zeljeznicar,Sloboda,YqMYOJSQ,xCPMRLr8,1,0,,,,0
1091829600,Modrica,Celik Zenica,6HOCmD6G,bX4T7xfj,0,0,,,,0
1091829600,Leotar,Slavija,KU7AlyK2,hpcz0A3F,1,2,,,,0
1091829600,HNK Orasje,Travnik,bHbXzzNA,xCPMRLr8,3,0,,,,0
1091829600,Borac Banja Luka,NK Zepce,pYGu6ZOp,Yw1yA5bG,1,0,,,,0
1091916000,Zrinjski,FK Sarajevo,zg80Kwyr,0E8MOvRd,2,0,,,,0
1091916000,Siroki Brijeg,Banovici,AyQfPETk,WMQHzkf1,4,0,,,,0
1091916000,Rudar Ugljevik,Posusje,Uyu9KPIO,IgkCZTLI,0,0,,,,0
1092434400,Travnik,Zrinjski,xCPMRLr8,zg80Kwyr,1,2,,,,0
1092434400,Sloboda,Borac Banja Luka,xCPMRLr8,pYGu6ZOp,3,1,,,,0
1092434400,FK Sarajevo,Leotar,0E8MOvRd,KU7AlyK2,1,0,,,,0
1092434400,Celik Zenica,Slavija,bX4T7xfj,hpcz0A3F,1,0,,,,0
1092434400,Banovici,HNK Orasje,WMQHzkf1,bHbXzzNA,1,0,,,,0
1092520800,Posusje,Siroki Brijeg,IgkCZTLI,AyQfPETk,2,0,,,,0
1092520800,NK Zepce,Rudar Ugljevik,Yw1yA5bG,Uyu9KPIO,2,1,,,,0
1092520800,Modrica,Zeljeznicar,6HOCmD6G,YqMYOJSQ,1,2,,,,0
1093039200,Zeljeznicar,Celik Zenica,YqMYOJSQ,bX4T7xfj,1,0,,,,0
1093039200,Leotar,Travnik,KU7AlyK2,xCPMRLr8,2,0,,,,0
1093039200,HNK Orasje,Posusje,bHbXzzNA,IgkCZTLI,4,0,,,,0
1093039200,Borac Banja Luka,Modrica,pYGu6ZOp,6HOCmD6G,1,2,,,,0
1093125600,Zrinjski,Banovici,zg80Kwyr,WMQHzkf1,2,0,,,,0
1093125600,Slavija,FK Sarajevo,hpcz0A3F,0E8MOvRd,0,0,,,,0
1093125600,Siroki Brijeg,NK Zepce,AyQfPETk,Yw1yA5bG,3,0,,,,0
1093125600,Rudar Ugljevik,Sloboda,Uyu9KPIO,xCPMRLr8,2,0,,,,0
1093644000,Travnik,Slavija,xCPMRLr8,hpcz0A3F,2,0,,,,0
1093644000,Sloboda,Siroki Brijeg,xCPMRLr8,AyQfPETk,0,0,,,,0
1093644000,Celik Zenica,FK Sarajevo,bX4T7xfj,0E8MOvRd,2,1,,,,0
1093644000,Banovici,Leotar,WMQHzkf1,KU7AlyK2,5,1,,,,0
1093730400,Posusje,Zrinjski,IgkCZTLI,zg80Kwyr,0,1,,,,0
1093730400,NK Zepce,HNK Orasje,Yw1yA5bG,bHbXzzNA,3,1,,,,0
1093730400,Modrica,Rudar Ugljevik,6HOCmD6G,Uyu9KPIO,2,0,,,,0
1093816800,Zeljeznicar,Borac Banja Luka,YqMYOJSQ,pYGu6ZOp,1,2,,,,0
1094853600,Leotar,Posusje,KU7AlyK2,IgkCZTLI,0,2,,,,0
1094853600,HNK Orasje,Sloboda,bHbXzzNA,xCPMRLr8,2,1,,,,0
1094853600,Borac Banja Luka,Celik Zenica,pYGu6ZOp,bX4T7xfj,1,0,,,,0
1094940000,Zrinjski,NK Zepce,zg80Kwyr,Yw1yA5bG,3,0,,,,0
1094940000,Slavija,Banovici,hpcz0A3F,WMQHzkf1,2,0,,,,0
1094940000,Siroki Brijeg,Modrica,AyQfPETk,6HOCmD6G,1,3,,,,0
1094940000,Rudar Ugljevik,Zeljeznicar,Uyu9KPIO,YqMYOJSQ,0,1,,,,0
1094940000,FK Sarajevo,Travnik,0E8MOvRd,xCPMRLr8,2,4,,,,0
1095458400,Zeljeznicar,Siroki Brijeg,YqMYOJSQ,AyQfPETk,3,0,,,,0
1095458400,Sloboda,Zrinjski,xCPMRLr8,zg80Kwyr,2,2,,,,0
1095458400,Modrica,HNK Orasje,6HOCmD6G,bHbXzzNA,1,1,,,,0
1095458400,Celik Zenica,Travnik,bX4T7xfj,xCPMRLr8,0,1,,,,0
1095458400,Borac Banja Luka,Rudar Ugljevik,pYGu6ZOp,Uyu9KPIO,1,0,,,,0
1095458400,Banovici,FK Sarajevo,WMQHzkf1,0E8MOvRd,3,0,,,,0
1095544800,Posusje,Slavija,IgkCZTLI,hpcz0A3F,3,2,,,,0
1095544800,NK Zepce,Leotar,Yw1yA5bG,KU7AlyK2,0,2,,,,0
1096063200,Travnik,Banovici,xCPMRLr8,WMQHzkf1,4,1,,,,0
1096063200,Leotar,Sloboda,KU7AlyK2,xCPMRLr8,3,2,,,,0
1096063200,HNK Orasje,Zeljeznicar,bHbXzzNA,YqMYOJSQ,1,2,,,,0
1096063200,FK Sarajevo,Posusje,0E8MOvRd,IgkCZTLI,2,1,,,,0
1096149600,Zrinjski,Modrica,zg80Kwyr,6HOCmD6G,0,0,,,,0
1096149600,Slavija,NK Zepce,hpcz0A3F,Yw1yA5bG,0,0,,,,0
1096149600,Siroki Brijeg,Borac Banja Luka,AyQfPETk,pYGu6ZOp,2,0,,,,0
1096149600,Rudar Ugljevik,Celik Zenica,Uyu9KPIO,bX4T7xfj,1,0,,,,0
1096754400,Zeljeznicar,Zrinjski,YqMYOJSQ,zg80Kwyr,2,1,,,,0
1096754400,Sloboda,Slavija,xCPMRLr8,hpcz0A3F,2,0,,,,0
1096754400,Rudar Ugljevik,Siroki Brijeg,Uyu9KPIO,AyQfPETk,0,0,,,,0
1096754400,Posusje,Travnik,IgkCZTLI,xCPMRLr8,2,0,,,,0
1096754400,NK Zepce,FK Sarajevo,Yw1yA5bG,0E8MOvRd,0,1,,,,0
1096754400,Modrica,Leotar,6HOCmD6G,KU7AlyK2,2,0,,,,0
1096754400,Celik Zenica,Banovici,bX4T7xfj,WMQHzkf1,2,1,,,,0
1096754400,Borac Banja Luka,HNK Orasje,pYGu6ZOp,bHbXzzNA,1,2,,,,0
1097877600,Travnik,NK Zepce,xCPMRLr8,Yw1yA5bG,3,1,,,,0
1097877600,Leotar,Zeljeznicar,KU7AlyK2,YqMYOJSQ,2,1,,,,0
1097877600,HNK Orasje,Rudar Ugljevik,bHbXzzNA,Uyu9KPIO,4,1,,,,0
1097877600,FK Sarajevo,Sloboda,0E8MOvRd,xCPMRLr8,2,0,,,,0
1097877600,Banovici,Posusje,WMQHzkf1,IgkCZTLI,3,1,,,,0
1097964000,Zrinjski,Borac Banja Luka,zg80Kwyr,pYGu6ZOp,4,3,,,,0
1097964000,Slavija,Modrica,hpcz0A3F,6HOCmD6G,2,0,,,,0
1097964000,Siroki Brijeg,Celik Zenica,AyQfPETk,bX4T7xfj,3,1,,,,0
1098482400,Zeljeznicar,Slavija,YqMYOJSQ,hpcz0A3F,0,0,,,,0
1098482400,Sloboda,Travnik,xCPMRLr8,xCPMRLr8,2,1,,,,0
1098482400,Modrica,FK Sarajevo,6HOCmD6G,0E8MOvRd,0,0,,,,0
1098482400,Celik Zenica,Posusje,bX4T7xfj,IgkCZTLI,3,1,,,,0
1098482400,Borac Banja Luka,Leotar,pYGu6ZOp,KU7AlyK2,5,1,,,,0
1098568800,Siroki Brijeg,HNK Orasje,AyQfPETk,bHbXzzNA,1,1,,,,0
1098568800,Rudar Ugljevik,Zrinjski,Uyu9KPIO,zg80Kwyr,0,1,,,,0
1098568800,NK Zepce,Banovici,Yw1yA5bG,WMQHzkf1,2,0,,,,0
1099087200,Travnik,Modrica,xCPMRLr8,6HOCmD6G,4,1,,,,0
1099087200,Leotar,Rudar Ugljevik,KU7AlyK2,Uyu9KPIO,4,2,,,,0
1099087200,HNK Orasje,Celik Zenica,bHbXzzNA,bX4T7xfj,3,1,,,,0
1099087200,FK Sarajevo,Zeljeznicar,0E8MOvRd,YqMYOJSQ,0,1,,,,0
1099087200,Banovici,Sloboda,WMQHzkf1,xCPMRLr8,1,1,,,,0
