timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1469286000,Celik Zenica,Metalleghe,1,3,,,,0
1469289600,Sloboda,Olimpik Sarajevo,3,0,,,,0
1469298600,Zeljeznicar,FK Sarajevo,1,1,,,,0
1469374200,Krupa,Mladost DK,1,1,,,,0
1469381400,Siroki Brijeg,NK Vitez,1,1,,,,0
1469383200,Zrinjski,Radnik Bijeljina,2,1,,,,0
1469892600,Olimpik Sarajevo,Zeljeznicar,0,2,,,,0
1469892600,NK Vitez,Mladost DK,1,1,,,,0
1469892600,Metalleghe,Krupa,0,2,,,,0
1469979000,Radnik Bijeljina,Celik Zenica,2,3,,,,0
1469987100,FK Sarajevo,Zrinjski,2,0,,,,0
1469991600,Siroki Brijeg,Sloboda,2,2,,,,0
1470409200,Sloboda,NK Vitez,1,0,,,,0
1470497400,Krupa,Radnik Bijeljina,2,2,,,,0
1470497400,Celik Zenica,FK Sarajevo,1,1,,,,0
1470506400,Zeljeznicar,Siroki Brijeg,2,0,,,,0
1470508200,Zrinjski,Olimpik Sarajevo,4,1,,,,0
1470582000,Mladost DK,Metalleghe,3,2,,,,0
1470841200,Olimpik Sarajevo,Celik Zenica,3,0,,,,0
1470843000,Sloboda,Zeljeznicar,2,0,,,,0
1470843000,Radnik Bijeljina,Mladost DK,0,0,,,,0
1470843000,NK Vitez,Metalleghe,1,0,,,,0
1470843000,FK Sarajevo,Krupa,3,2,,,,0
1470855600,Siroki Brijeg,Zrinjski,1,1,,,,0
1471102200,Mladost DK,FK Sarajevo,0,0,,,,0
1471102200,Krupa,Olimpik Sarajevo,2,0,,,,0
1471107600,Celik Zenica,Siroki Brijeg,0,1,,,,0
1471113000,Zrinjski,Sloboda,2,0,,,,0
1471186800,Metalleghe,Radnik Bijeljina,1,2,,,,0
1471197600,Zeljeznicar,NK Vitez,0,2,,,,0
1471705200,Olimpik Sarajevo,Mladost DK,2,3,,,,0
1471707000,Sloboda,Celik Zenica,2,0,,,,0
1471719600,Zeljeznicar,Zrinjski,0,1,,,,0
1471791600,NK Vitez,Radnik Bijeljina,1,4,,,,0
1471804200,Siroki Brijeg,Krupa,3,1,,,,0
1471879800,FK Sarajevo,Metalleghe,1,2,,,,0
1472311800,Radnik Bijeljina,FK Sarajevo,0,0,,,,0
1472311800,Metalleghe,Olimpik Sarajevo,1,1,,,,0
1472311800,Krupa,Sloboda,3,0,,,,0
