date,home_team,away_team,home_score,away_score
05.12. 20:00,Athletico-PR,Avai,1,0
05.12. 20:00,Cruzeiro,Palmeiras,2,1
05.12. 20:00,Fluminense,Guarani,1,0
05.12. 20:00,Goias,Corinthians,1,1
05.12. 20:00,Gremio,Botafogo RJ,3,0
05.12. 20:00,Santos,Flamengo RJ,0,0
05.12. 20:00,Sao Paulo,Atletico-MG,4,0
05.12. 20:00,Vasco,Ceara,2,0
05.12. 20:00,Vitoria,Atletico GO,0,0
03.12. 00:00,Barueri,Internacional,0,3
28.11. 20:00,Atletico GO,Sao Paulo,1,1
28.11. 20:00,Atletico-MG,Goias,3,1
28.11. 20:00,Avai,Santos,3,2
28.11. 20:00,Botafogo RJ,Barueri,3,1
28.11. 20:00,Ceara,Athletico-PR,1,1
28.11. 20:00,Corinthians,Vasco,2,0
28.11. 20:00,Flamengo RJ,Cruzeiro,1,2
28.11. 20:00,Guarani,Gremio,0,3
28.11. 20:00,Internacional,Vitoria,1,1
28.11. 20:00,Palmeiras,Fluminense,1,2
21.11. 23:10,Goias,Santos,1,4
21.11. 22:30,Avai,Atletico GO,3,0
21.11. 22:30,Cruzeiro,Vasco,3,1
21.11. 20:00,Botafogo RJ,Internacional,1,2
21.11. 20:00,Palmeiras,Atletico-MG,0,2
21.11. 20:00,Sao Paulo,Fluminense,1,4
21.11. 20:00,Vitoria,Corinthians,1,1
20.11. 22:30,Barueri,Ceara,1,1
20.11. 22:30,Flamengo RJ,Guarani,2,1
20.11. 22:30,Gremio,Athletico-PR,3,1
14.11. 22:30,Athletico-PR,Barueri,2,1
14.11. 22:30,Vasco,Sao Paulo,1,1
14.11. 20:00,Atletico GO,Palmeiras,3,0
14.11. 20:00,Fluminense,Goias,1,1
14.11. 20:00,Guarani,Vitoria,1,1
14.11. 20:00,Internacional,Avai,2,3
13.11. 22:30,Atletico-MG,Flamengo RJ,4,1
13.11. 22:30,Corinthians,Cruzeiro,1,0
13.11. 22:30,Santos,Gremio,0,0
11.11. 00:50,Ceara,Botafogo RJ,2,2
07.11. 22:30,Flamengo RJ,Athletico-PR,0,1
07.11. 22:30,Fluminense,Vasco,1,0
07.11. 22:30,Palmeiras,Guarani,1,0
07.11. 20:00,Avai,Botafogo RJ,0,0
07.11. 20:00,Barueri,Goias,4,1
07.11. 20:00,Sao Paulo,Corinthians,0,2
07.11. 20:00,Vitoria,Cruzeiro,0,1
06.11. 22:30,Atletico GO,Internacional,2,2
06.11. 22:30,Atletico-MG,Santos,2,2
06.11. 22:30,Gremio,Ceara,5,1
05.11. 00:00,Athletico-PR,Palmeiras,1,0
05.11. 00:00,Vasco,Barueri,2,1
04.11. 00:50,Ceara,Flamengo RJ,2,2
04.11. 00:50,Corinthians,Avai,4,0
04.11. 00:50,Cruzeiro,Sao Paulo,0,2
03.11. 22:30,Botafogo RJ,Atletico GO,3,2
03.11. 22:30,Goias,Gremio,0,2
03.11. 22:30,Guarani,Atletico-MG,0,0
03.11. 22:30,Internacional,Fluminense,0,0
03.11. 22:30,Santos,Vitoria,1,1
30.10. 22:30,Atletico-MG,Botafogo RJ,0,2
30.10. 22:30,Avai,Guarani,1,0
30.10. 22:30,Barueri,Cruzeiro,0,2
30.10. 22:30,Palmeiras,Goias,3,2
30.10. 20:00,Internacional,Santos,1,1
30.10. 20:00,Vitoria,Vasco,4,2
29.10. 01:00,Atletico GO,Ceara,1,1
29.10. 01:00,Fluminense,Gremio,2,0
29.10. 01:00,Sao Paulo,Athletico-PR,2,1
28.10. 02:00,Flamengo RJ,Corinthians,1,1
24.10. 22:30,Cruzeiro,Atletico-MG,3,4
24.10. 22:30,Gremio,Internacional,2,2
24.10. 22:30,Santos,Barueri,2,3
24.10. 22:30,Vasco,Flamengo RJ,1,1
24.10. 20:00,Athletico-PR,Fluminense,2,2
24.10. 20:00,Ceara,Sao Paulo,2,0
24.10. 20:00,Corinthians,Palmeiras,1,0
24.10. 20:00,Goias,Avai,1,0
23.10. 22:30,Botafogo RJ,Vitoria,1,0
23.10. 22:30,Guarani,Atletico GO,0,1
17.10. 22:30,Fluminense,Botafogo RJ,0,0
17.10. 22:30,Palmeiras,Ceara,1,1
