timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1397943000,Internacional,Vitoria,ALgHCh57,QwRlGht5,1,0,,,,0
1397943000,Fluminense,Figueirense,WUfDDYk1,lGWmJ4QE,3,0,,,,0
1397952000,Chapecoense-SC,Coritiba,ALatFnbP,8f6Hj6B0,0,0,,,,0
1398020400,Sao Paulo,Botafogo RJ,AkTesf41,rJBthgZj,3,0,,,,0
1398020400,Bahia,Cruzeiro,dKUmd286,SjJmyx86,1,2,,,,0
1398020400,Atletico-MG,Corinthians,pCk2vaSD,Sv3m8l2G,0,0,,,,0
1398020400,Athletico-PR,Gremio,QaMaOfUh,tQsU6dGl,1,0,,,,0
1398029400,Santos,Sport Recife,hv442jSk,G2OQQubE,1,1,,,,0
1398029400,Flamengo RJ,Goias,2R2JjDQC,G2OQQubE,0,0,,,,0
1398029400,Criciuma,Palmeiras,no5LkQQ6,ALgHCh57,1,2,,,,0
1398547800,Coritiba,Santos,8f6Hj6B0,hv442jSk,0,0,,,,0
1398556800,Palmeiras,Fluminense,ALgHCh57,WUfDDYk1,0,1,,,,0
1398625200,Vitoria,Athletico-PR,QwRlGht5,QaMaOfUh,2,2,,,,0
1398625200,Cruzeiro,Sao Paulo,SjJmyx86,AkTesf41,1,1,,,,0
1398625200,Corinthians,Flamengo RJ,Sv3m8l2G,2R2JjDQC,2,0,,,,0
1398625200,Botafogo RJ,Internacional,rJBthgZj,ALgHCh57,2,2,,,,0
1398634200,Sport Recife,Chapecoense-SC,G2OQQubE,ALatFnbP,2,1,,,,0
1398634200,Gremio,Atletico-MG,tQsU6dGl,pCk2vaSD,2,1,,,,0
1398634200,Goias,Criciuma,G2OQQubE,no5LkQQ6,1,0,,,,0
1398634200,Figueirense,Bahia,lGWmJ4QE,dKUmd286,0,2,,,,0
1399152600,Sao Paulo,Coritiba,AkTesf41,8f6Hj6B0,2,2,,,,0
1399152600,Santos,Gremio,hv442jSk,tQsU6dGl,0,0,,,,0
1399152600,Athletico-PR,Cruzeiro,QaMaOfUh,SjJmyx86,2,3,,,,0
1399161600,Fluminense,Vitoria,WUfDDYk1,QwRlGht5,1,2,,,,0
1399230000,Internacional,Sport Recife,ALgHCh57,G2OQQubE,2,1,,,,0
1399230000,Flamengo RJ,Palmeiras,2R2JjDQC,ALgHCh57,4,2,,,,0
1399230000,Criciuma,Figueirense,no5LkQQ6,lGWmJ4QE,1,0,,,,0
1399230000,Bahia,Botafogo RJ,dKUmd286,rJBthgZj,1,0,,,,0
1399239000,Chapecoense-SC,Corinthians,ALatFnbP,Sv3m8l2G,0,1,,,,0
1399239000,Atletico-MG,Goias,pCk2vaSD,G2OQQubE,0,1,,,,0
1399757400,Palmeiras,Goias,ALgHCh57,G2OQQubE,2,0,,,,0
1399757400,Internacional,Athletico-PR,ALgHCh57,QaMaOfUh,2,1,,,,0
1399766400,Botafogo RJ,Criciuma,rJBthgZj,no5LkQQ6,6,0,,,,0
1399834800,Sao Paulo,Corinthians,AkTesf41,Sv3m8l2G,1,1,,,,0
1399834800,Fluminense,Flamengo RJ,WUfDDYk1,2R2JjDQC,2,0,,,,0
1399834800,Chapecoense-SC,Gremio,ALatFnbP,tQsU6dGl,1,2,,,,0
1399834800,Atletico-MG,Cruzeiro,pCk2vaSD,SjJmyx86,2,1,,,,0
1399843800,Figueirense,Santos,lGWmJ4QE,hv442jSk,0,2,,,,0
1399843800,Coritiba,Sport Recife,8f6Hj6B0,G2OQQubE,0,1,,,,0
1399843800,Bahia,Vitoria,dKUmd286,QwRlGht5,1,1,,,,0
1400115600,Goias,Botafogo RJ,G2OQQubE,rJBthgZj,2,0,,,,0
1400362200,Cruzeiro,Coritiba,SjJmyx86,8f6Hj6B0,3,2,,,,0
1400439600,Gremio,Fluminense,tQsU6dGl,WUfDDYk1,1,0,,,,0
1400439600,Flamengo RJ,Sao Paulo,2R2JjDQC,AkTesf41,0,2,,,,0
1400439600,Corinthians,Figueirense,Sv3m8l2G,lGWmJ4QE,0,1,,,,0
1400439600,Athletico-PR,Chapecoense-SC,QaMaOfUh,ALatFnbP,1,1,,,,0
1400448600,Vitoria,Palmeiras,QwRlGht5,ALgHCh57,0,1,,,,0
1400448600,Santos,Atletico-MG,hv442jSk,pCk2vaSD,1,2,,,,0
