timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1265824800,Votoraty SP,Treze PB,4,0,,,,0
1265824800,Corinthians PR,Juventude,1,0,,,,0
1265832000,Ceramica RS,Parana,1,1,,,,0
1265837400,Araguaia,Gremio,1,3,,,,0
1265845800,Vitoria ES,Bahia,0,2,,,,0
1265845800,Tigres Brasil,Fortaleza,2,2,,,,0
1265845800,Sousa,Vasco,1,2,,,,0
1265845800,Flamengo PI,Palmeiras,0,1,,,,0
1265846400,Vilhena EC,Athletico-PR,2,2,,,,0
1265846400,Sao Raimundo PA,Botafogo RJ,1,0,,,,0
1265846400,SAO Domingos SE,Sampaio Correa,1,1,,,,0
1265846400,Potiguar de Mossoro,Paysandu PA,0,0,,,,0
1265846400,JV Lideral MA,Ponte Preta,0,0,,,,0
1265846400,ASSU,Atletico GO,0,3,,,,0
1267035300,Corinthians AL,Vitoria,3,1,,,,0
1267056000,Uberaba,Londrina,1,0,,,,0
1267056000,Treze PB,Votoraty SP,2,1,,,,0
1267056000,SAO Mateus,Remo,1,2,,,,0
1267056000,Sao Jose,America RN,1,1,,,,0
1267056000,Ponte Preta,JV Lideral MA,4,0,,,,0
1267056000,Paysandu PA,Potiguar de Mossoro,3,1,,,,0
1267056000,Parana,Ceramica RS,6,1,,,,0
1267056000,Juventude,Corinthians PR,0,1,,,,0
1267056000,Ivinhema,Nautico,1,1,,,,0
1267056000,Fortaleza,Tigres Brasil,3,2,,,,0
1267056000,Chapecoense-SC,Brasiliense,3,0,,,,0
1267056000,Boa,Goias,2,3,,,,0
1267056000,Athletico-PR,Vilhena EC,4,0,,,,0
1267056000,ASA,Nacional-AM,0,0,,,,0
1267056000,Araguaina,Guarani,0,1,,,,0
1267059000,Ypiranga,Avai,0,3,,,,0
1267059000,Picos,Ceara,0,5,,,,0
1267059000,Naviraiense,Santos,0,1,,,,0
1267059000,Juventus-SP,Atletico-MG,0,7,,,,0
1267059000,Confianca,Fluminense,1,1,,,,0
1267059000,Brasilia,Sport Recife,2,4,,,,0
1267059600,Luverdense,Coritiba,0,1,,,,0
1267059600,Atl. Roraima,Portuguesa,0,7,,,,0
1267059600,America AM,Santa Cruz,0,1,,,,0
1267137000,Vasco,Sousa,0,0,,,,0
1267142400,Sampaio Correa,SAO Domingos SE,2,1,,,,0
1267144200,Palmeiras,Flamengo PI,4,0,,,,0
1268260200,Fluminense,Confianca,2,0,,,,0
1268263800,Nautico,Ivinhema,3,1,,,,0
1268265600,Vitoria,Corinthians AL,4,0,,,,0
1268265600,Santa Cruz,America AM,3,0,,,,0
1268265600,Remo,SAO Mateus,4,1,,,,0
1268265600,Londrina,Uberaba,0,2,,,,0
1268265600,Guarani,Araguaina,2,1,,,,0
1268265600,Goias,Boa,0,0,,,,0
1268265600,Coritiba,Luverdense,1,0,,,,0
1268265600,Brasiliense,Chapecoense-SC,2,1,,,,0
1268265600,America RN,Sao Jose,0,1,,,,0
1268268600,Santos,Naviraiense,10,0,,,,0
1268269200,Nacional-AM,ASA,2,2,,,,0
1268353800,Botafogo RJ,Sao Raimundo PA,4,3,,,,0
1268850600,Votoraty SP,Gremio,0,1,,,,0
1268850600,Corinthians PR,Ceara,2,1,,,,0
1268850600,ASA,Vasco,1,1,,,,0
1268865000,Santa Cruz,Botafogo RJ,0,1,,,,0
1268870400,Sao Jose,Goias,0,1,,,,0
1268870400,Sampaio Correa,Athletico-PR,1,1,,,,0
1268870400,Ponte Preta,Portuguesa,1,1,,,,0
1268870400,Nautico,Vitoria,0,1,,,,0
