timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1423431000,Acreano,Real Noroeste,jNR0phye,zHhqQXQr,0,1,,,,0
1424633400,Real Noroeste,Acreano,zHhqQXQr,jNR0phye,3,2,,,,0
1424903400,Santo Andre,Goias,0tH2a4Vp,G2OQQubE,0,1,,,,0
1424903400,Luziania,America MG,CltsnP4I,nHqWQgSo,0,3,,,,0
1424907000,Moto Club,Boa,rTYG2RlA,hjWOXpb9,1,1,,,,0
1424907000,Estrela do Norte,Sampaio Correa,O4L3DBMb,6NoYJwvQ,3,2,,,,0
1424907000,Amadense,CRB,rcAvONtO,8z8OC8Ik,1,2,,,,0
1424910600,Sao Raimundo RR,ASA,hzjlgSBK,E1EyOHIF,1,3,,,,0
1424912400,Brasil de Pelotas,Flamengo RJ,xhog3gde,2R2JjDQC,1,2,,,,0
1425429000,Vilhena EC,Ponte Preta,pEh6c5L6,4S2Tm4eJ,1,1,,,,0
1425495600,Boavista,ABC,IckqjKZt,no5LkQQ6,0,1,,,,0
1425508200,Santos AP,Portuguesa,IJWAtAIh,jucSYQH1,1,3,,,,0
1425508200,Independente,Icasa,jgOmDmeJ,IuCTIyMo,5,0,,,,0
1425508200,Capivariano,SER Caxias,Yg1rcorO,tCfeZ0le,3,0,,,,0
1425511800,Murici,Cuiaba,jNR0phye,6FedhD0P,3,2,,,,0
1425511800,Alecrim,Tupi-MG,Y1mD3dlp,tQk41rnG,0,2,,,,0
1425517200,Vitoria da Conquista,Palmeiras,6H2sT0Ka,ALgHCh57,1,4,,,,0
1425517200,Villa Nova MG,Coritiba,4lMB0x6e,8f6Hj6B0,0,3,,,,0
1425601800,Maringa FC,Madureira,CU1nSJCN,Y7OGmH58,2,0,,,,0
1425601800,Cabofriense,Luverdense,f9Lq7H1f,Ui9AU98I,1,1,,,,0
1426631400,Londrina,Santos,dAibSIqE,hv442jSk,0,1,,,,0
1426717800,Lajeadense,Bragantino,4W40Fuk3,UkMF8Udb,2,1,,,,0
1426721400,Real Noroeste,Criciuma,zHhqQXQr,no5LkQQ6,1,4,,,,0
1426721400,Interporto,Chapecoense-SC,IwPikLID,ALatFnbP,2,5,,,,0
1426725000,Princesa do Solimoes,Figueirense,xSBy1ZTg,lGWmJ4QE,2,2,,,,0
1426725000,Luverdense,Cabofriense,Ui9AU98I,f9Lq7H1f,1,0,,,,0
1426725000,Cuiaba,Murici,6FedhD0P,jNR0phye,2,0,,,,0
1426725000,Aguia Negra,Paysandu PA,0EQYlAVc,Ui9AU98I,2,2,,,,0
1426726800,Flamengo RJ,Brasil de Pelotas,2R2JjDQC,xhog3gde,2,0,,,,0
1426804200,SER Caxias,Capivariano,tCfeZ0le,Yg1rcorO,0,0,,,,0
1426804200,Icasa,Independente,IuCTIyMo,jgOmDmeJ,2,0,,,,0
1426804200,ABC,Boavista,no5LkQQ6,IckqjKZt,2,0,,,,0
1427844600,Piaui,Salgueiro,lG83CUS9,Uszs95O7,1,5,,,,0
