timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1186844400,Vihren,Levski Sofia,0,1,,,,0
1186844400,Vidima-Rakovski,Marek,1,0,,,,0
1186844400,Spartak Varna,Botev Plovdiv,2,2,,,,0
1186844400,Pirin Blagoevgrad (1922),Cherno More,1,0,,,,0
1186844400,Lok. Sofia,Lok. Plovdiv,2,1,,,,0
1186854300,Lovech,CSKA Sofia,1,1,,,,0
1186930800,Slavia Sofia,Beroe,2,0,,,,0
1186930800,Belasitsa,Chernomorets Burgas,1,6,,,,0
1187449200,Marek,Pirin Blagoevgrad (1922),0,2,,,,0
1187449200,Lok. Plovdiv,Slavia Sofia,1,1,,,,0
1187454600,Levski Sofia,Beroe,1,0,,,,0
1187456400,Chernomorets Burgas,Spartak Varna,1,0,,,,0
1187535600,Vihren,Lovech,2,1,,,,0
1187535600,Cherno More,Lok. Sofia,1,1,,,,0
1187535600,Botev Plovdiv,Vidima-Rakovski,5,0,,,,0
1187541000,CSKA Sofia,Belasitsa,2,0,,,,0
1188054000,Vidima-Rakovski,Chernomorets Burgas,1,1,,,,0
1188054000,Spartak Varna,CSKA Sofia,0,2,,,,0
1188054000,Pirin Blagoevgrad (1922),Botev Plovdiv,1,0,,,,0
1188054000,Lok. Sofia,Marek,2,0,,,,0
1188054000,Beroe,Lok. Plovdiv,0,0,,,,0
1188054000,Belasitsa,Vihren,1,0,,,,0
1188063900,Lovech,Levski Sofia,2,1,,,,0
1188140400,Slavia Sofia,Cherno More,3,1,,,,0
1188655200,Vihren,Spartak Varna,0,1,,,,0
1188655200,Marek,Slavia Sofia,1,0,,,,0
1188655200,Cherno More,Beroe,1,0,,,,0
1188664200,Levski Sofia,Lok. Plovdiv,3,1,,,,0
1188666000,Chernomorets Burgas,Pirin Blagoevgrad (1922),1,4,,,,0
1188743400,Botev Plovdiv,Lok. Sofia,2,2,,,,0
1188748800,Lovech,Belasitsa,2,0,,,,0
1188748800,CSKA Sofia,Vidima-Rakovski,3,1,,,,0
1189778400,Spartak Varna,Lovech,0,0,,,,0
1189778400,Lok. Sofia,Chernomorets Burgas,4,0,,,,0
1189861200,Pirin Blagoevgrad (1922),CSKA Sofia,0,1,,,,0
1189864800,Vidima-Rakovski,Vihren,0,1,,,,0
1189864800,Lok. Plovdiv,Cherno More,2,1,,,,0
1189864800,Beroe,Marek,1,1,,,,0
1189951200,Slavia Sofia,Botev Plovdiv,4,2,,,,0
1189951200,Belasitsa,Levski Sofia,0,0,,,,0
1190469600,Marek,Lok. Plovdiv,2,1,,,,0
1190469600,Botev Plovdiv,Beroe,1,0,,,,0
1190469600,Belasitsa,Spartak Varna,2,1,,,,0
1190476800,Levski Sofia,Cherno More,4,0,,,,0
1190476800,Chernomorets Burgas,Slavia Sofia,2,0,,,,0
1190556000,Vihren,Pirin Blagoevgrad (1922),1,1,,,,0
1190559600,CSKA Sofia,Lok. Sofia,3,1,,,,0
1190563200,Lovech,Vidima-Rakovski,4,1,,,,0
1190988000,Pirin Blagoevgrad (1922),Lovech,1,3,,,,0
1190988000,Lok. Sofia,Vihren,3,2,,,,0
1191069000,Lok. Plovdiv,Botev Plovdiv,4,0,,,,0
1191072600,Slavia Sofia,CSKA Sofia,0,1,,,,0
1191074400,Vidima-Rakovski,Belasitsa,1,0,,,,0
1191074400,Spartak Varna,Levski Sofia,1,2,,,,0
1191074400,Beroe,Chernomorets Burgas,2,1,,,,0
1191160800,Cherno More,Marek,0,0,,,,0
1191675600,Vihren,Slavia Sofia,1,1,,,,0
1191675600,Spartak Varna,Vidima-Rakovski,0,0,,,,0
1191675600,Botev Plovdiv,Cherno More,1,1,,,,0
1191682800,Levski Sofia,Marek,4,2,,,,0
1191682800,Chernomorets Burgas,Lok. Plovdiv,1,0,,,,0
1191762000,Belasitsa,Pirin Blagoevgrad (1922),0,1,,,,0
1191769200,CSKA Sofia,Beroe,1,0,,,,0
1191772800,Lovech,Lok. Sofia,1,1,,,,0
1192881600,Slavia Sofia,Lovech,1,0,,,,0
1192883400,Lok. Plovdiv,CSKA Sofia,0,1,,,,0
1192885200,Vidima-Rakovski,Levski Sofia,1,3,,,,0
1192885200,Pirin Blagoevgrad (1922),Spartak Varna,1,2,,,,0
1192885200,Marek,Botev Plovdiv,1,0,,,,0
1192885200,Lok. Sofia,Belasitsa,1,0,,,,0
1192885200,Cherno More,Chernomorets Burgas,2,1,,,,0
