timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1565969400,US Ouagadougou,Rahimo,0,0,,,,0
1565977500,Salitas,Kadiogo,0,0,,,,0
1566055800,Majestic,ASFA Yennega,2,1,,,,0
1566055800,Etoile Filante,AS Douanes,0,0,,,,0
1566055800,Bobo-Dioulasso,ASEC Koudougou,4,0,,,,0
1566063900,USFA,Royal,1,0,,,,0
1566142200,Kozaf,AS Police,2,0,,,,0
1566142200,ASF Dioulasso,Sonabel Ouagadougou,0,1,,,,0
1567179000,Kozaf,Kadiogo,1,0,,,,0
1567187100,US Ouagadougou,AS Police,1,1,,,,0
1567265400,Salitas,ASEC Koudougou,3,1,,,,0
1567265400,Majestic,Rahimo,0,1,,,,0
1567265400,ASF Dioulasso,Royal,0,1,,,,0
1567273500,Etoile Filante,Bobo-Dioulasso,2,0,,,,0
1567351800,USFA,AS Douanes,0,3,,,,0
1567351800,ASFA Yennega,Sonabel Ouagadougou,0,1,,,,0
1567783800,Royal,Kozaf,1,1,,,,0
1567783800,AS Police,ASF Dioulasso,1,3,,,,0
1567791900,Kadiogo,USFA,2,2,,,,0
1567870200,Sonabel Ouagadougou,US Ouagadougou,1,1,,,,0
1567870200,Bobo-Dioulasso,Majestic,0,0,,,,0
1567870200,ASEC Koudougou,Etoile Filante,0,0,,,,0
1567878300,AS Douanes,Salitas,1,2,,,,0
1567956600,Rahimo,ASFA Yennega,0,1,,,,0
1568388600,Etoile Filante,Majestic,0,2,,,,0
1568475000,Royal,US Ouagadougou,1,1,,,,0
1568475000,Kadiogo,ASF Dioulasso,0,3,,,,0
1568475000,ASEC Koudougou,USFA,0,2,,,,0
1568483100,AS Police,ASFA Yennega,0,1,,,,0
1568561400,Sonabel Ouagadougou,Rahimo,1,2,,,,0
1568993400,US Ouagadougou,Kadiogo,1,2,,,,0
1568993400,ASF Dioulasso,AS Douanes,1,0,,,,0
1569079800,Majestic,Sonabel Ouagadougou,2,2,,,,0
