timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1628946000,Olympic S.,Kayanza,1,0,,,,0
1628946000,Les Crocos,Aigle Noir,1,2,,,,0
1628946000,Flambeau de l'Est,Dynamik,1,0,,,,0
1628946000,Bumamuru,Bujumbura C.,3,2,,,,0
1629032400,TOP Junior,Flambeau du Centre,0,3,,,,0
1629032400,New Oil,Royal de Muramvya,1,0,,,,0
1629032400,Musongati,Vital'O,0,0,,,,0
1629291600,Royal de Muramvya,TOP Junior,2,0,,,,0
1629291600,Le Messager Ngozi,Flambeau de l'Est,3,0,,,,0
1629291600,Kayanza,Les Crocos,1,0,,,,0
1629291600,Bujumbura C.,Vital'O,1,2,,,,0
1629291600,Aigle Noir,New Oil,2,2,,,,0
1629378000,Flambeau du Centre,Musongati,1,0,,,,0
1629378000,Dynamik,Olympic S.,2,1,,,,0
1629378000,Bumamuru,Rukinzo,0,0,,,,0
1629550800,New Oil,Kayanza,1,0,,,,0
1629633600,Rukinzo,Bujumbura C.,1,1,,,,0
1629637200,Olympic S.,Le Messager Ngozi,1,0,,,,0
1629637200,Musongati,Royal de Muramvya,2,1,,,,0
1629637200,Les Crocos,Dynamik,0,1,,,,0
1629637200,Flambeau de l'Est,Bumamuru,0,1,,,,0
1629640800,Vital'O,Flambeau du Centre,1,0,,,,0
1631883600,Royal de Muramvya,Vital'O,1,0,,,,0
1631883600,Bujumbura C.,Flambeau du Centre,2,1,,,,0
1631970000,Kayanza,TOP Junior,3,3,,,,0
1631970000,Dynamik,New Oil,3,1,,,,0
1632056400,Rukinzo,Flambeau de l'Est,1,2,,,,0
1632056400,Aigle Noir,Musongati,2,1,,,,0
1632402000,Le Messager Ngozi,Les Crocos,1,0,,,,0
1632402000,Bumamuru,Olympic S.,2,0,,,,0
1632488400,Vital'O,Aigle Noir,1,2,,,,0
1632488400,TOP Junior,Dynamik,0,1,,,,0
1632574800,Musongati,Kayanza,3,0,,,,0
1632574800,Flambeau de l'Est,Bujumbura C.,2,1,,,,0
1632661200,New Oil,Le Messager Ngozi,1,0,,,,0
1632661200,Les Crocos,Bumamuru,1,2,,,,0
1632661200,Flambeau du Centre,Royal de Muramvya,1,0,,,,0
1632834000,TOP Junior,Aigle Noir,2,1,,,,0
1632920400,Le Messager Ngozi,Rukinzo,0,0,,,,0
1633093200,Bujumbura C.,Royal de Muramvya,1,1,,,,0
1633172400,Rukinzo,Les Crocos,1,0,,,,0
1633179600,Kayanza,Vital'O,1,2,,,,0
1633181400,Dynamik,Musongati,1,2,,,,0
1633266000,Le Messager Ngozi,TOP Junior,1,0,,,,0
1633266000,Flambeau de l'Est,Olympic S.,0,0,,,,0
1633266000,Bumamuru,New Oil,3,1,,,,0
