timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1660309200,Dynamik,Vital'O,M9bYMMdi,2V6jtVbj,0,1,,,,0
1660395600,Bujumbura C.,Le Messager Ngozi,2PXHjwMP,Q1R2BVUa,1,2,,,,0
1660482000,Rukinzo,Flambeau du Centre,6ozUJqCk,x2nFClZ5,1,0,,,,0
1660482000,Olympic S.,Bumamuru,I1ZCl20g,6obZXPrB,0,1,,,,0
1660482000,Musongati,Aigle Noir,MLhiODrg,r3aaqYj0,0,0,,,,0
1660482000,Inter Star,Magara Young Boys,bBkwe4NP,bHlu3e18,1,0,,,,0
1661000400,Magara Young Boys,TOP Junior,bHlu3e18,buLdzQes,5,1,,,,0
1661000400,Aigle Noir,Olympic S.,r3aaqYj0,I1ZCl20g,1,0,,,,0
1661086800,Vital'O,Bujumbura C.,2V6jtVbj,2PXHjwMP,1,1,,,,0
1661086800,New Oil,Musongati,bkxQ37wg,MLhiODrg,0,2,,,,0
1661086800,Le Messager Ngozi,Rukinzo,Q1R2BVUa,6ozUJqCk,0,0,,,,0
1661086800,Kayanza,Tigre Noir,6ozUJqCk,SYDG6iPs,2,0,,,,0
1661086800,Flambeau du Centre,Inter Star,x2nFClZ5,bBkwe4NP,2,1,,,,0
1661086800,Bumamuru,Dynamik,6obZXPrB,M9bYMMdi,4,2,,,,0
1661346000,New Oil,Kayanza,bkxQ37wg,6ozUJqCk,1,2,,,,0
1661518800,Inter Star,Le Messager Ngozi,bBkwe4NP,Q1R2BVUa,0,4,,,,0
1661605200,Dynamik,Aigle Noir,M9bYMMdi,r3aaqYj0,0,1,,,,0
1661691600,TOP Junior,Flambeau du Centre,buLdzQes,x2nFClZ5,0,1,,,,0
1661691600,Tigre Noir,Magara Young Boys,SYDG6iPs,bHlu3e18,3,1,,,,0
1661691600,Rukinzo,Vital'O,6ozUJqCk,2V6jtVbj,1,3,,,,0
1661691600,Olympic S.,New Oil,I1ZCl20g,bkxQ37wg,0,0,,,,0
1661691600,Musongati,Kayanza,MLhiODrg,6ozUJqCk,2,1,,,,0
1661691600,Bujumbura C.,Bumamuru,2PXHjwMP,6obZXPrB,1,1,,,,0
1661950800,TOP Junior,Tigre Noir,buLdzQes,SYDG6iPs,1,0,,,,0
1662210000,Musongati,Olympic S.,MLhiODrg,I1ZCl20g,0,0,,,,0
1662210000,Aigle Noir,Bujumbura C.,r3aaqYj0,2PXHjwMP,1,0,,,,0
1662296400,New Oil,Dynamik,bkxQ37wg,M9bYMMdi,0,1,,,,0
1662296400,Le Messager Ngozi,TOP Junior,Q1R2BVUa,buLdzQes,3,1,,,,0
1662296400,Kayanza,Magara Young Boys,6ozUJqCk,bHlu3e18,3,0,,,,0
1662296400,Flambeau du Centre,Tigre Noir,x2nFClZ5,SYDG6iPs,2,1,,,,0
1662296400,Bumamuru,Rukinzo,6obZXPrB,6ozUJqCk,1,0,,,,0
1662814800,Tigre Noir,Le Messager Ngozi,SYDG6iPs,Q1R2BVUa,0,1,,,,0
1662814800,New Oil,Bujumbura C.,bkxQ37wg,2PXHjwMP,0,2,,,,0
1662901200,TOP Junior,Vital'O,buLdzQes,2V6jtVbj,1,1,,,,0
1662901200,Rukinzo,Aigle Noir,6ozUJqCk,r3aaqYj0,2,1,,,,0
1662901200,Olympic S.,Kayanza,I1ZCl20g,6ozUJqCk,3,1,,,,0
1662901200,Musongati,Dynamik,MLhiODrg,M9bYMMdi,0,0,,,,0
1663419600,Olympic S.,Dynamik,I1ZCl20g,M9bYMMdi,2,0,,,,0
1663419600,Aigle Noir,Inter Star,r3aaqYj0,bBkwe4NP,2,0,,,,0
1663506000,Vital'O,Tigre Noir,2V6jtVbj,SYDG6iPs,2,1,,,,0
1663506000,New Oil,Rukinzo,bkxQ37wg,6ozUJqCk,0,1,,,,0
1663506000,Musongati,Bujumbura C.,MLhiODrg,2PXHjwMP,2,1,,,,0
1663506000,Le Messager Ngozi,Magara Young Boys,Q1R2BVUa,bHlu3e18,0,0,,,,0
1663851600,Bujumbura C.,Olympic S.,2PXHjwMP,I1ZCl20g,0,1,,,,0
1663938000,Dynamik,Kayanza,M9bYMMdi,6ozUJqCk,0,0,,,,0
1664024400,Tigre Noir,Bumamuru,SYDG6iPs,6obZXPrB,1,1,,,,0
1664024400,Inter Star,New Oil,bBkwe4NP,bkxQ37wg,3,2,,,,0
1664110800,TOP Junior,Aigle Noir,buLdzQes,r3aaqYj0,0,2,,,,0
1664110800,Rukinzo,Musongati,6ozUJqCk,MLhiODrg,0,0,,,,0
1664110800,Magara Young Boys,Vital'O,bHlu3e18,2V6jtVbj,1,2,,,,0
1664110800,Flambeau du Centre,Le Messager Ngozi,x2nFClZ5,Q1R2BVUa,3,1,,,,0
1664629200,Vital'O,Flambeau du Centre,2V6jtVbj,x2nFClZ5,1,1,,,,0
1664629200,New Oil,TOP Junior,bkxQ37wg,buLdzQes,0,0,,,,0
1664715600,Olympic S.,Rukinzo,I1ZCl20g,6ozUJqCk,1,1,,,,0
1664715600,Musongati,Inter Star,MLhiODrg,bBkwe4NP,1,0,,,,0
1664715600,Kayanza,Le Messager Ngozi,6ozUJqCk,Q1R2BVUa,1,0,,,,0
1664715600,Dynamik,Bujumbura C.,M9bYMMdi,2PXHjwMP,0,0,,,,0
1664715600,Bumamuru,Magara Young Boys,6obZXPrB,bHlu3e18,5,0,,,,0
1664715600,Aigle Noir,Tigre Noir,r3aaqYj0,SYDG6iPs,1,0,,,,0
1665147600,Magara Young Boys,Aigle Noir,bHlu3e18,r3aaqYj0,1,1,,,,0
1665226800,Bujumbura C.,Kayanza,2PXHjwMP,6ozUJqCk,2,2,,,,0
1665234000,TOP Junior,Musongati,buLdzQes,MLhiODrg,0,0,,,,0
1665237600,Inter Star,Olympic S.,bBkwe4NP,I1ZCl20g,1,4,,,,0
1665320400,Tigre Noir,New Oil,SYDG6iPs,bkxQ37wg,1,2,,,,0
1665320400,Rukinzo,Dynamik,6ozUJqCk,M9bYMMdi,1,0,,,,0
1665320400,Le Messager Ngozi,Vital'O,Q1R2BVUa,2V6jtVbj,1,1,,,,0
1665579600,Inter Star,Bumamuru,bBkwe4NP,6obZXPrB,1,1,,,,0
1665831600,Dynamik,Inter Star,M9bYMMdi,bBkwe4NP,3,2,,,,0
1665838800,Olympic S.,TOP Junior,I1ZCl20g,buLdzQes,0,1,,,,0
1665842400,Bujumbura C.,Rukinzo,2PXHjwMP,6ozUJqCk,1,2,,,,0
1665925200,New Oil,Magara Young Boys,bkxQ37wg,bHlu3e18,2,1,,,,0
1665925200,Musongati,Tigre Noir,MLhiODrg,SYDG6iPs,2,2,,,,0
1665925200,Kayanza,Vital'O,6ozUJqCk,2V6jtVbj,1,2,,,,0
1665925200,Bumamuru,Le Messager Ngozi,6obZXPrB,Q1R2BVUa,1,0,,,,0
1666270800,Inter Star,Bujumbura C.,bBkwe4NP,2PXHjwMP,1,2,,,,0
1666436400,Magara Young Boys,Musongati,bHlu3e18,MLhiODrg,2,1,,,,0
1666443600,Tigre Noir,Olympic S.,SYDG6iPs,I1ZCl20g,1,0,,,,0
1666447200,Rukinzo,Kayanza,6ozUJqCk,6ozUJqCk,1,1,,,,0
1666530000,Vital'O,Bumamuru,2V6jtVbj,6obZXPrB,1,5,,,,0
1666530000,TOP Junior,Dynamik,buLdzQes,M9bYMMdi,3,0,,,,0
1666530000,Le Messager Ngozi,Aigle Noir,Q1R2BVUa,r3aaqYj0,0,0,,,,0
1666530000,Flambeau du Centre,New Oil,x2nFClZ5,bkxQ37wg,4,1,,,,0
1668258000,Aigle Noir,Vital'O,r3aaqYj0,2V6jtVbj,0,0,,,,0
1668260700,Rukinzo,Inter Star,6ozUJqCk,bBkwe4NP,2,2,,,,0
1668260700,New Oil,Le Messager Ngozi,bkxQ37wg,Q1R2BVUa,0,0,,,,0
1668344400,Olympic S.,Magara Young Boys,I1ZCl20g,bHlu3e18,0,2,,,,0
1668344400,Kayanza,Bumamuru,6ozUJqCk,6obZXPrB,0,0,,,,0
1668344400,Dynamik,Tigre Noir,M9bYMMdi,SYDG6iPs,1,1,,,,0
1668344400,Bujumbura C.,TOP Junior,2PXHjwMP,buLdzQes,3,1,,,,0
1668603600,Musongati,Flambeau du Centre,MLhiODrg,x2nFClZ5,2,2,,,,0
1668862800,TOP Junior,Rukinzo,buLdzQes,6ozUJqCk,0,2,,,,0
1668862800,Tigre Noir,Bujumbura C.,SYDG6iPs,2PXHjwMP,1,1,,,,0
1668862800,Magara Young Boys,Dynamik,bHlu3e18,M9bYMMdi,1,1,,,,0
1668865500,Inter Star,Kayanza,bBkwe4NP,6ozUJqCk,1,2,,,,0
1668949200,Le Messager Ngozi,Musongati,Q1R2BVUa,MLhiODrg,4,1,,,,0
1668949200,Flambeau du Centre,Olympic S.,x2nFClZ5,I1ZCl20g,1,0,,,,0
1668949200,Bumamuru,Aigle Noir,6obZXPrB,r3aaqYj0,1,1,,,,0
1668951900,Vital'O,New Oil,2V6jtVbj,bkxQ37wg,2,0,,,,0
1669208400,Bumamuru,TOP Junior,6obZXPrB,buLdzQes,1,0,,,,0
1669381200,Rukinzo,Tigre Noir,6ozUJqCk,SYDG6iPs,1,2,,,,0
1669467600,Olympic S.,Le Messager Ngozi,I1ZCl20g,Q1R2BVUa,0,0,,,,0
1669467600,Dynamik,Flambeau du Centre,M9bYMMdi,x2nFClZ5,1,2,,,,0
1669467600,Bujumbura C.,Magara Young Boys,2PXHjwMP,bHlu3e18,0,2,,,,0
1669554000,New Oil,Bumamuru,bkxQ37wg,6obZXPrB,1,4,,,,0
1669554000,Musongati,Vital'O,MLhiODrg,2V6jtVbj,0,1,,,,0
1669554000,Kayanza,Aigle Noir,6ozUJqCk,r3aaqYj0,1,0,,,,0
1669554000,Inter Star,TOP Junior,bBkwe4NP,buLdzQes,2,0,,,,0
1669813200,Vital'O,Olympic S.,2V6jtVbj,I1ZCl20g,3,0,,,,0
1670072400,Magara Young Boys,Rukinzo,bHlu3e18,6ozUJqCk,2,0,,,,0
1670072400,Aigle Noir,New Oil,r3aaqYj0,bkxQ37wg,1,1,,,,0
1670158800,TOP Junior,Kayanza,buLdzQes,6ozUJqCk,0,0,,,,0
1670158800,Tigre Noir,Inter Star,SYDG6iPs,bBkwe4NP,0,1,,,,0
