timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1723287600,Phnom Penh Crown,Visakha,4,2,,,,0
1723287600,NagaWorld,Kirivong Sok Sen Chey,2,0,,,,0
1723374000,Svay Rieng,Tiffy Army,7,0,,,,0
1723374000,Life FC,Dangkor,0,1,,,,0
1723374000,Angkor Tiger,Moi Kompong Dewa,1,0,,,,0
1723806000,Dangkor,Svay Rieng,1,4,,,,0
1723883400,Kirivong Sok Sen Chey,Boeung Ket,1,2,,,,0
1723892400,Tiffy Army,Phnom Penh Crown,1,2,,,,0
1723892400,Moi Kompong Dewa,Life FC,1,1,,,,0
1723978800,Visakha,NagaWorld,0,1,,,,0
1724410800,Phnom Penh Crown,Boeung Ket,2,1,,,,0
1724497200,Visakha,Life FC,3,1,,,,0
1724497200,Moi Kompong Dewa,Dangkor,3,4,,,,0
1724583600,Tiffy Army,Angkor Tiger,1,2,,,,0
1724670000,Svay Rieng,Kirivong Sok Sen Chey,6,1,,,,0
1726311600,Visakha,Svay Rieng,1,0,,,,0
1726311600,Tiffy Army,Life FC,3,2,,,,0
1726311600,Boeung Ket,NagaWorld,1,3,,,,0
1726389000,Kirivong Sok Sen Chey,Phnom Penh Crown,0,6,,,,0
1726398000,Dangkor,Angkor Tiger,0,2,,,,0
1726657200,Svay Rieng,NagaWorld,2,0,,,,0
1726657200,Moi Kompong Dewa,Visakha,0,9,,,,0
1726657200,Boeung Ket,Life FC,5,1,,,,0
1726734600,Kirivong Sok Sen Chey,Angkor Tiger,1,3,,,,0
1726743600,Dangkor,Tiffy Army,2,2,,,,0
1726993800,Tiffy Army,Moi Kompong Dewa,3,1,,,,0
1726993800,Kirivong Sok Sen Chey,Life FC,1,1,,,,0
1727002800,Visakha,Angkor Tiger,2,1,,,,0
1727002800,NagaWorld,Phnom Penh Crown,2,6,,,,0
1727521200,Tiffy Army,Visakha,1,3,,,,0
1727521200,Boeung Ket,Moi Kompong Dewa,4,1,,,,0
1727607600,Phnom Penh Crown,Life FC,10,0,,,,0
1727607600,NagaWorld,Angkor Tiger,0,1,,,,0
1727607600,Dangkor,Kirivong Sok Sen Chey,2,0,,,,0
1729335600,Visakha,Dangkor,2,1,,,,0
1729335600,Moi Kompong Dewa,Kirivong Sok Sen Chey,2,1,,,,0
1729335600,Boeung Ket,Angkor Tiger,0,0,,,,0
1729422000,Phnom Penh Crown,Svay Rieng,4,3,,,,0
1729422000,NagaWorld,Life FC,2,0,,,,0
1729681200,Visakha,Kirivong Sok Sen Chey,7,0,,,,0
1729681200,Phnom Penh Crown,Moi Kompong Dewa,5,1,,,,0
1729767600,Tiffy Army,Boeung Ket,2,5,,,,0
1729767600,Svay Rieng,Angkor Tiger,4,2,,,,0
1729767600,Dangkor,NagaWorld,0,1,,,,0
1730017800,Kirivong Sok Sen Chey,Tiffy Army,1,7,,,,0
1730026800,Phnom Penh Crown,Angkor Tiger,3,1,,,,0
1730026800,NagaWorld,Moi Kompong Dewa,5,2,,,,0
1730026800,Dangkor,Boeung Ket,4,4,,,,0
1730545200,Visakha,Boeung Ket,1,0,,,,0
1730545200,NagaWorld,Tiffy Army,2,3,,,,0
1730631600,Phnom Penh Crown,Dangkor,1,0,,,,0
1730631600,Life FC,Angkor Tiger,2,3,,,,0
1730894400,Boeung Ket,Svay Rieng,1,2,,,,0
1731141000,Kirivong Sok Sen Chey,NagaWorld,1,5,,,,0
1731150000,Visakha,Phnom Penh Crown,3,3,,,,0
1731150000,Dangkor,Life FC,0,1,,,,0
1731236400,Angkor Tiger,Moi Kompong Dewa,4,1,,,,0
1731322800,Tiffy Army,Svay Rieng,0,0,,,,0
1732273200,Life FC,Moi Kompong Dewa,1,1,,,,0
1732359600,Svay Rieng,Dangkor,6,0,,,,0
1732359600,Phnom Penh Crown,Tiffy Army,3,1,,,,0
1732446000,NagaWorld,Visakha,1,1,,,,0
1732446000,Boeung Ket,Kirivong Sok Sen Chey,3,1,,,,0
1732705200,Svay Rieng,Life FC,2,0,,,,0
1732881600,Boeung Ket,Phnom Penh Crown,1,3,,,,0
1732955400,Kirivong Sok Sen Chey,Svay Rieng,0,6,,,,0
1732964400,Dangkor,Moi Kompong Dewa,3,0,,,,0
1733050800,Life FC,Visakha,0,3,,,,0
1733050800,Angkor Tiger,Tiffy Army,5,0,,,,0
1735038000,Moi Kompong Dewa,Svay Rieng,0,5,,,,0
1735297200,Angkor Tiger,Dangkor,2,2,,,,0
1735383600,Phnom Penh Crown,Kirivong Sok Sen Chey,3,1,,,,0
1735383600,Life FC,Tiffy Army,3,1,,,,0
1735470000,Svay Rieng,Visakha,1,0,,,,0
1735470000,NagaWorld,Boeung Ket,1,5,,,,0
1735902000,NagaWorld,Svay Rieng,0,2,,,,0
1735988400,Tiffy Army,Dangkor,1,2,,,,0
1735988400,Life FC,Boeung Ket,1,4,,,,0
1735988400,Angkor Tiger,Kirivong Sok Sen Chey,6,0,,,,0
1736074800,Visakha,Moi Kompong Dewa,4,1,,,,0
1736593200,Moi Kompong Dewa,Tiffy Army,0,3,,,,0
1736593200,Angkor Tiger,Visakha,0,2,,,,0
1736679600,Svay Rieng,Boeung Ket,2,0,,,,0
1736679600,Phnom Penh Crown,NagaWorld,0,0,,,,0
1736679600,Life FC,Kirivong Sok Sen Chey,1,1,,,,0
1737198000,Life FC,Phnom Penh Crown,0,5,,,,0
1737198000,Angkor Tiger,NagaWorld,1,1,,,,0
1737276300,Kirivong Sok Sen Chey,Dangkor,1,2,,,,0
1737284400,Visakha,Tiffy Army,2,0,,,,0
1737284400,Moi Kompong Dewa,Boeung Ket,1,6,,,,0
1737802800,Life FC,NagaWorld,1,2,,,,0
1737802800,Dangkor,Visakha,4,2,,,,0
1737881100,Kirivong Sok Sen Chey,Moi Kompong Dewa,4,1,,,,0
1737889200,Svay Rieng,Phnom Penh Crown,3,1,,,,0
1737889200,Angkor Tiger,Boeung Ket,1,0,,,,0
1738407600,Moi Kompong Dewa,Phnom Penh Crown,0,2,,,,0
1738407600,Angkor Tiger,Svay Rieng,2,3,,,,0
1738485900,Kirivong Sok Sen Chey,Visakha,1,2,,,,0
1738494000,NagaWorld,Dangkor,3,1,,,,0
1738494000,Boeung Ket,Tiffy Army,1,1,,,,0
1739012400,Boeung Ket,Dangkor,8,1,,,,0
1739098800,Moi Kompong Dewa,NagaWorld,1,2,,,,0
1739098800,Life FC,Svay Rieng,1,3,,,,0
1739098800,Angkor Tiger,Phnom Penh Crown,1,1,,,,0
1739185200,Tiffy Army,Kirivong Sok Sen Chey,1,1,,,,0
1739617200,Svay Rieng,Moi Kompong Dewa,5,0,,,,0
1739617200,Boeung Ket,Visakha,0,2,,,,0
1739617200,Angkor Tiger,Life FC,2,0,,,,0
1739703600,Tiffy Army,NagaWorld,0,2,,,,0
1739703600,Dangkor,Phnom Penh Crown,1,2,,,,0
1740222000,Life FC,Tiffy Army,2,0,,,,0
1740222000,Visakha,Phnom Penh Crown,2,1,,,,0
1740308400,Moi Kompong Dewa,Kirivong Sok Sen Chey,2,4,,,,0
1740308400,Svay Rieng,Boeung Ket,1,0,,,,0
1740308400,NagaWorld,Angkor Tiger,0,2,,,,0
1740818700,Kirivong Sok Sen Chey,Dangkor,0,1,,,,0
1740826800,Angkor Tiger,Svay Rieng,2,5,,,,0
1740913200,Moi Kompong Dewa,Life FC,1,2,,,,0
