timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1359815400,Union Douala,Les Astres,QNEfHZk3,OhsybBXB,1,1,,,,0
1359896400,Renaissance,Njalla Quan,80o54tmT,YBEbsZUP,1,1,,,,0
1359900000,Cotonsport,Tonnerre,IcoqV5ye,8fUnnHdq,1,1,,,,0
1359901800,Douala AC,New Star,YBEbsZUP,4EDbGg59,2,2,,,,0
1359903600,Canon Yaounde,Fovu Baham,K0hhvgY6,8Sy5r3VC,2,2,,,,0
1359988200,Yong Sports Academy,Sable,4EDbGg59,vFhTyjGU,1,0,,,,0
1359988200,Panthere,Bafang,4EDbGg59,4EDbGg59,0,0,,,,0
1360504800,Yong Sports Academy,Fovu Baham,4EDbGg59,8Sy5r3VC,1,1,,,,0
1360504800,Tonnerre,Union Douala,8fUnnHdq,QNEfHZk3,1,0,,,,0
1360504800,Sable,Bafang,vFhTyjGU,4EDbGg59,0,1,,,,0
1360504800,Njalla Quan,Douala AC,YBEbsZUP,YBEbsZUP,2,2,,,,0
1360504800,Les Astres,Panthere,OhsybBXB,4EDbGg59,2,0,,,,0
1360506600,Cotonsport,Renaissance,IcoqV5ye,80o54tmT,1,0,,,,0
1360508400,New Star,Canon Yaounde,4EDbGg59,K0hhvgY6,1,1,,,,0
1361710800,Union Douala,Sable,QNEfHZk3,vFhTyjGU,1,2,,,,0
1361710800,Renaissance,New Star,80o54tmT,4EDbGg59,2,2,,,,0
1361716200,Panthere,Cotonsport,4EDbGg59,IcoqV5ye,2,2,,,,0
1361716200,Fovu Baham,Les Astres,8Sy5r3VC,OhsybBXB,0,1,,,,0
1361716200,Bafang,Yong Sports Academy,4EDbGg59,4EDbGg59,1,0,,,,0
1361718000,Douala AC,Tonnerre,YBEbsZUP,8fUnnHdq,2,1,,,,0
1361718000,Canon Yaounde,Njalla Quan,K0hhvgY6,YBEbsZUP,1,1,,,,0
1362924000,Tonnerre,Canon Yaounde,8fUnnHdq,K0hhvgY6,1,1,,,,0
1362924000,Sable,Douala AC,vFhTyjGU,YBEbsZUP,0,1,,,,0
1362924000,Njalla Quan,Union Douala,YBEbsZUP,QNEfHZk3,0,1,,,,0
1362924000,Les Astres,Renaissance,OhsybBXB,80o54tmT,1,0,,,,0
1362924000,Fovu Baham,Bafang,8Sy5r3VC,4EDbGg59,0,1,,,,0
1362927600,New Star,Panthere,4EDbGg59,4EDbGg59,1,0,,,,0
1362927600,Cotonsport,Yong Sports Academy,IcoqV5ye,4EDbGg59,2,0,,,,0
1363962600,Union Douala,Fovu Baham,QNEfHZk3,8Sy5r3VC,3,0,,,,0
1364130000,Douala AC,Cotonsport,YBEbsZUP,IcoqV5ye,1,0,,,,0
1364135400,Yong Sports Academy,Tonnerre,4EDbGg59,8fUnnHdq,1,2,,,,0
1364135400,Panthere,Njalla Quan,4EDbGg59,YBEbsZUP,1,0,,,,0
1364135400,Canon Yaounde,Sable,K0hhvgY6,vFhTyjGU,1,1,,,,0
1364135400,Bafang,Renaissance,4EDbGg59,80o54tmT,2,1,,,,0
