timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1649374200,York Utd,HFX Wanderers,0,1,,,,0
1649530800,Atl. Ottawa,Cavalry,1,0,,,,0
1649620800,Edmonton,Valour,1,1,,,,0
1649631600,Pacific FC,Forge,2,1,,,,0
1650070800,Edmonton,York Utd,1,1,,,,0
1650128400,Atl. Ottawa,HFX Wanderers,1,0,,,,0
1650139200,Forge,Cavalry,2,2,,,,0
1650225600,Pacific FC,Valour,3,2,,,,0
1650670200,York Utd,Cavalry,2,0,,,,0
1650744000,Forge,Edmonton,3,0,,,,0
1650754800,Pacific FC,HFX Wanderers,2,1,,,,0
1650826800,Atl. Ottawa,Valour,1,6,,,,0
1651107600,Edmonton,Pacific FC,0,0,,,,0
1651275000,York Utd,Atl. Ottawa,2,2,,,,0
1651341600,HFX Wanderers,Edmonton,3,1,,,,0
1651440600,Cavalry,Pacific FC,2,0,,,,0
1651878000,York Utd,Forge,1,0,,,,0
1651888800,Edmonton,Cavalry,0,3,,,,0
1651950000,Valour,HFX Wanderers,0,0,,,,0
1651960800,Atl. Ottawa,Pacific FC,0,1,,,,0
1652558400,Forge,Atl. Ottawa,1,1,,,,0
1652569200,Pacific FC,Edmonton,2,1,,,,0
1652637600,HFX Wanderers,Cavalry,2,2,,,,0
1652648400,Valour,York Utd,1,0,,,,0
1653084000,HFX Wanderers,Forge,0,4,,,,0
1653098400,Pacific FC,York Utd,0,0,,,,0
1653161400,Cavalry,Valour,2,1,,,,0
1653249600,Edmonton,Atl. Ottawa,1,2,,,,0
1653778800,Pacific FC,Valour,2,2,,,,0
1653847200,York Utd,Cavalry,0,1,,,,0
1654045200,Edmonton,Forge,3,4,,,,0
1654128000,Valour,Atl. Ottawa,0,1,,,,0
1654365600,HFX Wanderers,York Utd,1,0,,,,0
1654448400,Atl. Ottawa,Pacific FC,2,1,,,,0
1654459200,Valour,Edmonton,1,1,,,,0
1654975800,Cavalry,HFX Wanderers,1,0,,,,0
1655064000,Forge,Pacific FC,3,0,,,,0
1655247600,Atl. Ottawa,York Utd,0,0,,,,0
1655258400,Edmonton,HFX Wanderers,1,2,,,,0
1655337600,Valour,Cavalry,2,4,,,,0
1655582400,York Utd,Pacific FC,0,0,,,,0
1655661600,HFX Wanderers,Forge,0,3,,,,0
1655672400,Edmonton,Atl. Ottawa,1,0,,,,0
1656190800,Pacific FC,HFX Wanderers,0,3,,,,0
1656259200,York Utd,Valour,1,3,,,,0
1656284400,Cavalry,Edmonton,3,1,,,,0
1656543600,Forge,Valour,0,1,,,,0
1656628200,HFX Wanderers,Atl. Ottawa,0,2,,,,0
1656639000,Pacific FC,Cavalry,3,3,,,,0
1656712800,Edmonton,York Utd,3,0,,,,0
1656878400,Forge,Atl. Ottawa,0,1,,,,0
1657323900,York Utd,Forge,0,2,,,,0
1657396800,Edmonton,Pacific FC,2,3,,,,0
1657407900,Atl. Ottawa,Cavalry,1,1,,,,0
1657479600,Valour,HFX Wanderers,1,0,,,,0
1657845000,Cavalry,HFX Wanderers,3,0,,,,0
1657927800,York Utd,Pacific FC,2,4,,,,0
1658270700,Forge,Edmonton,5,1,,,,0
1658280600,Cavalry,York Utd,0,1,,,,0
1658358000,Atl. Ottawa,Valour,1,1,,,,0
1658541600,Pacific FC,Cavalry,3,0,,,,0
1658597400,HFX Wanderers,Edmonton,1,1,,,,0
1658608200,Forge,Valour,3,1,,,,0
1658685600,York Utd,Atl. Ottawa,0,3,,,,0
1658970000,Cavalry,Forge,1,2,,,,0
1659207600,Valour,Pacific FC,1,2,,,,0
1659218400,Cavalry,Edmonton,2,0,,,,0
1659308400,Atl. Ottawa,Forge,0,4,,,,0
1659376800,HFX Wanderers,York Utd,2,4,,,,0
1659571200,Valour,Cavalry,2,0,,,,0
1659816000,Forge,HFX Wanderers,1,0,,,,0
1659895200,Atl. Ottawa,Edmonton,2,1,,,,0
1659906000,Valour,York Utd,2,0,,,,0
1660352400,Cavalry,Forge,2,1,,,,0
1660413600,HFX Wanderers,Valour,1,0,,,,0
1660424400,Pacific FC,Atl. Ottawa,1,0,,,,0
1660507200,York Utd,Edmonton,3,2,,,,0
1660777200,Atl. Ottawa,HFX Wanderers,3,2,,,,0
1661016600,HFX Wanderers,Pacific FC,1,0,,,,0
1661036400,Forge,York Utd,1,3,,,,0
1661106600,Valour,Edmonton,1,1,,,,0
1661117400,Cavalry,Atl. Ottawa,0,3,,,,0
1661628600,Cavalry,York Utd,1,0,,,,0
1661639400,Atl. Ottawa,Forge,0,0,,,,0
1661713200,Valour,Pacific FC,1,0,,,,0
1661724000,Edmonton,HFX Wanderers,3,2,,,,0
1661990400,Valour,Forge,1,0,,,,0
1662159600,Atl. Ottawa,Edmonton,0,0,,,,0
1662238800,Pacific FC,York Utd,1,3,,,,0
1662314400,Valour,Forge,1,0,,,,0
1662400800,HFX Wanderers,Cavalry,0,0,,,,0
1662766200,York Utd,Edmonton,3,1,,,,0
1662832800,HFX Wanderers,Valour,1,0,,,,0
1662843600,Forge,Cavalry,2,1,,,,0
1662926400,Pacific FC,Atl. Ottawa,1,1,,,,0
1663371000,York Utd,HFX Wanderers,0,0,,,,0
1663444800,Edmonton,Cavalry,0,1,,,,0
1663531200,Valour,Atl. Ottawa,1,1,,,,0
