timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1463256000,Sal-Rei,Vulcanico,ENaLgGQD,GbhLOzfc,3,0,,,,0
1463256000,Mindelense,Academica Porto Novo,QNEfHZk3,AqxDH6wm,1,1,,,,0
1463256000,ACA,Academico 83,QNEfHZk3,AqxDH6wm,3,0,,,,0
1463342400,Sinagoga,Sporting da Brava,rXMqe0ac,OnWab9yA,2,3,,,,0
1463342400,FC Derby,SC Atletico,QNEfHZk3,0O5bjg08,3,1,,,,0
1463860800,Vulcanico,Mindelense,GbhLOzfc,QNEfHZk3,0,3,,,,0
1463860800,Varandinha,FC Derby,SCbeiVjK,QNEfHZk3,0,0,,,,0
1463860800,Sinagoga,Desportivo Praia,rXMqe0ac,YFI8yO0N,0,0,,,,0
1463860800,SC Atletico,Sporting da Brava,0O5bjg08,OnWab9yA,1,0,,,,0
1463860800,Academica Porto Novo,Academico 83,AqxDH6wm,AqxDH6wm,2,0,,,,0
1463860800,ACA,Sal-Rei,QNEfHZk3,ENaLgGQD,1,0,,,,0
1464465600,Vulcanico,ACA,GbhLOzfc,QNEfHZk3,2,0,,,,0
1464465600,Varandinha,Sinagoga,SCbeiVjK,rXMqe0ac,3,0,,,,0
1464465600,Sporting da Brava,FC Derby,OnWab9yA,QNEfHZk3,0,1,,,,0
1464465600,Sal-Rei,Academica Porto Novo,ENaLgGQD,AqxDH6wm,0,2,,,,0
1464465600,Desportivo Praia,SC Atletico,YFI8yO0N,0O5bjg08,3,0,,,,0
1464465600,Academico 83,Mindelense,AqxDH6wm,QNEfHZk3,0,0,,,,0
1464811200,Desportivo Praia,Varandinha,YFI8yO0N,SCbeiVjK,1,3,,,,0
1465070400,Sporting da Brava,Varandinha,OnWab9yA,SCbeiVjK,2,1,,,,0
1465070400,SC Atletico,Sinagoga,0O5bjg08,rXMqe0ac,2,2,,,,0
1465070400,Mindelense,Sal-Rei,QNEfHZk3,ENaLgGQD,5,2,,,,0
1465070400,FC Derby,Desportivo Praia,QNEfHZk3,YFI8yO0N,2,1,,,,0
1465070400,Academico 83,Vulcanico,AqxDH6wm,GbhLOzfc,2,0,,,,0
1465156800,Academica Porto Novo,ACA,AqxDH6wm,QNEfHZk3,0,0,,,,0
1465675200,Vulcanico,Academica Porto Novo,GbhLOzfc,AqxDH6wm,0,1,,,,0
1465675200,Sinagoga,FC Derby,rXMqe0ac,QNEfHZk3,0,2,,,,0
1465675200,Sal-Rei,Academico 83,ENaLgGQD,AqxDH6wm,3,3,,,,0
1465675200,Desportivo Praia,Sporting da Brava,YFI8yO0N,OnWab9yA,2,1,,,,0
1465675200,ACA,Mindelense,QNEfHZk3,QNEfHZk3,0,2,,,,0
1465761600,Varandinha,SC Atletico,SCbeiVjK,0O5bjg08,2,1,,,,0
1466280000,Varandinha,Mindelense,SCbeiVjK,QNEfHZk3,1,4,,,,0
1466280000,Academica Porto Novo,FC Derby,AqxDH6wm,QNEfHZk3,0,0,,,,0
1466884800,Mindelense,Varandinha,QNEfHZk3,SCbeiVjK,2,0,,,,0
1466971200,FC Derby,Academica Porto Novo,QNEfHZk3,AqxDH6wm,2,2,,,,0
1467489600,Mindelense,Academica Porto Novo,QNEfHZk3,AqxDH6wm,0,1,,,,0
1468094400,Academica Porto Novo,Mindelense,AqxDH6wm,QNEfHZk3,0,1,Pen,0,2,0
