timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1106341200,Huachipato,La Serena,4,1,,,,0
1106355600,Palestino,Rangers,3,1,,,,0
1106436600,Deportes Temuco,Cobresal,1,1,,,,0
1106440200,Coquimbo,D. Concepcion,2,0,,,,0
1106442000,Everton,U. De Chile,3,2,,,,0
1106506800,San Felipe,S. Wanderers,3,2,,,,0
1106517600,Colo Colo,D. Puerto Montt,2,0,,,,0
1106524800,U. Catolica,Melipilla,5,0,,,,0
1106952300,A. Italiano,Everton,1,1,,,,0
1106952600,S. Wanderers,Colo Colo,1,1,,,,0
1106952600,Rangers,U. Espanola,0,0,,,,0
1107025200,Cobreloa,Palestino,1,0,,,,0
1107028800,La Serena,U. De Concepcion,2,0,,,,0
1107034200,D. Puerto Montt,U. Catolica,1,2,,,,0
1107039000,Melipilla,Deportes Temuco,0,0,,,,0
1107039000,D. Concepcion,Huachipato,1,1,,,,0
1107111600,Cobresal,Coquimbo,2,1,,,,0
1107125400,U. De Chile,San Felipe,2,0,,,,0
1107291600,Everton,U. De Concepcion,1,1,,,,0
1107298200,U. Espanola,A. Italiano,3,3,,,,0
1107378000,Huachipato,Cobreloa,5,4,,,,0
1107381600,Deportes Temuco,U. Catolica,1,2,,,,0
1107384600,Rangers,La Serena,1,2,,,,0
1107384600,D. Puerto Montt,Melipilla,0,1,,,,0
1107384600,D. Concepcion,S. Wanderers,2,1,,,,0
1107471000,Palestino,San Felipe,1,2,,,,0
1107471000,Coquimbo,U. De Chile,1,3,,,,0
1107635400,A. Italiano,Colo Colo,1,1,,,,0
1107644400,S. Wanderers,Everton,4,1,,,,0
1107716400,San Felipe,Rangers,0,1,,,,0
1107716400,Cobresal,D. Puerto Montt,3,0,,,,0
1107723600,U. De Concepcion,Cobreloa,0,1,,,,0
1107727200,U. De Chile,Palestino,2,0,,,,0
1107727200,Melipilla,Coquimbo,0,1,,,,0
1107727200,Deportes Temuco,Huachipato,1,2,,,,0
1107730200,U. Catolica,U. Espanola,1,1,,,,0
1107730200,La Serena,D. Concepcion,2,2,,,,0
1108159200,U. Espanola,Everton,2,2,,,,0
1108159200,Rangers,Melipilla,1,1,,,,0
1108234800,Cobreloa,Deportes Temuco,5,4,,,,0
1108245600,D. Puerto Montt,U. De Chile,0,1,,,,0
1108252800,S. Wanderers,Cobresal,1,3,,,,0
1108254600,Coquimbo,A. Italiano,1,0,,,,0
1108256400,Colo Colo,U. De Concepcion,0,1,,,,0
1108321200,San Felipe,La Serena,0,0,,,,0
1108328400,Palestino,Huachipato,2,3,,,,0
1108332000,D. Concepcion,U. Catolica,1,0,,,,0
1108843200,A. Italiano,Palestino,0,2,,,,0
1108846800,U. De Concepcion,San Felipe,2,0,,,,0
1108846800,Huachipato,Rangers,0,1,,,,0
1108853400,La Serena,Colo Colo,3,7,,,,0
1108853400,Everton,D. Puerto Montt,3,2,,,,0
1108926000,Cobresal,U. Espanola,4,3,,,,0
1108933200,Melipilla,Cobreloa,0,1,,,,0
1108936800,U. Catolica,S. Wanderers,3,0,,,,0
1108939800,Deportes Temuco,Coquimbo,2,1,,,,0
1109453400,San Felipe,U. Catolica,0,2,,,,0
1109458200,U. Espanola,La Serena,1,2,,,,0
1109458200,S. Wanderers,Deportes Temuco,0,1,,,,0
1109458200,Rangers,A. Italiano,2,0,,,,0
1109458200,Coquimbo,U. De Concepcion,3,1,,,,0
1109458200,Colo Colo,Everton,2,1,,,,0
1109532600,Huachipato,Cobresal,0,2,,,,0
1109538000,Palestino,D. Puerto Montt,0,3,,,,0
1109541600,D. Concepcion,Melipilla,0,0,,,,0
1109541600,Cobreloa,U. De Chile,1,1,,,,0
1109803800,U. De Concepcion,A. Italiano,3,0,,,,0
1109803800,Colo Colo,Cobresal,2,2,,,,0
1110049200,Cobreloa,Rangers,1,1,,,,0
1110058200,Deportes Temuco,Colo Colo,1,2,,,,0
1110063000,U. De Chile,S. Wanderers,3,0,,,,0
1110063000,Everton,Coquimbo,0,1,,,,0
1110063600,La Serena,Palestino,4,0,,,,0
1110121200,D. Puerto Montt,San Felipe,1,0,,,,0
1110137400,Cobresal,D. Concepcion,0,1,,,,0
1110142800,Melipilla,U. Espanola,1,2,,,,0
1110144600,U. De Concepcion,Huachipato,2,0,,,,0
1110146400,U. Catolica,A. Italiano,2,1,,,,0
1110581700,Rangers,U. De Concepcion,1,1,,,,0
1110657600,Huachipato,U. De Chile,1,0,,,,0
1110657600,A. Italiano,Deportes Temuco,1,2,,,,0
1110668100,San Felipe,Everton,0,2,,,,0
1110668100,La Serena,U. Catolica,0,1,,,,0
1110711600,U. Espanola,Coquimbo,4,2,,,,0
1110744000,S. Wanderers,Melipilla,3,0,,,,0
1110744000,D. Concepcion,D. Puerto Montt,1,1,,,,0
1110747600,Palestino,Cobresal,0,0,,,,0
1110751200,Colo Colo,Cobreloa,2,0,,,,0
