date,home_team,away_team,home_score,away_score
17.02. 22:00,Colo Colo,U. De Concepcion,1,0
15.02. 14:30,Cobresal,U. Espanola,4,1
14.02. 22:00,Deportes Iquique,S. Wanderers,2,0
14.02. 22:00,La Serena,A. Italiano,0,2
14.02. 22:00,O'Higgins,Colo Colo,1,1
14.02. 22:00,Palestino,Coquimbo,2,2
14.02. 14:30,Everton,Huachipato,1,0
14.02. 14:30,U. De Concepcion,U. Catolica,1,2
13.02. 22:30,U. De Chile,Antofagasta,3,1
13.02. 22:30,Union La Calera,Curico Unido,2,3
12.02. 01:00,Huachipato,Palestino,1,0
11.02. 22:30,A. Italiano,Deportes Iquique,1,1
11.02. 22:30,Colo Colo,Cobresal,0,0
11.02. 22:30,Coquimbo,Everton,3,0
11.02. 22:30,S. Wanderers,U. De Concepcion,1,1
11.02. 01:30,U. Catolica,Union La Calera,0,0
10.02. 22:30,Curico Unido,U. De Chile,0,0
10.02. 22:30,U. Espanola,La Serena,1,1
10.02. 14:30,Antofagasta,O'Higgins,1,0
08.02. 01:45,Cobresal,Huachipato,2,1
07.02. 21:00,U. De Concepcion,Coquimbo,2,1
07.02. 01:30,Deportes Iquique,Colo Colo,0,0
06.02. 23:15,U. De Chile,U. Espanola,3,0
06.02. 21:00,Everton,Palestino,1,3
06.02. 14:30,O'Higgins,A. Italiano,0,0
06.02. 01:30,Curico Unido,S. Wanderers,1,3
05.02. 23:15,Union La Calera,Antofagasta,1,1
05.02. 21:00,La Serena,U. Catolica,1,2
05.02. 00:00,Coquimbo,Cobresal,0,1
02.02. 01:00,Deportes Iquique,Coquimbo,2,2
01.02. 01:00,Curico Unido,U. Espanola,2,4
31.01. 22:30,Colo Colo,Union La Calera,2,1
30.01. 23:00,O'Higgins,U. Catolica,2,0
29.01. 23:00,Coquimbo,U. De Chile,0,1
29.01. 00:00,Union La Calera,Deportes Iquique,1,2
27.01. 00:00,U. Espanola,Coquimbo,0,1
26.01. 00:00,U. Catolica,Palestino,2,3
24.01. 23:15,U. De Chile,Deportes Iquique,2,2
24.01. 21:00,La Serena,Curico Unido,2,0
24.01. 00:30,Cobresal,Union La Calera,1,1
23.01. 22:00,Colo Colo,Coquimbo,2,1
21.01. 01:30,Coquimbo,Curico Unido,0,0
20.01. 01:30,O'Higgins,U. De Concepcion,0,0
19.01. 23:15,U. Catolica,Everton,1,1
19.01. 21:00,Huachipato,U. Espanola,4,1
19.01. 14:30,Antofagasta,Deportes Iquique,3,1
18.01. 23:15,A. Italiano,Union La Calera,1,3
18.01. 21:00,S. Wanderers,La Serena,0,0
18.01. 14:30,Palestino,Cobresal,3,2
17.01. 22:00,Colo Colo,U. De Chile,0,0
16.01. 01:30,Huachipato,S. Wanderers,4,0
15.01. 23:15,Curico Unido,O'Higgins,1,3
15.01. 21:00,La Serena,Union La Calera,0,3
15.01. 14:30,Cobresal,Antofagasta,3,1
15.01. 01:30,U. Espanola,U. Catolica,1,1
14.01. 23:15,U. De Chile,Palestino,1,1
14.01. 21:00,Everton,A. Italiano,2,1
13.01. 21:00,U. De Concepcion,Colo Colo,1,1
12.01. 14:30,O'Higgins,Deportes Iquique,2,2
12.01. 01:30,A. Italiano,Huachipato,2,0
11.01. 23:15,S. Wanderers,Cobresal,1,0
11.01. 21:00,Antofagasta,La Serena,2,2
11.01. 14:30,Palestino,U. Espanola,2,2
11.01. 01:00,Union La Calera,U. De Concepcion,1,2
10.01. 22:30,Colo Colo,Everton,1,0
10.01. 14:30,U. Catolica,Curico Unido,1,1
08.01. 14:30,Cobresal,A. Italiano,1,2
08.01. 01:30,Deportes Iquique,U. Catolica,0,1
07.01. 23:15,Huachipato,Union La Calera,4,3
07.01. 21:00,U. De Concepcion,Palestino,1,1
07.01. 14:30,Curico Unido,Antofagasta,2,0
06.01. 23:15,U. De Chile,O'Higgins,0,1
06.01. 21:00,La Serena,Everton,1,1
06.01. 14:30,S. Wanderers,Colo Colo,3,0
05.01. 01:30,A. Italiano,U. Espanola,2,2
04.01. 23:15,U. Catolica,Huachipato,3,0
04.01. 14:30,Palestino,Curico Unido,4,2
03.01. 23:15,U. De Chile,U. De Concepcion,2,0
03.01. 14:30,Antofagasta,Colo Colo,0,1
02.01. 23:15,Union La Calera,S. Wanderers,3,0
02.01. 21:00,Everton,Deportes Iquique,1,0
02.01. 14:30,O'Higgins,La Serena,1,1
31.12. 00:30,U. Catolica,S. Wanderers,1,1
30.12. 14:30,Union La Calera,O'Higgins,0,1
28.12. 23:30,U. De Concepcion,Everton,0,0
28.12. 21:00,Cobresal,U. De Chile,2,0
28.12. 14:30,Deportes Iquique,Palestino,0,2
27.12. 23:15,A. Italiano,U. Catolica,2,2
27.12. 21:00,Huachipato,Coquimbo,0,1
27.12. 14:30,U. Espanola,Antofagasta,1,1
27.12. 00:30,S. Wanderers,O'Higgins,1,0
23.12. 22:30,U. De Chile,U. Catolica,0,0
23.12. 14:30,Coquimbo,Antofagasta,0,1
22.12. 14:30,Everton,Cobresal,3,0
21.12. 22:00,U. De Concepcion,La Serena,0,2
21.12. 01:30,Coquimbo,O'Higgins,0,3
20.12. 23:15,U. De Chile,Huachipato,2,2
20.12. 21:00,Antofagasta,S. Wanderers,1,1
20.12. 14:30,Palestino,A. Italiano,1,0
19.12. 22:00,U. Catolica,Colo Colo,0,0
17.12. 23:30,Huachipato,Curico Unido,1,0
17.12. 21:00,La Serena,U. De Chile,0,0
17.12. 14:30,A. Italiano,Antofagasta,3,0
17.12. 00:30,Everton,U. Espanola,1,2
16.12. 22:00,Deportes Iquique,U. De Concepcion,4,0
16.12. 14:30,Palestino,S. Wanderers,3,1
14.12. 22:00,Curico Unido,Cobresal,0,1
14.12. 14:30,Antofagasta,Huachipato,2,1
13.12. 23:15,S. Wanderers,Everton,2,1
