timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1340696400,Shanghai Shenxin,Shenyang Zhongze,2,2,Pen,2,3,0
1340708400,Dalian Shide,Yanbian Longding,8,0,,,,0
1340710500,Zhejiang Professional,Shanghai Port,3,0,,,,0
1340782200,Qingdao Hainiu,Guizhou,4,0,,,,0
1340794800,Dalian Pro,Beijing Technology,2,1,,,,0
1340796600,Shandong Taishan,Dongguan Nancheng,4,0,,,,0
1340796600,Henan Songshan Longmen,Chongqing Liangjiang Athletic,2,0,,,,0
1340796600,Changchun Yatai,Shenyan Dongjin,2,0,,,,0
1340797200,Jiangsu Suning,Chengdu Tiancheng,1,1,Pen,1,2,0
1340797500,Shanghai Shenhua,Shenzhen,0,0,Pen,1,0,0
1340798400,Guangzhou City,Hunan Billows,3,2,,,,0
1341401400,Beijing Renhe,Guangdong,2,0,,,,0
1342524900,Zhejiang Professional,Chengdu Tiancheng,2,1,,,,0
1342609200,Dalian Pro,Shenyang Zhongze,2,0,,,,0
1342611000,Tianjin Jinmen Tiger,Shandong Taishan,1,1,Pen,1,2,0
1342611000,Liaoning,Guangzhou City,4,3,,,,0
1342611000,Changchun Yatai,Shanghai Shenhua,0,0,Pen,1,0,0
1342611000,Beijing Guoan,Qingdao Hainiu,6,0,,,,0
1342611900,Guangzhou FC,Henan Songshan Longmen,2,1,,,,0
1342683000,Beijing Renhe,Dalian Shide,2,0,,,,0
1343818800,Guangzhou FC,Dalian Pro,1,0,,,,0
1343820600,Beijing Guoan,Beijing Renhe,3,4,,,,0
1343821500,Shandong Taishan,Changchun Yatai,1,0,,,,0
1343821500,Liaoning,Zhejiang Professional,1,0,,,,0
1345635000,Beijing Renhe,Shandong Taishan,1,1,,,,0
1345635300,Guangzhou FC,Liaoning,1,0,,,,0
1348644600,Shandong Taishan,Beijing Renhe,2,2,,,,0
1348657200,Liaoning,Guangzhou FC,2,2,,,,0
1352547000,Beijing Renhe,Guangzhou FC,1,1,,,,0
1353223800,Guangzhou FC,Beijing Renhe,4,2,,,,0
