timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1047726000,Shenzhen,Guangzhou City,1,1,,,,0
1047726000,Beijing Renhe,Qingdao Hainiu,1,0,,,,0
1047812400,Shandong Taishan,Yunnan Hongta,2,2,,,,0
1047812400,Shaanxi Guoli,Sichuan Guancheng,0,0,,,,0
1047812400,Beijing Guoan,Liaoning,2,0,,,,0
1047812400,Bayi Army,Tianjin Jinmen Tiger,1,0,,,,0
1048158000,Dalian Shide,Shanghai Shenhua,1,1,,,,0
1048330800,Qingdao Hainiu,Bayi Army,1,1,,,,0
1048330800,Liaoning,Shaanxi Guoli,1,0,,,,0
1048417200,Yunnan Hongta,Beijing Guoan,1,0,,,,0
1048417200,Tianjin Jinmen Tiger,Shandong Taishan,1,2,,,,0
1048417200,Sichuan Guancheng,Shenzhen,1,0,,,,0
1048417200,Guangzhou City,Dalian Shide,2,0,,,,0
1048417200,Chongqing Liangjiang Athletic,Beijing Renhe,0,1,,,,0
1048676400,Shanghai Shenhua,Guangzhou City,4,1,,,,0
1048676400,Shandong Taishan,Qingdao Hainiu,1,3,,,,0
1048676400,Shaanxi Guoli,Yunnan Hongta,0,3,,,,0
1048676400,Dalian Shide,Sichuan Guancheng,3,1,,,,0
1048676400,Beijing Guoan,Tianjin Jinmen Tiger,0,0,,,,0
1048676400,Bayi Army,Chongqing Liangjiang Athletic,2,1,,,,0
1048762800,Shenzhen,Liaoning,2,1,,,,0
1048935600,Sichuan Guancheng,Shanghai Shenhua,1,3,,,,0
1048935600,Qingdao Hainiu,Beijing Guoan,2,1,,,,0
1049018400,Yunnan Hongta,Shenzhen,1,1,,,,0
1049018400,Tianjin Jinmen Tiger,Shaanxi Guoli,4,1,,,,0
1049018400,Liaoning,Dalian Shide,0,1,,,,0
1049018400,Chongqing Liangjiang Athletic,Shandong Taishan,1,0,,,,0
1049018400,Beijing Renhe,Bayi Army,3,0,,,,0
1049450400,Dalian Shide,Yunnan Hongta,0,0,,,,0
1049536800,Shenzhen,Tianjin Jinmen Tiger,2,2,,,,0
1049536800,Shanghai Shenhua,Liaoning,3,0,,,,0
1049536800,Shandong Taishan,Beijing Renhe,2,1,,,,0
1049536800,Guangzhou City,Sichuan Guancheng,1,0,,,,0
1049536800,Beijing Guoan,Chongqing Liangjiang Athletic,2,2,,,,0
1049882400,Yunnan Hongta,Shanghai Shenhua,2,0,,,,0
1049882400,Qingdao Hainiu,Shenzhen,0,0,,,,0
1049882400,Liaoning,Guangzhou City,3,2,,,,0
1049882400,Chongqing Liangjiang Athletic,Shaanxi Guoli,2,0,,,,0
1049882400,Beijing Renhe,Beijing Guoan,1,0,,,,0
1049882400,Bayi Army,Shandong Taishan,0,0,,,,0
1050314400,Shaanxi Guoli,Qingdao Hainiu,4,5,,,,0
1057140000,Shenzhen,Chongqing Liangjiang Athletic,2,1,,,,0
1057140000,Shanghai Shenhua,Tianjin Jinmen Tiger,4,1,,,,0
1057140000,Shaanxi Guoli,Beijing Renhe,1,1,,,,0
1057140000,Guangzhou City,Yunnan Hongta,0,0,,,,0
1057140000,Dalian Shide,Qingdao Hainiu,6,2,,,,0
1057140000,Bayi Army,Beijing Guoan,2,0,,,,0
1057226400,Sichuan Guancheng,Liaoning,2,2,,,,0
