timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1142074800,Wuhan FC,Guangzhou City,pbC5VOeU,niM2dYV4,2,0,,,,0
1142074800,Qingdao Hainiu,Beijing Guoan,h4caPP9m,fgNUPaDK,0,0,,,,0
1142074800,Chongqing Liangjiang Athletic,Liaoning,IwoOwT3M,fgNUPaDK,2,1,,,,0
1142074800,Beijing Renhe,Shanghai United,x60uiMCN,,1,1,,,,0
1142161200,Xiamen Lanshi,Shandong Taishan,jBiyOE6U,Of01Mw8S,1,3,,,,0
1142161200,Shenzhen,Tianjin Jinmen Tiger,A1TBw3zO,A5sD8c6B,2,3,,,,0
1142161200,Shanghai Shenhua,Changchun Yatai,xEhCoufj,G2OQQubE,0,0,,,,0
1142679600,Shanghai Shenhua,Xiamen Lanshi,xEhCoufj,jBiyOE6U,2,2,,,,0
1142679600,Dalian Shide,Liaoning,fgNUPaDK,fgNUPaDK,2,0,,,,0
1142766000,Tianjin Jinmen Tiger,Wuhan FC,A5sD8c6B,pbC5VOeU,3,0,,,,0
1142766000,Shandong Taishan,Qingdao Hainiu,Of01Mw8S,h4caPP9m,3,1,,,,0
1142766000,Chongqing Liangjiang Athletic,Changchun Yatai,IwoOwT3M,G2OQQubE,1,0,,,,0
1142766000,Beijing Renhe,Shenzhen,x60uiMCN,A1TBw3zO,0,0,,,,0
1142766000,Beijing Guoan,Shanghai United,fgNUPaDK,,1,2,,,,0
1143284400,Shenzhen,Beijing Guoan,A1TBw3zO,fgNUPaDK,0,4,,,,0
1143284400,Qingdao Hainiu,Shanghai Shenhua,h4caPP9m,xEhCoufj,1,2,,,,0
1143367200,Xiamen Lanshi,Chongqing Liangjiang Athletic,jBiyOE6U,IwoOwT3M,3,2,,,,0
1143367200,Wuhan FC,Beijing Renhe,pbC5VOeU,x60uiMCN,1,0,,,,0
1143367200,Shanghai United,Shandong Taishan,,Of01Mw8S,5,1,,,,0
1143367200,Guangzhou City,Tianjin Jinmen Tiger,niM2dYV4,A5sD8c6B,0,0,,,,0
1143367200,Changchun Yatai,Dalian Shide,G2OQQubE,fgNUPaDK,2,1,,,,0
1143626400,Shandong Taishan,Shenzhen,Of01Mw8S,A1TBw3zO,2,0,,,,0
1143626400,Liaoning,Changchun Yatai,fgNUPaDK,G2OQQubE,1,1,,,,0
1143626400,Dalian Shide,Xiamen Lanshi,fgNUPaDK,jBiyOE6U,1,1,,,,0
1143626400,Chongqing Liangjiang Athletic,Qingdao Hainiu,IwoOwT3M,h4caPP9m,3,4,,,,0
1143626400,Beijing Renhe,Guangzhou City,x60uiMCN,niM2dYV4,3,0,,,,0
1143626400,Beijing Guoan,Wuhan FC,fgNUPaDK,pbC5VOeU,1,1,,,,0
1143712800,Shanghai Shenhua,Shanghai United,xEhCoufj,,0,0,,,,0
1143885600,Xiamen Lanshi,Liaoning,jBiyOE6U,fgNUPaDK,0,0,,,,0
1143885600,Wuhan FC,Shandong Taishan,pbC5VOeU,Of01Mw8S,1,2,,,,0
1143885600,Tianjin Jinmen Tiger,Beijing Renhe,A5sD8c6B,x60uiMCN,2,2,,,,0
1143885600,Guangzhou City,Beijing Guoan,niM2dYV4,fgNUPaDK,0,1,,,,0
1143972000,Shenzhen,Shanghai Shenhua,A1TBw3zO,xEhCoufj,1,0,,,,0
1143972000,Shanghai United,Chongqing Liangjiang Athletic,,IwoOwT3M,3,0,,,,0
1143972000,Qingdao Hainiu,Dalian Shide,h4caPP9m,fgNUPaDK,0,1,,,,0
1144481400,Shandong Taishan,Guangzhou City,Of01Mw8S,niM2dYV4,3,1,,,,0
1144490400,Shanghai Shenhua,Wuhan FC,xEhCoufj,pbC5VOeU,3,1,,,,0
1144490400,Liaoning,Qingdao Hainiu,fgNUPaDK,h4caPP9m,0,0,,,,0
1144490400,Dalian Shide,Shanghai United,fgNUPaDK,,1,0,,,,0
1144490400,Chongqing Liangjiang Athletic,Shenzhen,IwoOwT3M,A1TBw3zO,0,1,,,,0
1144490400,Changchun Yatai,Xiamen Lanshi,G2OQQubE,jBiyOE6U,3,0,,,,0
1144490400,Beijing Guoan,Tianjin Jinmen Tiger,fgNUPaDK,A5sD8c6B,1,1,,,,0
1145095200,Wuhan FC,Chongqing Liangjiang Athletic,pbC5VOeU,IwoOwT3M,2,1,,,,0
1145095200,Shanghai United,Liaoning,,fgNUPaDK,1,2,,,,0
1145095200,Beijing Renhe,Beijing Guoan,x60uiMCN,fgNUPaDK,0,2,,,,0
1145181600,Tianjin Jinmen Tiger,Shandong Taishan,A5sD8c6B,Of01Mw8S,0,3,,,,0
1145181600,Shenzhen,Dalian Shide,A1TBw3zO,fgNUPaDK,1,2,,,,0
1145181600,Qingdao Hainiu,Changchun Yatai,h4caPP9m,G2OQQubE,0,1,,,,0
1145181600,Guangzhou City,Shanghai Shenhua,niM2dYV4,xEhCoufj,1,0,,,,0
1145440800,Xiamen Lanshi,Qingdao Hainiu,jBiyOE6U,h4caPP9m,0,0,,,,0
1145440800,Shanghai Shenhua,Tianjin Jinmen Tiger,xEhCoufj,A5sD8c6B,1,0,,,,0
1145440800,Shandong Taishan,Beijing Renhe,Of01Mw8S,x60uiMCN,5,1,,,,0
1145440800,Liaoning,Shenzhen,fgNUPaDK,A1TBw3zO,2,1,,,,0
1145440800,Chongqing Liangjiang Athletic,Guangzhou City,IwoOwT3M,niM2dYV4,0,1,,,,0
1145440800,Changchun Yatai,Shanghai United,G2OQQubE,,2,0,,,,0
1145527200,Dalian Shide,Wuhan FC,fgNUPaDK,pbC5VOeU,2,0,,,,0
1145700000,Beijing Guoan,Shandong Taishan,fgNUPaDK,Of01Mw8S,0,0,,,,0
1145786400,Wuhan FC,Liaoning,pbC5VOeU,fgNUPaDK,1,1,,,,0
1145786400,Tianjin Jinmen Tiger,Chongqing Liangjiang Athletic,A5sD8c6B,IwoOwT3M,1,0,,,,0
1145786400,Shenzhen,Changchun Yatai,A1TBw3zO,G2OQQubE,1,0,,,,0
1145786400,Shanghai United,Xiamen Lanshi,,jBiyOE6U,1,1,,,,0
1145786400,Guangzhou City,Dalian Shide,niM2dYV4,fgNUPaDK,3,2,,,,0
1145786400,Beijing Renhe,Shanghai Shenhua,x60uiMCN,xEhCoufj,0,0,,,,0
1146304800,Xiamen Lanshi,Shenzhen,jBiyOE6U,A1TBw3zO,0,0,,,,0
1146304800,Qingdao Hainiu,Shanghai United,h4caPP9m,,1,0,,,,0
1146304800,Chongqing Liangjiang Athletic,Beijing Renhe,IwoOwT3M,x60uiMCN,1,1,,,,0
1146304800,Changchun Yatai,Wuhan FC,G2OQQubE,pbC5VOeU,2,0,,,,0
1146391200,Shanghai Shenhua,Beijing Guoan,xEhCoufj,fgNUPaDK,0,0,,,,0
1146391200,Liaoning,Guangzhou City,fgNUPaDK,niM2dYV4,1,1,,,,0
1146391200,Dalian Shide,Tianjin Jinmen Tiger,fgNUPaDK,A5sD8c6B,2,1,,,,0
1146909600,Wuhan FC,Xiamen Lanshi,pbC5VOeU,jBiyOE6U,1,1,,,,0
1146909600,Shenzhen,Qingdao Hainiu,A1TBw3zO,h4caPP9m,1,0,,,,0
1146909600,Guangzhou City,Changchun Yatai,niM2dYV4,G2OQQubE,0,2,,,,0
