timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1424277000,Boca Juniors,Real Cundinamarca,1,1,,,,0
1424289600,U. Magdalena,Dep. Pasto,0,0,,,,0
1424289600,Real Santander,Cucuta,1,5,,,,0
1424289600,Patriotas,Llaneros,1,0,,,,0
1424289600,Jaguares de Cordoba,Envigado,0,1,,,,0
1424289600,Fortaleza,Chico,1,2,,,,0
1424291400,Deportes Tolima,Pereira,2,0,,,,0
1424291400,Barranquilla,Uniautonoma,2,1,,,,0
1424298600,Junior,Cartagena,2,1,,,,0
1424305800,Inter Palmira,Dep. Cali,3,2,,,,0
1424305800,Ind. Medellin,Leones,1,1,,,,0
1424306700,Millonarios,La Equidad,1,3,,,,0
1424307600,Alianza,Bucaramanga,0,5,,,,0
1424376000,Quindio,Huila,0,3,,,,0
1424376000,Bogota,Tigres,2,0,,,,0
1424376000,America De Cali,Atletico F.C.,2,1,,,,0
1425499200,Tigres,Millonarios,2,1,,,,0
1425499200,Llaneros,Fortaleza,2,1,,,,0
1425499200,Leones,Jaguares de Cordoba,2,3,,,,0
1425499200,La Equidad,Bogota,1,1,,,,0
1425501000,Pereira,Quindio,0,0,,,,0
1425501000,Huila,Deportes Tolima,0,2,,,,0
1425508200,Junior,Barranquilla,2,2,,,,0
1425515400,Envigado,Ind. Medellin,1,1,,,,0
1425515400,Cucuta,Alianza,0,0,,,,0
1425515400,Chico,Patriotas,1,0,,,,0
1425515400,Cartagena,Uniautonoma,1,1,,,,0
1425517200,Dep. Pasto,Boca Juniors,2,0,,,,0
1425585600,Real Cundinamarca,U. Magdalena,0,0,,,,0
1425585600,Atletico F.C.,Inter Palmira,1,2,,,,0
1425600000,Bucaramanga,Real Santander,1,1,,,,0
1425602700,Dep. Cali,America De Cali,2,0,,,,0
1426696200,Boca Juniors,Dep. Pasto,2,1,,,,0
1426708800,U. Magdalena,Real Cundinamarca,2,1,,,,0
1426708800,Real Santander,Alianza,2,1,,,,0
1426708800,Leones,Envigado,1,1,,,,0
1426708800,La Equidad,Tigres,1,2,,,,0
1426708800,America De Cali,Inter Palmira,3,1,,,,0
1426710600,Uniautonoma,Cartagena,0,2,,,,0
1426710600,Pereira,Huila,2,1,,,,0
1426710600,Llaneros,Chico,1,1,,,,0
1426725000,Ind. Medellin,Jaguares de Cordoba,2,0,,,,0
1426795200,Quindio,Deportes Tolima,2,1,,,,0
1426795200,Atletico F.C.,Dep. Cali,4,3,,,,0
1426798800,Barranquilla,Junior,2,2,,,,0
1426809600,Patriotas,Fortaleza,1,2,,,,0
1426813200,Millonarios,Bogota,2,1,,,,0
1426813200,Cucuta,Bucaramanga,1,2,,,,0
1427918400,Tigres,La Equidad,0,1,,,,0
1429115400,Boca Juniors,U. Magdalena,0,0,,,,0
1429128000,Real Cundinamarca,Dep. Pasto,1,1,,,,0
1429128000,Huila,Pereira,3,1,,,,0
1429129800,Deportes Tolima,Quindio,1,1,,,,0
1429129800,Dep. Cali,Atletico F.C.,3,1,,,,0
1429135200,Envigado,Leones,1,1,,,,0
1429142400,Uniautonoma,Junior,0,2,,,,0
1429142400,Jaguares de Cordoba,Ind. Medellin,0,0,,,,0
1429214400,Fortaleza,Llaneros,0,0,,,,0
1429228800,Patriotas,Chico,2,1,,,,0
1429228800,Bucaramanga,Cucuta,2,0,,,,0
1429230600,Cartagena,Barranquilla,1,1,,,,0
1429231500,Inter Palmira,America De Cali,2,1,,,,0
1429734600,Alianza,Real Santander,1,0,,,,0
1429819200,Bogota,Millonarios,0,2,,,,0
1430337600,Fortaleza,Patriotas,0,2,,,,0
1430337600,Barranquilla,Cartagena,2,2,,,,0
1430339400,Pereira,Deportes Tolima,1,1,,,,0
1430339400,Huila,Quindio,3,3,,,,0
1430339400,Alianza,Cucuta,0,1,,,,0
1430346600,Junior,Uniautonoma,1,1,,,,0
1430352000,Jaguares de Cordoba,Leones,0,1,,,,0
1430353800,Inter Palmira,Atletico F.C.,4,3,,,,0
1430353800,Ind. Medellin,Envigado,1,2,,,,0
1430353800,Chico,Llaneros,1,0,,,,0
1430355600,Dep. Pasto,Real Cundinamarca,1,0,,,,0
1430424000,U. Magdalena,Boca Juniors,1,0,,,,0
1430440200,Real Santander,Bucaramanga,1,1,,,,0
1430441100,America De Cali,Dep. Cali,3,3,,,,0
1430442000,Millonarios,Tigres,1,1,,,,0
1430942400,Tigres,Bogota,2,2,,,,0
1430942400,Real Cundinamarca,Boca Juniors,1,1,,,,0
1430942400,Leones,Ind. Medellin,0,1,,,,0
1430942400,Envigado,Jaguares de Cordoba,0,1,,,,0
1430942400,Cucuta,Real Santander,0,3,,,,0
1430944200,Uniautonoma,Barranquilla,1,1,,,,0
1430944200,Llaneros,Patriotas,0,0,,,,0
1430956800,Chico,Fortaleza,1,0,,,,0
1430959500,La Equidad,Millonarios,0,0,,,,0
1430960400,Dep. Pasto,U. Magdalena,2,0,,,,0
1431028800,Quindio,Pereira,1,0,,,,0
1431028800,Deportes Tolima,Huila,3,3,,,,0
1431028800,Dep. Cali,Inter Palmira,2,0,,,,0
1431028800,Atletico F.C.,America De Cali,1,2,,,,0
1431029700,Cartagena,Junior,1,0,,,,0
1431043200,Bucaramanga,Alianza,3,2,,,,0
1431547200,Bogota,La Equidad,1,1,,,,0
1436990400,Patriotas,Deportes Tolima,1,2,,,,0
1437004800,Aguilas,Inter Palmira,0,1,,,,0
1437006600,Envigado,Ind. Medellin,1,2,,,,0
1437006600,Cartagena,Dep. Pasto,1,1,,,,0
1437007500,Dep. Cali,Chico,2,0,,,,0
1437007500,Atl. Nacional,Junior,1,0,,,,0
1437008400,Santa Fe,La Equidad,1,0,,,,0
1437008400,Once Caldas,Bucaramanga,1,0,,,,0
1438200000,Deportes Tolima,Patriotas,2,0,,,,0
1438200000,Chico,Dep. Cali,1,2,,,,0
1438216200,Ind. Medellin,Envigado,2,1,,,,0
1438216200,Bucaramanga,Once Caldas,1,2,,,,0
1438217100,Junior,Atl. Nacional,2,0,,,,0
1438218000,La Equidad,Santa Fe,0,1,,,,0
1438218000,Inter Palmira,Aguilas,1,0,,,,0
1438218000,Dep. Pasto,Cartagena,4,1,,,,0
1438821900,Junior,Deportes Tolima,2,1,,,,0
1438822800,Santa Fe,Inter Palmira,3,0,,,,0
1439426700,Ind. Medellin,Dep. Cali,2,0,,,,0
1439427600,Dep. Pasto,Once Caldas,2,2,,,,0
1440636300,Dep. Cali,Ind. Medellin,0,0,,,,0
1440637200,Once Caldas,Dep. Pasto,0,0,Pen,1,0,0
1441240200,Inter Palmira,Santa Fe,0,0,,,,0
1441242000,Deportes Tolima,Junior,1,1,,,,0
1443056400,Junior,Ind. Medellin,2,1,,,,0
1443661200,Ind. Medellin,Junior,2,1,Pen,2,2,0
1444266000,Once Caldas,Santa Fe,1,0,,,,0
1444957200,Santa Fe,Once Caldas,3,1,,,,0
1447288200,Junior,Santa Fe,2,0,,,,0
1447977600,Santa Fe,Junior,1,0,,,,0
