timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1327712400,Patriotas,Deportes Tolima,0,3,,,,0
1327782600,Envigado,Cucuta,2,2,,,,0
1327792200,Dep. Pasto,Ind. Medellin,0,0,,,,0
1327798800,Once Caldas,Cartagena,2,2,,,,0
1327869000,La Equidad,Aguilas,0,0,,,,0
1327869000,Junior,Quindio,1,1,,,,0
1327869000,Huila,Chico,3,0,,,,0
1327876200,Santa Fe,Millonarios,1,1,,,,0
1327884300,Atl. Nacional,Dep. Cali,4,0,,,,0
1328317200,Cucuta,Patriotas,0,1,,,,0
1328387400,Quindio,Dep. Pasto,2,2,,,,0
1328387400,Aguilas,Atl. Nacional,1,0,,,,0
1328397000,Dep. Cali,Once Caldas,2,1,,,,0
1328403600,Millonarios,Huila,1,1,,,,0
1328473800,Ind. Medellin,Envigado,2,2,,,,0
1328473800,Chico,La Equidad,1,1,,,,0
1328473800,Cartagena,Junior,2,1,,,,0
1328481900,Deportes Tolima,Santa Fe,2,1,,,,0
1328922000,Atl. Nacional,Chico,4,0,,,,0
1328992200,Patriotas,Ind. Medellin,2,1,,,,0
1328992200,Huila,Deportes Tolima,3,0,,,,0
1329001800,Santa Fe,Cucuta,2,0,,,,0
1329008400,Cartagena,Dep. Cali,2,2,,,,0
1329078600,Once Caldas,Aguilas,2,2,,,,0
1329078600,Envigado,Quindio,3,0,,,,0
1329078600,Dep. Pasto,Junior,1,1,,,,0
1329086700,La Equidad,Millonarios,0,1,,,,0
1329526800,Junior,Dep. Cali,1,0,,,,0
1329597000,Deportes Tolima,La Equidad,1,1,,,,0
1329597000,Chico,Once Caldas,1,0,,,,0
1329607200,Millonarios,Atl. Nacional,2,3,,,,0
1329613200,Ind. Medellin,Santa Fe,1,1,,,,0
1329683400,Dep. Pasto,Envigado,3,1,,,,0
1329683400,Cucuta,Huila,1,0,,,,0
1329683400,Aguilas,Cartagena,3,1,,,,0
1329695100,Quindio,Patriotas,1,1,,,,0
1330131600,Cartagena,Chico,0,0,,,,0
1330201800,Patriotas,Dep. Pasto,0,0,,,,0
1330201800,La Equidad,Cucuta,4,1,,,,0
1330201800,Huila,Ind. Medellin,1,0,,,,0
1330211400,Once Caldas,Millonarios,0,0,,,,0
1330218000,Atl. Nacional,Deportes Tolima,0,1,,,,0
1330288200,Envigado,Junior,2,1,,,,0
1330288200,Dep. Cali,Aguilas,0,1,,,,0
1330299900,Santa Fe,Quindio,1,1,,,,0
1330736400,Junior,Aguilas,2,1,,,,0
1330806600,Envigado,Patriotas,2,0,,,,0
1330806600,Chico,Dep. Cali,3,1,,,,0
1330816200,Millonarios,Cartagena,1,1,,,,0
1330822800,Deportes Tolima,Once Caldas,1,0,,,,0
1330893000,Quindio,Huila,0,2,,,,0
1330893000,Dep. Pasto,Santa Fe,1,1,,,,0
1330893000,Cucuta,Atl. Nacional,1,0,,,,0
1330904700,Ind. Medellin,La Equidad,0,1,,,,0
1331341200,Once Caldas,Cucuta,4,0,,,,0
1331411400,La Equidad,Quindio,2,1,,,,0
1331411400,Huila,Dep. Pasto,1,0,,,,0
1331411400,Aguilas,Chico,1,1,,,,0
1331421000,Dep. Cali,Millonarios,1,0,,,,0
