timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1579826700,Deportes Tolima,Ind. Medellin,bXlV9lJE,plopiAtN,2,2,,,,0
1579906800,Aguilas,Jaguares de Cordoba,2eGA9cib,K401txJG,2,0,,,,0
1579914300,Once Caldas,Santa Fe,tnwDCzLD,AaS9a4Ho,0,0,,,,0
1579978800,Envigado,Chico,2XZjQRJG,faYW5YDs,1,0,,,,0
1579986300,Bucaramanga,Dep. Cali,0xyt4W2g,IHPA1GDt,0,2,,,,0
1579993800,Junior,La Equidad,G2820wU0,tGWvEQkr,2,0,,,,0
1580001300,America De Cali,Alianza,hSZHTo4B,jqTIQW5H,3,1,,,,0
1580069700,Patriotas,Cucuta,vPkIlTrP,hCmseTFa,1,1,,,,0
1580077200,Atl. Nacional,Pereira,tnwDCzLD,rysGeGXN,2,0,,,,0
1580085000,Millonarios,Dep. Pasto,6kduDy6P,hjn5AE5Q,1,2,,,,0
1580245200,Once Caldas,Bucaramanga,tnwDCzLD,0xyt4W2g,1,1,,,,0
1580252700,Ind. Medellin,Aguilas,plopiAtN,2eGA9cib,2,1,,,,0
1580260200,Dep. Cali,Junior,IHPA1GDt,G2820wU0,0,0,,,,0
1580331900,Jaguares de Cordoba,America De Cali,K401txJG,hSZHTo4B,2,2,,,,0
1580339400,Chico,Patriotas,faYW5YDs,vPkIlTrP,1,0,,,,0
1580346900,La Equidad,Atl. Nacional,tGWvEQkr,tnwDCzLD,3,4,,,,0
1580418000,Alianza,Pereira,jqTIQW5H,rysGeGXN,1,0,,,,0
1580425500,Santa Fe,Envigado,AaS9a4Ho,2XZjQRJG,1,1,,,,0
1580425500,Cucuta,Millonarios,hCmseTFa,6kduDy6P,1,1,,,,0
1580591100,Bucaramanga,Deportes Tolima,0xyt4W2g,bXlV9lJE,0,0,,,,0
1580598600,Junior,Ind. Medellin,G2820wU0,plopiAtN,1,0,,,,0
1580606100,Atl. Nacional,Jaguares de Cordoba,tnwDCzLD,K401txJG,1,2,,,,0
1580674500,Pereira,Cucuta,rysGeGXN,hCmseTFa,2,0,,,,0
1580682000,Millonarios,La Equidad,6kduDy6P,tGWvEQkr,2,2,,,,0
1580689800,America De Cali,Chico,hSZHTo4B,faYW5YDs,1,0,,,,0
1580763600,Alianza,Dep. Pasto,jqTIQW5H,hjn5AE5Q,0,1,,,,0
1580770800,Aguilas,Santa Fe,2eGA9cib,AaS9a4Ho,1,0,,,,0
1580857200,Envigado,Once Caldas,2XZjQRJG,tnwDCzLD,0,1,,,,0
1580864700,Patriotas,Dep. Cali,vPkIlTrP,IHPA1GDt,0,0,,,,0
1581109200,Ind. Medellin,Patriotas,plopiAtN,vPkIlTrP,3,1,,,,0
1581116700,Dep. Pasto,Bucaramanga,hjn5AE5Q,0xyt4W2g,4,0,,,,0
1581124200,Deportes Tolima,Envigado,bXlV9lJE,2XZjQRJG,3,0,,,,0
1581195900,Cucuta,Alianza,hCmseTFa,jqTIQW5H,0,2,,,,0
1581203400,Dep. Cali,America De Cali,IHPA1GDt,hSZHTo4B,2,1,,,,0
