timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1280023200,Alajuelense,Cartagines,4v3Y4ReF,YB0DoGZt,2,0,,,,0
1280077200,Brujas,AD Sarchi,IJKf4CSg,n3f9oEDp,0,1,,,,0
1280088000,Limon,AD Santos,AkmfvgCf,zPYfw7JB,0,1,,,,0
1280091600,Zeledon,Limon Black Star,YB0DoGZt,ltnbwDR0,2,1,,,,0
1280095200,San Carlos,Saprissa,6XjLWQsI,tnwDCzLD,1,0,,,,0
1280095200,Herediano,Puntarenas FC,zJ9gvDHG,z1YXka2H,2,0,,,,0
1280624400,AD Sarchi,Herediano,n3f9oEDp,zJ9gvDHG,1,0,,,,0
1280696400,Limon Black Star,Limon,ltnbwDR0,AkmfvgCf,0,1,,,,0
1280696400,AD Santos,Zeledon,zPYfw7JB,YB0DoGZt,1,1,,,,0
1280700000,Puntarenas FC,Brujas,z1YXka2H,IJKf4CSg,5,2,,,,0
1280772000,Cartagines,San Carlos,YB0DoGZt,6XjLWQsI,0,0,,,,0
1280973600,Saprissa,Alajuelense,tnwDCzLD,4v3Y4ReF,0,0,,,,0
1281229200,AD Sarchi,San Carlos,n3f9oEDp,6XjLWQsI,2,1,,,,0
1281232800,Puntarenas FC,Alajuelense,z1YXka2H,4v3Y4ReF,0,2,,,,0
1281286800,Herediano,Zeledon,zJ9gvDHG,YB0DoGZt,3,2,,,,0
1281286800,Cartagines,AD Santos,YB0DoGZt,zPYfw7JB,7,1,,,,0
1281387600,Brujas,Limon,IJKf4CSg,AkmfvgCf,3,1,,,,0
1281402000,Saprissa,Limon Black Star,tnwDCzLD,ltnbwDR0,4,1,,,,0
1281834000,AD Santos,Saprissa,zPYfw7JB,tnwDCzLD,2,0,,,,0
1281837600,Alajuelense,AD Sarchi,4v3Y4ReF,n3f9oEDp,2,1,,,,0
1281891600,Limon Black Star,Cartagines,ltnbwDR0,YB0DoGZt,3,0,,,,0
1281906000,Limon,Herediano,AkmfvgCf,zJ9gvDHG,1,2,,,,0
1281909600,San Carlos,Puntarenas FC,6XjLWQsI,z1YXka2H,2,1,,,,0
1281978000,Zeledon,Brujas,YB0DoGZt,IJKf4CSg,0,2,,,,0
