timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1095775200,Rudar Labin,Istra 1961,1,6,,,,0
1095775200,Podravac Virje,Slaven Belupo,0,2,,,,0
1095775200,Bedekovcina,Osijek,0,1,,,,0
1095804000,Sloboda Varazdin,Dragovoljac,1,1,Pen,3,2,0
1095804000,Nehaj Senj,Sibenik,2,1,,,,0
1095804000,Bjelovar,Belisce,1,2,,,,0
1095861600,Zupanja,D. Zagreb,0,4,,,,0
1095861600,Trnje,NK Zagreb,1,2,,,,0
1095861600,Tomislav DA,Varazdin,1,6,,,,0
1095861600,Rudes,Rijeka,1,4,,,,0
1095861600,Medjimurje Cakovec,Zapresic,2,2,AET,3,2,0
1095861600,Koprivnica,Zadar,1,0,,,,0
1095861600,Karlovac,NK Pomorac,0,3,,,,0
1095861600,Jaska Vinogradar,Hajduk Split,2,2,AET,2,4,0
1095861600,Crikvenica,NK Kamen Ingrad,2,0,,,,0
1095861600,Budainka,Cibalia,1,0,,,,0
1097586000,Budainka,Slaven Belupo,1,4,,,,0
1097672400,Koprivnica,Varazdin,0,4,,,,0
1097672400,Istra 1961,NK Pomorac,3,1,,,,0
1098198000,D. Zagreb,Belisce,3,2,,,,0
1098795600,NK Zagreb,Medjimurje Cakovec,3,2,,,,0
1098804600,Rijeka,Crikvenica,2,1,,,,0
1098882000,Nehaj Senj,Hajduk Split,2,3,,,,0
1098883800,Osijek,Sloboda Varazdin,2,0,,,,0
1110290400,NK Zagreb,Hajduk Split,1,0,,,,0
1110295800,Rijeka,Slaven Belupo,1,1,,,,0
1110376800,Varazdin,D. Zagreb,1,0,,,,0
1110895200,Osijek,Istra 1961,0,0,,,,0
1110898800,Hajduk Split,NK Zagreb,2,0,,,,0
1110981600,Slaven Belupo,Rijeka,2,2,,,,0
1110981600,D. Zagreb,Varazdin,0,0,,,,0
1112277600,Istra 1961,Osijek,0,1,,,,0
1114011000,Rijeka,Varazdin,3,2,,,,0
1114011000,Hajduk Split,Osijek,2,1,,,,0
1114615800,Varazdin,Rijeka,2,3,,,,0
1114617600,Osijek,Hajduk Split,1,1,,,,0
1115837100,Rijeka,Hajduk Split,2,1,,,,0
1117035000,Hajduk Split,Rijeka,0,1,,,,0
