timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1342807200,NK Zagreb,Lok. Zagreb,0,2,,,,0
1342810800,RNK Split,Rijeka,2,0,,,,0
1342897200,D. Zagreb,Zapresic,1,1,,,,0
1342976400,Cibalia,Slaven Belupo,0,3,,,,0
1342980000,Zadar,Osijek,0,0,,,,0
1342983600,Istra 1961,Hajduk Split,0,0,,,,0
1343412000,Zapresic,Lok. Zagreb,0,1,,,,0
1343412000,Rijeka,Zadar,0,0,,,,0
1343502000,D. Zagreb,Cibalia,2,1,,,,0
1343581200,Slaven Belupo,Istra 1961,3,1,,,,0
1343581200,Osijek,NK Zagreb,1,0,,,,0
1343588400,Hajduk Split,RNK Split,1,0,,,,0
1344016800,NK Zagreb,Rijeka,0,1,,,,0
1344016800,Lok. Zagreb,Osijek,0,0,,,,0
1344103200,Cibalia,Zapresic,1,1,,,,0
1344106800,Istra 1961,D. Zagreb,0,1,,,,0
1344186000,Zadar,Hajduk Split,2,4,,,,0
1344193200,RNK Split,Slaven Belupo,2,0,,,,0
1344621600,Zapresic,Osijek,0,3,,,,0
1344708000,Cibalia,Istra 1961,0,1,,,,0
1344711600,Rijeka,Lok. Zagreb,2,2,,,,0
1344790800,Slaven Belupo,Zadar,2,0,,,,0
1344790800,Hajduk Split,NK Zagreb,5,1,,,,0
1344798000,D. Zagreb,RNK Split,4,2,,,,0
1345226400,NK Zagreb,Slaven Belupo,1,2,,,,0
1345309200,Osijek,Rijeka,1,1,,,,0
1345312800,RNK Split,Cibalia,3,1,,,,0
1345312800,Istra 1961,Zapresic,3,1,,,,0
1345316400,Zadar,D. Zagreb,1,3,,,,0
1345402800,Lok. Zagreb,Hajduk Split,2,0,,,,0
1345831200,Zapresic,Rijeka,2,0,,,,0
1345831200,Slaven Belupo,Lok. Zagreb,3,2,,,,0
1345917600,Istra 1961,RNK Split,1,0,,,,0
1345917600,Cibalia,Zadar,0,0,,,,0
1345921200,D. Zagreb,NK Zagreb,6,0,,,,0
1346007600,Hajduk Split,Osijek,1,1,,,,0
1346432400,NK Zagreb,Cibalia,0,1,,,,0
1346518800,Zadar,Istra 1961,1,1,,,,0
1346518800,RNK Split,Zapresic,1,0,,,,0
1346518800,Lok. Zagreb,D. Zagreb,1,3,,,,0
1346526000,Rijeka,Hajduk Split,1,0,,,,0
1346612400,Osijek,Slaven Belupo,1,2,,,,0
1347642000,D. Zagreb,Osijek,0,0,,,,0
1347724800,Zapresic,Hajduk Split,1,1,,,,0
1347728400,RNK Split,Zadar,3,1,,,,0
1347728400,Istra 1961,NK Zagreb,0,0,,,,0
1347728400,Cibalia,Lok. Zagreb,3,2,,,,0
1347814800,Slaven Belupo,Rijeka,1,3,,,,0
1348243200,NK Zagreb,RNK Split,2,1,,,,0
1348246800,Lok. Zagreb,Istra 1961,1,0,,,,0
1348318800,Osijek,Cibalia,1,0,,,,0
1348333200,Zadar,Zapresic,1,5,,,,0
1348333200,Rijeka,D. Zagreb,3,0,,,,0
1348419600,Hajduk Split,Slaven Belupo,3,1,,,,0
1348925400,Cibalia,Rijeka,4,1,,,,0
1348934400,D. Zagreb,Hajduk Split,3,1,,,,0
1348938000,Zapresic,Slaven Belupo,2,2,,,,0
1348938000,Zadar,NK Zagreb,4,0,,,,0
1348938000,Istra 1961,Osijek,1,3,,,,0
1349024400,RNK Split,Lok. Zagreb,1,1,,,,0
1349445600,Lok. Zagreb,Zadar,2,1,,,,0
1349452800,NK Zagreb,Zapresic,1,1,,,,0
1349456400,Hajduk Split,Cibalia,4,0,,,,0
1349528400,Osijek,RNK Split,2,2,,,,0
1349542800,Rijeka,Istra 1961,2,1,,,,0
1349629200,Slaven Belupo,D. Zagreb,1,4,,,,0
1350666000,Lok. Zagreb,NK Zagreb,1,1,,,,0
