timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1597428000,Varazdin,Gorica,CCW2Z0Rb,fu4DkIs2,1,5,,,,0
1597506900,Rijeka,Sibenik,YDFGOnMF,YgThBW79,2,1,,,,0
1597514700,Osijek,Slaven Belupo,x4Xh4Pu0,xluSzFWQ,0,0,,,,0
1597593300,Hajduk Split,Istra 1961,Mc6FcsjL,S0dWTsz4,2,0,,,,0
1597601100,D. Zagreb,Lok. Zagreb,GU4hlIMk,McKSPis2,6,0,,,,0
1598025300,Lok. Zagreb,Rijeka,McKSPis2,YDFGOnMF,1,0,,,,0
1598033100,Istra 1961,D. Zagreb,S0dWTsz4,GU4hlIMk,0,1,,,,0
1598111700,Slaven Belupo,Gorica,xluSzFWQ,fu4DkIs2,1,2,,,,0
1598119500,Sibenik,Varazdin,YgThBW79,CCW2Z0Rb,0,1,,,,0
1598198100,Osijek,Hajduk Split,x4Xh4Pu0,Mc6FcsjL,1,2,,,,0
1598637600,Gorica,Sibenik,fu4DkIs2,YgThBW79,3,2,,,,0
1598716500,Rijeka,Istra 1961,YDFGOnMF,S0dWTsz4,2,1,,,,0
1598724300,Hajduk Split,Slaven Belupo,Mc6FcsjL,xluSzFWQ,2,2,,,,0
1598802900,Varazdin,Lok. Zagreb,CCW2Z0Rb,McKSPis2,1,1,,,,0
1598810700,D. Zagreb,Osijek,GU4hlIMk,x4Xh4Pu0,4,1,,,,0
1599847200,Slaven Belupo,Sibenik,xluSzFWQ,YgThBW79,0,0,,,,0
1599922800,Osijek,Rijeka,x4Xh4Pu0,YDFGOnMF,3,0,,,,0
1599930300,Hajduk Split,D. Zagreb,Mc6FcsjL,GU4hlIMk,1,2,,,,0
1600009200,Istra 1961,Varazdin,S0dWTsz4,CCW2Z0Rb,0,1,,,,0
1600016700,Lok. Zagreb,Gorica,McKSPis2,fu4DkIs2,1,2,,,,0
1600444800,Sibenik,Lok. Zagreb,YgThBW79,McKSPis2,3,2,,,,0
1600527600,Gorica,Istra 1961,fu4DkIs2,S0dWTsz4,2,2,,,,0
1600535100,D. Zagreb,Slaven Belupo,GU4hlIMk,xluSzFWQ,3,3,,,,0
1600621500,Varazdin,Osijek,CCW2Z0Rb,x4Xh4Pu0,0,1,,,,0
1601132400,Istra 1961,Sibenik,S0dWTsz4,YgThBW79,1,0,,,,0
1601139900,Osijek,Gorica,x4Xh4Pu0,fu4DkIs2,2,1,,,,0
1601226300,Hajduk Split,Varazdin,Mc6FcsjL,CCW2Z0Rb,2,0,,,,0
1601654400,Lok. Zagreb,Istra 1961,McKSPis2,S0dWTsz4,0,0,,,,0
1601737200,Sibenik,Osijek,YgThBW79,x4Xh4Pu0,0,2,,,,0
1601744700,Gorica,Hajduk Split,fu4DkIs2,Mc6FcsjL,2,1,,,,0
1601823600,Varazdin,D. Zagreb,CCW2Z0Rb,GU4hlIMk,1,2,,,,0
1601831100,Rijeka,Slaven Belupo,YDFGOnMF,xluSzFWQ,2,0,,,,0
1602864000,Slaven Belupo,Istra 1961,xluSzFWQ,S0dWTsz4,5,1,,,,0
1602939600,D. Zagreb,Gorica,GU4hlIMk,fu4DkIs2,3,2,,,,0
1602947100,Rijeka,Varazdin,YDFGOnMF,CCW2Z0Rb,2,1,,,,0
1603026000,Hajduk Split,Sibenik,Mc6FcsjL,YgThBW79,0,1,,,,0
1603468800,Varazdin,Slaven Belupo,CCW2Z0Rb,xluSzFWQ,1,2,,,,0
1603634400,Sibenik,D. Zagreb,YgThBW79,GU4hlIMk,0,2,,,,0
1603900800,Slaven Belupo,Lok. Zagreb,xluSzFWQ,McKSPis2,0,0,,,,0
1604152800,Slaven Belupo,Osijek,xluSzFWQ,x4Xh4Pu0,0,1,,,,0
1604160300,Istra 1961,Hajduk Split,S0dWTsz4,Mc6FcsjL,1,0,,,,0
1604239200,Sibenik,Rijeka,YgThBW79,YDFGOnMF,2,0,,,,0
1604246700,Lok. Zagreb,D. Zagreb,McKSPis2,GU4hlIMk,1,1,,,,0
1604505600,Osijek,Lok. Zagreb,x4Xh4Pu0,McKSPis2,2,1,,,,0
1604757600,Varazdin,Sibenik,CCW2Z0Rb,YgThBW79,1,3,,,,0
1604765100,Hajduk Split,Osijek,Mc6FcsjL,x4Xh4Pu0,1,1,,,,0
1604844000,D. Zagreb,Istra 1961,GU4hlIMk,S0dWTsz4,5,0,,,,0
1604851500,Rijeka,Lok. Zagreb,YDFGOnMF,McKSPis2,1,0,,,,0
1605888000,Lok. Zagreb,Varazdin,McKSPis2,CCW2Z0Rb,2,2,,,,0
1605895500,Sibenik,Gorica,YgThBW79,fu4DkIs2,1,3,,,,0
1605967200,Osijek,D. Zagreb,x4Xh4Pu0,GU4hlIMk,2,0,,,,0
1605974700,Slaven Belupo,Hajduk Split,xluSzFWQ,Mc6FcsjL,0,2,,,,0
1606150800,Gorica,Varazdin,fu4DkIs2,CCW2Z0Rb,1,0,,,,0
1606233600,Lok. Zagreb,Hajduk Split,McKSPis2,Mc6FcsjL,1,2,,,,0
