timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1626454800,Midtjylland,Odense,nw9UOsY3,xv6lkb7q,1,2,,,,0
1626609600,Vejle,Randers FC,lvRNDH7M,SOY3p1Si,0,2,,,,0
1626609600,Nordsjaelland,Viborg,2g7AFAbb,fevSzE3L,1,2,,,,0
1626616800,FC Copenhagen,Aalborg,xv6lkb7q,jDG0G1yS,2,2,,,,0
1626627600,Aarhus,Brondby,hGuhahGg,YPeI5fwQ,1,1,,,,0
1626714000,Silkeborg,Sonderjyske,Wrzf6bGu,jTh33WB7,0,0,,,,0
1627142400,Aalborg,Midtjylland,jDG0G1yS,nw9UOsY3,0,1,,,,0
1627214400,Randers FC,Odense,SOY3p1Si,xv6lkb7q,1,1,,,,0
1627214400,Nordsjaelland,Aarhus,2g7AFAbb,hGuhahGg,0,0,,,,0
1627221600,FC Copenhagen,Silkeborg,xv6lkb7q,Wrzf6bGu,0,0,,,,0
1627228800,Brondby,Viborg,YPeI5fwQ,fevSzE3L,1,1,,,,0
1627318800,Sonderjyske,Vejle,jTh33WB7,lvRNDH7M,1,0,,,,0
1627740000,Viborg,Midtjylland,fevSzE3L,nw9UOsY3,0,2,,,,0
1627819200,Silkeborg,Aalborg,Wrzf6bGu,jDG0G1yS,0,0,,,,0
1627819200,Aarhus,Randers FC,hGuhahGg,SOY3p1Si,1,2,,,,0
1627826400,Vejle,Brondby,lvRNDH7M,YPeI5fwQ,2,2,,,,0
1627833600,Odense,FC Copenhagen,xv6lkb7q,xv6lkb7q,0,2,,,,0
1627923600,Sonderjyske,Nordsjaelland,jTh33WB7,2g7AFAbb,0,2,,,,0
1628267400,Silkeborg,Viborg,Wrzf6bGu,fevSzE3L,4,1,,,,0
1628274600,Midtjylland,Vejle,nw9UOsY3,lvRNDH7M,4,1,,,,0
1628424000,Randers FC,Sonderjyske,SOY3p1Si,jTh33WB7,1,0,,,,0
1628431200,FC Copenhagen,Brondby,xv6lkb7q,YPeI5fwQ,4,2,,,,0
1628438400,Aalborg,Aarhus,jDG0G1yS,hGuhahGg,2,0,,,,0
1628528400,Nordsjaelland,Odense,2g7AFAbb,xv6lkb7q,3,1,,,,0
1628868600,Sonderjyske,Midtjylland,jTh33WB7,nw9UOsY3,0,2,,,,0
1628874900,Viborg,Randers FC,fevSzE3L,SOY3p1Si,1,2,,,,0
1628881200,Brondby,Nordsjaelland,YPeI5fwQ,2g7AFAbb,0,1,,,,0
1629036000,Odense,Silkeborg,xv6lkb7q,Wrzf6bGu,1,1,,,,0
1629043200,Aarhus,FC Copenhagen,hGuhahGg,xv6lkb7q,1,3,,,,0
1629133200,Vejle,Aalborg,lvRNDH7M,jDG0G1yS,0,1,,,,0
1629478800,Midtjylland,Silkeborg,nw9UOsY3,Wrzf6bGu,3,0,,,,0
1629561600,Odense,Brondby,xv6lkb7q,YPeI5fwQ,2,2,,,,0
1629633600,Randers FC,Aalborg,SOY3p1Si,jDG0G1yS,1,1,,,,0
1629640800,FC Copenhagen,Sonderjyske,xv6lkb7q,jTh33WB7,2,0,,,,0
1629648000,Viborg,Aarhus,fevSzE3L,hGuhahGg,2,0,,,,0
1629738000,Nordsjaelland,Vejle,2g7AFAbb,lvRNDH7M,3,1,,,,0
1630083600,Aalborg,Nordsjaelland,jDG0G1yS,2g7AFAbb,2,1,,,,0
1630238400,Sonderjyske,Viborg,jTh33WB7,fevSzE3L,2,2,,,,0
1630238400,Silkeborg,Randers FC,Wrzf6bGu,SOY3p1Si,2,1,,,,0
1630245600,Vejle,FC Copenhagen,lvRNDH7M,xv6lkb7q,0,4,,,,0
1630252800,Aarhus,Odense,hGuhahGg,xv6lkb7q,2,2,,,,0
1630260000,Brondby,Midtjylland,YPeI5fwQ,nw9UOsY3,2,0,,,,0
1631289600,Midtjylland,Nordsjaelland,nw9UOsY3,2g7AFAbb,2,0,,,,0
1631296800,Brondby,Silkeborg,YPeI5fwQ,Wrzf6bGu,1,1,,,,0
1631448000,Viborg,Aalborg,fevSzE3L,jDG0G1yS,2,3,,,,0
1631455200,Randers FC,FC Copenhagen,SOY3p1Si,xv6lkb7q,0,2,,,,0
1631462400,Aarhus,Vejle,hGuhahGg,lvRNDH7M,1,0,,,,0
1631552400,Odense,Sonderjyske,xv6lkb7q,jTh33WB7,2,1,,,,0
1631898000,Aalborg,Odense,jDG0G1yS,xv6lkb7q,2,0,,,,0
1632052800,Vejle,Viborg,lvRNDH7M,fevSzE3L,1,1,,,,0
1632052800,Randers FC,Nordsjaelland,SOY3p1Si,2g7AFAbb,3,2,,,,0
1632060000,Sonderjyske,Brondby,jTh33WB7,YPeI5fwQ,1,0,,,,0
1632067200,FC Copenhagen,Midtjylland,xv6lkb7q,nw9UOsY3,0,1,,,,0
1632157200,Silkeborg,Aarhus,Wrzf6bGu,hGuhahGg,0,2,,,,0
1632657600,Viborg,Odense,fevSzE3L,xv6lkb7q,1,1,,,,0
1632657600,Midtjylland,Randers FC,nw9UOsY3,SOY3p1Si,1,0,,,,0
1632664800,Nordsjaelland,FC Copenhagen,2g7AFAbb,xv6lkb7q,1,5,,,,0
1632672000,Brondby,Aalborg,YPeI5fwQ,jDG0G1yS,2,1,,,,0
1632679200,Vejle,Silkeborg,lvRNDH7M,Wrzf6bGu,2,4,,,,0
1632762000,Aarhus,Sonderjyske,hGuhahGg,jTh33WB7,1,0,,,,0
1633107600,Odense,Vejle,xv6lkb7q,lvRNDH7M,6,0,,,,0
1633262400,Silkeborg,Nordsjaelland,Wrzf6bGu,2g7AFAbb,4,1,,,,0
1633262400,Aalborg,Sonderjyske,jDG0G1yS,jTh33WB7,4,0,,,,0
1633269600,Midtjylland,Aarhus,nw9UOsY3,hGuhahGg,4,0,,,,0
1633276800,Randers FC,Brondby,SOY3p1Si,YPeI5fwQ,1,1,,,,0
1633284000,FC Copenhagen,Viborg,xv6lkb7q,fevSzE3L,1,1,,,,0
1634317200,Viborg,Silkeborg,fevSzE3L,Wrzf6bGu,1,1,,,,0
1634468400,Nordsjaelland,Midtjylland,2g7AFAbb,nw9UOsY3,2,2,,,,0
1634472000,Odense,Randers FC,xv6lkb7q,SOY3p1Si,1,2,,,,0
1634479200,Brondby,Vejle,YPeI5fwQ,lvRNDH7M,3,2,,,,0
1634486400,Sonderjyske,FC Copenhagen,jTh33WB7,xv6lkb7q,1,1,,,,0
1634576400,Aarhus,Aalborg,hGuhahGg,jDG0G1yS,1,0,,,,0
1634922000,Vejle,Nordsjaelland,lvRNDH7M,2g7AFAbb,2,0,,,,0
1635076800,Silkeborg,Odense,Wrzf6bGu,xv6lkb7q,1,1,,,,0
1635076800,Brondby,FC Copenhagen,YPeI5fwQ,xv6lkb7q,2,1,,,,0
1635084000,Randers FC,Aarhus,SOY3p1Si,hGuhahGg,1,0,,,,0
1635091200,Midtjylland,Sonderjyske,nw9UOsY3,jTh33WB7,3,2,,,,0
1635181200,Aalborg,Viborg,jDG0G1yS,fevSzE3L,2,5,,,,0
1635685200,Randers FC,Midtjylland,SOY3p1Si,nw9UOsY3,1,3,,,,0
1635685200,Nordsjaelland,Aalborg,2g7AFAbb,jDG0G1yS,0,2,,,,0
1635692400,FC Copenhagen,Vejle,xv6lkb7q,lvRNDH7M,3,0,,,,0
1635699600,Viborg,Brondby,fevSzE3L,YPeI5fwQ,0,1,,,,0
1635706800,Sonderjyske,Silkeborg,jTh33WB7,Wrzf6bGu,0,6,,,,0
1635789600,Odense,Aarhus,xv6lkb7q,hGuhahGg,0,0,,,,0
1636135200,Viborg,Nordsjaelland,fevSzE3L,2g7AFAbb,2,2,,,,0
1636290000,Vejle,Sonderjyske,lvRNDH7M,jTh33WB7,3,1,,,,0
1636290000,Aalborg,Randers FC,jDG0G1yS,SOY3p1Si,1,1,,,,0
1636297200,Aarhus,Midtjylland,hGuhahGg,nw9UOsY3,3,0,,,,0
1636304400,Brondby,Odense,YPeI5fwQ,xv6lkb7q,2,1,,,,0
1636311600,Silkeborg,FC Copenhagen,Wrzf6bGu,xv6lkb7q,0,0,,,,0
1637344800,Odense,Viborg,xv6lkb7q,fevSzE3L,2,3,,,,0
1637499600,Randers FC,Vejle,SOY3p1Si,lvRNDH7M,4,1,,,,0
1637499600,Nordsjaelland,Silkeborg,2g7AFAbb,Wrzf6bGu,1,1,,,,0
1637506800,FC Copenhagen,Aarhus,xv6lkb7q,hGuhahGg,1,1,,,,0
1637514000,Midtjylland,Brondby,nw9UOsY3,YPeI5fwQ,1,2,,,,0
1637604000,Sonderjyske,Aalborg,jTh33WB7,jDG0G1yS,1,3,,,,0
1637949600,Aarhus,Silkeborg,hGuhahGg,Wrzf6bGu,1,1,,,,0
1638104400,Viborg,Sonderjyske,fevSzE3L,jTh33WB7,1,1,,,,0
1638104400,Odense,Nordsjaelland,xv6lkb7q,2g7AFAbb,2,0,,,,0
1638111600,Brondby,Randers FC,YPeI5fwQ,SOY3p1Si,1,0,,,,0
1638118800,Aalborg,FC Copenhagen,jDG0G1yS,xv6lkb7q,1,3,,,,0
1638208800,Vejle,Midtjylland,lvRNDH7M,nw9UOsY3,1,1,,,,0
1645207200,Sonderjyske,Aarhus,jTh33WB7,hGuhahGg,2,3,,,,0
1645362000,Silkeborg,Vejle,Wrzf6bGu,lvRNDH7M,3,0,,,,0
1645362000,Midtjylland,Aalborg,nw9UOsY3,jDG0G1yS,0,2,,,,0
1645369200,Nordsjaelland,Brondby,2g7AFAbb,YPeI5fwQ,0,2,,,,0
1645376400,FC Copenhagen,Odense,xv6lkb7q,xv6lkb7q,2,0,,,,0
1645466400,Randers FC,Viborg,SOY3p1Si,fevSzE3L,0,1,,,,0
1645812000,Vejle,Aarhus,lvRNDH7M,hGuhahGg,3,2,,,,0
1645966800,Nordsjaelland,Randers FC,2g7AFAbb,SOY3p1Si,0,0,,,,0
1645966800,Aalborg,Silkeborg,jDG0G1yS,Wrzf6bGu,1,4,,,,0
1645974000,Viborg,FC Copenhagen,fevSzE3L,xv6lkb7q,0,2,,,,0
1645981200,Odense,Midtjylland,xv6lkb7q,nw9UOsY3,2,2,,,,0
1646071200,Brondby,Sonderjyske,YPeI5fwQ,jTh33WB7,1,0,,,,0
1646413200,Midtjylland,Viborg,nw9UOsY3,fevSzE3L,3,1,,,,0
1646420400,FC Copenhagen,Randers FC,xv6lkb7q,SOY3p1Si,3,0,,,,0
1646571600,Sonderjyske,Odense,jTh33WB7,xv6lkb7q,2,2,,,,0
1646578800,Aalborg,Vejle,jDG0G1yS,lvRNDH7M,0,0,,,,0
1646586000,Silkeborg,Brondby,Wrzf6bGu,YPeI5fwQ,0,1,,,,0
1646676000,Aarhus,Nordsjaelland,hGuhahGg,2g7AFAbb,2,3,,,,0
1647021600,Nordsjaelland,Sonderjyske,2g7AFAbb,jTh33WB7,1,1,,,,0
1647176400,Viborg,Vejle,fevSzE3L,lvRNDH7M,2,0,,,,0
1647176400,Randers FC,Silkeborg,SOY3p1Si,Wrzf6bGu,2,1,,,,0
