timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1508500800,ASAS,Arhiba,bsS5Zc1a,dlSyGkB0,3,0,,,,0
1508500800,AS Kartileh,CF GR/SIAF,AB4An6L4,6iDrm9Qk,0,2,,,,0
1508508000,Bahache/UD,Port,lEXkIUhm,CAci95DQ,2,1,,,,0
1508594400,Dikhil,Gendarmerie,MiuWLcFM,fD1GA9NK,0,2,,,,0
1508601600,AS Arta,Tadjourah,Y5edJFHi,AB4An6L4,4,1,,,,0
1509105600,Tadjourah,Port,AB4An6L4,CAci95DQ,1,1,,,,0
1509105600,Gendarmerie,Bahache/UD,fD1GA9NK,lEXkIUhm,1,0,,,,0
1509112800,AS Arta,Dikhil,Y5edJFHi,MiuWLcFM,0,1,,,,0
1509199200,CF GR/SIAF,ASAS,6iDrm9Qk,bsS5Zc1a,2,2,,,,0
1509206400,Arhiba,AS Kartileh,dlSyGkB0,AB4An6L4,0,3,,,,0
1509710400,Gendarmerie,Arhiba,fD1GA9NK,dlSyGkB0,4,0,,,,0
1509710400,ASAS,AS Kartileh,bsS5Zc1a,AB4An6L4,0,1,,,,0
1509717600,Port,AS Arta,CAci95DQ,Y5edJFHi,1,0,,,,0
1509804000,Dikhil,CF GR/SIAF,MiuWLcFM,6iDrm9Qk,2,4,,,,0
1509811200,Bahache/UD,Tadjourah,lEXkIUhm,AB4An6L4,6,0,,,,0
1510920000,Bahache/UD,AS Arta,lEXkIUhm,Y5edJFHi,3,0,,,,0
1510920000,ASAS,Dikhil,bsS5Zc1a,MiuWLcFM,2,1,,,,0
1510927200,AS Kartileh,Port,AB4An6L4,CAci95DQ,1,3,,,,0
1511013600,Arhiba,Tadjourah,dlSyGkB0,AB4An6L4,1,1,,,,0
1511020800,CF GR/SIAF,Gendarmerie,6iDrm9Qk,fD1GA9NK,1,1,,,,0
1511524800,Tadjourah,Dikhil,AB4An6L4,MiuWLcFM,2,2,,,,0
1511524800,Port,Arhiba,CAci95DQ,dlSyGkB0,8,2,,,,0
1511532000,Bahache/UD,CF GR/SIAF,lEXkIUhm,6iDrm9Qk,1,2,,,,0
1511618400,Gendarmerie,AS Kartileh,fD1GA9NK,AB4An6L4,2,0,,,,0
1511625600,AS Arta,ASAS,Y5edJFHi,bsS5Zc1a,0,1,,,,0
1512129600,Dikhil,AS Kartileh,MiuWLcFM,AB4An6L4,2,1,,,,0
1512129600,ASAS,Bahache/UD,bsS5Zc1a,lEXkIUhm,0,1,,,,0
1512136800,Gendarmerie,Tadjourah,fD1GA9NK,AB4An6L4,6,0,,,,0
1512223200,AS Arta,Arhiba,Y5edJFHi,dlSyGkB0,0,0,,,,0
1512230400,CF GR/SIAF,Port,6iDrm9Qk,CAci95DQ,1,1,,,,0
1512734400,Tadjourah,CF GR/SIAF,AB4An6L4,6iDrm9Qk,2,6,,,,0
1512734400,Dikhil,Port,MiuWLcFM,CAci95DQ,2,4,,,,0
1512741600,Arhiba,Bahache/UD,dlSyGkB0,lEXkIUhm,0,1,,,,0
1512828000,AS Kartileh,AS Arta,AB4An6L4,Y5edJFHi,2,3,,,,0
1512835200,Gendarmerie,ASAS,fD1GA9NK,bsS5Zc1a,0,1,,,,0
1513339200,Gendarmerie,AS Arta,fD1GA9NK,Y5edJFHi,0,0,,,,0
1513339200,ASAS,Port,bsS5Zc1a,CAci95DQ,4,1,,,,0
1513346400,CF GR/SIAF,Arhiba,6iDrm9Qk,dlSyGkB0,3,0,,,,0
1513432800,Bahache/UD,Dikhil,lEXkIUhm,MiuWLcFM,0,0,,,,0
1513440000,AS Kartileh,Tadjourah,AB4An6L4,AB4An6L4,1,2,,,,0
1513944000,Tadjourah,ASAS,AB4An6L4,bsS5Zc1a,1,5,,,,0
1513944000,CF GR/SIAF,AS Arta,6iDrm9Qk,Y5edJFHi,4,1,,,,0
1513951200,Bahache/UD,AS Kartileh,lEXkIUhm,AB4An6L4,4,0,,,,0
1514037600,Port,Gendarmerie,CAci95DQ,fD1GA9NK,1,0,,,,0
1514044800,Arhiba,Dikhil,dlSyGkB0,MiuWLcFM,0,3,,,,0
1519999200,Tadjourah,AS Arta,AB4An6L4,Y5edJFHi,1,1,,,,0
1519999200,Port,Bahache/UD,CAci95DQ,lEXkIUhm,3,2,,,,0
1519999200,Gendarmerie,Dikhil,fD1GA9NK,MiuWLcFM,2,2,,,,0
1520085600,CF GR/SIAF,AS Kartileh,6iDrm9Qk,AB4An6L4,2,0,,,,0
1520085600,Arhiba,ASAS,dlSyGkB0,bsS5Zc1a,1,3,,,,0
1520604000,ASAS,CF GR/SIAF,bsS5Zc1a,6iDrm9Qk,2,1,,,,0
1520690400,Port,Tadjourah,CAci95DQ,AB4An6L4,7,1,,,,0
1520690400,Dikhil,AS Arta,MiuWLcFM,Y5edJFHi,0,1,,,,0
1520690400,AS Kartileh,Arhiba,AB4An6L4,dlSyGkB0,1,0,,,,0
1520776800,Bahache/UD,Gendarmerie,lEXkIUhm,fD1GA9NK,1,1,,,,0
1521208800,CF GR/SIAF,Dikhil,6iDrm9Qk,MiuWLcFM,2,0,,,,0
1521208800,AS Arta,Port,Y5edJFHi,CAci95DQ,0,3,,,,0
1521208800,Arhiba,Gendarmerie,dlSyGkB0,fD1GA9NK,1,5,,,,0
1521295200,Tadjourah,Bahache/UD,AB4An6L4,lEXkIUhm,0,6,,,,0
1521295200,AS Kartileh,ASAS,AB4An6L4,bsS5Zc1a,1,2,,,,0
1521813600,Gendarmerie,Port,fD1GA9NK,CAci95DQ,2,2,,,,0
1521813600,Dikhil,Arhiba,MiuWLcFM,dlSyGkB0,3,1,,,,0
1521813600,ASAS,Tadjourah,bsS5Zc1a,AB4An6L4,4,2,,,,0
1521900000,AS Kartileh,Bahache/UD,AB4An6L4,lEXkIUhm,1,0,,,,0
