timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1634904000,EAD/PK 12,Police Nationale,1,2,,,,0
1634911200,Arhiba,ASAS,1,8,,,,0
1634918400,Port,AS Arta,2,3,,,,0
1634997600,CF GR/SIAF,Gendarmerie,2,0,,,,0
1635004800,ASC Hayab,Dikhil,2,2,,,,0
1635508800,ASAS,ASC Hayab,4,1,,,,0
1635516000,AS Arta,CF GR/SIAF,1,0,,,,0
1635523200,Gendarmerie,EAD/PK 12,2,1,,,,0
1635602400,Port,Arhiba,5,1,,,,0
1635609600,Dikhil,Police Nationale,0,0,,,,0
1637323200,ASAS,Police Nationale,2,1,,,,0
1637330400,AS Arta,Dikhil,1,1,,,,0
1637337600,CF GR/SIAF,Port,1,1,,,,0
1637416800,Gendarmerie,ASC Hayab,2,1,,,,0
1637424000,EAD/PK 12,Arhiba,2,1,,,,0
1637928000,Arhiba,Gendarmerie,1,2,,,,0
1637935200,Police Nationale,Port,1,2,,,,0
1637942400,Dikhil,CF GR/SIAF,2,3,,,,0
1638021600,ASC Hayab,EAD/PK 12,2,0,,,,0
1638028800,AS Arta,ASAS,4,0,,,,0
1638532800,ASAS,Port,0,0,,,,0
1638540000,CF GR/SIAF,Arhiba,2,0,,,,0
1638547200,Gendarmerie,Dikhil,1,0,,,,0
1638626400,AS Arta,EAD/PK 12,4,1,,,,0
1638633600,ASC Hayab,Police Nationale,1,2,,,,0
1639137600,ASC Hayab,CF GR/SIAF,1,4,,,,0
1639144800,Police Nationale,AS Arta,1,4,,,,0
1639152000,EAD/PK 12,ASAS,0,2,,,,0
1639231200,Port,Gendarmerie,2,0,,,,0
1639238400,Arhiba,Dikhil,1,3,,,,0
1639742400,ASAS,Dikhil,1,0,,,,0
1639746000,EAD/PK 12,Port,0,1,,,,0
1639753200,Arhiba,ASC Hayab,1,4,,,,0
1639832400,CF GR/SIAF,Police Nationale,1,0,,,,0
1639839600,Gendarmerie,AS Arta,1,1,,,,0
1640347200,Arhiba,AS Arta,2,8,,,,0
1640350800,Port,ASC Hayab,3,0,,,,0
1640358000,EAD/PK 12,Dikhil,0,0,,,,0
1640437200,Police Nationale,Gendarmerie,4,3,,,,0
1640444400,CF GR/SIAF,ASAS,0,1,,,,0
1640952000,Dikhil,Port,1,3,,,,0
1640955600,ASC Hayab,AS Arta,0,1,,,,0
1640962800,Gendarmerie,ASAS,1,3,,,,0
1641042000,Arhiba,Police Nationale,1,4,,,,0
1641049200,CF GR/SIAF,EAD/PK 12,0,0,,,,0
1643371200,ASAS,Arhiba,5,2,,,,0
1643378400,Dikhil,ASC Hayab,0,0,,,,0
1643385600,Gendarmerie,CF GR/SIAF,1,0,,,,0
1643464800,AS Arta,Port,4,0,,,,0
1643472000,Police Nationale,EAD/PK 12,0,0,,,,0
1644580800,Police Nationale,Dikhil,1,0,,,,0
1644588000,ASC Hayab,ASAS,0,2,,,,0
1644595200,Arhiba,Port,0,9,,,,0
1644674400,EAD/PK 12,Gendarmerie,0,0,,,,0
1644681600,CF GR/SIAF,AS Arta,1,0,,,,0
1645185600,ASAS,Gendarmerie,1,1,,,,0
1645192800,EAD/PK 12,CF GR/SIAF,2,2,,,,0
1645200000,Police Nationale,Arhiba,5,0,,,,0
1645279200,AS Arta,ASC Hayab,2,0,,,,0
1645286400,Port,Dikhil,2,2,,,,0
1645790400,Port,CF GR/SIAF,1,1,,,,0
1645797600,Arhiba,EAD/PK 12,2,3,,,,0
1645804800,ASC Hayab,Gendarmerie,0,1,,,,0
1645884000,Dikhil,AS Arta,0,2,,,,0
1645891200,Police Nationale,ASAS,0,0,,,,0
1646395200,ASAS,AS Arta,1,2,,,,0
1646402400,Gendarmerie,Arhiba,3,0,,,,0
1646409600,EAD/PK 12,ASC Hayab,0,1,,,,0
1646488800,CF GR/SIAF,Dikhil,4,0,,,,0
1646496000,Port,Police Nationale,0,0,,,,0
1648814400,Police Nationale,ASC Hayab,3,2,,,,0
1648821600,Port,ASAS,1,3,,,,0
1648828800,EAD/PK 12,AS Arta,0,2,,,,0
1648900800,Dikhil,Gendarmerie,1,1,,,,0
1648908000,Arhiba,CF GR/SIAF,2,3,,,,0
1649352600,EAD/PK 12,ASAS,1,0,,,,0
1649359800,Dikhil,Arhiba,6,1,,,,0
1649439000,Gendarmerie,Port,1,3,,,,0
1649446200,AS Arta,Police Nationale,3,0,,,,0
1649525400,CF GR/SIAF,ASC Hayab,3,1,,,,0
1649957400,AS Arta,Gendarmerie,1,1,,,,0
1649964600,Dikhil,ASAS,2,0,,,,0
1650043800,Police Nationale,CF GR/SIAF,0,1,,,,0
1650051000,ASC Hayab,Arhiba,8,0,,,,0
1650130200,Port,EAD/PK 12,2,0,,,,0
1650562200,ASAS,CF GR/SIAF,1,1,,,,0
1650569400,Gendarmerie,Police Nationale,0,0,,,,0
1650648600,Dikhil,EAD/PK 12,1,0,,,,0
1650655800,ASC Hayab,Port,1,3,,,,0
1650733200,AS Arta,Arhiba,12,1,,,,0
