date,home_team,away_team,home_score,away_score
31.10. 19:00AET,Vega Real,Cibao,1,3
25.10. 00:00,Cibao,Vega Real,1,1
17.10. 21:00,Vega Real,Jarabacoa,2,1
17.10. 00:00,Cibao,Atletico Pantoja,4,1
11.10. 00:00,Atletico Pantoja,Cibao,1,0
09.10. 22:00,Jarabacoa,Vega Real,0,1
02.10. 22:00,Moca,Atletico Pantoja,0,0
02.10. 22:00,Universidad O&M,Jarabacoa,1,2
02.10. 22:00,Vega Real,Cibao,1,0
26.09. 22:00,Jarabacoa,Vega Real,1,1
25.09. 22:00,Moca,Universidad O&M,2,0
25.09. 01:00,Cibao,Atletico Pantoja,0,2
20.09. 00:00,Cibao,Universidad O&M,3,1
19.09. 00:00,Atletico Pantoja,Vega Real,0,1
18.09. 22:00,Jarabacoa,Moca,1,0
12.09. 22:00,Jarabacoa,Atletico Pantoja,3,2
12.09. 00:00,Universidad O&M,Vega Real,2,3
11.09. 22:00,Moca,Cibao,0,2
05.09. 22:00,Vega Real,Moca,1,0
05.09. 00:00,Atletico Pantoja,Universidad O&M,2,2
04.09. 22:00,Jarabacoa,Cibao,0,0
31.08. 00:00,Universidad O&M,Moca,2,1
29.08. 22:00,Vega Real,Jarabacoa,3,3
29.08. 00:00,Atletico Pantoja,Cibao,1,1
23.08. 00:00,Cibao,Vega Real,4,0
22.08. 00:00,Atletico Pantoja,Moca,1,1
21.08. 22:00,Jarabacoa,Universidad O&M,2,0
16.08. 00:00,Universidad O&M,Cibao,1,0
15.08. 22:00,Vega Real,Atletico Pantoja,0,1
14.08. 22:00,Moca,Jarabacoa,2,1
08.08. 22:00,Vega Real,Universidad O&M,2,1
08.08. 00:00,Atletico Pantoja,Jarabacoa,3,1
07.08. 01:00,Cibao,Moca,1,0
01.08. 22:00,Moca,Vega Real,0,0
01.08. 00:00,Cibao,Jarabacoa,1,0
31.07. 00:00,Universidad O&M,Atletico Pantoja,0,2
24.07. 22:00,Atl. San Francisco,Delfines Del Este,3,1
24.07. 22:00,Atletico Pantoja,Universidad O&M,1,0
24.07. 22:00,Jarabacoa,Cibao,1,1
24.07. 22:00,San Cristobal,Moca,1,1
22.07. 22:00,Atlantico,Vega Real,4,1
22.07. 00:00,Atletico Pantoja,Delfines Del Este,3,0
18.07. 22:00,Delfines Del Este,Universidad O&M,3,6
18.07. 22:00,Vega Real,Atl. San Francisco,2,3
18.07. 00:00,Atletico Pantoja,San Cristobal,2,1
17.07. 22:00,Moca,Jarabacoa,1,0
17.07. 00:00,Cibao,Atlantico,1,1
11.07. 23:00,Atlantico,Moca,1,5
11.07. 22:00,Delfines Del Este,Atletico Pantoja,1,7
10.07. 22:00,Atl. San Francisco,Cibao,1,2
10.07. 22:00,Jarabacoa,San Cristobal,1,0
10.07. 22:00,Universidad O&M,Vega Real,1,3
08.07. 00:00,Atlantico,Jarabacoa,0,0
08.07. 00:00,Universidad O&M,Moca,1,0
07.07. 22:00,Atl. San Francisco,San Cristobal,1,0
07.07. 22:00,Delfines Del Este,Cibao,1,3
07.07. 22:00,Vega Real,Atletico Pantoja,1,2
04.07. 23:00,Cibao,Universidad O&M,0,0
04.07. 22:00,San Cristobal,Atlantico,2,1
03.07. 22:00,Atletico Pantoja,Jarabacoa,5,0
03.07. 22:00,Vega Real,Delfines Del Este,3,2
02.07. 22:00,Moca,Atl. San Francisco,1,0
30.06. 22:00,Universidad O&M,Delfines Del Este,0,2
28.06. 00:00,Cibao,Atletico Pantoja,0,0
27.06. 22:00,Delfines Del Este,San Cristobal,0,3
26.06. 22:00,Atl. San Francisco,Atlantico,1,1
26.06. 22:00,Universidad O&M,Jarabacoa,2,1
26.06. 22:00,Vega Real,Moca,0,2
23.06. 23:00,Atlantico,Universidad O&M,0,1
23.06. 22:00,Atletico Pantoja,Atl. San Francisco,3,0
23.06. 22:00,Jarabacoa,Delfines Del Este,1,0
23.06. 22:00,Moca,Cibao,0,4
23.06. 22:00,San Cristobal,Vega Real,0,1
21.06. 00:00,Cibao,Vega Real,1,0
20.06. 22:00,Atletico Pantoja,Atlantico,3,2
20.06. 22:00,Jarabacoa,Atl. San Francisco,1,0
19.06. 22:00,Moca,Delfines Del Este,0,1
19.06. 22:00,San Cristobal,Universidad O&M,1,1
17.06. 00:00,Cibao,Delfines Del Este,2,0
16.06. 22:00,Jarabacoa,Atletico Pantoja,2,2
16.06. 22:00,Moca,Universidad O&M,2,1
14.06. 00:00,Cibao,San Cristobal,3,0
13.06. 21:00,Vega Real,Jarabacoa,1,3
13.06. 17:00,Universidad O&M,Atl. San Francisco,4,0
12.06. 22:00,Moca,Atletico Pantoja,0,0
12.06. 16:00,Delfines Del Este,Atlantico,1,0
09.06. 22:00,Atl. San Francisco,Jarabacoa,1,2
09.06. 22:00,Atlantico,Atletico Pantoja,0,1
09.06. 22:00,Delfines Del Este,Moca,0,4
09.06. 22:00,Universidad O&M,San Cristobal,1,0
09.06. 22:00,Vega Real,Cibao,1,2
06.06. 00:00,Cibao,Atl. San Francisco,3,0
05.06. 22:00,Moca,Atlantico,1,1
05.06. 22:00,Vega Real,Universidad O&M,0,0
05.06. 17:00,San Cristobal,Jarabacoa,0,0
30.05. 22:00,Atl. San Francisco,Moca,0,3
29.05. 23:00,Delfines Del Este,Vega Real,1,3
29.05. 00:00,Atlantico,San Cristobal,5,1
28.05. 23:00,Universidad O&M,Cibao,1,1
23.05. 23:00,San Cristobal,Atl. San Francisco,3,1
22.05. 22:00,Jarabacoa,Atlantico,2,2
21.05. 23:00,Atletico Pantoja,Vega Real,1,1
16.05. 22:00,Jarabacoa,Moca,1,1
15.05. 22:00,Atl. San Francisco,Vega Real,0,2
15.05. 01:00,Atlantico,Cibao,0,1
13.05. 23:00,San Cristobal,Atletico Pantoja,2,1
10.05. 00:00,Atletico Pantoja,Cibao,0,2
09.05. 22:00,Jarabacoa,Universidad O&M,1,1
08.05. 23:00,San Cristobal,Delfines Del Este,1,1
08.05. 22:00,Moca,Vega Real,1,1
08.05. 01:00,Atlantico,Atl. San Francisco,3,1
03.05. 00:00,Cibao,Moca,1,0
02.05. 22:00,Vega Real,San Cristobal,3,0
02.05. 00:00,Universidad O&M,Atlantico,1,0
01.05. 22:00,Atl. San Francisco,Atletico Pantoja,1,2
30.04. 23:00,Delfines Del Este,Jarabacoa,0,0
26.04. 00:00,Atlantico,Delfines Del Este,0,1
25.04. 22:00,Jarabacoa,Vega Real,2,1
24.04. 23:00,San Cristobal,Cibao,0,2
24.04. 22:00,Atl. San Francisco,Universidad O&M,1,3
24.04. 01:00,Atletico Pantoja,Moca,0,2
20.04. 01:00,Universidad O&M,Atletico Pantoja,2,1
18.04. 22:00,Moca,San Cristobal,2,0
17.04. 23:00,Delfines Del Este,Atl. San Francisco,5,1
17.04. 22:00,Vega Real,Atlantico,2,1
17.04. 01:00,Cibao,Jarabacoa,3,2
