timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1510408800,Bukavu Dawa,Mont Bleu,0,1,,,,0
1510489800,Ocean Pacifique,Tshinkunku,1,1,,,,0
1510489800,Dauphins Noirs,Makiso,3,1,,,,0
1510495200,Sanga Balende,Dibumba,1,1,,,,0
1510495200,Renaissance,MK Etancheite,0,3,Awrd,,,0
1510495200,RCK,Dragons,0,1,,,,0
1510497000,Virunga,Etoile de Kivu,1,0,,,,0
1510497000,St Eloi Lupopo,Lubumbashi Sport,2,1,,,,0
1510497000,Muungano,Maniema,0,1,,,,0
1510574400,Don Bosco,Groupe Bazano,1,1,,,,0
1510581600,Mazembe,Ecofoot Katumbi,2,0,,,,0
1510668000,Motema Pembe,AC Rangers,3,1,,,,0
1510745400,Dauphins Noirs,Mont Bleu,1,0,,,,0
1510752600,Virunga,Maniema,2,1,,,,0
1510752600,Bukavu Dawa,Makiso,1,0,,,,0
1510754400,Shark XI,Nord Sport,0,3,Awrd,,,0
1510756200,AS Vita Club,Molunge,3,0,,,,0
1510842600,Dibumba,Don Bosco,1,1,,,,0
1511004600,Dragons,Nord Sport,1,1,,,,0
1511011800,Renaissance,Molunge,0,3,Awrd,,,0
1511015400,Ecofoot Katumbi,Sanga Balende,1,1,,,,0
1511098200,Tshinkunku,Don Bosco,0,0,,,,0
1511098200,Ocean Pacifique,Groupe Bazano,0,1,,,,0
1511098200,Muungano,Bukavu Dawa,2,0,,,,0
1511098200,Motema Pembe,AS Vita Club,1,0,,,,0
1511184600,St Eloi Lupopo,Dibumba,3,1,,,,0
1511361000,Lubumbashi Sport,Ocean Pacifique,4,1,,,,0
1511361000,AC Rangers,Renaissance,-,-,Awrd,,,0
1511445600,MK Etancheite,RCK,2,3,,,,0
1511445600,Dragons,Shark XI,3,0,Awrd,,,0
1511521200,Groupe Bazano,Tshinkunku,0,3,,,,0
1511530200,Don Bosco,Sanga Balende,1,0,,,,0
1511532000,Molunge,Motema Pembe,0,2,,,,0
1511616600,Lubumbashi Sport,Dibumba,0,0,,,,0
1511620200,Nord Sport,AS Vita Club,0,1,,,,0
1511695800,RCK,AC Rangers,1,2,,,,0
1511703000,Shark XI,MK Etancheite,0,3,Awrd,,,0
1511703000,Mont Bleu,Muungano,2,1,,,,0
1511703000,Maniema,Dauphins Noirs,1,0,,,,0
1511703000,Etoile de Kivu,Bukavu Dawa,0,0,,,,0
1511706600,Ecofoot Katumbi,St Eloi Lupopo,0,2,,,,0
1511956800,Groupe Bazano,Lubumbashi Sport,0,1,,,,0
1511962200,Makiso,Virunga,2,0,,,,0
1511964000,Mazembe,Don Bosco,2,1,,,,0
1512041400,Ocean Pacifique,Ecofoot Katumbi,0,0,,,,0
1512048600,Sanga Balende,St Eloi Lupopo,3,2,,,,0
1512135000,Molunge,RCK,0,2,,,,0
1512214200,AC Rangers,Shark XI,3,0,Awrd,,,0
1512217800,MK Etancheite,Dragons,2,2,,,,0
1512225000,Nord Sport,Motema Pembe,1,1,,,,0
1512304200,Don Bosco,Ecofoot Katumbi,1,1,,,,0
1512307800,Mont Bleu,Virunga,1,1,,,,0
1512307800,Makiso,Etoile de Kivu,2,2,,,,0
1512311400,Tshinkunku,Mazembe,1,4,,,,0
1512311400,Ocean Pacifique,St Eloi Lupopo,0,1,,,,0
1512311400,AS Vita Club,Renaissance,2,0,,,,0
1512473400,Shark XI,Molunge,0,3,Awrd,,,0
1512484200,MK Etancheite,Nord Sport,2,0,,,,0
1512567000,Sanga Balende,Ocean Pacifique,3,1,,,,0
1512567000,Mont Bleu,Etoile de Kivu,3,2,,,,0
1512567000,Dragons,AC Rangers,2,2,,,,0
1512567000,Dibumba,Mazembe,0,0,,,,0
1512732600,MK Etancheite,Molunge,0,0,,,,0
1512739800,Ecofoot Katumbi,Lubumbashi Sport,2,1,,,,0
1512743400,RCK,AS Vita Club,0,1,,,,0
1512826200,AC Rangers,Nord Sport,2,0,,,,0
1512905400,Muungano,Etoile de Kivu,2,1,,,,0
1512912600,St Eloi Lupopo,Don Bosco,0,0,,,,0
1512912600,Bukavu Dawa,Dauphins Noirs,1,0,,,,0
1512916200,Sanga Balende,Mazembe,0,0,,,,0
1512916200,Renaissance,Motema Pembe,0,1,,,,0
1512916200,Dibumba,Ocean Pacifique,2,1,,,,0
1512999000,Maniema,Makiso,2,0,,,,0
1513171800,Motema Pembe,RCK,1,1,,,,0
1513171800,Etoile de Kivu,Dauphins Noirs,1,0,,,,0
1513258200,St Eloi Lupopo,Mazembe,0,0,,,,0
1513348200,Molunge,Dragons,0,0,,,,0
1513434600,Virunga,Bukavu Dawa,1,1,,,,0
1513510200,AC Rangers,MK Etancheite,0,2,,,,0
1513513800,Dibumba,Groupe Bazano,0,0,,,,0
1513517400,Nord Sport,Renaissance,1,2,,,,0
1513517400,Mazembe,Ocean Pacifique,7,0,,,,0
1513517400,Maniema,Etoile de Kivu,3,0,,,,0
1513517400,Makiso,Mont Bleu,2,1,,,,0
1513517400,Dauphins Noirs,Muungano,3,0,Awrd,,,0
1513517400,AS Vita Club,Shark XI,3,0,Awrd,,,0
1513521000,Tshinkunku,Sanga Balende,2,1,,,,0
1513861200,Lubumbashi Sport,Mazembe,0,2,,,,0
1513863000,Shark XI,Motema Pembe,0,3,Awrd,,,0
1513863000,Dibumba,Tshinkunku,1,1,,,,0
1513949400,Muungano,Virunga,0,3,Awrd,,,0
1513949400,Mont Bleu,Maniema,2,2,,,,0
1513949400,Dragons,AS Vita Club,0,2,,,,0
1513953000,Don Bosco,Ocean Pacifique,1,0,,,,0
1514035800,RCK,Renaissance,0,1,,,,0
1514113200,Groupe Bazano,Ecofoot Katumbi,0,0,,,,0
1514376000,Ecofoot Katumbi,Dibumba,1,0,,,,0
1514381400,Sanga Balende,Lubumbashi Sport,0,0,,,,0
1514381400,Motema Pembe,Dragons,1,0,,,,0
1514385000,Tshinkunku,St Eloi Lupopo,0,1,,,,0
1514385000,Mazembe,Groupe Bazano,3,1,,,,0
1514467800,Virunga,Dauphins Noirs,1,2,,,,0
1514467800,Maniema,Bukavu Dawa,0,0,,,,0
1514552400,Makiso,Muungano,0,0,,,,0
1514554200,Molunge,AC Rangers,0,1,,,,0
1514554200,AS Vita Club,MK Etancheite,2,0,,,,0
1514640600,RCK,Nord Sport,0,0,,,,0
1514980800,Lubumbashi Sport,Don Bosco,0,0,,,,0
1514986200,Dragons,Renaissance,1,2,,,,0
1514988000,Groupe Bazano,Sanga Balende,0,1,,,,0
1515159000,MK Etancheite,Motema Pembe,0,2,,,,0
1515249000,AC Rangers,AS Vita Club,0,2,,,,0
1515335400,Groupe Bazano,St Eloi Lupopo,2,5,,,,0
1515335400,Ecofoot Katumbi,Tshinkunku,1,0,,,,0
1515508200,Molunge,Nord Sport,1,0,,,,0
1515585600,Lubumbashi Sport,Tshinkunku,2,1,,,,0
1515940200,Ocean Pacifique,Sanga Balende,0,3,,,,0
1515940200,Mont Bleu,Bukavu Dawa,2,0,,,,0
1515940200,Molunge,AS Vita Club,0,0,,,,0
1515940200,Maniema,Muungano,2,1,,,,0
1515940200,Makiso,Dauphins Noirs,1,1,,,,0
1515940200,Lubumbashi Sport,St Eloi Lupopo,1,2,,,,0
1515940200,Groupe Bazano,Don Bosco,0,2,,,,0
1515940200,Etoile de Kivu,Virunga,1,0,,,,0
1515940200,Ecofoot Katumbi,Mazembe,0,2,,,,0
1515940200,Dragons,RCK,2,1,,,,0
1515940200,AC Rangers,Motema Pembe,0,1,,,,0
1516195800,Renaissance,Dragons,2,2,,,,0
1516199400,Mont Bleu,Dauphins Noirs,1,0,,,,0
1516199400,Mazembe,Tshinkunku,6,0,,,,0
1516199400,Makiso,Bukavu Dawa,0,0,,,,0
1516199400,Don Bosco,Dibumba,2,1,,,,0
1516285800,St Eloi Lupopo,Groupe Bazano,0,2,,,,0
1516372200,RCK,Motema Pembe,0,3,,,,0
1516458600,AS Vita Club,Nord Sport,5,0,,,,0
1516545000,St Eloi Lupopo,Tshinkunku,2,1,,,,0
1516545000,Sanga Balende,Ecofoot Katumbi,2,0,,,,0
1516545000,Renaissance,AC Rangers,0,0,,,,0
1516545000,Ocean Pacifique,Lubumbashi Sport,1,0,,,,0
1516545000,Molunge,MK Etancheite,3,0,Awrd,,,0
1516545000,Makiso,Maniema,2,2,,,,0
1516545000,Groupe Bazano,Mazembe,0,2,,,,0
1516631400,Muungano,Mont Bleu,1,1,,,,0
1516717800,Motema Pembe,Nord Sport,3,1,,,,0
1516717800,Bukavu Dawa,Etoile de Kivu,1,1,,,,0
1516804200,Groupe Bazano,Dibumba,2,1,,,,0
1516804200,Don Bosco,Tshinkunku,2,0,,,,0
1516804200,Dauphins Noirs,Maniema,1,0,,,,0
1516977000,Etoile de Kivu,Mont Bleu,0,0,,,,0
1517056200,AC Rangers,RCK,3,0,,,,0
1517063400,Nord Sport,Dragons,0,1,,,,0
1517063400,Groupe Bazano,Ocean Pacifique,1,0,,,,0
1517063400,Ecofoot Katumbi,Don Bosco,2,1,,,,0
1517063400,Bukavu Dawa,Muungano,1,0,,,,0
1517140800,Mazembe,Sanga Balende,1,0,,,,0
1517149800,Molunge,Renaissance,3,0,Awrd,,,0
1517149800,AS Vita Club,Motema Pembe,0,0,,,,0
1517236200,Etoile de Kivu,Maniema,1,1,,,,0
1517322600,Virunga,Mont Bleu,1,0,,,,0
1517322600,Ecofoot Katumbi,Ocean Pacifique,1,1,,,,0
1517409000,St Eloi Lupopo,Sanga Balende,2,0,,,,0
1517488200,Bukavu Dawa,Maniema,1,1,,,,0
1517495400,Etoile de Kivu,Makiso,1,0,,,,0
1517495400,Dibumba,Lubumbashi Sport,0,1,,,,0
1517668200,Dragons,MK Etancheite,3,0,Awrd,,,0
1517668200,Don Bosco,Mazembe,1,0,,,,0
1517754600,St Eloi Lupopo,Ecofoot Katumbi,0,0,,,,0
1517754600,Sanga Balende,Tshinkunku,1,0,,,,0
1517754600,Nord Sport,Molunge,2,2,,,,0
1517754600,Muungano,Makiso,4,0,,,,0
1517754600,Dibumba,Ocean Pacifique,1,2,,,,0
1517754600,AS Vita Club,AC Rangers,1,2,,,,0
1517756400,Dauphins Noirs,Etoile de Kivu,1,0,,,,0
1518012000,Mazembe,Lubumbashi Sport,2,1,,,,0
1518013800,Virunga,Makiso,3,1,,,,0
1518013800,Renaissance,AS Vita Club,0,3,Awrd,,,0
1518013800,Molunge,RCK,1,1,,,,0
1518100200,Muungano,Dauphins Noirs,1,0,,,,0
1518186600,Motema Pembe,Renaissance,3,0,Awrd,,,0
1518267600,Dibumba,Ecofoot Katumbi,1,1,,,,0
1518273000,Sanga Balende,Don Bosco,1,0,,,,0
1518273000,Dragons,AC Rangers,1,1,,,,0
1518359400,Tshinkunku,Groupe Bazano,1,1,,,,0
1518359400,Mazembe,St Eloi Lupopo,3,0,Awrd,,,0
1518445800,Etoile de Kivu,Muungano,0,1,,,,0
1518532200,Ocean Pacifique,Don Bosco,0,0,,,,0
1518532200,MK Etancheite,Renaissance,1,1,,,,0
1518607800,Dauphins Noirs,Bukavu Dawa,0,0,,,,0
1518618600,Virunga,Muungano,1,2,,,,0
1518618600,Tshinkunku,Ecofoot Katumbi,1,0,,,,0
1518618600,Motema Pembe,Molunge,2,0,,,,0
1518618600,Dibumba,Sanga Balende,1,1,,,,0
1518618600,Bukavu Dawa,Virunga,1,0,,,,0
1518627600,RCK,AS Vita Club,0,0,,,,0
1518791400,Ocean Pacifique,Mazembe,0,0,,,,0
1518791400,AC Rangers,MK Etancheite,1,1,,,,0
1518877800,Renaissance,Nord Sport,1,1,,,,0
1518877800,Dragons,Molunge,2,1,,,,0
1518964200,Mont Bleu,Makiso,3,0,,,,0
1518964200,Lubumbashi Sport,Ecofoot Katumbi,0,1,,,,0
1518964200,Dauphins Noirs,Virunga,0,1,,,,0
1519050600,Dibumba,St Eloi Lupopo,1,0,,,,0
1519137000,RCK,Nord Sport,3,1,,,,0
1519137000,AC Rangers,Molunge,4,0,,,,0
1519223400,Tshinkunku,Ocean Pacifique,1,0,,,,0
1519223400,Motema Pembe,Dragons,1,0,,,,0
1519223400,Lubumbashi Sport,Groupe Bazano,0,0,,,,0
1519482600,Renaissance,RCK,0,0,,,,0
1519482600,Maniema,Mont Bleu,4,1,,,,0
1519482600,Don Bosco,St Eloi Lupopo,1,0,,,,0
1519482600,AC Rangers,Nord Sport,2,2,,,,0
1519569000,Tshinkunku,Dibumba,1,0,,,,0
1519569000,Lubumbashi Sport,Sanga Balende,1,3,,,,0
1519569000,Groupe Bazano,Ecofoot Katumbi,4,1,,,,0
1519655400,MK Etancheite,AS Vita Club,2,3,,,,0
1519741800,Sanga Balende,Groupe Bazano,0,1,,,,0
1519741800,Maniema,Virunga,4,1,,,,0
1519741800,Don Bosco,Lubumbashi Sport,1,0,,,,0
1519828200,Ocean Pacifique,St Eloi Lupopo,1,3,,,,0
1519828200,Nord Sport,MK Etancheite,1,1,,,,0
1519914600,AS Vita Club,Dragons,3,0,,,,0
1520083800,RCK,MK Etancheite,1,0,,,,0
1520083800,Mazembe,Dibumba,6,0,,,,0
1520087400,Tshinkunku,Lubumbashi Sport,0,2,,,,0
1520692200,Motema Pembe,MK Etancheite,3,0,Awrd,,,0
1521642600,Mazembe,Dragons,5,0,,,,0
1521642600,Dauphins Noirs,Mont Bleu,1,0,,,,0
1521646200,Groupe Bazano,Sanga Balende,1,3,,,,0
1521646200,AC Rangers,AS Vita Club,0,2,,,,0
1521729000,Don Bosco,St Eloi Lupopo,2,2,,,,0
1521901800,Don Bosco,Dragons,2,1,,,,0
1521901800,Dauphins Noirs,Groupe Bazano,1,1,,,,0
1521988200,Mont Bleu,Motema Pembe,0,2,,,,0
1521988200,AC Rangers,Maniema,2,3,,,,0
1522247400,Mont Bleu,Groupe Bazano,2,1,,,,0
1522247400,Dragons,St Eloi Lupopo,0,1,,,,0
1522326600,AC Rangers,Don Bosco,1,0,,,,0
1522333800,AS Vita Club,Sanga Balende,0,2,,,,0
1522593000,Groupe Bazano,St Eloi Lupopo,0,2,,,,0
1522672200,Dragons,Sanga Balende,0,2,,,,0
1522679400,Mazembe,Don Bosco,2,1,,,,0
1522679400,AS Vita Club,Mont Bleu,3,1,,,,0
1522931400,St Eloi Lupopo,AC Rangers,1,1,,,,0
1522931400,Dragons,Mont Bleu,2,2,,,,0
1522938600,Motema Pembe,Maniema,1,1,,,,0
1522938600,Groupe Bazano,Mazembe,1,2,,,,0
1523111400,Don Bosco,Dauphins Noirs,3,0,Awrd,,,0
1523196000,Sanga Balende,AC Rangers,3,0,,,,0
1523370600,Motema Pembe,Groupe Bazano,5,0,,,,0
1523457000,Dauphins Noirs,AS Vita Club,0,4,,,,0
1523543400,Maniema,Dragons,3,0,,,,0
1523626200,Sanga Balende,Mazembe,0,0,,,,0
1523629800,AC Rangers,Groupe Bazano,1,0,,,,0
1523800800,St Eloi Lupopo,Mazembe,0,0,,,,0
1523802600,Don Bosco,Maniema,0,2,,,,0
1523802600,Dauphins Noirs,Dragons,0,4,,,,0
1524054600,AC Rangers,Dauphins Noirs,1,1,,,,0
1524061800,Sanga Balende,Motema Pembe,1,0,,,,0
1524061800,Mazembe,Maniema,1,0,,,,0
1524061800,Dragons,Groupe Bazano,1,1,,,,0
1524148200,St Eloi Lupopo,Mont Bleu,5,1,,,,0
1524321000,Motema Pembe,Dragons,2,0,,,,0
1524321000,Mazembe,Dauphins Noirs,3,0,,,,0
1524321000,Don Bosco,AS Vita Club,1,0,,,,0
1524407400,St Eloi Lupopo,Sanga Balende,1,1,,,,0
1524407400,Groupe Bazano,Maniema,1,1,,,,0
1524659400,Motema Pembe,AC Rangers,3,0,,,,0
1524663000,Mont Bleu,Mazembe,0,1,,,,0
1524666600,Sanga Balende,Don Bosco,4,0,,,,0
1524666600,AS Vita Club,Groupe Bazano,2,0,,,,0
1524753000,Maniema,St Eloi Lupopo,1,0,,,,0
1524924000,AS Vita Club,Dragons,1,1,,,,0
1524931200,Motema Pembe,Mazembe,0,0,,,,0
1525012200,Mont Bleu,Don Bosco,2,0,,,,0
1525012200,Maniema,Sanga Balende,0,3,Awrd,,,0
1525012200,Dauphins Noirs,St Eloi Lupopo,0,1,,,,0
1525185000,AC Rangers,Mazembe,0,3,,,,0
1525444200,Dauphins Noirs,Sanga Balende,0,1,,,,0
1525530600,Dragons,AC Rangers,1,2,,,,0
1525609800,Groupe Bazano,Don Bosco,0,0,,,,0
1525617000,St Eloi Lupopo,Motema Pembe,1,4,,,,0
1525789800,Mont Bleu,Sanga Balende,0,0,,,,0
1525789800,Maniema,Dauphins Noirs,3,0,,,,0
1525876200,Motema Pembe,Don Bosco,2,0,,,,0
1526049000,AS Vita Club,St Eloi Lupopo,3,0,,,,0
1526221800,Motema Pembe,Dauphins Noirs,2,1,,,,0
1526221800,Mont Bleu,AC Rangers,3,0,,,,0
1526481000,Mont Bleu,Maniema,1,1,,,,0
1526826600,Mazembe,AS Vita Club,0,0,,,,0
1527337800,AC Rangers,St Eloi Lupopo,0,1,,,,0
1527431400,Don Bosco,Groupe Bazano,4,0,,,,0
1527777000,St Eloi Lupopo,Groupe Bazano,2,0,,,,0
1527777000,Dauphins Noirs,Maniema,1,0,,,,0
1527778800,Dragons,Mazembe,0,1,,,,0
1527782400,AS Vita Club,Motema Pembe,2,1,,,,0
1527949800,Maniema,AS Vita Club,0,3,,,,0
1528036200,Sanga Balende,Mont Bleu,3,0,Awrd,,,0
1528036200,Sanga Balende,Dauphins Noirs,1,0,,,,0
1528036200,Mazembe,St Eloi Lupopo,1,1,,,,0
1528115400,AC Rangers,Dragons,0,1,,,,0
1528122600,Motema Pembe,Mont Bleu,3,0,,,,0
1528295400,Don Bosco,Mazembe,0,9,,,,0
1528374600,Groupe Bazano,Dauphins Noirs,2,1,,,,0
1528381800,Sanga Balende,St Eloi Lupopo,1,0,,,,0
1528381800,Mont Bleu,AS Vita Club,0,2,,,,0
1528385400,Maniema,AC Rangers,3,0,,,,0
1528551000,Don Bosco,Motema Pembe,1,2,,,,0
1528641000,St Eloi Lupopo,Dauphins Noirs,1,0,,,,0
1528641000,Mont Bleu,Dragons,3,0,,,,0
1528641000,Maniema,Mazembe,0,1,,,,0
1528641000,Groupe Bazano,AS Vita Club,1,3,,,,0
1528900200,Sanga Balende,Groupe Bazano,6,0,,,,0
1528900200,Motema Pembe,Dragons,4,1,,,,0
1528900200,Maniema,Don Bosco,2,0,,,,0
1528900200,Dauphins Noirs,Mazembe,0,1,,,,0
1528900200,AC Rangers,AS Vita Club,1,6,,,,0
1529159400,Mont Bleu,St Eloi Lupopo,1,0,,,,0
1529159400,Maniema,Groupe Bazano,3,0,,,,0
1529159400,Dauphins Noirs,Don Bosco,0,2,,,,0
1529245800,AS Vita Club,Mazembe,1,0,,,,0
1529418600,Dragons,Dauphins Noirs,1,1,,,,0
1529496000,Don Bosco,Sanga Balende,0,0,,,,0
1529503200,Mazembe,Mont Bleu,1,0,,,,0
1529505000,Motema Pembe,AS Vita Club,1,3,,,,0
1529591400,St Eloi Lupopo,Maniema,1,0,,,,0
1529764200,Mazembe,Sanga Balende,2,1,,,,0
1529764200,Don Bosco,Mont Bleu,0,0,,,,0
1529764200,AS Vita Club,Dauphins Noirs,8,0,,,,0
1529841600,Groupe Bazano,Motema Pembe,0,2,,,,0
1529848800,Dragons,Maniema,1,2,,,,0
1530023400,Mazembe,Groupe Bazano,2,0,,,,0
1530109800,St Eloi Lupopo,Dragons,3,0,,,,0
1530109800,Sanga Balende,AS Vita Club,0,1,,,,0
1530109800,Mont Bleu,Dauphins Noirs,3,0,Awrd,,,0
1530109800,Maniema,Motema Pembe,0,2,,,,0
1530372600,Mazembe,Motema Pembe,1,0,,,,0
1530372600,Dragons,Don Bosco,0,2,,,,0
1530455400,Groupe Bazano,Mont Bleu,1,0,,,,0
1530455400,AS Vita Club,Maniema,4,0,,,,0
1530460800,AC Rangers,Sanga Balende,0,1,,,,0
1530621000,Groupe Bazano,Dragons,1,0,,,,0
1530621000,AC Rangers,Mont Bleu,5,2,,,,0
1530622800,AS Vita Club,Don Bosco,3,0,,,,0
1530630000,Motema Pembe,Sanga Balende,2,0,,,,0
1530887400,Mazembe,AC Rangers,3,0,,,,0
1530972000,St Eloi Lupopo,Don Bosco,0,0,,,,0
1530973800,Sanga Balende,Maniema,3,0,Awrd,,,0
1530973800,Dauphins Noirs,Motema Pembe,0,2,,,,0
1531060200,Sanga Balende,Dragons,6,0,,,,0
