date,home_team,away_team,home_score,away_score
30.12. 02:15Pen,LDU Quito,Barcelona SC,0,1
24.12. 02:15,Barcelona SC,LDU Quito,1,1
21.12. 01:00,Emelec,Olmedo,4,1
21.12. 01:00,LDU Quito,Tecnico U.,1,2
21.12. 01:00,Macara,Ind. del Valle,1,0
21.12. 01:00,U. Catolica,Barcelona SC,0,0
20.12. 21:30,LDU Portoviejo,Aucas,3,2
20.12. 21:30,Orense,EL Nacional,1,0
19.12. 21:30,Guayaquil City,Dep. Cuenca,2,1
19.12. 21:30,Mushuc Runa,Delfin,2,0
18.12. 01:00,Aucas,U. Catolica,1,1
18.12. 01:00,EL Nacional,Macara,2,1
18.12. 01:00,Ind. del Valle,Orense,4,0
18.12. 01:00,Olmedo,LDU Portoviejo,1,3
17.12. 01:00,Barcelona SC,Mushuc Runa,3,0
17.12. 01:00,Delfin,LDU Quito,2,0
17.12. 01:00,Dep. Cuenca,Emelec,2,1
17.12. 01:00,Tecnico U.,Guayaquil City,0,0
14.12. 01:00,Aucas,Barcelona SC,2,1
13.12. 22:30,Guayaquil City,Ind. del Valle,0,2
13.12. 20:00,Macara,LDU Quito,3,4
13.12. 02:30,Emelec,EL Nacional,3,0
13.12. 00:00,LDU Portoviejo,Mushuc Runa,0,0
12.12. 21:30,Orense,Tecnico U.,1,0
12.12. 01:00,U. Catolica,Delfin,0,0
11.12. 22:30,Olmedo,Dep. Cuenca,1,1
10.12. 02:00,Barcelona SC,Guayaquil City,2,0
09.12. 23:30,Ind. del Valle,Emelec,3,0
09.12. 21:00,LDU Quito,LDU Portoviejo,1,1
09.12. 18:30,EL Nacional,Aucas,2,2
09.12. 02:00,Delfin,Olmedo,3,1
08.12. 23:45,Tecnico U.,U. Catolica,1,0
08.12. 21:30,Dep. Cuenca,Macara,2,1
08.12. 19:15,Mushuc Runa,Orense,0,0
07.12. 01:00,Emelec,Barcelona SC,1,1
06.12. 22:00,Guayaquil City,LDU Portoviejo,3,1
06.12. 19:45,Ind. del Valle,EL Nacional,2,0
06.12. 02:00,U. Catolica,LDU Quito,2,0
05.12. 23:30,Macara,Aucas,2,1
05.12. 21:15,Orense,Delfin,1,1
05.12. 01:00,Dep. Cuenca,Mushuc Runa,1,0
04.12. 22:30,Olmedo,Tecnico U.,0,0
30.11. 00:00,Barcelona SC,Macara,3,0
29.11. 21:30,LDU Portoviejo,U. Catolica,2,1
29.11. 19:00,Aucas,Orense,4,1
29.11. 02:30Awrd,EL Nacional,Guayaquil City,0,3
29.11. 00:00,Delfin,Ind. del Valle,1,0
28.11. 21:30,Tecnico U.,Dep. Cuenca,1,1
28.11. 01:00,Mushuc Runa,Emelec,2,3
27.11. 22:30,LDU Quito,Olmedo,3,0
24.11. 00:00,Macara,LDU Portoviejo,1,0
23.11. 21:30,Orense,Barcelona SC,0,0
23.11. 19:00,U. Catolica,Mushuc Runa,1,1
23.11. 00:00,Emelec,Delfin,3,2
22.11. 21:30,Dep. Cuenca,Aucas,3,3
22.11. 19:15,Olmedo,EL Nacional,1,2
22.11. 02:00,Guayaquil City,LDU Quito,1,1
21.11. 23:30,Ind. del Valle,Tecnico U.,1,0
20.11. 01:00,Barcelona SC,Dep. Cuenca,2,0
19.11. 22:45,LDU Portoviejo,Orense,1,2
19.11. 20:30,EL Nacional,U. Catolica,0,2
19.11. 18:15,Mushuc Runa,Olmedo,1,1
19.11. 01:00,LDU Quito,Emelec,1,2
18.11. 22:45,Tecnico U.,Macara,0,1
18.11. 20:30,Delfin,Guayaquil City,1,1
18.11. 18:15,Aucas,Ind. del Valle,3,3
16.11. 01:00,EL Nacional,Barcelona SC,1,1
15.11. 22:45,Emelec,Tecnico U.,1,1
15.11. 20:30,Ind. del Valle,LDU Portoviejo,2,3
15.11. 18:15,Olmedo,U. Catolica,2,1
15.11. 02:30,LDU Quito,Aucas,4,1
15.11. 00:15,Macara,Orense,0,1
14.11. 19:00,Guayaquil City,Mushuc Runa,3,2
14.11. 01:00,Dep. Cuenca,Delfin,2,1
12.11. 01:00,LDU Portoviejo,Emelec,0,6
11.11. 22:45,U. Catolica,Guayaquil City,2,1
11.11. 20:30,Mushuc Runa,LDU Quito,1,2
11.11. 18:15,Aucas,Olmedo,3,3
11.11. 01:00,Barcelona SC,Ind. del Valle,2,0
10.11. 22:45,Delfin,Macara,1,2
10.11. 20:30,Tecnico U.,EL Nacional,1,0
10.11. 18:15,Orense,Dep. Cuenca,1,1
09.11. 00:00,Emelec,U. Catolica,2,0
08.11. 01:00,Guayaquil City,Aucas,4,2
07.11. 22:30,LDU Portoviejo,Tecnico U.,0,2
07.11. 01:00,Olmedo,Barcelona SC,1,0
06.11. 22:30,LDU Quito,Orense,4,0
06.11. 20:00,EL Nacional,Delfin,1,3
06.11. 01:00,Ind. del Valle,Dep. Cuenca,2,1
05.11. 22:30,Macara,Mushuc Runa,0,3
03.11. 00:30,Macara,Guayaquil City,1,1
02.11. 00:00,Barcelona SC,LDU Quito,2,2
01.11. 21:15,Aucas,Emelec,1,1
01.11. 19:00,Orense,Olmedo,2,1
01.11. 00:00,U. Catolica,Ind. del Valle,3,1
31.10. 21:30,Delfin,LDU Portoviejo,4,2
31.10. 19:15,Mushuc Runa,Tecnico U.,0,1
31.10. 01:00,Dep. Cuenca,EL Nacional,0,0
26.10. 23:30,Guayaquil City,Orense,1,1
26.10. 00:00,LDU Portoviejo,Barcelona SC,0,2
25.10. 21:30,Olmedo,Ind. del Valle,2,1
25.10. 02:30,LDU Quito,EL Nacional,1,0
25.10. 01:00,Tecnico U.,Delfin,1,1
24.10. 22:30,Emelec,Macara,0,0
24.10. 02:00,U. Catolica,Dep. Cuenca,0,1
23.10. 22:30,Mushuc Runa,Aucas,1,4
20.10. 01:00,Dep. Cuenca,LDU Portoviejo,2,1
19.10. 22:30,Guayaquil City,Emelec,1,0
19.10. 01:00,Macara,Olmedo,1,0
18.10. 22:30,Orense,U. Catolica,1,1
18.10. 20:00,EL Nacional,Mushuc Runa,2,1
18.10. 02:30,Barcelona SC,Delfin,1,0
18.10. 00:00,Ind. del Valle,LDU Quito,3,2
17.10. 21:30,Aucas,Tecnico U.,2,1
16.10. 02:00,U. Catolica,Macara,2,1
15.10. 23:30,LDU Portoviejo,EL Nacional,3,0
15.10. 21:15,Olmedo,Guayaquil City,1,2
15.10. 04:00,Emelec,Orense,1,0
15.10. 01:30,Tecnico U.,Barcelona SC,0,2
14.10. 23:00,LDU Quito,Dep. Cuenca,5,0
14.10. 20:30,Delfin,Aucas,2,2
14.10. 18:15,Mushuc Runa,Ind. del Valle,3,2
05.10. 01:00,U. Catolica,Emelec,4,1
04.10. 22:30,Guayaquil City,Tecnico U.,1,0
04.10. 20:15,Macara,Delfin,5,1
04.10. 01:30,Barcelona SC,EL Nacional,0,0
03.10. 22:30,LDU Quito,Mushuc Runa,2,0
03.10. 22:30,Orense,Ind. del Valle,1,3
03.10. 02:00,Aucas,LDU Portoviejo,4,1
02.10. 23:30Awrd,Dep. Cuenca,Olmedo,0,3
01.10. 00:00,Guayaquil City,EL Nacional,2,1
29.09. 01:15,LDU Portoviejo,Macara,2,2
28.09. 01:00,Emelec,Dep. Cuenca,2,0
27.09. 22:30,Delfin,U. Catolica,0,0
27.09. 02:30,Ind. del Valle,Barcelona SC,1,1
27.09. 02:30,Tecnico U.,LDU Quito,0,5
27.09. 00:00,Olmedo,Aucas,3,2
26.09. 21:45,Mushuc Runa,Guayaquil City,2,1
25.09. 23:30,EL Nacional,Orense,2,2
21.09. 01:00,Delfin,Mushuc Runa,4,1
20.09. 20:30,U. Catolica,Tecnico U.,2,1
20.09. 01:00,Emelec,LDU Quito,1,1
19.09. 22:30,Orense,Aucas,2,2
19.09. 02:00,LDU Portoviejo,Olmedo,2,1
14.09. 22:30,Orense,Macara,1,2
14.09. 01:00,Barcelona SC,U. Catolica,1,0
13.09. 22:30,Ind. del Valle,Delfin,4,2
13.09. 20:15,Aucas,Dep. Cuenca,2,0
13.09. 01:30,Olmedo,Emelec,1,1
12.09. 23:00,EL Nacional,Tecnico U.,0,1
12.09. 02:00,LDU Quito,Guayaquil City,2,0
