timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1569070800,El Gaish,Arab Contractors,zcdwYkPa,vJb36ZBF,0,1,,,,0
1569079800,El Gouna,El Ismaily,rFudGJm8,hjU5IpqO,0,1,,,,0
1569088800,Pyramids,Enppi,61CV5LkU,UXviHTBE,4,0,,,,0
1569157200,Aswan SC,Misr Lel Makkasa,tIwwEvBL,vRYp4Iam,2,3,,,,0
1569166200,Wadi Degla,Tanta,nDyPqWH0,UTpZ7Xnm,0,1,,,,0
1569166200,El-Entag El-Harby,ZED,jm1g2SD5,d8SflmrH,3,0,,,,0
1569175200,Al Masry,Haras El Hodood,K8vlWhPS,WOiN3YjQ,1,1,,,,0
1569252600,Smouha,Al Ahly,Y1Z3w2bI,CWnyifXm,0,1,,,,0
1569261600,Zamalek,Al Ittihad,EJgyrHTR,bgfz00t5,1,0,,,,0
1569506400,Haras El Hodood,Wadi Degla,WOiN3YjQ,nDyPqWH0,2,2,,,,0
1569520800,Enppi,El Gaish,UXviHTBE,zcdwYkPa,1,1,,,,0
1569684600,ZED,Aswan SC,d8SflmrH,tIwwEvBL,0,0,,,,0
1569684600,Arab Contractors,Smouha,vJb36ZBF,Y1Z3w2bI,2,2,,,,0
1569943800,Al Ittihad,El Gouna,bgfz00t5,rFudGJm8,1,0,,,,0
1570030200,El Ismaily,Al Masry,hjU5IpqO,K8vlWhPS,1,3,,,,0
1570039200,Al Ahly,El-Entag El-Harby,CWnyifXm,jm1g2SD5,4,0,,,,0
1570107600,Tanta,Pyramids,UTpZ7Xnm,61CV5LkU,1,2,,,,0
1570125600,Misr Lel Makkasa,Zamalek,vRYp4Iam,EJgyrHTR,0,1,,,,0
1570212000,Smouha,Enppi,Y1Z3w2bI,UXviHTBE,2,1,,,,0
1570280400,Aswan SC,Al Ahly,tIwwEvBL,CWnyifXm,1,5,,,,0
1570289400,Wadi Degla,El Ismaily,nDyPqWH0,hjU5IpqO,0,1,,,,0
1570289400,El-Entag El-Harby,Arab Contractors,jm1g2SD5,vJb36ZBF,0,1,,,,0
1570298400,Al Masry,Al Ittihad,K8vlWhPS,bgfz00t5,0,1,,,,0
1570366800,El Gouna,Misr Lel Makkasa,rFudGJm8,vRYp4Iam,1,0,,,,0
1570375800,Haras El Hodood,Tanta,WOiN3YjQ,UTpZ7Xnm,1,1,,,,0
1570375800,El Gaish,Pyramids,zcdwYkPa,61CV5LkU,2,2,,,,0
1570384800,Zamalek,ZED,EJgyrHTR,d8SflmrH,1,1,,,,0
1571317200,ZED,El Gouna,d8SflmrH,rFudGJm8,0,0,,,,0
1571326200,Misr Lel Makkasa,Al Masry,vRYp4Iam,K8vlWhPS,1,0,,,,0
1571326200,Enppi,El-Entag El-Harby,UXviHTBE,jm1g2SD5,0,1,,,,0
1571335200,Pyramids,Smouha,61CV5LkU,Y1Z3w2bI,0,0,,,,0
1571412600,Al Ittihad,Wadi Degla,bgfz00t5,nDyPqWH0,1,1,,,,0
1571421600,El Ismaily,Haras El Hodood,hjU5IpqO,WOiN3YjQ,0,1,,,,0
1571508000,Zamalek,Arab Contractors,EJgyrHTR,vJb36ZBF,2,1,,,,0
1571671800,El-Entag El-Harby,Pyramids,jm1g2SD5,61CV5LkU,2,3,,,,0
1571680800,Al Masry,ZED,K8vlWhPS,d8SflmrH,2,0,,,,0
1571749200,Aswan SC,Enppi,tIwwEvBL,UXviHTBE,1,0,,,,0
