timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1438461000,Pasaquina,Sonsonate,1,1,,,,0
1438466400,Santa Tecla,Juventud Ind.,2,0,,,,0
1438475400,Chalatenango,Metapan,1,1,,,,0
1438551000,FAS,Atletico Marte,2,3,,,,0
1438812000,Alianza FC,UES,1,1,,,,0
1438822800,Aguila,Dragon,1,0,,,,0
1439074800,UES,Pasaquina,1,2,,,,0
1439080200,Sonsonate,Aguila,0,3,,,,0
1439152200,Dragon,Santa Tecla,2,1,,,,0
1439154000,Juventud Ind.,FAS,1,3,,,,0
1439154000,Atletico Marte,Chalatenango,2,0,,,,0
1439161200,Metapan,Alianza FC,3,4,,,,0
1439411400,Pasaquina,Metapan,0,0,,,,0
1439415000,Atletico Marte,Juventud Ind.,0,1,,,,0
1439425800,Santa Tecla,Sonsonate,4,2,,,,0
1439425800,FAS,Dragon,1,0,,,,0
1439425800,Chalatenango,Alianza FC,0,0,,,,0
1439427600,Aguila,UES,1,0,,,,0
1439679600,UES,Santa Tecla,1,0,,,,0
1439685000,Sonsonate,FAS,1,2,,,,0
1439686800,Metapan,Aguila,1,1,,,,0
1439757000,Dragon,Atletico Marte,5,1,,,,0
1439758800,Juventud Ind.,Chalatenango,2,0,,,,0
1439762400,Alianza FC,Pasaquina,2,0,,,,0
1440291600,FAS,UES,1,0,,,,0
1440291600,Aguila,Alianza FC,2,2,,,,0
1440295200,Santa Tecla,Metapan,0,3,,,,0
1440363600,Juventud Ind.,Dragon,1,1,,,,0
1440363600,Chalatenango,Pasaquina,0,0,,,,0
1440363600,Atletico Marte,Sonsonate,0,0,,,,0
1440621000,Pasaquina,Aguila,1,1,,,,0
1440622800,Dragon,Chalatenango,2,0,,,,0
1440633600,UES,Atletico Marte,0,0,,,,0
1440635400,Sonsonate,Juventud Ind.,1,1,,,,0
1440637200,Metapan,FAS,2,3,,,,0
1440894600,Chalatenango,Aguila,3,1,,,,0
1440966600,Dragon,Sonsonate,1,2,,,,0
1440968400,Juventud Ind.,UES,2,2,,,,0
1440972000,Santa Tecla,Pasaquina,4,2,,,,0
1441499400,Sonsonate,Chalatenango,2,1,,,,0
1441569600,Aguila,Santa Tecla,2,1,,,,0
1441573200,UES,Dragon,1,2,,,,0
1441575000,Alianza FC,Atletico Marte,0,0,,,,0
1442104200,Sonsonate,UES,2,0,,,,0
1442104200,Chalatenango,Santa Tecla,2,0,,,,0
1442106000,FAS,Aguila,2,1,,,,0
1442176200,Dragon,Metapan,0,0,,,,0
1442178000,Juventud Ind.,Alianza FC,0,3,,,,0
1442178000,Atletico Marte,Pasaquina,1,2,,,,0
1442350800,FAS,Alianza FC,3,1,,,,0
1442694600,Pasaquina,Juventud Ind.,3,1,,,,0
1442700000,Santa Tecla,FAS,2,0,,,,0
1442709000,Chalatenango,UES,2,1,,,,0
1442710800,Aguila,Atletico Marte,1,0,,,,0
1442784600,Alianza FC,Dragon,1,1,,,,0
1442786400,Metapan,Sonsonate,4,0,,,,0
1443038400,Pasaquina,FAS,1,1,,,,0
1443313800,Sonsonate,Alianza FC,3,4,,,,0
1443387600,UES,Metapan,0,4,,,,0
1443387600,Juventud Ind.,Aguila,1,3,,,,0
1443387600,Dragon,Pasaquina,0,0,,,,0
1443389400,FAS,Chalatenango,0,1,,,,0
1443657600,Metapan,Juventud Ind.,5,0,,,,0
1443661200,Santa Tecla,Alianza FC,5,2,,,,0
1443918600,Sonsonate,Pasaquina,0,1,,,,0
1443920400,Dragon,Aguila,0,0,,,,0
1443992400,UES,Alianza FC,1,3,,,,0
1443992400,Juventud Ind.,Santa Tecla,2,2,,,,0
1443992400,Atletico Marte,FAS,0,3,,,,0
1443996000,Metapan,Chalatenango,3,1,,,,0
1444266000,Santa Tecla,Atletico Marte,2,2,,,,0
1444509000,Pasaquina,UES,1,1,,,,0
1444523400,Chalatenango,Atletico Marte,2,0,,,,0
1444525200,Aguila,Sonsonate,3,0,,,,0
1444599000,FAS,Juventud Ind.,1,1,,,,0
1444600800,Santa Tecla,Dragon,2,2,,,,0
1444856400,Juventud Ind.,Atletico Marte,0,0,,,,0
1444870800,UES,Aguila,1,2,,,,0
1444870800,Alianza FC,Chalatenango,1,0,,,,0
1444955400,Sonsonate,Santa Tecla,1,1,,,,0
1444957200,Metapan,Pasaquina,2,0,,,,0
