date,home_team,away_team,home_score,away_score
21.05. 23:00,Alianza FC,Santa Tecla,0,4
14.05. 23:15,Alianza FC,Metapan,2,0
14.05. 23:00,Aguila,Santa Tecla,2,3
12.05. 03:00,Metapan,Alianza FC,0,0
11.05. 01:00,Santa Tecla,Aguila,2,0
07.05. 23:15,Alianza FC,Pasaquina,3,0
07.05. 23:00,Aguila,Municipal Limeno,2,2
07.05. 03:00,Metapan,Luis Angel Firpo,1,0
07.05. 01:00,Santa Tecla,FAS,1,0
04.05. 03:15,FAS,Santa Tecla,0,0
04.05. 03:15,Pasaquina,Alianza FC,0,1
04.05. 03:00,Luis Angel Firpo,Metapan,2,1
03.05. 23:00,Municipal Limeno,Aguila,1,1
30.04. 03:00,Aguila,Dragon,0,1
30.04. 03:00,Chalatenango,Municipal Limeno,2,0
30.04. 03:00,FAS,Sonsonate,0,1
30.04. 03:00,Luis Angel Firpo,Alianza FC,1,1
30.04. 03:00,Santa Tecla,Metapan,0,0
30.04. 03:00,UES,Pasaquina,1,0
23.04. 03:15,Alianza FC,Aguila,0,1
23.04. 03:00,Metapan,FAS,0,1
23.04. 02:30,Sonsonate,Pasaquina,1,0
22.04. 23:30,Municipal Limeno,Santa Tecla,3,1
22.04. 23:00,Dragon,Chalatenango,2,1
22.04. 23:00,UES,Luis Angel Firpo,2,1
20.04. 03:15,Alianza FC,UES,2,0
20.04. 03:00,Chalatenango,Aguila,0,0
20.04. 03:00,FAS,Municipal Limeno,1,0
20.04. 03:00,Luis Angel Firpo,Sonsonate,2,2
20.04. 03:00,Santa Tecla,Dragon,0,1
19.04. 23:00,Pasaquina,Metapan,1,1
16.04. 23:30,Municipal Limeno,Pasaquina,3,0
16.04. 23:15,Sonsonate,Alianza FC,2,4
16.04. 03:00,Metapan,Luis Angel Firpo,0,1
16.04. 02:30,Chalatenango,Santa Tecla,2,1
13.04. 23:15,Dragon,FAS,1,1
13.04. 03:00,Aguila,UES,3,2
13.04. 03:00,Chalatenango,Alianza FC,1,3
13.04. 00:00,Santa Tecla,Luis Angel Firpo,5,2
09.04. 23:30,FAS,Chalatenango,1,0
09.04. 23:15,Alianza FC,Metapan,0,0
09.04. 23:00,UES,Sonsonate,1,0
09.04. 03:00,Luis Angel Firpo,Municipal Limeno,0,0
09.04. 01:00,Santa Tecla,Aguila,0,0
08.04. 23:00,Pasaquina,Dragon,1,0
06.04. 03:30,Aguila,Sonsonate,2,0
06.04. 03:00,Metapan,UES,0,0
06.04. 03:00,Santa Tecla,FAS,3,3
06.04. 02:30,Chalatenango,Pasaquina,1,1
05.04. 23:15,Dragon,Luis Angel Firpo,1,2
05.04. 23:15,Municipal Limeno,Alianza FC,0,2
02.04. 23:30,FAS,Aguila,0,0
02.04. 23:15,Alianza FC,Dragon,3,1
02.04. 03:00,Luis Angel Firpo,Chalatenango,3,1
02.04. 02:30,Sonsonate,Metapan,2,3
01.04. 23:00,Pasaquina,Santa Tecla,4,1
01.04. 01:30,UES,Municipal Limeno,1,1
30.03. 03:15,Alianza FC,Santa Tecla,0,2
26.03. 23:30,FAS,Pasaquina,1,0
26.03. 23:00,Municipal Limeno,Sonsonate,1,0
25.03. 22:15,Dragon,UES,2,0
25.03. 22:00,Aguila,Metapan,1,1
23.03. 02:00,Luis Angel Firpo,FAS,1,1
23.03. 02:00,Metapan,Municipal Limeno,1,0
23.03. 01:30,Sonsonate,Dragon,2,0
23.03. 00:30,UES,Chalatenango,2,2
22.03. 22:00,Pasaquina,Aguila,1,1
19.03. 22:30,FAS,Alianza FC,1,0
19.03. 22:00,Aguila,Municipal Limeno,1,2
19.03. 01:30,Chalatenango,Sonsonate,1,0
19.03. 00:00,Santa Tecla,UES,0,0
18.03. 22:00,Dragon,Metapan,2,1
18.03. 22:00,Pasaquina,Luis Angel Firpo,3,0
14.03. 00:30,UES,FAS,1,1
12.03. 22:00,Municipal Limeno,Dragon,0,3
12.03. 22:00,Sonsonate,Santa Tecla,1,4
12.03. 02:00,Luis Angel Firpo,Aguila,0,0
12.03. 02:00,Metapan,Chalatenango,0,1
10.03. 02:00,FAS,Santa Tecla,0,2
09.03. 02:15,Alianza FC,Pasaquina,1,0
05.03. 22:15,Alianza FC,Luis Angel Firpo,1,0
05.03. 22:00,Municipal Limeno,Chalatenango,4,1
05.03. 02:00,Metapan,Santa Tecla,1,0
05.03. 01:30,Sonsonate,FAS,0,1
04.03. 22:00,Dragon,Aguila,0,2
04.03. 22:00,Pasaquina,UES,2,0
02.03. 00:30,UES,Santa Tecla,2,3
27.02. 00:00,Santa Tecla,Municipal Limeno,2,2
26.02. 22:30,FAS,Metapan,0,3
26.02. 22:15,Aguila,Alianza FC,0,0
26.02. 01:30,Chalatenango,Dragon,1,0
26.02. 01:30,Luis Angel Firpo,UES,4,2
25.02. 22:00,Pasaquina,Sonsonate,2,1
23.02. 22:00,Municipal Limeno,FAS,1,1
23.02. 02:00,Metapan,Pasaquina,1,1
23.02. 02:00,Sonsonate,Luis Angel Firpo,2,2
23.02. 01:00,UES,Alianza FC,2,2
22.02. 22:30,Dragon,Santa Tecla,0,3
21.02. 22:00,Aguila,Chalatenango,3,1
19.02. 22:30,FAS,Dragon,2,1
19.02. 22:15,Alianza FC,Sonsonate,2,1
19.02. 01:30,Luis Angel Firpo,Metapan,1,3
19.02. 00:00,Santa Tecla,Chalatenango,4,2
18.02. 22:00,Pasaquina,Municipal Limeno,0,1
17.02. 00:30,UES,Aguila,0,1
12.02. 22:30,Municipal Limeno,Luis Angel Firpo,0,3
12.02. 22:00,Aguila,Santa Tecla,1,1
12.02. 02:00,Metapan,Alianza FC,3,1
12.02. 01:30,Chalatenango,FAS,2,2
12.02. 01:30,Sonsonate,UES,0,1
11.02. 22:00,Dragon,Pasaquina,2,2
09.02. 02:15,Alianza FC,Municipal Limeno,5,2
09.02. 01:30,Luis Angel Firpo,Dragon,0,1
09.02. 01:30,Sonsonate,Aguila,0,2
09.02. 00:30,UES,Metapan,2,3
08.02. 22:00,Pasaquina,Chalatenango,2,1
05.02. 22:30,Municipal Limeno,UES,0,3
05.02. 22:15,Dragon,Alianza FC,2,3
05.02. 02:00,Metapan,Sonsonate,1,2
05.02. 01:30,Aguila,FAS,0,0
05.02. 01:30,Chalatenango,Luis Angel Firpo,2,3
05.02. 00:00,Santa Tecla,Pasaquina,1,0
02.02. 02:15,Alianza FC,FAS,3,1
02.02. 02:00,Santa Tecla,Sonsonate,2,0
31.01. 00:30,UES,Dragon,3,2
29.01. 22:15,Alianza FC,Chalatenango,2,0
29.01. 22:00,Pasaquina,FAS,0,0
29.01. 02:00,Metapan,Aguila,0,1
29.01. 01:30,Luis Angel Firpo,Santa Tecla,1,1
28.01. 23:00,Sonsonate,Municipal Limeno,2,1
26.01. 22:00,Aguila,Pasaquina,1,1
26.01. 02:00,FAS,Luis Angel Firpo,1,2
26.01. 02:00,Santa Tecla,Alianza FC,0,2
26.01. 01:30,Chalatenango,UES,1,1
25.01. 22:00,Municipal Limeno,Metapan,3,3
24.01. 22:00,Dragon,Sonsonate,2,2
22.01. 22:30,Municipal Limeno,Aguila,2,0
22.01. 02:00,Metapan,Dragon,1,0
22.01. 01:30,Luis Angel Firpo,Pasaquina,3,2
22.01. 01:30,Sonsonate,Chalatenango,3,2
15.01. 22:00,Aguila,Luis Angel Firpo,5,2
15.01. 22:00,Chalatenango,Metapan,1,2
15.01. 22:00,Dragon,Municipal Limeno,0,0
15.01. 22:00,FAS,UES,2,2
