timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1060380000,Wimbledon FC,Crewe,jRgrlc37,4zecB0bR,3,1,,,,0
1060380000,Walsall,West Brom,bgElVuX9,ImMEe0UF,4,1,,,,0
1060380000,Sheffield Utd,Gillingham,K2FpWLH3,4zecB0bR,0,0,,,,0
1060380000,Rotherham,Cardiff,6qsP6K6r,Iytof9Vn,0,0,,,,0
1060380000,Preston,West Ham,4UX5t7jk,Q9DJHs4l,1,2,,,,0
1060380000,Nottingham,Sunderland,ImKwLTtA,0d34NJCO,2,0,,,,0
1060380000,Ipswich,Reading,jXzj6iAf,dvLIfKqM,1,1,,,,0
1060380000,Derby,Stoke,Ykwr8Dur,8nx1AWvN,0,3,,,,0
1060380000,Burnley,Crystal Palace,6PhTI7J6,pzMOQXRe,2,3,,,,0
1060380000,Bradford City,Norwich,QqdgCtqL,tCGtX12c,2,2,,,,0
1060466400,Millwall,Wigan,4UX5t7jk,dvLIfKqM,2,0,,,,0
1060984800,Wigan,Preston,dvLIfKqM,4UX5t7jk,1,1,,,,0
1060984800,West Ham,Sheffield Utd,Q9DJHs4l,K2FpWLH3,0,0,,,,0
1060984800,West Brom,Burnley,ImMEe0UF,6PhTI7J6,4,1,,,,0
1060984800,Sunderland,Millwall,0d34NJCO,4UX5t7jk,0,1,,,,0
1060984800,Stoke,Wimbledon FC,8nx1AWvN,jRgrlc37,2,1,,,,0
1060984800,Reading,Nottingham,dvLIfKqM,ImKwLTtA,3,0,,,,0
1060984800,Norwich,Rotherham,tCGtX12c,6qsP6K6r,2,0,,,,0
1060984800,Gillingham,Derby,4zecB0bR,Ykwr8Dur,0,0,,,,0
1060984800,Crystal Palace,Watford,pzMOQXRe,QHkJrpz6,1,0,,,,0
1060984800,Crewe,Ipswich,4zecB0bR,jXzj6iAf,1,0,,,,0
1060984800,Coventry,Walsall,UuasdTpt,bgElVuX9,0,0,,,,0
1060984800,Cardiff,Bradford City,Iytof9Vn,QqdgCtqL,0,2,,,,0
1061661600,Wimbledon FC,Crystal Palace,jRgrlc37,pzMOQXRe,1,3,,,,0
1061661600,Watford,West Brom,QHkJrpz6,ImMEe0UF,0,1,,,,0
1061661600,Walsall,Stoke,bgElVuX9,8nx1AWvN,1,1,,,,0
1061661600,Sheffield Utd,Norwich,K2FpWLH3,tCGtX12c,1,0,,,,0
1061661600,Rotherham,West Ham,6qsP6K6r,Q9DJHs4l,1,0,,,,0
1061661600,Preston,Sunderland,4UX5t7jk,0d34NJCO,0,2,,,,0
1061661600,Nottingham,Cardiff,ImKwLTtA,Iytof9Vn,1,2,,,,0
1061661600,Millwall,Crewe,4UX5t7jk,4zecB0bR,1,1,,,,0
1061661600,Ipswich,Coventry,jXzj6iAf,UuasdTpt,1,1,,,,0
1061661600,Derby,Reading,Ykwr8Dur,dvLIfKqM,2,3,,,,0
1061661600,Burnley,Wigan,6PhTI7J6,dvLIfKqM,0,2,,,,0
1061661600,Bradford City,Gillingham,QqdgCtqL,4zecB0bR,0,1,,,,0
1061837100,West Brom,Preston,ImMEe0UF,4UX5t7jk,1,0,,,,0
1061837100,Sunderland,Watford,0d34NJCO,QHkJrpz6,2,0,,,,0
1061837100,Reading,Rotherham,dvLIfKqM,6qsP6K6r,0,0,,,,0
1061837100,Gillingham,Burnley,4zecB0bR,6PhTI7J6,0,3,,,,0
1061837100,Crewe,Walsall,4zecB0bR,bgElVuX9,1,0,,,,0
1061837100,Cardiff,Derby,Iytof9Vn,Ykwr8Dur,4,1,,,,0
1061923500,Wigan,Ipswich,dvLIfKqM,jXzj6iAf,1,0,,,,0
1061923500,West Ham,Bradford City,Q9DJHs4l,QqdgCtqL,1,0,,,,0
1061923500,Stoke,Millwall,8nx1AWvN,4UX5t7jk,0,0,,,,0
1061923500,Norwich,Wimbledon FC,tCGtX12c,jRgrlc37,3,2,,,,0
1061923500,Crystal Palace,Sheffield Utd,pzMOQXRe,K2FpWLH3,1,2,,,,0
1062009900,Coventry,Nottingham,UuasdTpt,ImKwLTtA,1,3,,,,0
1062194400,Wimbledon FC,Reading,jRgrlc37,dvLIfKqM,0,3,,,,0
1062194400,Watford,Gillingham,QHkJrpz6,4zecB0bR,2,2,,,,0
1062194400,Walsall,Cardiff,bgElVuX9,Iytof9Vn,1,1,,,,0
1062194400,Sheffield Utd,Coventry,K2FpWLH3,UuasdTpt,2,1,,,,0
1062194400,Rotherham,Wigan,6qsP6K6r,dvLIfKqM,0,3,,,,0
1062194400,Preston,Stoke,4UX5t7jk,8nx1AWvN,1,0,,,,0
1062194400,Nottingham,Norwich,ImKwLTtA,tCGtX12c,2,0,,,,0
1062194400,Millwall,Crystal Palace,4UX5t7jk,pzMOQXRe,1,1,,,,0
1062194400,Ipswich,West Ham,jXzj6iAf,Q9DJHs4l,1,2,,,,0
1062194400,Derby,West Brom,Ykwr8Dur,ImMEe0UF,0,1,,,,0
1062194400,Burnley,Crewe,6PhTI7J6,4zecB0bR,1,0,,,,0
1062194400,Bradford City,Sunderland,QqdgCtqL,0d34NJCO,0,4,,,,0
1062799200,Stoke,Burnley,8nx1AWvN,6PhTI7J6,1,2,,,,0
1062799200,Gillingham,Millwall,4zecB0bR,4UX5t7jk,4,3,,,,0
1063404000,Wimbledon FC,Wigan,jRgrlc37,dvLIfKqM,2,4,,,,0
1063404000,West Ham,Reading,Q9DJHs4l,dvLIfKqM,1,0,,,,0
1063404000,West Brom,Ipswich,ImMEe0UF,jXzj6iAf,4,1,,,,0
1063404000,Watford,Millwall,QHkJrpz6,4UX5t7jk,3,1,,,,0
1063404000,Walsall,Derby,bgElVuX9,Ykwr8Dur,0,1,,,,0
1063404000,Sunderland,Crystal Palace,0d34NJCO,pzMOQXRe,2,1,,,,0
1063404000,Rotherham,Crewe,6qsP6K6r,4zecB0bR,0,2,,,,0
1063404000,Nottingham,Sheffield Utd,ImKwLTtA,K2FpWLH3,3,1,,,,0
1063404000,Norwich,Burnley,tCGtX12c,6PhTI7J6,2,0,,,,0
1063404000,Coventry,Stoke,UuasdTpt,8nx1AWvN,4,2,,,,0
1063404000,Cardiff,Gillingham,Iytof9Vn,4zecB0bR,5,0,,,,0
1063404000,Bradford City,Preston,QqdgCtqL,4UX5t7jk,2,1,,,,0
1063737900,Wigan,West Brom,dvLIfKqM,ImMEe0UF,1,0,,,,0
1063737900,Stoke,Sunderland,8nx1AWvN,0d34NJCO,3,1,,,,0
1063737900,Sheffield Utd,Rotherham,K2FpWLH3,6qsP6K6r,5,0,,,,0
1063737900,Reading,Cardiff,dvLIfKqM,Iytof9Vn,2,1,,,,0
1063737900,Preston,Coventry,4UX5t7jk,UuasdTpt,4,2,,,,0
1063737900,Millwall,Wimbledon FC,4UX5t7jk,jRgrlc37,2,0,,,,0
1063737900,Ipswich,Walsall,jXzj6iAf,bgElVuX9,2,1,,,,0
1063737900,Gillingham,Norwich,4zecB0bR,tCGtX12c,1,2,,,,0
1063737900,Crystal Palace,Bradford City,pzMOQXRe,QqdgCtqL,0,1,,,,0
1063737900,Crewe,West Ham,4zecB0bR,Q9DJHs4l,0,3,,,,0
1063737900,Burnley,Nottingham,6PhTI7J6,ImKwLTtA,0,3,,,,0
1063824300,Derby,Watford,Ykwr8Dur,QHkJrpz6,3,2,,,,0
1064008800,Wigan,Watford,dvLIfKqM,QHkJrpz6,1,0,,,,0
1064008800,Stoke,Norwich,8nx1AWvN,tCGtX12c,1,1,,,,0
1064008800,Sheffield Utd,Cardiff,K2FpWLH3,Iytof9Vn,5,3,,,,0
1064008800,Reading,Coventry,dvLIfKqM,UuasdTpt,1,2,,,,0
1064008800,Preston,Rotherham,4UX5t7jk,6qsP6K6r,4,1,,,,0
1064008800,Millwall,Walsall,4UX5t7jk,bgElVuX9,2,1,,,,0
1064008800,Ipswich,Wimbledon FC,jXzj6iAf,jRgrlc37,4,1,,,,0
