timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1723834800,Manchester Utd,Fulham,h2pPXz3k,ImMEe0UF,1,0,,,,0
1723894200,Ipswich,Liverpool,jXzj6iAf,KCp4zq5F,0,2,,,,0
1723903200,Nottingham,Bournemouth,ImKwLTtA,tCGtX12c,1,1,,,,0
1723903200,Newcastle,Southampton,ImMEe0UF,raLYxovi,1,0,,,,0
1723903200,Everton,Brighton,bRmKmISE,b92lfEJC,0,3,,,,0
1723903200,Arsenal,Wolves,vcNAdtF9,CjV6Eptm,2,0,,,,0
1723912200,West Ham,Aston Villa,Q9DJHs4l,jwz95gs0,1,2,,,,0
1723986000,Brentford,Crystal Palace,r9Mudk7j,pzMOQXRe,2,1,,,,0
1723995000,Chelsea,Manchester City,IROrZEJb,lQuhqN8N,0,2,,,,0
1724094000,Leicester,Tottenham,UNZg5BP0,Ig5FKJZ5,1,1,,,,0
1724499000,Brighton,Manchester Utd,b92lfEJC,h2pPXz3k,2,1,,,,0
1724508000,Tottenham,Everton,Ig5FKJZ5,bRmKmISE,4,0,,,,0
1724508000,Southampton,Nottingham,raLYxovi,ImKwLTtA,0,1,,,,0
1724508000,Manchester City,Ipswich,lQuhqN8N,jXzj6iAf,4,1,,,,0
1724508000,Fulham,Leicester,ImMEe0UF,UNZg5BP0,2,1,,,,0
1724508000,Crystal Palace,West Ham,pzMOQXRe,Q9DJHs4l,0,2,,,,0
1724517000,Aston Villa,Arsenal,jwz95gs0,vcNAdtF9,0,2,,,,0
1724590800,Wolves,Chelsea,CjV6Eptm,IROrZEJb,2,6,,,,0
1724590800,Bournemouth,Newcastle,tCGtX12c,ImMEe0UF,1,1,,,,0
1724599800,Liverpool,Brentford,KCp4zq5F,r9Mudk7j,2,0,,,,0
1725103800,Arsenal,Brighton,vcNAdtF9,b92lfEJC,1,1,,,,0
1725112800,Nottingham,Wolves,ImKwLTtA,CjV6Eptm,1,1,,,,0
1725112800,Leicester,Aston Villa,UNZg5BP0,jwz95gs0,1,2,,,,0
1725112800,Ipswich,Fulham,jXzj6iAf,ImMEe0UF,1,1,,,,0
1725112800,Everton,Bournemouth,bRmKmISE,tCGtX12c,2,3,,,,0
1725112800,Brentford,Southampton,r9Mudk7j,raLYxovi,3,1,,,,0
1725121800,West Ham,Manchester City,Q9DJHs4l,lQuhqN8N,1,3,,,,0
1725193800,Newcastle,Tottenham,ImMEe0UF,Ig5FKJZ5,2,1,,,,0
1725193800,Chelsea,Crystal Palace,IROrZEJb,pzMOQXRe,1,1,,,,0
1725202800,Manchester Utd,Liverpool,h2pPXz3k,KCp4zq5F,0,3,,,,0
1726313400,Southampton,Manchester Utd,raLYxovi,h2pPXz3k,0,3,,,,0
1726322400,Manchester City,Brentford,lQuhqN8N,r9Mudk7j,2,1,,,,0
1726322400,Liverpool,Nottingham,KCp4zq5F,ImKwLTtA,0,1,,,,0
1726322400,Fulham,West Ham,ImMEe0UF,Q9DJHs4l,1,1,,,,0
1726322400,Crystal Palace,Leicester,pzMOQXRe,UNZg5BP0,2,2,,,,0
1726322400,Brighton,Ipswich,b92lfEJC,jXzj6iAf,0,0,,,,0
1726331400,Aston Villa,Everton,jwz95gs0,bRmKmISE,3,2,,,,0
1726340400,Bournemouth,Chelsea,tCGtX12c,IROrZEJb,0,1,,,,0
1726405200,Tottenham,Arsenal,Ig5FKJZ5,vcNAdtF9,0,1,,,,0
1726414200,Wolves,Newcastle,CjV6Eptm,ImMEe0UF,1,2,,,,0
1726918200,West Ham,Chelsea,Q9DJHs4l,IROrZEJb,0,3,,,,0
1726927200,Tottenham,Brentford,Ig5FKJZ5,r9Mudk7j,3,1,,,,0
1726927200,Southampton,Ipswich,raLYxovi,jXzj6iAf,1,1,,,,0
1726927200,Liverpool,Bournemouth,KCp4zq5F,tCGtX12c,3,0,,,,0
1726927200,Leicester,Everton,UNZg5BP0,bRmKmISE,1,1,,,,0
1726927200,Fulham,Newcastle,ImMEe0UF,ImMEe0UF,3,1,,,,0
1726927200,Aston Villa,Wolves,jwz95gs0,CjV6Eptm,3,1,,,,0
1726936200,Crystal Palace,Manchester Utd,pzMOQXRe,h2pPXz3k,0,0,,,,0
1727010000,Brighton,Nottingham,b92lfEJC,ImKwLTtA,2,2,,,,0
1727019000,Manchester City,Arsenal,lQuhqN8N,vcNAdtF9,2,2,,,,0
1727523000,Newcastle,Manchester City,ImMEe0UF,lQuhqN8N,1,1,,,,0
1727532000,Nottingham,Fulham,ImKwLTtA,ImMEe0UF,0,1,,,,0
1727532000,Everton,Crystal Palace,bRmKmISE,pzMOQXRe,2,1,,,,0
1727532000,Chelsea,Brighton,IROrZEJb,b92lfEJC,4,2,,,,0
1727532000,Brentford,West Ham,r9Mudk7j,Q9DJHs4l,1,1,,,,0
1727532000,Arsenal,Leicester,vcNAdtF9,UNZg5BP0,4,2,,,,0
1727541000,Wolves,Liverpool,CjV6Eptm,KCp4zq5F,1,2,,,,0
1727614800,Ipswich,Aston Villa,jXzj6iAf,jwz95gs0,2,2,,,,0
1727623800,Manchester Utd,Tottenham,h2pPXz3k,Ig5FKJZ5,0,3,,,,0
1727722800,Bournemouth,Southampton,tCGtX12c,raLYxovi,3,1,,,,0
1728127800,Crystal Palace,Liverpool,pzMOQXRe,KCp4zq5F,0,1,,,,0
1728136800,West Ham,Ipswich,Q9DJHs4l,jXzj6iAf,4,1,,,,0
1728136800,Manchester City,Fulham,lQuhqN8N,ImMEe0UF,3,2,,,,0
1728136800,Leicester,Bournemouth,UNZg5BP0,tCGtX12c,1,0,,,,0
1728136800,Brentford,Wolves,r9Mudk7j,CjV6Eptm,5,3,,,,0
1728136800,Arsenal,Southampton,vcNAdtF9,raLYxovi,3,1,,,,0
1728145800,Everton,Newcastle,bRmKmISE,ImMEe0UF,0,0,,,,0
1728219600,Chelsea,Nottingham,IROrZEJb,ImKwLTtA,1,1,,,,0
1728219600,Aston Villa,Manchester Utd,jwz95gs0,h2pPXz3k,0,0,,,,0
1728228600,Brighton,Tottenham,b92lfEJC,Ig5FKJZ5,3,2,,,,0
1729337400,Tottenham,West Ham,Ig5FKJZ5,Q9DJHs4l,4,1,,,,0
1729346400,Southampton,Leicester,raLYxovi,UNZg5BP0,2,3,,,,0
1729346400,Newcastle,Brighton,ImMEe0UF,b92lfEJC,0,1,,,,0
1729346400,Manchester Utd,Brentford,h2pPXz3k,r9Mudk7j,2,1,,,,0
1729346400,Ipswich,Everton,jXzj6iAf,bRmKmISE,0,2,,,,0
1729346400,Fulham,Aston Villa,ImMEe0UF,jwz95gs0,1,3,,,,0
1729355400,Bournemouth,Arsenal,tCGtX12c,vcNAdtF9,2,0,,,,0
1729429200,Wolves,Manchester City,CjV6Eptm,lQuhqN8N,1,2,,,,0
1729438200,Liverpool,Chelsea,KCp4zq5F,IROrZEJb,2,1,,,,0
1729537200,Nottingham,Crystal Palace,ImKwLTtA,pzMOQXRe,1,0,,,,0
1729882800,Leicester,Nottingham,UNZg5BP0,ImKwLTtA,1,3,,,,0
1729951200,Manchester City,Southampton,lQuhqN8N,raLYxovi,1,0,,,,0
1729951200,Brighton,Wolves,b92lfEJC,CjV6Eptm,2,2,,,,0
1729951200,Brentford,Ipswich,r9Mudk7j,jXzj6iAf,4,3,,,,0
