timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1718204400,Legion,Raplamaa,O8o4uq5U,dGdc6PJa,3,1,,,,0
1718208000,Viimsi JK,Kuressaare,Cf9A9k0g,SlfZ6qG2,0,1,,,,0
1718208000,Vastseliina Tannem,Vana Hea Puur,KKxJ81xa,p8k1EFDT,5,0,,,,0
1718208000,Kohtla-Jarve Linnameeskond,Soccernet,6Bijg7KL,tSMBFMtM,4,0,,,,0
1718294400,Tulevik,Zealot Sporting,n17Y23th,tGUy3i7T,1,1,AET,2,1,0
1718812800,Tallinna Kalev III,Tabasalu,x8DmVqL2,Qez3KKP2,0,6,,,,0
1719417600,Tamper,JK Poseidon,dYgU4ivB,IFvezmU3,4,1,,,,0
1719504000,Flora U21,Saue Laagri,roUOGVSL,jZiKkBT2,4,0,,,,0
1720263600,Tallinna FC Zapoos,Sillamae Silmet,nBrL1lZM,GpifTN1Q,4,3,,,,0
1721743200,Saae Latte,Hiiumaa,lj9IAHRa,b9QwpsuS,2,6,,,,0
1721754000,Haapsalu,Rumori Calcio,bV1nZGCo,rDA25jEk,5,1,,,,0
1722088800,Vastseliina Tannem,Tabasalu Ulasabat,KKxJ81xa,S6BKT5Ag,1,5,,,,0
1722178800,EstHam United,Inter Tartu,AgXIgrFd,dvVvIq1q,0,4,,,,0
1722270600,Tamper,Tartu Welco 2,dYgU4ivB,21mMYgO1,3,1,,,,0
1722355200,Tulevik,Jarva-Jaani,n17Y23th,z9YsXKZd,3,0,,,,0
1722355200,Kuusalu Kalev,Tartu Helios,4AyrSDB8,z12Ks34P,0,4,,,,0
1722355200,Kose,Tartu Kalev,AHurOj1L,bcv6Y6TL,1,6,,,,0
1722361500,Tallinna Smsraha,FC Ararat,2Tmg867T,tANeIUAE,1,3,,,,0
1722438000,Tartu Welco,Flora U21,CUaaVuZ6,roUOGVSL,1,1,AET,2,3,0
1722438000,Kose II,Harju JK Laagri,Q5c9gzHu,xdabbQpB,0,26,,,,0
1722441600,Saku Sporting,FC Tallinn,SG2R9qZs,trLzk4N1,1,2,,,,0
1722441600,Nomme Utd,Kohtla-Jarve Linnameeskond,6s2L0Hso,6Bijg7KL,9,0,,,,0
1722441600,Maardu Aliens,Kuressaare,Q7lMIApe,SlfZ6qG2,0,12,,,,0
1722441600,Kalju,Eston Villa,2PLiHUjM,QRt3HcUa,11,1,,,,0
1722441600,Johvi Phoenix,Kohvile,WhmQ8a6A,b9QwpsuS,3,1,,,,0
1722445200,Lootos,Tallinna Starmedia,UeJUK1Kl,vD9hOeii,0,3,,,,0
1722445200,Kristiine,Legion,O0i4WPpb,O8o4uq5U,0,5,,,,0
1722447000,Maksatransport,Parnu,MTKXjXK4,MBLKlaqH,3,1,,,,0
1722520800,Flora U19,Tallinna Kalev U21,zknHUvjI,IsLk5d1t,0,6,,,,0
1722529800,Hell Hunt,Tabasalu,nDXCJXr3,Qez3KKP2,1,3,,,,0
1722962700,Kubik,Marjamaa Kompanii,tlWTljpp,Y3IfDvks,3,3,AET,3,4,0
1722965400,Tallinna Wolves,Elva,ra59enYE,tnFQZaTd,0,8,,,,0
1723042800,Tallinna GameSport,Tammeka,4Oz3sMDB,lGvMSKuF,0,24,,,,0
1723046400,Parnu JK Vaprus,Olympic Tallinn,O8o4uq5U,biL3G8uR,11,0,,,,0
1723050000,TransferWise,Harju JK Laagri,lbuZ7HIl,xdabbQpB,0,15,,,,0
1723051800,Loo JK,Helm,CrsBbTrF,nXac9P84,2,4,,,,0
1723561200,Legion,Johvi Phoenix,O8o4uq5U,WhmQ8a6A,2,2,Pen,4,3,0
1723564800,Narva,Arukula Vigri,xv6lkb7q,UiLctKWE,7,0,,,,0
1723644000,Flora U21,Kalju,roUOGVSL,2PLiHUjM,0,7,,,,0
1723651200,Tallinna Kalev U21,Tallinna FC Zapoos,IsLk5d1t,nBrL1lZM,2,5,,,,0
1723651200,Harju JK Laagri,Nomme Utd,xdabbQpB,6s2L0Hso,3,0,,,,0
1723653000,Tartu Kalev,Pelgu City,bcv6Y6TL,pIYU0gvL,7,0,,,,0
1724256000,Tartu Helios,Hiiumaa,z12Ks34P,b9QwpsuS,1,1,AET,1,3,0
1724256000,Tallinna Kalev,Inter Tartu,2yt6rfeJ,dvVvIq1q,14,0,,,,0
1724777100,Marjamaa Kompanii,Tabasalu,Y3IfDvks,Qez3KKP2,0,2,,,,0
1724860800,Parnu JK Vaprus,FC Ararat,O8o4uq5U,tANeIUAE,10,0,,,,0
1724860800,Helm,Elva,nXac9P84,tnFQZaTd,1,5,,,,0
1725462000,Kuressaare,Tartu Kalev,SlfZ6qG2,bcv6Y6TL,7,0,,,,0
1725465600,Maksatransport,Tamper,MTKXjXK4,dYgU4ivB,0,3,,,,0
1725706800,Narva,Tallinna Starmedia,xv6lkb7q,vD9hOeii,6,1,,,,0
1726070400,Levadia,Tulevik,x28DBGvr,n17Y23th,8,1,,,,0
1728496800,Tabasalu Ulasabat,Haapsalu,S6BKT5Ag,bV1nZGCo,1,6,,,,0
1729011600,FC Tallinn,Tammeka,trLzk4N1,lGvMSKuF,2,1,,,,0
