timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1204977600,TVMK Tallinn,Parnu JK Vaprus,2,1,,,,0
1204977600,Tulevik,Levadia,0,1,,,,0
1204977600,Tallinna Kalev,Narva,1,2,,,,0
1204977600,Sillamae,Tammeka,1,1,,,,0
1204988400,Flora,Kalju,1,1,,,,0
1205582400,Tulevik,Tallinna Kalev,3,2,,,,0
1205582400,Tammeka,TVMK Tallinn,1,2,,,,0
1205582400,Levadia,Parnu JK Vaprus,7,0,,,,0
1205582400,Kalju,Sillamae,3,0,,,,0
1205593200,Narva,Flora,1,2,,,,0
1206187200,TVMK Tallinn,Kalju,0,1,,,,0
1206187200,Sillamae,Narva,1,3,,,,0
1206187200,Parnu JK Vaprus,Tammeka,2,4,,,,0
1206187200,Flora,Tulevik,3,1,,,,0
1206198000,Tallinna Kalev,Levadia,0,2,,,,0
1206792000,Tulevik,Sillamae,1,1,,,,0
1206792000,Tallinna Kalev,Flora,0,3,,,,0
1206792000,Narva,TVMK Tallinn,1,1,,,,0
1206792000,Levadia,Tammeka,1,1,,,,0
1206802800,Kalju,Parnu JK Vaprus,3,1,,,,0
1207393200,TVMK Tallinn,Tulevik,6,1,,,,0
1207393200,Tammeka,Kalju,2,1,,,,0
1207393200,Sillamae,Tallinna Kalev,2,1,,,,0
1207393200,Parnu JK Vaprus,Narva,0,6,,,,0
1207404000,Flora,Levadia,0,2,,,,0
1207998000,Tulevik,Parnu JK Vaprus,0,1,,,,0
1207998000,Tallinna Kalev,TVMK Tallinn,1,1,,,,0
1207998000,Levadia,Kalju,2,2,,,,0
1208008800,Narva,Tammeka,1,1,,,,0
1208017800,Flora,Sillamae,4,0,,,,0
1208602800,Tammeka,Tulevik,2,0,,,,0
1208602800,Sillamae,Levadia,0,5,,,,0
1208602800,Parnu JK Vaprus,Tallinna Kalev,2,0,,,,0
1208602800,Kalju,Narva,1,1,,,,0
1208613600,TVMK Tallinn,Flora,0,0,,,,0
1209207600,Tulevik,Kalju,0,0,,,,0
1209207600,Tallinna Kalev,Tammeka,2,0,,,,0
1209207600,Sillamae,TVMK Tallinn,1,3,,,,0
1209207600,Flora,Parnu JK Vaprus,7,0,,,,0
1209218400,Levadia,Narva,3,1,,,,0
1209823200,TVMK Tallinn,Levadia,3,0,,,,0
1209823200,Parnu JK Vaprus,Sillamae,1,3,,,,0
1209823200,Narva,Tulevik,4,1,,,,0
1209823200,Kalju,Tallinna Kalev,2,1,,,,0
1209832200,Tammeka,Flora,1,3,,,,0
1210088700,Tallinna Kalev,Kalju,2,0,,,,0
1210428000,Tulevik,Narva,1,0,,,,0
1210428000,Sillamae,Parnu JK Vaprus,1,4,,,,0
1210428000,Flora,Tammeka,3,1,,,,0
1210437000,Levadia,TVMK Tallinn,2,0,,,,0
1211032800,TVMK Tallinn,Sillamae,5,1,,,,0
1211032800,Parnu JK Vaprus,Flora,1,6,,,,0
1211032800,Narva,Levadia,0,3,,,,0
1211041800,Tammeka,Tallinna Kalev,0,2,,,,0
1211637600,Tulevik,Tammeka,3,1,,,,0
1211637600,Narva,Kalju,1,0,,,,0
1211637600,Levadia,Sillamae,4,0,,,,0
1211637600,Flora,TVMK Tallinn,3,1,,,,0
1211646600,Tallinna Kalev,Parnu JK Vaprus,1,2,,,,0
1212507900,Kalju,Tulevik,2,0,,,,0
1212836400,TVMK Tallinn,Tallinna Kalev,5,2,,,,0
1212836400,Tammeka,Narva,0,1,,,,0
1212836400,Sillamae,Flora,0,3,,,,0
1212836400,Parnu JK Vaprus,Tulevik,2,4,,,,0
1212836400,Kalju,Levadia,0,4,,,,0
1213430400,Kalju,Tammeka,2,1,,,,0
1213441200,Tulevik,TVMK Tallinn,0,3,,,,0
1213441200,Tallinna Kalev,Sillamae,2,5,,,,0
1213441200,Narva,Parnu JK Vaprus,1,0,,,,0
1213441200,Levadia,Flora,2,2,,,,0
1213717500,TVMK Tallinn,Narva,1,1,,,,0
1213717500,Tammeka,Levadia,1,3,,,,0
1213717500,Sillamae,Tulevik,1,0,,,,0
1213717500,Parnu JK Vaprus,Kalju,0,2,,,,0
1213717500,Flora,Tallinna Kalev,4,1,,,,0
1214046000,Tammeka,Parnu JK Vaprus,4,1,,,,0
1214046000,Levadia,Tallinna Kalev,3,1,,,,0
1214056800,Tulevik,Flora,0,8,,,,0
1214056800,Kalju,TVMK Tallinn,1,5,,,,0
1215266400,TVMK Tallinn,Tammeka,1,0,,,,0
1215266400,Tallinna Kalev,Tulevik,2,1,,,,0
1215266400,Sillamae,Kalju,2,1,,,,0
1215266400,Parnu JK Vaprus,Levadia,0,4,,,,0
1215275400,Flora,Narva,3,3,,,,0
1215525600,Narva,Sillamae,3,1,,,,0
1215871200,Tammeka,Sillamae,2,0,,,,0
1215871200,Parnu JK Vaprus,TVMK Tallinn,1,5,,,,0
1215871200,Levadia,Tulevik,2,0,,,,0
1215880200,Narva,Tallinna Kalev,0,0,,,,0
1215880200,Kalju,Flora,1,7,,,,0
1216476000,Parnu JK Vaprus,Sillamae,2,4,,,,0
1216476000,Narva,Tulevik,3,0,,,,0
1216476000,Kalju,Tallinna Kalev,3,2,,,,0
1216741500,Tammeka,Flora,1,2,,,,0
1217080800,Tulevik,Kalju,1,4,,,,0
1217080800,Tallinna Kalev,Tammeka,1,1,,,,0
1217080800,Sillamae,TVMK Tallinn,0,1,,,,0
1217080800,Flora,Parnu JK Vaprus,3,0,,,,0
1217089800,Levadia,Narva,7,2,,,,0
1217685600,Parnu JK Vaprus,Tallinna Kalev,0,1,,,,0
1217685600,Kalju,Narva,7,3,,,,0
1217694600,Tammeka,Tulevik,2,1,,,,0
1217694600,Sillamae,Levadia,1,4,,,,0
1218290400,Tulevik,Parnu JK Vaprus,1,2,,,,0
1218290400,Tallinna Kalev,TVMK Tallinn,2,2,,,,0
1218290400,Narva,Tammeka,4,1,,,,0
1218290400,Flora,Sillamae,7,1,,,,0
1218299400,Levadia,Kalju,1,0,,,,0
1218558600,TVMK Tallinn,Levadia,1,2,,,,0
1218895200,TVMK Tallinn,Tulevik,2,1,,,,0
1218895200,Tammeka,Kalju,2,3,,,,0
1218895200,Sillamae,Tallinna Kalev,2,1,,,,0
1218895200,Parnu JK Vaprus,Narva,2,4,,,,0
1218904200,Flora,Levadia,0,0,,,,0
1219500000,Tallinna Kalev,Flora,0,1,,,,0
1219500000,Narva,TVMK Tallinn,1,0,,,,0
1219500000,Levadia,Tammeka,4,1,,,,0
1219500000,Kalju,Parnu JK Vaprus,5,1,,,,0
1219509000,Tulevik,Sillamae,0,0,,,,0
1219765500,TVMK Tallinn,Flora,1,3,,,,0
1220104800,TVMK Tallinn,Kalju,2,1,,,,0
1220104800,Tallinna Kalev,Levadia,1,5,,,,0
1220104800,Sillamae,Narva,4,4,,,,0
1220104800,Parnu JK Vaprus,Tammeka,1,2,,,,0
1220113800,Flora,Tulevik,4,1,,,,0
1221303600,Tulevik,Tallinna Kalev,0,0,,,,0
1221303600,Tammeka,TVMK Tallinn,2,3,,,,0
1221303600,Levadia,Parnu JK Vaprus,4,0,,,,0
1221303600,Kalju,Sillamae,2,2,,,,0
1221314400,Narva,Flora,0,2,,,,0
1221573600,TVMK Tallinn,Parnu JK Vaprus,6,2,,,,0
1221573600,Tallinna Kalev,Narva,2,0,,,,0
1221573600,Sillamae,Tammeka,2,1,,,,0
1221579900,Tulevik,Levadia,0,5,,,,0
1221579900,Flora,Kalju,4,0,,,,0
1221904800,Tammeka,Sillamae,0,2,,,,0
1221904800,Parnu JK Vaprus,TVMK Tallinn,3,10,,,,0
1221904800,Levadia,Tulevik,5,0,,,,0
1221904800,Kalju,Flora,0,3,,,,0
1221919200,Narva,Tallinna Kalev,1,0,,,,0
1222513200,TVMK Tallinn,Tammeka,6,2,,,,0
1222513200,Tallinna Kalev,Tulevik,1,2,,,,0
1222513200,Sillamae,Kalju,2,1,,,,0
1222513200,Parnu JK Vaprus,Levadia,0,4,,,,0
1222524000,Flora,Narva,2,1,,,,0
1222783200,Narva,Sillamae,0,3,,,,0
1222783200,Levadia,Tallinna Kalev,2,1,,,,0
1222789500,Tulevik,Flora,1,2,,,,0
1222789500,Tammeka,Parnu JK Vaprus,1,0,,,,0
1222789500,Kalju,TVMK Tallinn,2,0,,,,0
1223118000,Tammeka,Levadia,1,3,,,,0
1223118000,Sillamae,Tulevik,0,1,,,,0
1223118000,Parnu JK Vaprus,Kalju,5,5,,,,0
1223118000,Flora,Tallinna Kalev,1,1,,,,0
1223128800,TVMK Tallinn,Narva,0,1,,,,0
1224327600,Tulevik,TVMK Tallinn,0,1,,,,0
1224327600,Tallinna Kalev,Sillamae,0,0,,,,0
1224327600,Narva,Parnu JK Vaprus,3,0,,,,0
1224327600,Kalju,Tammeka,2,1,,,,0
1224334800,Levadia,Flora,0,0,,,,0
1224932400,TVMK Tallinn,Tallinna Kalev,8,0,,,,0
1224932400,Sillamae,Flora,0,1,,,,0
1224932400,Parnu JK Vaprus,Tulevik,0,2,,,,0
1224943200,Tammeka,Narva,1,4,,,,0
1224943200,Kalju,Levadia,1,2,,,,0
1225540800,Tulevik,Tammeka,3,0,,,,0
1225540800,Tallinna Kalev,Parnu JK Vaprus,1,1,,,,0
1225540800,Narva,Kalju,1,1,,,,0
1225540800,Levadia,Sillamae,5,1,,,,0
1225551600,Flora,TVMK Tallinn,4,2,,,,0
1226141100,Narva,Levadia,0,1,,,,0
1226142000,TVMK Tallinn,Sillamae,1,2,,,,0
1226142000,Tammeka,Tallinna Kalev,1,0,,,,0
1226142000,Parnu JK Vaprus,Flora,1,6,,,,0
1226156400,Kalju,Tulevik,2,0,,,,0
1226746800,Tulevik,Narva,1,0,,,,0
1226746800,Tallinna Kalev,Kalju,2,3,,,,0
1226746800,Sillamae,Parnu JK Vaprus,3,2,,,,0
1226746800,Levadia,TVMK Tallinn,1,1,,,,0
1226746800,Flora,Tammeka,6,2,,,,0
1227178800,Paide,Parnu JK Vaprus,2,1,,,,0
1227434400,Parnu JK Vaprus,Paide,4,3,,,,0
