timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
776544300,Sparta Prague,Goteborg,lWOFh0RD,jqs0yJHC,1,0,,,,0
776544300,Silkeborg,Dyn. Kyiv,Wrzf6bGu,M1Cjh44S,0,0,,,,0
776544300,PSG,Vac,A7UDDuOO,U5xeyX8K,3,0,,,,0
776544300,Maccabi Haifa,Salzburg,Q5Dpg1h8,McAr23w3,1,2,,,,0
776544300,Legia,Hajduk Split,rgYuXGKm,Mc6FcsjL,0,1,,,,0
776544300,FCSB,Servette,SCh1iPaa,vJvKsfHT,4,1,,,,0
776544300,Avenir Beggen,Galatasaray,4jwwMQjF,dEXkR0Wq,1,5,,,,0
776544300,AEK Athens FC,Rangers,Aq4Rjd2q,fFCBVa82,2,0,,,,0
777753900,Vac,PSG,U5xeyX8K,A7UDDuOO,1,2,,,,0
777753900,Servette,FCSB,vJvKsfHT,SCh1iPaa,1,1,,,,0
777753900,Salzburg,Maccabi Haifa,McAr23w3,Q5Dpg1h8,3,1,,,,0
777753900,Rangers,AEK Athens FC,fFCBVa82,Aq4Rjd2q,0,1,,,,0
777753900,Hajduk Split,Legia,Mc6FcsjL,rgYuXGKm,4,0,,,,0
777753900,Goteborg,Sparta Prague,jqs0yJHC,lWOFh0RD,2,0,,,,0
777753900,Galatasaray,Avenir Beggen,dEXkR0Wq,4jwwMQjF,4,0,,,,0
777753900,Dyn. Kyiv,Silkeborg,M1Cjh44S,Wrzf6bGu,3,1,,,,0
779568300,Salzburg,AEK Athens FC,McAr23w3,Aq4Rjd2q,0,0,,,,0
779568300,PSG,Bayern Munich,A7UDDuOO,SvLFaVNH,2,0,,,,0
779568300,Manchester Utd,Goteborg,h2pPXz3k,jqs0yJHC,4,2,,,,0
779568300,Hajduk Split,Benfica,Mc6FcsjL,GEKimEim,0,0,,,,0
779568300,Dyn. Kyiv,Spartak Moscow,M1Cjh44S,jqo4GJye,3,2,,,,0
779568300,Barcelona,Galatasaray,fcDVLdrL,dEXkR0Wq,2,1,,,,0
779568300,Anderlecht,FCSB,YVlGNJGc,SCh1iPaa,0,0,,,,0
779568300,Ajax,AC Milan,bZZPiwAI,fL3dmxxd,2,0,,,,0
780781500,Spartak Moscow,PSG,jqo4GJye,A7UDDuOO,1,2,,,,0
780781500,Goteborg,Barcelona,jqs0yJHC,fcDVLdrL,2,1,,,,0
780781500,Galatasaray,Manchester Utd,dEXkR0Wq,h2pPXz3k,0,0,,,,0
780781500,FCSB,Hajduk Split,SCh1iPaa,Mc6FcsjL,0,1,,,,0
780781500,Benfica,Anderlecht,GEKimEim,YVlGNJGc,3,1,,,,0
780781500,Bayern Munich,Dyn. Kyiv,SvLFaVNH,M1Cjh44S,1,0,,,,0
780781500,AEK Athens FC,Ajax,Aq4Rjd2q,bZZPiwAI,1,2,,,,0
780781500,AC Milan,Salzburg,fL3dmxxd,McAr23w3,3,0,,,,0
782595900,Spartak Moscow,Bayern Munich,jqo4GJye,SvLFaVNH,1,1,,,,0
782595900,Salzburg,Ajax,McAr23w3,bZZPiwAI,0,0,,,,0
782595900,Manchester Utd,Barcelona,h2pPXz3k,fcDVLdrL,2,2,,,,0
782595900,Hajduk Split,Anderlecht,Mc6FcsjL,YVlGNJGc,2,1,,,,0
782595900,Goteborg,Galatasaray,jqs0yJHC,dEXkR0Wq,1,0,,,,0
782595900,Dyn. Kyiv,PSG,M1Cjh44S,A7UDDuOO,1,2,,,,0
782595900,Benfica,FCSB,GEKimEim,SCh1iPaa,2,1,,,,0
782595900,AEK Athens FC,AC Milan,Aq4Rjd2q,fL3dmxxd,0,0,,,,0
783805500,PSG,Dyn. Kyiv,A7UDDuOO,M1Cjh44S,1,0,,,,0
783805500,Galatasaray,Goteborg,dEXkR0Wq,jqs0yJHC,0,1,,,,0
783805500,FCSB,Benfica,SCh1iPaa,GEKimEim,1,1,,,,0
